Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
08/02/2017;3;7;16;Muy buena / Oso ona;11;79;92;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;280;76;1029,4;6,6;73,4;9;2,4;Buena / Ona
07/02/2017;3;8;18;Muy buena / Oso ona;13;69;84;Buena / Ona;9;Muy buena / Oso ona;1;4;Muy buena / Oso ona;264;81;1024,1;9,4;33,4;11;2,33;Buena / Ona
06/02/2017;21;24;61;Buena / Ona;56;41;87;Buena / Ona;14;Muy buena / Oso ona;1;5;Muy buena / Oso ona;195;86;1024,1;8,3;44,3;11;1,46;Buena / Ona
05/02/2017;2;3;6;Muy buena / Oso ona;6;88;90;Buena / Ona;11;Muy buena / Oso ona;1;3;Muy buena / Oso ona;263;68;1014,8;13,1;50,5;10;4,91;Buena / Ona
04/02/2017;3;7;22;Muy buena / Oso ona;12;66;89;Buena / Ona;9;Muy buena / Oso ona;1;3;Muy buena / Oso ona;236;83;1006,9;14,7;16,5;12;1,12;Buena / Ona
03/02/2017;5;4;14;Muy buena / Oso ona;12;86;89;Buena / Ona;7;Muy buena / Oso ona;1;3;Muy buena / Oso ona;209;45;1005,8;0;144;15;2,59;Buena / Ona
02/02/2017;6;5;25;Muy buena / Oso ona;14;80;84;Buena / Ona;6;Muy buena / Oso ona;1;4;Muy buena / Oso ona;199;52;1006,1;0,2;35;15;3,05;Buena / Ona
01/02/2017;3;5;11;Muy buena / Oso ona;10;67;73;Buena / Ona;5;Muy buena / Oso ona;1;3;Muy buena / Oso ona;201;50;1012,1;0,2;174,1;16;2,3;Buena / Ona
31/01/2017;4;5;18;Muy buena / Oso ona;11;62;71;Buena / Ona;6;Muy buena / Oso ona;1;3;Muy buena / Oso ona;193;50;1013,1;0;187,1;17;2,37;Buena / Ona
30/01/2017;4;5;25;Muy buena / Oso ona;11;56;66;Buena / Ona;3;Muy buena / Oso ona;1;4;Muy buena / Oso ona;195;61;1016,9;0;47,8;17;3;Buena / Ona
29/01/2017;4;3;9;Muy buena / Oso ona;9;67;75;Buena / Ona;4;Muy buena / Oso ona;1;4;Muy buena / Oso ona;195;60;1019,8;0;74,3;14;3,19;Buena / Ona
28/01/2017;4;8;23;Muy buena / Oso ona;15;66;80;Buena / Ona;8;Muy buena / Oso ona;1;4;Muy buena / Oso ona;220;64;1020,8;0;158,8;10;1,14;Buena / Ona
27/01/2017;4;7;11;Muy buena / Oso ona;14;72;72;Buena / Ona;8;Muy buena / Oso ona;1;3;Muy buena / Oso ona;189;58;1007,9;0;35;11;2,27;Buena / Ona
26/01/2017;5;12;29;Muy buena / Oso ona;20;59;73;Buena / Ona;15;Muy buena / Oso ona;1;5;Muy buena / Oso ona;187;59;1010,8;0;108,1;9;3,46;Buena / Ona
25/01/2017;7;22;30;Muy buena / Oso ona;32;37;60;Muy buena / Oso ona;10;Muy buena / Oso ona;1;6;Muy buena / Oso ona;169;78;1023,6;0;186,1;4;1,01;Muy buena / Oso ona
24/01/2017;8;20;38;Muy buena / Oso ona;32;42;66;Buena / Ona;14;Muy buena / Oso ona;2;4;Muy buena / Oso ona;218;82;1028;0;115,1;6;0,16;Buena / Ona
23/01/2017;5;15;32;Muy buena / Oso ona;23;59;71;Buena / Ona;11;Muy buena / Oso ona;1;5;Muy buena / Oso ona;277;80;1024,8;0;50,6;9;0,88;Buena / Ona
22/01/2017;5;14;25;Muy buena / Oso ona;21;41;62;Buena / Ona;13;Muy buena / Oso ona;2;5;Muy buena / Oso ona;213;86;1022,8;0;64,1;7;0,88;Buena / Ona
21/01/2017;11;30;46;Muy buena / Oso ona;47;23;44;Muy buena / Oso ona;21;Muy buena / Oso ona;2;11;Muy buena / Oso ona;182;83;1022,3;0;136,7;6;0,57;Muy buena / Oso ona
20/01/2017;15;29;45;Muy buena / Oso ona;51;18;31;Muy buena / Oso ona;19;Muy buena / Oso ona;2;7;Muy buena / Oso ona;178;82;1024,8;0;156,7;;0,8;Muy buena / Oso ona
19/01/2017;6;27;49;Muy buena / Oso ona;36;22;35;Muy buena / Oso ona;15;Muy buena / Oso ona;2;6;Muy buena / Oso ona;146;78;1026,7;0;12,9;4;0,91;Muy buena / Oso ona
