Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
15/06/2017;0;5;7;Muy buena / Oso ona;5;58;65;Buena / Ona;343;99;972,2;62,5;14,4;4,35;Buena / Ona
14/06/2017;1;9;22;Muy buena / Oso ona;11;55;64;Buena / Ona;353;93;966,1;204,1;16,9;1,8;Buena / Ona
13/06/2017;5;16;47;Muy buena / Oso ona;23;46;55;Muy buena / Oso ona;73;83;965,6;237,2;16,8;0,51;Muy buena / Oso ona
12/06/2017;1;9;24;Muy buena / Oso ona;10;35;41;Muy buena / Oso ona;56;94;970,1;55,9;14,9;3,06;Muy buena / Oso ona
11/06/2017;1;10;43;Muy buena / Oso ona;11;45;62;Buena / Ona;354;93;970,3;266,3;15,9;3,38;Buena / Ona
10/06/2017;1;12;40;Muy buena / Oso ona;14;46;60;Muy buena / Oso ona;77;88;968,7;377;17;0,91;Muy buena / Oso ona
09/06/2017;3;11;38;Muy buena / Oso ona;16;44;75;Buena / Ona;356;81;967,9;319,8;15,4;1,82;Buena / Ona
08/06/2017;1;9;24;Muy buena / Oso ona;11;77;80;Buena / Ona;241;55;964,7;341,1;20,1;2,99;Buena / Ona
07/06/2017;2;12;33;Muy buena / Oso ona;14;63;73;Buena / Ona;161;68;971,1;494,1;16;0,91;Buena / Ona
06/06/2017;0;3;6;Muy buena / Oso ona;3;64;85;Buena / Ona;325;86;969,3;182,8;12;7,58;Buena / Ona
05/06/2017;1;10;25;Muy buena / Oso ona;12;65;87;Buena / Ona;306;69;966,1;487,2;15,5;2,21;Buena / Ona
04/06/2017;0;6;25;Muy buena / Oso ona;6;58;67;Buena / Ona;350;93;970,9;34,3;10,8;3,4;Buena / Ona
03/06/2017;0;4;9;Muy buena / Oso ona;4;67;81;Buena / Ona;320;92;970,3;44,6;12,3;5,7;Buena / Ona
02/06/2017;0;6;20;Muy buena / Oso ona;7;70;81;Buena / Ona;331;94;968,9;63,9;14,5;3,72;Buena / Ona
01/06/2017;1;10;37;Muy buena / Oso ona;12;68;76;Buena / Ona;95;78;968,9;427,2;18;1,99;Buena / Ona
31/05/2017;3;10;35;Muy buena / Oso ona;15;48;67;Buena / Ona;82;85;970,1;404,2;16;1,69;Buena / Ona
30/05/2017;0;5;16;Muy buena / Oso ona;5;52;;Sin datos / Daturik gabe;30;97;969,7;149,8;13,1;3,24;Muy buena / Oso ona
29/05/2017;0;8;22;Muy buena / Oso ona;8;57;70;Buena / Ona;360;97;966,3;79,1;13,8;2,35;Buena / Ona
28/05/2017;1;8;27;Muy buena / Oso ona;10;77;91;Buena / Ona;174;60;964,4;86,5;20,5;4,48;Buena / Ona
27/05/2017;1;12;25;Muy buena / Oso ona;14;86;105;Mejorable / Hobetzeko modukoa;152;61;964,5;244,8;21,3;3,87;Mejorable / Hobetzeko modukoa
26/05/2017;27;23;177;Mejorable / Hobetzeko modukoa;64;101;129;Mejorable / Hobetzeko modukoa;253;58;963,6;351,2;20,8;2,21;Mejorable / Hobetzeko modukoa
25/05/2017;1;8;25;Muy buena / Oso ona;9;112;128;Mejorable / Hobetzeko modukoa;248;41;964,2;461,3;25,8;2,69;Mejorable / Hobetzeko modukoa
24/05/2017;2;9;24;Muy buena / Oso ona;12;70;101;Mejorable / Hobetzeko modukoa;133;74;969,5;474,6;18,7;4,73;Mejorable / Hobetzeko modukoa
23/05/2017;1;8;21;Muy buena / Oso ona;9;58;69;Buena / Ona;29;85;973,4;384,7;12,5;1,41;Buena / Ona
22/05/2017;1;5;15;Muy buena / Oso ona;6;78;87;Buena / Ona;320;76;968,5;427,1;15,3;4,3;Buena / Ona
21/05/2017;0;6;13;Muy buena / Oso ona;6;82;93;Buena / Ona;183;44;965,8;288,3;21,4;8,64;Buena / Ona
20/05/2017;0;5;12;Muy buena / Oso ona;5;63;78;Buena / Ona;354;76;973,8;351,1;11,3;1,03;Buena / Ona
19/05/2017;0;5;13;Muy buena / Oso ona;5;75;81;Buena / Ona;309;74;971,5;276,3;10;6,77;Buena / Ona
18/05/2017;0;3;7;Muy buena / Oso ona;3;76;77;Buena / Ona;322;89;968,4;209,5;9,6;8,62;Buena / Ona
17/05/2017;2;21;58;Buena / Ona;24;67;;Sin datos / Daturik gabe;322;76;969;50,8;14,5;3,62;Buena / Ona
16/05/2017;2;19;71;Buena / Ona;21;82;103;Mejorable / Hobetzeko modukoa;58;48;974,3;340,1;20,5;1,34;Mejorable / Hobetzeko modukoa
15/05/2017;1;6;13;Muy buena / Oso ona;7;83;103;Mejorable / Hobetzeko modukoa;219;46;975,9;354;19,8;2,18;Mejorable / Hobetzeko modukoa
14/05/2017;1;9;30;Muy buena / Oso ona;10;66;74;Buena / Ona;168;55;972,9;415,9;17,2;1,92;Buena / Ona
13/05/2017;1;7;23;Muy buena / Oso ona;7;68;80;Buena / Ona;309;70;964,8;365,1;13,9;0,97;Buena / Ona
12/05/2017;0;4;9;Muy buena / Oso ona;4;79;90;Buena / Ona;252;64;953,9;146;14,5;9,63;Buena / Ona
11/05/2017;0;3;7;Muy buena / Oso ona;3;90;95;Buena / Ona;244;57;946,2;173,3;15,3;12,94;Buena / Ona
10/05/2017;1;11;32;Muy buena / Oso ona;12;86;94;Buena / Ona;236;66;950,4;390,2;15,8;3,62;Buena / Ona
09/05/2017;1;11;31;Muy buena / Oso ona;13;77;89;Buena / Ona;134;76;959,3;246,7;13,8;3,06;Buena / Ona
08/05/2017;2;8;25;Muy buena / Oso ona;12;69;71;Buena / Ona;119;56;969,7;325,6;13,1;3,32;Buena / Ona
07/05/2017;0;4;13;Muy buena / Oso ona;5;74;86;Buena / Ona;107;51;972,4;415,8;14;2,48;Buena / Ona
06/05/2017;0;4;9;Muy buena / Oso ona;5;77;80;Buena / Ona;278;60;966,4;467,2;12,5;1,78;Buena / Ona
05/05/2017;0;9;28;Muy buena / Oso ona;9;84;91;Buena / Ona;185;66;956,5;139,7;16,4;4,03;Buena / Ona
04/05/2017;1;11;31;Muy buena / Oso ona;13;68;81;Buena / Ona;125;79;961;244,3;13,5;5,05;Buena / Ona
