Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
24/04/2017;15;33;51;Buena / Ona;57;25;Muy buena / Oso ona;Buena / Ona
23/04/2017;4;26;44;Muy buena / Oso ona;32;20;Muy buena / Oso ona;Muy buena / Oso ona
22/04/2017;4;25;58;Buena / Ona;32;19;Muy buena / Oso ona;Buena / Ona
21/04/2017;10;30;50;Muy buena / Oso ona;46;22;Muy buena / Oso ona;Muy buena / Oso ona
20/04/2017;8;21;38;Muy buena / Oso ona;33;22;Muy buena / Oso ona;Muy buena / Oso ona
19/04/2017;8;21;41;Muy buena / Oso ona;33;14;Muy buena / Oso ona;Muy buena / Oso ona
18/04/2017;8;24;42;Muy buena / Oso ona;36;17;Muy buena / Oso ona;Muy buena / Oso ona
17/04/2017;3;10;31;Muy buena / Oso ona;16;16;Muy buena / Oso ona;Muy buena / Oso ona
16/04/2017;4;10;18;Muy buena / Oso ona;15;10;Muy buena / Oso ona;Muy buena / Oso ona
15/04/2017;4;16;30;Muy buena / Oso ona;22;15;Muy buena / Oso ona;Muy buena / Oso ona
14/04/2017;3;13;23;Muy buena / Oso ona;18;16;Muy buena / Oso ona;Muy buena / Oso ona
13/04/2017;6;18;31;Muy buena / Oso ona;27;18;Muy buena / Oso ona;Muy buena / Oso ona
12/04/2017;8;23;37;Muy buena / Oso ona;35;19;Muy buena / Oso ona;Muy buena / Oso ona
11/04/2017;;;;Sin datos / Daturik gabe;19;18;Muy buena / Oso ona;Muy buena / Oso ona
10/04/2017;11;26;43;Muy buena / Oso ona;35;23;Muy buena / Oso ona;Muy buena / Oso ona
09/04/2017;;;;Sin datos / Daturik gabe;31;18;Muy buena / Oso ona;Muy buena / Oso ona
08/04/2017;12;33;62;Buena / Ona;42;16;Muy buena / Oso ona;Buena / Ona
07/04/2017;10;29;56;Buena / Ona;44;22;Muy buena / Oso ona;Buena / Ona
06/04/2017;;;;Sin datos / Daturik gabe;39;19;Muy buena / Oso ona;Muy buena / Oso ona
05/04/2017;;;;Sin datos / Daturik gabe;27;12;Muy buena / Oso ona;Muy buena / Oso ona
04/04/2017;12;25;59;Buena / Ona;39;13;Muy buena / Oso ona;Buena / Ona
03/04/2017;13;23;35;Muy buena / Oso ona;41;15;Muy buena / Oso ona;Muy buena / Oso ona
02/04/2017;;;;Sin datos / Daturik gabe;15;11;Muy buena / Oso ona;Muy buena / Oso ona
01/04/2017;3;23;38;Muy buena / Oso ona;25;9;Muy buena / Oso ona;Muy buena / Oso ona
31/03/2017;7;28;88;Buena / Ona;38;16;Muy buena / Oso ona;Buena / Ona
30/03/2017;23;38;67;Buena / Ona;73;18;Muy buena / Oso ona;Buena / Ona
29/03/2017;20;34;70;Buena / Ona;65;27;Buena / Ona;Buena / Ona
28/03/2017;25;35;66;Buena / Ona;73;17;Muy buena / Oso ona;Buena / Ona
27/03/2017;4;28;63;Buena / Ona;34;13;Muy buena / Oso ona;Buena / Ona
26/03/2017;2;17;61;Buena / Ona;21;9;Muy buena / Oso ona;Buena / Ona
25/03/2017;3;28;42;Muy buena / Oso ona;33;8;Muy buena / Oso ona;Muy buena / Oso ona
24/03/2017;13;32;54;Buena / Ona;52;16;Muy buena / Oso ona;Buena / Ona
23/03/2017;10;29;64;Buena / Ona;44;10;Muy buena / Oso ona;Buena / Ona
22/03/2017;11;30;54;Buena / Ona;47;10;Muy buena / Oso ona;Buena / Ona
21/03/2017;10;29;51;Buena / Ona;43;14;Muy buena / Oso ona;Buena / Ona
20/03/2017;3;19;34;Muy buena / Oso ona;23;23;Muy buena / Oso ona;Muy buena / Oso ona
19/03/2017;4;13;20;Muy buena / Oso ona;19;15;Muy buena / Oso ona;Muy buena / Oso ona
18/03/2017;3;19;39;Muy buena / Oso ona;24;17;Muy buena / Oso ona;Muy buena / Oso ona
17/03/2017;13;25;61;Buena / Ona;46;25;Muy buena / Oso ona;Buena / Ona
16/03/2017;21;36;79;Buena / Ona;69;20;Muy buena / Oso ona;Buena / Ona
15/03/2017;16;35;62;Buena / Ona;60;51;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
14/03/2017;17;28;71;Buena / Ona;54;20;Muy buena / Oso ona;Buena / Ona
13/03/2017;7;20;52;Buena / Ona;31;14;Muy buena / Oso ona;Buena / Ona
12/03/2017;4;12;24;Muy buena / Oso ona;17;10;Muy buena / Oso ona;Muy buena / Oso ona
11/03/2017;17;27;45;Muy buena / Oso ona;53;50;Buena / Ona;Buena / Ona
10/03/2017;25;38;72;Buena / Ona;76;67;Mala / Txarra;Mala / Txarra
09/03/2017;16;29;65;Buena / Ona;54;33;Buena / Ona;Buena / Ona
08/03/2017;18;28;67;Buena / Ona;55;21;Muy buena / Oso ona;Buena / Ona
07/03/2017;30;44;74;Buena / Ona;90;41;Buena / Ona;Buena / Ona
06/03/2017;58;36;82;Buena / Ona;124;59;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
05/03/2017;13;28;45;Muy buena / Oso ona;49;18;Muy buena / Oso ona;Muy buena / Oso ona
04/03/2017;12;28;55;Buena / Ona;46;14;Muy buena / Oso ona;Buena / Ona
03/03/2017;7;25;55;Buena / Ona;36;37;Buena / Ona;Buena / Ona
02/03/2017;39;37;73;Buena / Ona;97;64;Mejorable / Hobetzeko modukoa;Mejorable / Hobetzeko modukoa
01/03/2017;38;41;72;Buena / Ona;99;38;Buena / Ona;Buena / Ona
28/02/2017;16;33;71;Buena / Ona;57;14;Muy buena / Oso ona;Buena / Ona
27/02/2017;23;28;67;Buena / Ona;63;25;Muy buena / Oso ona;Buena / Ona
26/02/2017;16;24;61;Buena / Ona;48;28;Buena / Ona;Buena / Ona
25/02/2017;13;26;60;Buena / Ona;45;24;Muy buena / Oso ona;Buena / Ona
24/02/2017;11;31;64;Buena / Ona;47;15;Muy buena / Oso ona;Buena / Ona
23/02/2017;34;32;57;Buena / Ona;84;42;Buena / Ona;Buena / Ona
22/02/2017;37;40;74;Buena / Ona;97;41;Buena / Ona;Buena / Ona
21/02/2017;28;35;70;Buena / Ona;78;26;Buena / Ona;Buena / Ona
20/02/2017;51;48;125;Mejorable / Hobetzeko modukoa;126;27;Buena / Ona;Mejorable / Hobetzeko modukoa
19/02/2017;9;27;56;Buena / Ona;41;24;Muy buena / Oso ona;Buena / Ona
18/02/2017;24;31;58;Buena / Ona;68;32;Buena / Ona;Buena / Ona
17/02/2017;45;39;87;Buena / Ona;108;38;Buena / Ona;Buena / Ona
16/02/2017;58;45;81;Buena / Ona;133;37;Buena / Ona;Buena / Ona
15/02/2017;35;43;85;Buena / Ona;97;27;Buena / Ona;Buena / Ona
14/02/2017;39;39;71;Buena / Ona;98;28;Buena / Ona;Buena / Ona
13/02/2017;13;31;83;Buena / Ona;50;34;Buena / Ona;Buena / Ona
12/02/2017;3;18;36;Muy buena / Oso ona;24;35;Buena / Ona;Buena / Ona
11/02/2017;30;39;68;Buena / Ona;84;27;Buena / Ona;Buena / Ona
10/02/2017;30;46;84;Buena / Ona;91;23;Muy buena / Oso ona;Buena / Ona
09/02/2017;20;36;58;Buena / Ona;65;19;Muy buena / Oso ona;Buena / Ona
08/02/2017;8;24;72;Buena / Ona;37;11;Muy buena / Oso ona;Buena / Ona
07/02/2017;41;44;80;Buena / Ona;106;17;Muy buena / Oso ona;Buena / Ona
06/02/2017;41;47;71;Buena / Ona;109;18;Muy buena / Oso ona;Buena / Ona
05/02/2017;3;11;33;Muy buena / Oso ona;16;9;Muy buena / Oso ona;Muy buena / Oso ona
04/02/2017;16;34;67;Buena / Ona;58;12;Muy buena / Oso ona;Buena / Ona
03/02/2017;7;25;53;Buena / Ona;35;17;Muy buena / Oso ona;Buena / Ona
02/02/2017;9;32;65;Buena / Ona;46;11;Muy buena / Oso ona;Buena / Ona
01/02/2017;36;46;90;Buena / Ona;100;29;Buena / Ona;Buena / Ona
31/01/2017;41;37;83;Buena / Ona;99;20;Muy buena / Oso ona;Buena / Ona
30/01/2017;69;45;76;Buena / Ona;151;26;Buena / Ona;Buena / Ona
29/01/2017;19;27;50;Muy buena / Oso ona;55;17;Muy buena / Oso ona;Muy buena / Oso ona
28/01/2017;24;33;58;Buena / Ona;70;16;Muy buena / Oso ona;Buena / Ona
27/01/2017;17;40;73;Buena / Ona;66;26;Buena / Ona;Buena / Ona
