Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
03/07/2017;0,19;0,24;Muy buena / Oso ona;15;19;28;Muy buena / Oso ona;41;18;34;Muy buena / Oso ona;12;Muy buena / Oso ona;7;Muy buena / Oso ona;63;71;1003,2;19,6;1,03;Muy buena / Oso ona
02/07/2017;0,14;0,16;Muy buena / Oso ona;4;10;24;Muy buena / Oso ona;16;31;51;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;31;73;1007,5;17;0,63;Muy buena / Oso ona
01/07/2017;0,13;0,15;Muy buena / Oso ona;3;7;16;Muy buena / Oso ona;11;35;44;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;279;80;1005,9;14,3;0,75;Muy buena / Oso ona
30/06/2017;0,12;;Sin datos / Daturik gabe;3;10;25;Muy buena / Oso ona;15;35;55;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;293;81;997,8;13,9;1,27;Muy buena / Oso ona
29/06/2017;;;Sin datos / Daturik gabe;9;20;44;Muy buena / Oso ona;34;31;57;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;262;66;990,9;16;0,85;Muy buena / Oso ona
28/06/2017;0,15;0,21;Muy buena / Oso ona;5;11;29;Muy buena / Oso ona;19;40;57;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;311;68;986,7;18,9;1,2;Muy buena / Oso ona
27/06/2017;0,23;0,25;Muy buena / Oso ona;14;25;38;Muy buena / Oso ona;47;15;27;Muy buena / Oso ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;56;80;989,5;19,5;0,66;Muy buena / Oso ona
26/06/2017;0,24;0,26;Muy buena / Oso ona;10;23;33;Muy buena / Oso ona;38;23;45;Muy buena / Oso ona;20;Muy buena / Oso ona;4;Muy buena / Oso ona;57;77;990,7;21,5;0,65;Muy buena / Oso ona
25/06/2017;0,19;0,23;Muy buena / Oso ona;6;15;31;Muy buena / Oso ona;23;23;45;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;35;79;997,1;19,4;0,52;Muy buena / Oso ona
24/06/2017;0,2;0,22;Muy buena / Oso ona;4;13;36;Muy buena / Oso ona;20;30;38;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;45;82;1002,1;19;0,6;Muy buena / Oso ona
23/06/2017;0,23;0,25;Muy buena / Oso ona;8;25;42;Muy buena / Oso ona;37;31;41;Muy buena / Oso ona;26;Buena / Ona;7;Muy buena / Oso ona;71;79;1003,4;19,6;1,17;Buena / Ona
22/06/2017;0,32;0,4;Muy buena / Oso ona;7;31;39;Muy buena / Oso ona;41;37;87;Buena / Ona;34;Buena / Ona;4;Muy buena / Oso ona;72;85;998,9;20,1;2,38;Buena / Ona
21/06/2017;0,31;0,36;Muy buena / Oso ona;6;33;56;Buena / Ona;42;73;124;Mejorable / Hobetzeko modukoa;30;Buena / Ona;5;Muy buena / Oso ona;21;54;994,3;28,8;0,54;Mejorable / Hobetzeko modukoa
20/06/2017;0,31;0,36;Muy buena / Oso ona;4;27;63;Buena / Ona;33;61;100;Buena / Ona;22;Muy buena / Oso ona;6;Muy buena / Oso ona;352;57;995,8;26,3;0,37;Buena / Ona
19/06/2017;0,23;0,27;Muy buena / Oso ona;5;23;53;Buena / Ona;31;75;109;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;4;Muy buena / Oso ona;284;56;994;27,2;0,83;Mejorable / Hobetzeko modukoa
18/06/2017;0,21;0,25;Muy buena / Oso ona;3;14;32;Muy buena / Oso ona;19;65;106;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;6;Muy buena / Oso ona;55;63;994,1;24,4;0,97;Mejorable / Hobetzeko modukoa
17/06/2017;0,18;0,21;Muy buena / Oso ona;5;18;37;Muy buena / Oso ona;26;43;66;Buena / Ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;61;67;1000,4;22,1;0,8;Buena / Ona
16/06/2017;0,21;0,23;Muy buena / Oso ona;8;20;31;Muy buena / Oso ona;31;35;44;Muy buena / Oso ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;62;79;1004,2;19,2;1,39;Muy buena / Oso ona
15/06/2017;0,27;0,34;Muy buena / Oso ona;9;27;46;Muy buena / Oso ona;40;32;38;Muy buena / Oso ona;23;Muy buena / Oso ona;5;Muy buena / Oso ona;68;89;1001,7;17,5;2,02;Muy buena / Oso ona
14/06/2017;0,27;0,33;Muy buena / Oso ona;10;29;41;Muy buena / Oso ona;44;34;56;Muy buena / Oso ona;36;Buena / Ona;7;Muy buena / Oso ona;70;79;994,7;20,8;2,78;Buena / Ona
13/06/2017;0,23;0,27;Muy buena / Oso ona;11;26;48;Muy buena / Oso ona;42;25;37;Muy buena / Oso ona;24;Muy buena / Oso ona;10;Muy buena / Oso ona;66;74;994,5;20,5;1,14;Muy buena / Oso ona
12/06/2017;0,18;0,19;Muy buena / Oso ona;8;16;29;Muy buena / Oso ona;27;26;33;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;67;81;999,4;18,7;1,2;Muy buena / Oso ona
11/06/2017;0,22;0,25;Muy buena / Oso ona;4;16;23;Muy buena / Oso ona;22;40;55;Muy buena / Oso ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona;65;76;999,4;19,9;1,67;Muy buena / Oso ona
10/06/2017;0,22;0,26;Muy buena / Oso ona;7;21;30;Muy buena / Oso ona;32;35;62;Buena / Ona;24;Muy buena / Oso ona;7;Muy buena / Oso ona;66;73;997,3;21,1;1,81;Buena / Ona
09/06/2017;0,18;0,25;Muy buena / Oso ona;8;22;44;Muy buena / Oso ona;35;25;44;Muy buena / Oso ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;50;74;997;18,5;0,83;Muy buena / Oso ona
08/06/2017;0,2;0,24;Muy buena / Oso ona;9;27;51;Buena / Ona;40;42;67;Buena / Ona;20;Muy buena / Oso ona;5;Muy buena / Oso ona;63;64;993,6;21,3;0,63;Buena / Ona
07/06/2017;0,19;0,22;Muy buena / Oso ona;11;27;49;Muy buena / Oso ona;44;35;66;Buena / Ona;17;Muy buena / Oso ona;6;Muy buena / Oso ona;47;61;1000,2;19;0,71;Buena / Ona
06/06/2017;0,14;;Sin datos / Daturik gabe;7;17;39;Muy buena / Oso ona;28;44;56;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;343;70;999,1;15,7;0,63;Muy buena / Oso ona
05/06/2017;0,14;0,17;Muy buena / Oso ona;6;14;41;Muy buena / Oso ona;22;39;55;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;322;64;995,3;18,6;0,2;Muy buena / Oso ona
04/06/2017;0,12;;Sin datos / Daturik gabe;2;10;19;Muy buena / Oso ona;14;33;43;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;325;88;1000,9;13,2;0,37;Muy buena / Oso ona
03/06/2017;;;Sin datos / Daturik gabe;2;8;24;Muy buena / Oso ona;11;37;46;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;314;85;1000,2;15,4;0,64;Muy buena / Oso ona
02/06/2017;0,26;0,28;Muy buena / Oso ona;7;30;49;Muy buena / Oso ona;41;30;;Sin datos / Daturik gabe;22;Muy buena / Oso ona;5;Muy buena / Oso ona;64;86;998,3;17,7;1,38;Muy buena / Oso ona
01/06/2017;0,25;0,28;Muy buena / Oso ona;13;30;45;Muy buena / Oso ona;50;37;74;Buena / Ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;67;70;997,5;21,5;1,44;Buena / Ona
31/05/2017;0,21;;Sin datos / Daturik gabe;5;19;50;Muy buena / Oso ona;28;40;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;5;Muy buena / Oso ona;58;71;999;20,2;0,87;Muy buena / Oso ona
30/05/2017;0,22;0,25;Muy buena / Oso ona;9;22;46;Muy buena / Oso ona;36;33;46;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;55;84;999,2;16,8;0,85;Muy buena / Oso ona
29/05/2017;0,28;0,35;Muy buena / Oso ona;8;25;40;Muy buena / Oso ona;38;36;49;Muy buena / Oso ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona;67;85;995,5;17,9;1,34;Muy buena / Oso ona
28/05/2017;0,28;0,36;Muy buena / Oso ona;7;31;66;Buena / Ona;42;42;72;Buena / Ona;22;Muy buena / Oso ona;10;Muy buena / Oso ona;98;62;993,3;22,5;1,03;Buena / Ona
27/05/2017;0,25;0,28;Muy buena / Oso ona;5;21;65;Buena / Ona;28;45;62;Buena / Ona;24;Muy buena / Oso ona;6;Muy buena / Oso ona;334;65;993,2;23,2;0,29;Buena / Ona
26/05/2017;0,23;0,3;Muy buena / Oso ona;5;24;51;Buena / Ona;31;57;;Sin datos / Daturik gabe;21;Muy buena / Oso ona;5;Muy buena / Oso ona;50;71;992,4;21,3;0,86;Buena / Ona
25/05/2017;0,24;0,27;Muy buena / Oso ona;9;31;57;Buena / Ona;46;64;104;Mejorable / Hobetzeko modukoa;24;Muy buena / Oso ona;6;Muy buena / Oso ona;49;55;992,6;26,1;0,46;Mejorable / Hobetzeko modukoa
24/05/2017;0,22;0,25;Muy buena / Oso ona;8;25;47;Muy buena / Oso ona;37;48;84;Buena / Ona;20;Muy buena / Oso ona;7;Muy buena / Oso ona;67;64;998,2;21,9;1,09;Buena / Ona
23/05/2017;0,18;0,23;Muy buena / Oso ona;10;25;55;Buena / Ona;41;39;56;Muy buena / Oso ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;73;67;1002,6;17,4;1,57;Buena / Ona
22/05/2017;0,22;0,34;Muy buena / Oso ona;10;27;57;Buena / Ona;42;50;66;Buena / Ona;26;Buena / Ona;7;Muy buena / Oso ona;72;66;997,3;18,5;2,77;Buena / Ona
21/05/2017;0,15;0,15;Muy buena / Oso ona;3;11;17;Muy buena / Oso ona;16;49;73;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;271;54;995,2;20,9;0,54;Buena / Ona
20/05/2017;0,16;0,18;Muy buena / Oso ona;6;19;44;Muy buena / Oso ona;29;36;58;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;56;67;1003,6;14,2;0,83;Muy buena / Oso ona
19/05/2017;0,15;0,16;Muy buena / Oso ona;9;18;44;Muy buena / Oso ona;31;37;64;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;341;69;1001,6;11,9;0,75;Buena / Ona
18/05/2017;0,15;0,21;Muy buena / Oso ona;3;8;26;Muy buena / Oso ona;13;51;62;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;286;76;998,6;13;1,15;Buena / Ona
17/05/2017;0,26;0,34;Muy buena / Oso ona;9;40;58;Buena / Ona;53;26;49;Muy buena / Oso ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;62;77;998,6;16,4;1,13;Buena / Ona
16/05/2017;0,24;0,26;Muy buena / Oso ona;8;36;65;Buena / Ona;48;51;89;Buena / Ona;21;Muy buena / Oso ona;10;Muy buena / Oso ona;70;56;1003,1;21,9;1,09;Buena / Ona
15/05/2017;0,22;0,25;Muy buena / Oso ona;9;30;56;Buena / Ona;43;42;69;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;54;57;1005;20,3;0,48;Buena / Ona
14/05/2017;0,16;;Sin datos / Daturik gabe;3;11;29;Muy buena / Oso ona;15;49;69;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;275;55;1002,1;19,4;0,21;Buena / Ona
13/05/2017;0,17;;Sin datos / Daturik gabe;4;14;27;Muy buena / Oso ona;20;45;70;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;335;65;994,1;17,4;0,16;Buena / Ona
12/05/2017;0,17;0,23;Muy buena / Oso ona;6;16;29;Muy buena / Oso ona;25;55;75;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;249;59;984;17,4;1,48;Buena / Ona
11/05/2017;0,15;0,22;Muy buena / Oso ona;6;14;22;Muy buena / Oso ona;23;64;71;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;261;53;976,3;18,1;1,38;Buena / Ona
10/05/2017;0,21;0,25;Muy buena / Oso ona;9;35;56;Buena / Ona;49;47;65;Buena / Ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;131;61;979,5;19,1;0,32;Buena / Ona
09/05/2017;0,22;0,25;Muy buena / Oso ona;12;35;57;Buena / Ona;54;33;59;Muy buena / Oso ona;24;Muy buena / Oso ona;9;Muy buena / Oso ona;56;68;988,6;15,7;0,59;Buena / Ona
08/05/2017;0,18;0,21;Muy buena / Oso ona;11;27;50;Muy buena / Oso ona;43;36;59;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;57;59;999,1;15,1;1,07;Muy buena / Oso ona
07/05/2017;0,18;0,21;Muy buena / Oso ona;5;15;26;Muy buena / Oso ona;23;47;67;Buena / Ona;8;Muy buena / Oso ona;8;Muy buena / Oso ona;57;58;1001,7;16,3;0,99;Buena / Ona
06/05/2017;0,16;0,2;Muy buena / Oso ona;4;12;21;Muy buena / Oso ona;18;54;69;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;357;58;995,9;15,8;0,61;Buena / Ona
05/05/2017;0,19;0,23;Muy buena / Oso ona;7;23;43;Muy buena / Oso ona;33;51;72;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;164;67;985,9;18,1;1,03;Buena / Ona
04/05/2017;0,22;;Sin datos / Daturik gabe;8;26;40;Muy buena / Oso ona;37;43;63;Buena / Ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;73;67;990,2;17,4;1,29;Buena / Ona
03/05/2017;0,22;0,28;Muy buena / Oso ona;13;20;39;Muy buena / Oso ona;40;35;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;8;Muy buena / Oso ona;56;71;995,7;15;1,08;Muy buena / Oso ona
02/05/2017;0,21;0,23;Muy buena / Oso ona;8;23;36;Muy buena / Oso ona;36;31;53;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;37;75;1000,2;13,3;0,8;Muy buena / Oso ona
01/05/2017;0,17;0,24;Muy buena / Oso ona;4;15;34;Muy buena / Oso ona;21;40;69;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;43;67;999,1;10,5;0,62;Buena / Ona
30/04/2017;0,21;;Sin datos / Daturik gabe;3;8;14;Muy buena / Oso ona;12;65;83;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;241;66;987,6;11,5;1,24;Buena / Ona
29/04/2017;0,17;0,23;Muy buena / Oso ona;5;13;27;Muy buena / Oso ona;20;57;78;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;172;55;988,8;14;1,37;Buena / Ona
28/04/2017;0,21;0,25;Muy buena / Oso ona;7;21;36;Muy buena / Oso ona;31;45;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;6;Muy buena / Oso ona;57;64;998,4;8,6;0,58;Muy buena / Oso ona
27/04/2017;0,22;;Sin datos / Daturik gabe;10;24;42;Muy buena / Oso ona;39;45;72;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;357;70;999,1;6,5;0,48;Buena / Ona
26/04/2017;0,17;0,23;Muy buena / Oso ona;5;15;35;Muy buena / Oso ona;22;55;66;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;322;81;995,3;7,1;0,56;Buena / Ona
25/04/2017;0,25;0,29;Muy buena / Oso ona;8;26;44;Muy buena / Oso ona;38;42;62;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;288;81;990;12;0,32;Buena / Ona
24/04/2017;0,24;0,29;Muy buena / Oso ona;9;38;61;Buena / Ona;51;47;79;Buena / Ona;23;Muy buena / Oso ona;13;Muy buena / Oso ona;73;60;993,2;15,6;1,38;Buena / Ona
23/04/2017;0,2;0,22;Muy buena / Oso ona;4;20;41;Muy buena / Oso ona;26;74;110;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;9;Muy buena / Oso ona;54;52;997,3;15,9;0,89;Mejorable / Hobetzeko modukoa
22/04/2017;0,19;0,23;Muy buena / Oso ona;3;17;65;Buena / Ona;22;91;111;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;8;Muy buena / Oso ona;317;36;1000,2;18,5;0,61;Mejorable / Hobetzeko modukoa
21/04/2017;0,21;0,26;Muy buena / Oso ona;9;30;57;Buena / Ona;43;60;100;Buena / Ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;64;49;1003,3;14,5;0,28;Buena / Ona
20/04/2017;0,2;0,25;Muy buena / Oso ona;13;39;91;Buena / Ona;60;51;88;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;69;51;1004,6;10,6;0,99;Buena / Ona
19/04/2017;;;Sin datos / Daturik gabe;22;44;122;Mejorable / Hobetzeko modukoa;77;59;96;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;60;51;1003,7;11;0,87;Mejorable / Hobetzeko modukoa
18/04/2017;0,16;0,19;Muy buena / Oso ona;7;20;52;Buena / Ona;31;50;80;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;31;69;1001,9;12,4;0,6;Buena / Ona
17/04/2017;0,16;;Sin datos / Daturik gabe;4;16;33;Muy buena / Oso ona;23;47;69;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;60;67;1000,3;13,7;1;Buena / Ona
16/04/2017;0,17;0,21;Muy buena / Oso ona;4;13;26;Muy buena / Oso ona;19;50;69;Buena / Ona;11;Muy buena / Oso ona;8;Muy buena / Oso ona;58;70;1003,8;13,2;1,2;Buena / Ona
15/04/2017;0,18;0,22;Muy buena / Oso ona;2;11;22;Muy buena / Oso ona;15;61;85;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;325;69;1003,6;13,9;0,73;Buena / Ona
14/04/2017;0,2;0,23;Muy buena / Oso ona;4;22;35;Muy buena / Oso ona;28;48;73;Buena / Ona;26;Buena / Ona;9;Muy buena / Oso ona;53;76;1000,6;12,3;0,77;Buena / Ona
13/04/2017;0,17;0,22;Muy buena / Oso ona;5;25;49;Muy buena / Oso ona;32;49;86;Buena / Ona;21;Muy buena / Oso ona;8;Muy buena / Oso ona;64;67;998,2;13,9;1,13;Buena / Ona
12/04/2017;0,19;0,23;Muy buena / Oso ona;5;23;37;Muy buena / Oso ona;31;55;81;Buena / Ona;24;Muy buena / Oso ona;6;Muy buena / Oso ona;56;68;1000,7;14,2;1,05;Buena / Ona
11/04/2017;0,21;;Sin datos / Daturik gabe;5;19;35;Muy buena / Oso ona;27;73;82;Buena / Ona;24;Muy buena / Oso ona;10;Muy buena / Oso ona;47;66;1004,9;14,2;0,91;Buena / Ona
10/04/2017;0,33;0,44;Muy buena / Oso ona;13;39;57;Buena / Ona;58;44;77;Buena / Ona;66;Mala / Txarra;16;Muy buena / Oso ona;67;77;1004,6;13,6;1,64;Mala / Txarra
09/04/2017;0,24;0,3;Muy buena / Oso ona;5;28;61;Buena / Ona;35;58;100;Buena / Ona;28;Buena / Ona;10;Muy buena / Oso ona;58;58;1000,2;17;0,37;Buena / Ona
08/04/2017;0,22;0,27;Muy buena / Oso ona;7;24;53;Buena / Ona;35;59;102;Mejorable / Hobetzeko modukoa;27;Buena / Ona;6;Muy buena / Oso ona;318;54;997,4;17,9;0,27;Mejorable / Hobetzeko modukoa
07/04/2017;0,21;0,24;Muy buena / Oso ona;10;30;49;Muy buena / Oso ona;44;43;75;Buena / Ona;35;Buena / Ona;8;Muy buena / Oso ona;58;71;1000,2;12,8;0,83;Buena / Ona
06/04/2017;0,2;0,27;Muy buena / Oso ona;11;24;56;Buena / Ona;41;52;80;Buena / Ona;35;Buena / Ona;5;Muy buena / Oso ona;340;71;1004,7;12,7;0,55;Buena / Ona
05/04/2017;0,17;0,21;Muy buena / Oso ona;6;16;53;Buena / Ona;26;61;71;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;308;77;1006,5;11,8;0,67;Buena / Ona
04/04/2017;;0,17;Muy buena / Oso ona;4;13;38;Muy buena / Oso ona;20;64;82;Buena / Ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;288;71;1007,1;12,4;0,85;Buena / Ona
03/04/2017;0,2;0,23;Muy buena / Oso ona;11;24;43;Muy buena / Oso ona;42;43;69;Buena / Ona;22;Muy buena / Oso ona;8;Muy buena / Oso ona;50;69;1004,4;12;0,23;Buena / Ona
02/04/2017;0,16;;Sin datos / Daturik gabe;2;8;18;Muy buena / Oso ona;12;64;87;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;304;76;1004,1;10;0,75;Buena / Ona
01/04/2017;0,16;0,21;Muy buena / Oso ona;3;8;23;Muy buena / Oso ona;12;63;87;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;291;76;1000,4;11,1;1,44;Buena / Ona
31/03/2017;0,17;0,23;Muy buena / Oso ona;8;26;75;Buena / Ona;38;54;80;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;287;65;997,2;15,5;0,19;Buena / Ona
30/03/2017;0,2;0,27;Muy buena / Oso ona;11;28;67;Buena / Ona;44;60;85;Buena / Ona;19;Muy buena / Oso ona;6;Muy buena / Oso ona;207;49;998,9;18,8;0,8;Buena / Ona
29/03/2017;0,19;0,27;Muy buena / Oso ona;13;29;68;Buena / Ona;49;41;78;Buena / Ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;267;56;1003,3;16,2;0,55;Buena / Ona
28/03/2017;0,24;0,32;Muy buena / Oso ona;10;23;57;Buena / Ona;38;52;86;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;261;57;1004;14,4;0,77;Buena / Ona
27/03/2017;0,19;0,22;Muy buena / Oso ona;8;22;48;Muy buena / Oso ona;34;64;89;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;212;53;995,6;14,7;0,94;Buena / Ona
26/03/2017;0,14;0,24;Muy buena / Oso ona;3;9;14;Muy buena / Oso ona;14;74;88;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;151;58;992,4;12,9;1,39;Buena / Ona
25/03/2017;0,22;0,24;Muy buena / Oso ona;4;15;41;Muy buena / Oso ona;22;58;66;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;284;86;992,1;7;0,83;Buena / Ona
24/03/2017;0,19;0,28;Muy buena / Oso ona;13;30;61;Buena / Ona;50;45;73;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;33;61;994,5;8,1;0,57;Buena / Ona
23/03/2017;0,19;0,23;Muy buena / Oso ona;10;26;51;Buena / Ona;41;48;79;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;249;62;988,8;6,7;1,02;Buena / Ona
22/03/2017;0,23;0,26;Muy buena / Oso ona;10;28;54;Buena / Ona;43;44;61;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;27;76;989,9;7,5;0,28;Buena / Ona
21/03/2017;0,22;0,3;Muy buena / Oso ona;3;15;30;Muy buena / Oso ona;19;52;82;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;297;79;997,7;9,7;0,93;Buena / Ona
20/03/2017;0,24;0,3;Muy buena / Oso ona;9;26;50;Muy buena / Oso ona;41;47;64;Buena / Ona;24;Muy buena / Oso ona;9;Muy buena / Oso ona;71;72;997,9;10,8;0,51;Buena / Ona
19/03/2017;0,17;0,22;Muy buena / Oso ona;4;17;28;Muy buena / Oso ona;24;47;66;Buena / Ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;62;75;1000,9;10,2;1,53;Buena / Ona
18/03/2017;0,19;0,22;Muy buena / Oso ona;4;17;32;Muy buena / Oso ona;23;55;64;Buena / Ona;22;Muy buena / Oso ona;9;Muy buena / Oso ona;58;68;1004,5;11,8;0,89;Buena / Ona
17/03/2017;0,24;0,3;Muy buena / Oso ona;10;36;51;Buena / Ona;52;41;58;Muy buena / Oso ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;68;72;1003,4;11,8;1,6;Buena / Ona
16/03/2017;0,2;0,25;Muy buena / Oso ona;8;25;50;Muy buena / Oso ona;37;53;83;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;278;49;1000;16,8;1,14;Buena / Ona
15/03/2017;0,22;0,3;Muy buena / Oso ona;6;23;47;Muy buena / Oso ona;33;38;61;Buena / Ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;59;75;1007;12,8;0,63;Buena / Ona
14/03/2017;0,24;0,3;Muy buena / Oso ona;11;24;52;Buena / Ona;42;37;55;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;3;78;1012,2;12,1;0,29;Buena / Ona
13/03/2017;0,17;0,21;Muy buena / Oso ona;6;15;31;Muy buena / Oso ona;24;64;79;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;335;80;1008,2;10,1;0,98;Buena / Ona
12/03/2017;0,17;0,2;Muy buena / Oso ona;2;4;15;Muy buena / Oso ona;7;73;77;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;289;76;1001;10,8;1,63;Buena / Ona
11/03/2017;0,22;0,33;Muy buena / Oso ona;9;26;50;Muy buena / Oso ona;39;49;76;Buena / Ona;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;8;63;997,3;15,2;0,65;Buena / Ona
10/03/2017;0,27;0,34;Muy buena / Oso ona;29;46;61;Buena / Ona;90;26;61;Buena / Ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;34;61;1000,2;16,4;0,25;Buena / Ona
09/03/2017;0,24;0,27;Muy buena / Oso ona;19;34;70;Buena / Ona;64;17;42;Muy buena / Oso ona;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;64;76;1005,4;13,8;0,56;Buena / Ona
08/03/2017;0,19;0,25;Muy buena / Oso ona;11;22;40;Muy buena / Oso ona;40;34;47;Muy buena / Oso ona;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;67;73;1007,4;14,4;1,37;Muy buena / Oso ona
07/03/2017;0,22;0,24;Muy buena / Oso ona;7;22;42;Muy buena / Oso ona;33;37;62;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;295;77;1006,5;12,2;0,99;Buena / Ona
06/03/2017;0,19;0,31;Muy buena / Oso ona;5;14;37;Muy buena / Oso ona;22;58;79;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;298;67;1001,7;13,9;1,61;Buena / Ona
05/03/2017;0,21;0,33;Muy buena / Oso ona;3;15;34;Muy buena / Oso ona;20;48;70;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;335;69;993,7;12,5;0,39;Buena / Ona
04/03/2017;0,21;0,3;Muy buena / Oso ona;3;15;30;Muy buena / Oso ona;20;48;77;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;299;68;985;7,7;0,91;Buena / Ona
