Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
21/01/2017;85;92;Buena / Ona;257;54;960,1;0;6;1,42;Buena / Ona
20/01/2017;56;66;Buena / Ona;105;73;961,7;0;3;1,79;Buena / Ona
19/01/2017;57;60;Muy buena / Oso ona;91;90;963,3;0;;1,23;Muy buena / Oso ona
18/01/2017;48;61;Buena / Ona;57;94;963,6;0;;2,12;Buena / Ona
17/01/2017;61;67;Buena / Ona;38;85;964,7;0,4;;6,97;Buena / Ona
16/01/2017;76;89;Buena / Ona;331;100;964;18,6;6,5;9,64;Buena / Ona
15/01/2017;84;88;Buena / Ona;321;100;966,7;21,7;4,9;9,16;Buena / Ona
14/01/2017;79;83;Buena / Ona;322;97;965,6;8,4;2,9;5,73;Buena / Ona
13/01/2017;85;89;Buena / Ona;303;93;961,5;2,1;4,1;11,21;Buena / Ona
12/01/2017;60;76;Buena / Ona;270;99;960,4;4,1;8,5;8,46;Buena / Ona
11/01/2017;73;83;Buena / Ona;294;100;963,3;17,4;9;8,78;Buena / Ona
10/01/2017;78;83;Buena / Ona;299;98;959;19,2;6,7;9,9;Buena / Ona
09/01/2017;66;72;Buena / Ona;58;81;967,5;0;5,6;1,44;Buena / Ona
08/01/2017;73;87;Buena / Ona;34;58;971;0;4;3,4;Buena / Ona
07/01/2017;65;74;Buena / Ona;8;59;970,9;0;2,7;0,75;Buena / Ona
06/01/2017;62;68;Buena / Ona;87;75;969,9;0;1,7;3,62;Buena / Ona
05/01/2017;75;83;Buena / Ona;74;72;968,7;0;2,3;5,6;Buena / Ona
04/01/2017;63;79;Buena / Ona;17;53;966,4;0;5,3;0,79;Buena / Ona
03/01/2017;63;76;Buena / Ona;79;47;963,7;0;6,8;2,62;Buena / Ona
02/01/2017;65;70;Buena / Ona;145;42;959,7;0;7,5;3,65;Buena / Ona
01/01/2017;61;73;Buena / Ona;203;68;962;0;5,5;1,2;Buena / Ona
