Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Tº (ºC);V.vien (m/s);ICA Estación
07/06/2017;0,22;0,25;Muy buena / Oso ona;7;25;52;Buena / Ona;36;31;Buena / Ona;5;Muy buena / Oso ona;93;62;19,7;0,17;Buena / Ona
06/06/2017;0,19;0,26;Muy buena / Oso ona;3;12;20;Muy buena / Oso ona;15;22;Muy buena / Oso ona;5;Muy buena / Oso ona;310;70;16,5;2,2;Muy buena / Oso ona
05/06/2017;0,17;0,21;Muy buena / Oso ona;5;20;33;Muy buena / Oso ona;28;16;Muy buena / Oso ona;5;Muy buena / Oso ona;172;67;18,6;0,11;Muy buena / Oso ona
04/06/2017;0,17;0,2;Muy buena / Oso ona;2;17;34;Muy buena / Oso ona;21;12;Muy buena / Oso ona;4;Muy buena / Oso ona;322;89;14;0,38;Muy buena / Oso ona
03/06/2017;0,25;0,37;Muy buena / Oso ona;4;21;41;Muy buena / Oso ona;26;22;Muy buena / Oso ona;4;Muy buena / Oso ona;310;88;15,6;0,45;Muy buena / Oso ona
02/06/2017;0,26;0,31;Muy buena / Oso ona;3;20;37;Muy buena / Oso ona;24;22;Muy buena / Oso ona;3;Muy buena / Oso ona;329;90;17,6;1,02;Muy buena / Oso ona
01/06/2017;0,28;0,39;Muy buena / Oso ona;10;24;35;Muy buena / Oso ona;38;28;Buena / Ona;5;Muy buena / Oso ona;346;77;20,9;0,77;Buena / Ona
31/05/2017;0,24;0,41;Muy buena / Oso ona;7;21;41;Muy buena / Oso ona;31;19;Muy buena / Oso ona;4;Muy buena / Oso ona;326;73;20,2;0,89;Muy buena / Oso ona
30/05/2017;0,2;0,28;Muy buena / Oso ona;2;15;33;Muy buena / Oso ona;18;10;Muy buena / Oso ona;2;Muy buena / Oso ona;316;81;17,8;1;Muy buena / Oso ona
29/05/2017;0,18;0,25;Muy buena / Oso ona;2;15;25;Muy buena / Oso ona;18;13;Muy buena / Oso ona;3;Muy buena / Oso ona;333;90;17,2;1,09;Muy buena / Oso ona
28/05/2017;0,26;0,3;Muy buena / Oso ona;3;18;42;Muy buena / Oso ona;23;27;Buena / Ona;5;Muy buena / Oso ona;341;83;18,9;1,01;Buena / Ona
27/05/2017;0,3;0,43;Muy buena / Oso ona;4;29;57;Buena / Ona;35;29;Buena / Ona;5;Muy buena / Oso ona;16;76;20,7;0,6;Buena / Ona
26/05/2017;0,3;0,35;Muy buena / Oso ona;5;29;59;Buena / Ona;37;29;Buena / Ona;7;Muy buena / Oso ona;76;68;21,5;0,42;Buena / Ona
25/05/2017;0,29;0,33;Muy buena / Oso ona;7;39;65;Buena / Ona;49;32;Buena / Ona;7;Muy buena / Oso ona;115;56;26;0,61;Buena / Ona
24/05/2017;0,26;0,29;Muy buena / Oso ona;6;30;53;Buena / Ona;38;26;Buena / Ona;5;Muy buena / Oso ona;33;66;21,8;0,2;Buena / Ona
23/05/2017;0,22;0,28;Muy buena / Oso ona;3;16;49;Muy buena / Oso ona;20;21;Muy buena / Oso ona;7;Muy buena / Oso ona;320;68;17,6;0,99;Muy buena / Oso ona
22/05/2017;0,33;0,62;Muy buena / Oso ona;5;21;66;Buena / Ona;27;36;Buena / Ona;6;Muy buena / Oso ona;335;70;18,4;1,54;Buena / Ona
21/05/2017;0,24;0,29;Muy buena / Oso ona;5;24;37;Muy buena / Oso ona;31;14;Muy buena / Oso ona;15;Muy buena / Oso ona;118;51;22,6;1,51;Muy buena / Oso ona
20/05/2017;0,21;0,23;Muy buena / Oso ona;4;18;39;Muy buena / Oso ona;24;12;Muy buena / Oso ona;6;Muy buena / Oso ona;126;65;15,4;0,24;Muy buena / Oso ona
19/05/2017;0,19;0,2;Muy buena / Oso ona;4;19;48;Muy buena / Oso ona;26;13;Muy buena / Oso ona;6;Muy buena / Oso ona;306;64;13,9;0,98;Muy buena / Oso ona
18/05/2017;0,19;0,32;Muy buena / Oso ona;2;15;31;Muy buena / Oso ona;18;12;Muy buena / Oso ona;5;Muy buena / Oso ona;309;79;13,4;2;Muy buena / Oso ona
17/05/2017;0,31;0,37;Muy buena / Oso ona;8;37;64;Buena / Ona;50;25;Muy buena / Oso ona;6;Muy buena / Oso ona;348;80;17;0,75;Buena / Ona
16/05/2017;0,27;0,35;Muy buena / Oso ona;10;33;61;Buena / Ona;47;24;Muy buena / Oso ona;6;Muy buena / Oso ona;347;64;20,6;0,6;Buena / Ona
15/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;331;57;21,8;1,09;Sin datos / Daturik gabe
14/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;Sin datos / Daturik gabe
13/05/2017;;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;349;73;16,7;0,55;Muy buena / Oso ona
12/05/2017;0,18;0,19;Muy buena / Oso ona;1;15;29;Muy buena / Oso ona;16;10;Muy buena / Oso ona;3;Muy buena / Oso ona;232;59;18,4;1,53;Muy buena / Oso ona
11/05/2017;0,16;0,23;Muy buena / Oso ona;1;12;31;Muy buena / Oso ona;13;7;Muy buena / Oso ona;3;Muy buena / Oso ona;223;48;19,7;1,83;Muy buena / Oso ona
10/05/2017;0,29;0,46;Muy buena / Oso ona;9;34;70;Buena / Ona;48;31;Buena / Ona;6;Muy buena / Oso ona;310;69;18,1;0,3;Buena / Ona
09/05/2017;0,3;0,35;Muy buena / Oso ona;10;33;55;Buena / Ona;49;24;Muy buena / Oso ona;9;Muy buena / Oso ona;43;69;16,2;0,33;Buena / Ona
08/05/2017;0,26;0,31;Muy buena / Oso ona;12;29;52;Buena / Ona;48;19;Muy buena / Oso ona;12;Muy buena / Oso ona;311;63;15,6;0,29;Buena / Ona
07/05/2017;0,25;0,3;Muy buena / Oso ona;3;23;36;Muy buena / Oso ona;27;17;Muy buena / Oso ona;11;Muy buena / Oso ona;338;58;17;0,15;Muy buena / Oso ona
06/05/2017;0,23;0,39;Muy buena / Oso ona;1;16;35;Muy buena / Oso ona;17;13;Muy buena / Oso ona;5;Muy buena / Oso ona;312;56;16,6;0,45;Muy buena / Oso ona
05/05/2017;0,27;0,32;Muy buena / Oso ona;5;34;67;Buena / Ona;40;24;Muy buena / Oso ona;5;Muy buena / Oso ona;119;68;18,5;0,69;Buena / Ona
04/05/2017;0,32;0,56;Muy buena / Oso ona;12;30;67;Buena / Ona;48;25;Muy buena / Oso ona;5;Muy buena / Oso ona;34;69;17,1;0,61;Buena / Ona
03/05/2017;0,34;0,52;Muy buena / Oso ona;8;23;45;Muy buena / Oso ona;35;20;Muy buena / Oso ona;7;Muy buena / Oso ona;308;74;15,5;0,61;Muy buena / Oso ona
02/05/2017;0,24;0,31;Muy buena / Oso ona;8;28;60;Buena / Ona;40;17;Muy buena / Oso ona;7;Muy buena / Oso ona;328;77;14,2;0,36;Buena / Ona
01/05/2017;0,22;0,3;Muy buena / Oso ona;2;23;65;Buena / Ona;26;17;Muy buena / Oso ona;6;Muy buena / Oso ona;128;60;12,1;0,29;Buena / Ona
30/04/2017;0,18;0,2;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;14;8;Muy buena / Oso ona;4;Muy buena / Oso ona;239;59;13,2;1,55;Muy buena / Oso ona
29/04/2017;0,22;0,28;Muy buena / Oso ona;4;23;45;Muy buena / Oso ona;28;12;Muy buena / Oso ona;6;Muy buena / Oso ona;160;52;15,8;2,47;Muy buena / Oso ona
28/04/2017;0,27;0,32;Muy buena / Oso ona;12;33;67;Buena / Ona;51;15;Muy buena / Oso ona;6;Muy buena / Oso ona;84;64;9,9;0,66;Buena / Ona
27/04/2017;0,22;0,27;Muy buena / Oso ona;7;25;59;Buena / Ona;36;10;Muy buena / Oso ona;4;Muy buena / Oso ona;300;67;8,3;0,42;Buena / Ona
26/04/2017;0,18;0,24;Muy buena / Oso ona;3;26;57;Buena / Ona;28;10;Muy buena / Oso ona;3;Muy buena / Oso ona;318;76;8,4;0,63;Buena / Ona
25/04/2017;0,3;0,4;Muy buena / Oso ona;7;36;68;Buena / Ona;42;20;Muy buena / Oso ona;5;Muy buena / Oso ona;313;83;12,8;0,83;Buena / Ona
24/04/2017;0,27;0,34;Muy buena / Oso ona;9;34;66;Buena / Ona;47;22;Muy buena / Oso ona;11;Muy buena / Oso ona;322;66;14,9;0,78;Buena / Ona
23/04/2017;0,29;0,34;Muy buena / Oso ona;4;34;60;Buena / Ona;38;27;Buena / Ona;20;Muy buena / Oso ona;319;58;15,8;0,51;Buena / Ona
22/04/2017;0,24;0,38;Muy buena / Oso ona;2;26;51;Buena / Ona;28;21;Muy buena / Oso ona;16;Muy buena / Oso ona;172;40;18,5;0,18;Buena / Ona
21/04/2017;0,3;0,37;Muy buena / Oso ona;8;38;64;Buena / Ona;50;21;Muy buena / Oso ona;9;Muy buena / Oso ona;113;45;15,7;0,94;Buena / Ona
20/04/2017;0,33;0,45;Muy buena / Oso ona;6;24;70;Buena / Ona;31;14;Muy buena / Oso ona;5;Muy buena / Oso ona;60;44;12,9;0,98;Buena / Ona
19/04/2017;0,28;0,43;Muy buena / Oso ona;3;23;75;Buena / Ona;25;15;Muy buena / Oso ona;3;Muy buena / Oso ona;39;48;13;0,91;Buena / Ona
18/04/2017;0,24;0,27;Muy buena / Oso ona;6;27;50;Muy buena / Oso ona;35;18;Muy buena / Oso ona;4;Muy buena / Oso ona;18;68;13,7;0,44;Muy buena / Oso ona
17/04/2017;0,21;0,24;Muy buena / Oso ona;3;16;31;Muy buena / Oso ona;20;16;Muy buena / Oso ona;5;Muy buena / Oso ona;50;68;14,8;0,25;Muy buena / Oso ona
16/04/2017;0,22;0,23;Muy buena / Oso ona;2;14;29;Muy buena / Oso ona;17;10;Muy buena / Oso ona;5;Muy buena / Oso ona;77;68;14,4;0,55;Muy buena / Oso ona
15/04/2017;0,22;0,27;Muy buena / Oso ona;2;18;45;Muy buena / Oso ona;20;17;Muy buena / Oso ona;7;Muy buena / Oso ona;334;72;14,5;0,82;Muy buena / Oso ona
14/04/2017;0,21;0,24;Muy buena / Oso ona;1;17;35;Muy buena / Oso ona;18;18;Muy buena / Oso ona;11;Muy buena / Oso ona;294;74;13,9;0,21;Muy buena / Oso ona
13/04/2017;0,24;0,29;Muy buena / Oso ona;3;20;42;Muy buena / Oso ona;24;18;Muy buena / Oso ona;7;Muy buena / Oso ona;304;72;13,9;0,34;Muy buena / Oso ona
12/04/2017;0,28;0,4;Muy buena / Oso ona;9;28;52;Buena / Ona;41;24;Muy buena / Oso ona;9;Muy buena / Oso ona;308;73;14,2;0,68;Buena / Ona
11/04/2017;0,23;0,3;Muy buena / Oso ona;2;18;47;Muy buena / Oso ona;20;26;Buena / Ona;5;Muy buena / Oso ona;304;70;14,6;1,26;Buena / Ona
10/04/2017;0,27;0,31;Muy buena / Oso ona;2;18;42;Muy buena / Oso ona;21;33;Buena / Ona;12;Muy buena / Oso ona;321;80;13,7;1,01;Buena / Ona
09/04/2017;0,33;0,46;Muy buena / Oso ona;4;27;64;Buena / Ona;32;35;Buena / Ona;12;Muy buena / Oso ona;350;70;15,7;0,82;Buena / Ona
08/04/2017;0,31;0,37;Muy buena / Oso ona;4;42;91;Buena / Ona;47;38;Buena / Ona;14;Muy buena / Oso ona;103;57;17,8;0,66;Buena / Ona
07/04/2017;0,24;0,27;Muy buena / Oso ona;7;32;58;Buena / Ona;42;27;Buena / Ona;6;Muy buena / Oso ona;270;72;13,5;0,14;Buena / Ona
06/04/2017;0,21;0,23;Muy buena / Oso ona;2;19;52;Buena / Ona;23;27;Buena / Ona;3;Muy buena / Oso ona;316;78;13,5;1,51;Buena / Ona
05/04/2017;0,2;0,23;Muy buena / Oso ona;2;14;28;Muy buena / Oso ona;16;20;Muy buena / Oso ona;3;Muy buena / Oso ona;320;82;12,3;1,88;Muy buena / Oso ona
04/04/2017;0,17;0,2;Muy buena / Oso ona;2;19;42;Muy buena / Oso ona;22;16;Muy buena / Oso ona;6;Muy buena / Oso ona;320;77;12,9;1,44;Muy buena / Oso ona
03/04/2017;0,2;0,22;Muy buena / Oso ona;6;22;40;Muy buena / Oso ona;30;15;Muy buena / Oso ona;7;Muy buena / Oso ona;234;72;12,6;0,24;Muy buena / Oso ona
02/04/2017;0,19;0,2;Muy buena / Oso ona;1;12;39;Muy buena / Oso ona;13;16;Muy buena / Oso ona;5;Muy buena / Oso ona;307;74;11,5;1,56;Muy buena / Oso ona
01/04/2017;0,2;0,24;Muy buena / Oso ona;1;13;31;Muy buena / Oso ona;14;11;Muy buena / Oso ona;5;Muy buena / Oso ona;302;69;12,7;2,5;Muy buena / Oso ona
31/03/2017;0,33;0,6;Muy buena / Oso ona;12;33;94;Buena / Ona;51;29;Buena / Ona;6;Muy buena / Oso ona;300;69;15,7;0,48;Buena / Ona
30/03/2017;0,22;0,27;Muy buena / Oso ona;5;33;69;Buena / Ona;39;15;Muy buena / Oso ona;7;Muy buena / Oso ona;155;44;21,1;1,54;Buena / Ona
29/03/2017;0,32;0,44;Muy buena / Oso ona;10;52;80;Buena / Ona;66;25;Muy buena / Oso ona;15;Muy buena / Oso ona;106;50;18,3;1,01;Buena / Ona
28/03/2017;0,34;0,61;Muy buena / Oso ona;4;34;87;Buena / Ona;40;20;Muy buena / Oso ona;12;Muy buena / Oso ona;42;54;16,4;0,41;Buena / Ona
27/03/2017;0,28;0,46;Muy buena / Oso ona;2;24;73;Buena / Ona;28;12;Muy buena / Oso ona;5;Muy buena / Oso ona;161;50;16,4;0,95;Buena / Ona
26/03/2017;0,18;0,23;Muy buena / Oso ona;2;14;38;Muy buena / Oso ona;16;7;Muy buena / Oso ona;4;Muy buena / Oso ona;136;58;13,7;1,54;Muy buena / Oso ona
25/03/2017;0,21;0,3;Muy buena / Oso ona;2;23;39;Muy buena / Oso ona;26;6;Muy buena / Oso ona;5;Muy buena / Oso ona;112;87;8,3;0,23;Muy buena / Oso ona
24/03/2017;0,29;0,33;Muy buena / Oso ona;11;32;61;Buena / Ona;48;13;Muy buena / Oso ona;9;Muy buena / Oso ona;123;58;9,9;0,6;Buena / Ona
23/03/2017;0,25;0,32;Muy buena / Oso ona;4;25;78;Buena / Ona;31;7;Muy buena / Oso ona;4;Muy buena / Oso ona;177;53;9,2;0,88;Buena / Ona
22/03/2017;0,25;0,32;Muy buena / Oso ona;2;24;45;Muy buena / Oso ona;27;10;Muy buena / Oso ona;5;Muy buena / Oso ona;252;76;8,4;0,19;Muy buena / Oso ona
21/03/2017;0,24;0,3;Muy buena / Oso ona;6;33;76;Buena / Ona;41;15;Muy buena / Oso ona;7;Muy buena / Oso ona;309;81;10,5;0,16;Buena / Ona
20/03/2017;0,25;0,27;Muy buena / Oso ona;2;23;40;Muy buena / Oso ona;26;23;Muy buena / Oso ona;6;Muy buena / Oso ona;14;72;11,7;0,37;Muy buena / Oso ona
19/03/2017;0,24;0,28;Muy buena / Oso ona;4;18;35;Muy buena / Oso ona;24;17;Muy buena / Oso ona;8;Muy buena / Oso ona;3;74;11;0,62;Muy buena / Oso ona
18/03/2017;0,28;0,39;Muy buena / Oso ona;2;18;41;Muy buena / Oso ona;20;17;Muy buena / Oso ona;5;Muy buena / Oso ona;11;69;12,7;0,29;Muy buena / Oso ona
17/03/2017;0,25;0,3;Muy buena / Oso ona;5;21;56;Buena / Ona;29;25;Muy buena / Oso ona;7;Muy buena / Oso ona;322;78;12,5;0,65;Buena / Ona
16/03/2017;0,32;0,51;Muy buena / Oso ona;10;41;97;Buena / Ona;56;28;Buena / Ona;9;Muy buena / Oso ona;147;55;17,6;0,94;Buena / Ona
15/03/2017;0,33;0,43;Muy buena / Oso ona;14;38;65;Buena / Ona;58;33;Buena / Ona;9;Muy buena / Oso ona;340;77;13,5;0,52;Buena / Ona
14/03/2017;0,25;0,27;Muy buena / Oso ona;2;20;48;Muy buena / Oso ona;23;28;Buena / Ona;3;Muy buena / Oso ona;321;83;12,9;1,32;Buena / Ona
13/03/2017;0,18;0,21;Muy buena / Oso ona;2;15;22;Muy buena / Oso ona;16;27;Buena / Ona;4;Muy buena / Oso ona;323;85;10,6;2,37;Buena / Ona
12/03/2017;0,17;0,18;Muy buena / Oso ona;1;8;13;Muy buena / Oso ona;9;15;Muy buena / Oso ona;7;Muy buena / Oso ona;310;74;11,8;3,12;Muy buena / Oso ona
11/03/2017;0,33;0,46;Muy buena / Oso ona;13;34;64;Buena / Ona;53;38;Buena / Ona;13;Muy buena / Oso ona;324;65;15,6;1,16;Buena / Ona
10/03/2017;0,4;0,45;Muy buena / Oso ona;36;54;84;Buena / Ona;108;44;Buena / Ona;13;Muy buena / Oso ona;109;68;16,2;0,46;Buena / Ona
09/03/2017;0,24;0,3;Muy buena / Oso ona;8;33;59;Buena / Ona;45;28;Buena / Ona;9;Muy buena / Oso ona;5;76;14,3;0,25;Buena / Ona
08/03/2017;0,22;0,31;Muy buena / Oso ona;13;22;68;Buena / Ona;42;25;Muy buena / Oso ona;6;Muy buena / Oso ona;344;75;14,6;0,64;Buena / Ona
07/03/2017;0,25;0,33;Muy buena / Oso ona;11;30;66;Buena / Ona;45;31;Buena / Ona;6;Muy buena / Oso ona;311;77;12,8;0,42;Buena / Ona
06/03/2017;0,19;0,28;Muy buena / Oso ona;3;20;60;Buena / Ona;23;32;Buena / Ona;8;Muy buena / Oso ona;295;67;14,4;1,97;Buena / Ona
05/03/2017;0,23;0,3;Muy buena / Oso ona;2;17;55;Buena / Ona;19;25;Muy buena / Oso ona;5;Muy buena / Oso ona;222;69;13,3;0,38;Buena / Ona
04/03/2017;0,22;0,28;Muy buena / Oso ona;3;22;69;Buena / Ona;25;13;Muy buena / Oso ona;9;Muy buena / Oso ona;273;59;9,8;0,78;Buena / Ona
03/03/2017;0,25;0,35;Muy buena / Oso ona;3;22;52;Buena / Ona;26;10;Muy buena / Oso ona;5;Muy buena / Oso ona;159;61;13,7;0,17;Buena / Ona
02/03/2017;0,3;0,38;Muy buena / Oso ona;29;44;97;Buena / Ona;88;25;Muy buena / Oso ona;9;Muy buena / Oso ona;143;63;14,8;0,82;Buena / Ona
01/03/2017;0,21;0,26;Muy buena / Oso ona;5;30;66;Buena / Ona;38;12;Muy buena / Oso ona;6;Muy buena / Oso ona;167;63;12,4;1,35;Buena / Ona
28/02/2017;0,24;0,33;Muy buena / Oso ona;2;24;64;Buena / Ona;27;17;Muy buena / Oso ona;5;Muy buena / Oso ona;265;72;10,7;1,27;Buena / Ona
27/02/2017;0,25;0,48;Muy buena / Oso ona;3;23;51;Buena / Ona;27;18;Muy buena / Oso ona;5;Muy buena / Oso ona;233;63;14;0,99;Buena / Ona
26/02/2017;0,36;0,6;Muy buena / Oso ona;9;31;63;Buena / Ona;44;30;Buena / Ona;10;Muy buena / Oso ona;151;72;12,4;0,29;Buena / Ona
25/02/2017;0,35;0,53;Muy buena / Oso ona;17;42;83;Buena / Ona;67;40;Buena / Ona;12;Muy buena / Oso ona;110;67;10,7;0,79;Buena / Ona
24/02/2017;0,25;0,36;Muy buena / Oso ona;5;28;75;Buena / Ona;35;19;Muy buena / Oso ona;4;Muy buena / Oso ona;330;80;10;0,57;Buena / Ona
23/02/2017;0,36;0,52;Muy buena / Oso ona;6;34;50;Muy buena / Oso ona;42;47;Buena / Ona;9;Muy buena / Oso ona;334;79;11,5;0,73;Buena / Ona
22/02/2017;0,32;0,4;Muy buena / Oso ona;21;36;55;Buena / Ona;68;40;Buena / Ona;9;Muy buena / Oso ona;349;81;11;0,34;Buena / Ona
21/02/2017;0,35;0,48;Muy buena / Oso ona;21;38;56;Buena / Ona;69;25;Muy buena / Oso ona;8;Muy buena / Oso ona;78;75;11,3;0,41;Buena / Ona
20/02/2017;0,3;0,42;Muy buena / Oso ona;10;36;75;Buena / Ona;51;23;Muy buena / Oso ona;5;Muy buena / Oso ona;313;71;12;0,22;Buena / Ona
19/02/2017;0,25;0,35;Muy buena / Oso ona;2;20;56;Buena / Ona;23;14;Muy buena / Oso ona;5;Muy buena / Oso ona;311;81;11,9;1,01;Buena / Ona
18/02/2017;0,33;0,38;Muy buena / Oso ona;8;30;63;Buena / Ona;42;27;Buena / Ona;9;Muy buena / Oso ona;324;77;11,2;0,28;Buena / Ona
17/02/2017;0,33;0,36;Muy buena / Oso ona;22;47;88;Buena / Ona;80;35;Buena / Ona;12;Muy buena / Oso ona;116;69;12,7;1,24;Buena / Ona
16/02/2017;0,26;0,3;Muy buena / Oso ona;8;35;81;Buena / Ona;46;20;Muy buena / Oso ona;6;Muy buena / Oso ona;152;58;15,1;0,93;Buena / Ona
15/02/2017;0,26;0,3;Muy buena / Oso ona;6;33;72;Buena / Ona;42;12;Muy buena / Oso ona;5;Muy buena / Oso ona;135;50;16;1,2;Buena / Ona
14/02/2017;0,26;0,31;Muy buena / Oso ona;8;34;72;Buena / Ona;46;14;Muy buena / Oso ona;6;Muy buena / Oso ona;125;52;14,5;1;Buena / Ona
13/02/2017;0,23;0,27;Muy buena / Oso ona;4;24;61;Buena / Ona;30;23;Muy buena / Oso ona;3;Muy buena / Oso ona;122;61;14,4;2,38;Buena / Ona
12/02/2017;0,26;0,34;Muy buena / Oso ona;2;14;34;Muy buena / Oso ona;17;19;Muy buena / Oso ona;3;Muy buena / Oso ona;113;69;12,2;2,58;Muy buena / Oso ona
11/02/2017;0,31;0,36;Muy buena / Oso ona;14;31;53;Buena / Ona;52;27;Buena / Ona;7;Muy buena / Oso ona;84;80;8,4;0,47;Buena / Ona
10/02/2017;0,27;0,34;Muy buena / Oso ona;11;39;74;Buena / Ona;54;16;Muy buena / Oso ona;8;Muy buena / Oso ona;138;48;11,6;1,07;Buena / Ona
09/02/2017;0,26;0,28;Muy buena / Oso ona;12;36;69;Buena / Ona;53;15;Muy buena / Oso ona;6;Muy buena / Oso ona;120;68;9,3;1,38;Buena / Ona
08/02/2017;0,2;0,26;Muy buena / Oso ona;3;24;63;Buena / Ona;28;14;Muy buena / Oso ona;3;Muy buena / Oso ona;306;75;8,7;2,09;Buena / Ona
07/02/2017;0,23;0,46;Muy buena / Oso ona;5;28;65;Buena / Ona;36;17;Muy buena / Oso ona;5;Muy buena / Oso ona;307;80;11,1;1,36;Buena / Ona
06/02/2017;0,31;0,49;Muy buena / Oso ona;25;39;68;Buena / Ona;77;17;Muy buena / Oso ona;7;Muy buena / Oso ona;132;83;10,8;0,87;Buena / Ona
05/02/2017;0,21;0,31;Muy buena / Oso ona;1;10;15;Muy buena / Oso ona;11;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;293;68;9,9;3,14;Muy buena / Oso ona
04/02/2017;0,25;0,35;Muy buena / Oso ona;4;27;51;Buena / Ona;33;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;269;78;12,3;0,42;Buena / Ona
03/02/2017;0,2;0,27;Muy buena / Oso ona;2;12;43;Muy buena / Oso ona;15;9;Muy buena / Oso ona;3;Muy buena / Oso ona;230;45;15,5;2,67;Muy buena / Oso ona
02/02/2017;0,2;0,28;Muy buena / Oso ona;2;11;41;Muy buena / Oso ona;13;8;Muy buena / Oso ona;3;Muy buena / Oso ona;218;49;15,5;2,79;Muy buena / Oso ona
01/02/2017;0,24;0,37;Muy buena / Oso ona;6;24;66;Buena / Ona;32;11;Muy buena / Oso ona;4;Muy buena / Oso ona;189;50;16,6;1,68;Buena / Ona
31/01/2017;0,24;0,37;Muy buena / Oso ona;4;24;57;Buena / Ona;30;10;Muy buena / Oso ona;4;Muy buena / Oso ona;167;48;16,8;2,02;Buena / Ona
30/01/2017;0,24;0,31;Muy buena / Oso ona;4;25;43;Muy buena / Oso ona;31;6;Muy buena / Oso ona;5;Muy buena / Oso ona;148;61;16,5;1,74;Muy buena / Oso ona
29/01/2017;0,22;0,36;Muy buena / Oso ona;1;14;26;Muy buena / Oso ona;16;5;Muy buena / Oso ona;4;Muy buena / Oso ona;153;59;13,8;1,45;Muy buena / Oso ona
28/01/2017;0,28;0,36;Muy buena / Oso ona;6;34;79;Buena / Ona;43;14;Muy buena / Oso ona;6;Muy buena / Oso ona;166;66;9,9;0,7;Buena / Ona
27/01/2017;0,28;0,3;Muy buena / Oso ona;3;26;49;Muy buena / Oso ona;30;12;Muy buena / Oso ona;4;Muy buena / Oso ona;157;57;11,4;1,77;Muy buena / Oso ona
26/01/2017;0,26;0,36;Muy buena / Oso ona;4;30;53;Buena / Ona;35;17;Muy buena / Oso ona;6;Muy buena / Oso ona;136;56;7,7;2,63;Buena / Ona
25/01/2017;0,38;0,43;Muy buena / Oso ona;24;47;78;Buena / Ona;84;21;Muy buena / Oso ona;7;Muy buena / Oso ona;141;73;4,3;0,9;Buena / Ona
24/01/2017;0,44;0,57;Muy buena / Oso ona;35;45;79;Buena / Ona;98;29;Buena / Ona;7;Muy buena / Oso ona;141;76;7;0,22;Buena / Ona
23/01/2017;0,38;0,45;Muy buena / Oso ona;34;47;55;Buena / Ona;99;25;Muy buena / Oso ona;6;Muy buena / Oso ona;324;74;9,2;0,88;Buena / Ona
22/01/2017;0,44;0,6;Muy buena / Oso ona;25;42;53;Buena / Ona;79;27;Buena / Ona;10;Muy buena / Oso ona;305;81;8;0,53;Buena / Ona
21/01/2017;0,48;0,54;Muy buena / Oso ona;49;44;56;Buena / Ona;118;38;Buena / Ona;19;Muy buena / Oso ona;129;77;6;0,67;Buena / Ona
20/01/2017;0,45;0,5;Muy buena / Oso ona;59;42;62;Buena / Ona;132;34;Buena / Ona;8;Muy buena / Oso ona;132;76;4,7;0,54;Buena / Ona
19/01/2017;0,36;0,48;Muy buena / Oso ona;45;41;51;Buena / Ona;109;29;Buena / Ona;4;Muy buena / Oso ona;89;74;3,7;0,7;Buena / Ona
18/01/2017;0,44;0,81;Muy buena / Oso ona;22;36;40;Muy buena / Oso ona;69;23;Muy buena / Oso ona;3;Muy buena / Oso ona;24;68;3,4;0,54;Muy buena / Oso ona
17/01/2017;0,19;0,22;Muy buena / Oso ona;3;24;41;Muy buena / Oso ona;28;6;Muy buena / Oso ona;2;Muy buena / Oso ona;7;61;6,3;1,2;Muy buena / Oso ona
16/01/2017;0,18;0,22;Muy buena / Oso ona;2;13;21;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;315;90;10,5;2,69;Muy buena / Oso ona
15/01/2017;0,2;0,26;Muy buena / Oso ona;2;11;19;Muy buena / Oso ona;13;15;Muy buena / Oso ona;3;Muy buena / Oso ona;311;80;9,8;2,76;Muy buena / Oso ona
14/01/2017;0,26;0,28;Muy buena / Oso ona;3;22;41;Muy buena / Oso ona;27;11;Muy buena / Oso ona;5;Muy buena / Oso ona;300;79;7,6;1,3;Muy buena / Oso ona
13/01/2017;0,19;0,22;Muy buena / Oso ona;3;18;32;Muy buena / Oso ona;22;21;Muy buena / Oso ona;4;Muy buena / Oso ona;307;72;8,4;2,75;Muy buena / Oso ona
12/01/2017;0,25;0,34;Muy buena / Oso ona;21;29;49;Muy buena / Oso ona;62;18;Muy buena / Oso ona;6;Muy buena / Oso ona;301;85;11,7;0,38;Muy buena / Oso ona
11/01/2017;0,22;0,27;Muy buena / Oso ona;3;16;26;Muy buena / Oso ona;20;15;Muy buena / Oso ona;2;Muy buena / Oso ona;312;95;12;1,95;Muy buena / Oso ona
