Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
03/05/2017;0,21;0,28;Muy buena / Oso ona;5;12;40;Muy buena / Oso ona;19;54;77;Buena / Ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;52;77;1009,5;42,9;15,1;0,74;Buena / Ona
02/05/2017;0,22;0,37;Muy buena / Oso ona;4;11;30;Muy buena / Oso ona;16;66;78;Buena / Ona;25;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;324;79;1013,5;24,8;13,7;1,9;Buena / Ona
01/05/2017;0,28;0,43;Muy buena / Oso ona;4;12;43;Muy buena / Oso ona;18;65;82;Buena / Ona;30;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;314;59;1012,5;36,9;12,5;2,1;Buena / Ona
30/04/2017;0,37;0,54;Muy buena / Oso ona;3;9;19;Muy buena / Oso ona;15;69;76;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;279;66;999,9;10;12,5;3,66;Buena / Ona
29/04/2017;0,23;0,27;Muy buena / Oso ona;4;14;34;Muy buena / Oso ona;20;60;75;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;169;54;1001,2;40;15,2;3,39;Buena / Ona
28/04/2017;0,31;0,52;Muy buena / Oso ona;10;28;59;Buena / Ona;44;49;83;Buena / Ona;16;Muy buena / Oso ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;103;67;1012;33,5;9,3;1,38;Buena / Ona
27/04/2017;0,31;0,46;Muy buena / Oso ona;6;22;59;Buena / Ona;31;55;87;Buena / Ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;5;69;1012,9;30,3;7,9;0,76;Buena / Ona
26/04/2017;0,13;0,18;Muy buena / Oso ona;3;6;19;Muy buena / Oso ona;12;81;91;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;8;83;1008,8;15,9;8,2;0,96;Buena / Ona
25/04/2017;0,2;0,24;Muy buena / Oso ona;3;11;27;Muy buena / Oso ona;16;68;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;335;88;1003;10,4;12;1,4;Muy buena / Oso ona
24/04/2017;0,35;0,63;Muy buena / Oso ona;8;22;64;Buena / Ona;34;57;82;Buena / Ona;21;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;28;72;1004,9;44,2;14,6;0,58;Buena / Ona
23/04/2017;0,34;0,59;Muy buena / Oso ona;4;20;47;Muy buena / Oso ona;26;67;98;Buena / Ona;25;Muy buena / Oso ona;17;Buena / Ona;6;Muy buena / Oso ona;27;68;1010,8;45,8;15,1;0,47;Buena / Ona
