Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);Precipitación (l/m2);Tº (ºC);V.vien (m/s);ICA Estación
07/05/2017;3;19;40;Muy buena / Oso ona;23;3;Muy buena / Oso ona;4;Muy buena / Oso ona;321;69;0;14,9;0,55;Muy buena / Oso ona
06/05/2017;1;12;36;Muy buena / Oso ona;13;3;Muy buena / Oso ona;2;Muy buena / Oso ona;308;62;0;15,3;1,52;Muy buena / Oso ona
05/05/2017;2;24;55;Buena / Ona;27;10;Muy buena / Oso ona;4;Muy buena / Oso ona;112;73;0,1;17,6;1,44;Buena / Ona
04/05/2017;15;32;68;Buena / Ona;54;9;Muy buena / Oso ona;3;Muy buena / Oso ona;72;79;0;15,3;1,17;Buena / Ona
03/05/2017;6;19;45;Muy buena / Oso ona;28;9;Muy buena / Oso ona;2;Muy buena / Oso ona;307;88;0;13,5;0,83;Muy buena / Oso ona
02/05/2017;5;18;39;Muy buena / Oso ona;24;3;Muy buena / Oso ona;4;Muy buena / Oso ona;294;82;0;13,3;2,54;Muy buena / Oso ona
01/05/2017;2;17;57;Buena / Ona;19;3;Muy buena / Oso ona;5;Muy buena / Oso ona;295;60;0;11,7;1,84;Buena / Ona
30/04/2017;1;7;14;Muy buena / Oso ona;8;2;Muy buena / Oso ona;6;Muy buena / Oso ona;238;64;0,1;12,1;2,46;Muy buena / Oso ona
29/04/2017;2;17;45;Muy buena / Oso ona;19;5;Muy buena / Oso ona;3;Muy buena / Oso ona;133;57;0;14,7;3,96;Muy buena / Oso ona
28/04/2017;13;33;75;Buena / Ona;53;8;Muy buena / Oso ona;6;Muy buena / Oso ona;31;71;0;8,8;0,89;Buena / Ona
27/04/2017;4;20;62;Buena / Ona;24;4;Muy buena / Oso ona;4;Muy buena / Oso ona;301;69;0;7,6;1,83;Buena / Ona
26/04/2017;5;17;44;Muy buena / Oso ona;23;3;Muy buena / Oso ona;3;Muy buena / Oso ona;305;79;0,3;7,6;2,16;Muy buena / Oso ona
25/04/2017;6;23;54;Buena / Ona;32;9;Muy buena / Oso ona;4;Muy buena / Oso ona;297;90;0,3;11,5;2,6;Buena / Ona
24/04/2017;16;35;79;Buena / Ona;58;17;Muy buena / Oso ona;7;Muy buena / Oso ona;306;75;0;13,3;1,34;Buena / Ona
23/04/2017;3;29;46;Muy buena / Oso ona;33;13;Muy buena / Oso ona;10;Muy buena / Oso ona;300;68;0;14;1,35;Muy buena / Oso ona
22/04/2017;1;16;50;Muy buena / Oso ona;16;11;Muy buena / Oso ona;5;Muy buena / Oso ona;304;45;0;17,1;1,01;Muy buena / Oso ona
21/04/2017;18;46;75;Buena / Ona;73;22;Muy buena / Oso ona;6;Muy buena / Oso ona;81;52;0;14,2;1,68;Buena / Ona
20/04/2017;6;26;59;Buena / Ona;32;13;Muy buena / Oso ona;2;Muy buena / Oso ona;74;50;0;11,6;2,3;Buena / Ona
19/04/2017;4;21;72;Buena / Ona;25;11;Muy buena / Oso ona;2;Muy buena / Oso ona;71;55;0;11,7;2,73;Buena / Ona
18/04/2017;12;25;71;Buena / Ona;42;17;Muy buena / Oso ona;2;Muy buena / Oso ona;358;77;0;12,6;1,06;Buena / Ona
17/04/2017;4;17;46;Muy buena / Oso ona;22;8;Muy buena / Oso ona;2;Muy buena / Oso ona;6;78;0;13,2;0,51;Muy buena / Oso ona
16/04/2017;2;13;28;Muy buena / Oso ona;16;5;Muy buena / Oso ona;2;Muy buena / Oso ona;63;78;0;13;1,24;Muy buena / Oso ona
15/04/2017;1;13;31;Muy buena / Oso ona;14;9;Muy buena / Oso ona;3;Muy buena / Oso ona;307;82;0;13;1,68;Muy buena / Oso ona
14/04/2017;1;15;35;Muy buena / Oso ona;17;18;Muy buena / Oso ona;16;Muy buena / Oso ona;297;85;0;12,5;1,23;Muy buena / Oso ona
13/04/2017;5;23;50;Muy buena / Oso ona;30;12;Muy buena / Oso ona;6;Muy buena / Oso ona;314;83;0;12,5;1,01;Muy buena / Oso ona
12/04/2017;12;27;59;Buena / Ona;45;18;Muy buena / Oso ona;3;Muy buena / Oso ona;294;84;0;12,3;1,04;Buena / Ona
11/04/2017;4;17;59;Buena / Ona;23;15;Muy buena / Oso ona;4;Muy buena / Oso ona;299;80;0;13;2,12;Buena / Ona
10/04/2017;12;21;77;Buena / Ona;39;17;Muy buena / Oso ona;15;Muy buena / Oso ona;298;91;0;12,3;2,64;Buena / Ona
09/04/2017;4;29;70;Buena / Ona;35;18;Muy buena / Oso ona;13;Muy buena / Oso ona;310;77;0;14,7;1,6;Buena / Ona
08/04/2017;2;33;85;Buena / Ona;35;16;Muy buena / Oso ona;9;Muy buena / Oso ona;342;55;0;17,6;0,55;Buena / Ona
07/04/2017;14;30;72;Buena / Ona;50;21;Muy buena / Oso ona;5;Muy buena / Oso ona;337;81;0;11,9;0,74;Buena / Ona
06/04/2017;2;13;32;Muy buena / Oso ona;16;21;Muy buena / Oso ona;1;Muy buena / Oso ona;306;86;0;12,3;2,77;Muy buena / Oso ona
05/04/2017;2;8;14;Muy buena / Oso ona;10;7;Muy buena / Oso ona;1;Muy buena / Oso ona;302;90;0;11,4;4,15;Muy buena / Oso ona
04/04/2017;2;14;46;Muy buena / Oso ona;17;5;Muy buena / Oso ona;3;Muy buena / Oso ona;296;85;0;11,6;3,94;Muy buena / Oso ona
03/04/2017;15;22;65;Buena / Ona;44;10;Muy buena / Oso ona;3;Muy buena / Oso ona;311;81;0;11,1;0,84;Buena / Ona
02/04/2017;1;9;38;Muy buena / Oso ona;10;5;Muy buena / Oso ona;4;Muy buena / Oso ona;290;80;0;10,7;4,85;Muy buena / Oso ona
01/04/2017;1;8;14;Muy buena / Oso ona;10;3;Muy buena / Oso ona;10;Muy buena / Oso ona;286;74;0;11,7;7,46;Muy buena / Oso ona
31/03/2017;7;28;87;Buena / Ona;38;8;Muy buena / Oso ona;2;Muy buena / Oso ona;320;77;0,1;14;0,73;Buena / Ona
30/03/2017;2;19;54;Buena / Ona;21;9;Muy buena / Oso ona;1;Muy buena / Oso ona;137;44;0;20,6;2,16;Buena / Ona
29/03/2017;13;48;84;Buena / Ona;67;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;54;0;17,1;0,47;Buena / Ona
28/03/2017;3;26;94;Buena / Ona;31;8;Muy buena / Oso ona;3;Muy buena / Oso ona;281;59;0;15,1;0,68;Buena / Ona
27/03/2017;1;13;50;Muy buena / Oso ona;15;4;Muy buena / Oso ona;2;Muy buena / Oso ona;143;55;0;15,3;2,21;Muy buena / Oso ona
26/03/2017;1;10;43;Muy buena / Oso ona;12;3;Muy buena / Oso ona;1;Muy buena / Oso ona;121;62;0;12,8;3,87;Muy buena / Oso ona
25/03/2017;1;12;38;Muy buena / Oso ona;14;2;Muy buena / Oso ona;2;Muy buena / Oso ona;280;89;0,3;8;2,87;Muy buena / Oso ona
24/03/2017;9;33;72;Buena / Ona;45;6;Muy buena / Oso ona;2;Muy buena / Oso ona;49;63;0;8,6;0,98;Buena / Ona
23/03/2017;2;17;83;Buena / Ona;20;3;Muy buena / Oso ona;0;Muy buena / Oso ona;181;55;0;8,2;1,47;Buena / Ona
22/03/2017;2;21;71;Buena / Ona;24;6;Muy buena / Oso ona;2;Muy buena / Oso ona;254;81;0,1;7,5;0,67;Buena / Ona
21/03/2017;4;33;78;Buena / Ona;39;9;Muy buena / Oso ona;3;Muy buena / Oso ona;294;85;0;9,6;1,93;Buena / Ona
20/03/2017;2;20;32;Muy buena / Oso ona;23;15;Muy buena / Oso ona;4;Muy buena / Oso ona;296;81;0;10,4;1,02;Muy buena / Oso ona
19/03/2017;3;19;39;Muy buena / Oso ona;23;11;Muy buena / Oso ona;6;Muy buena / Oso ona;333;83;0;9,8;0,94;Muy buena / Oso ona
18/03/2017;1;14;37;Muy buena / Oso ona;15;13;Muy buena / Oso ona;1;Muy buena / Oso ona;343;78;0;11,1;0,58;Muy buena / Oso ona
17/03/2017;4;19;57;Buena / Ona;25;23;Muy buena / Oso ona;4;Muy buena / Oso ona;302;87;0;11;2,02;Buena / Ona
16/03/2017;4;31;79;Buena / Ona;36;16;Muy buena / Oso ona;;Sin datos / Daturik gabe;102;56;0;17;1,33;Buena / Ona
15/03/2017;6;28;72;Buena / Ona;37;27;Buena / Ona;;Sin datos / Daturik gabe;328;86;0;12;0,52;Buena / Ona
14/03/2017;2;12;29;Muy buena / Oso ona;15;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;312;91;0;11,7;2,6;Muy buena / Oso ona
13/03/2017;1;8;16;Muy buena / Oso ona;10;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;301;87;0,1;10,3;7,39;Muy buena / Oso ona
12/03/2017;1;9;18;Muy buena / Oso ona;10;9;Muy buena / Oso ona;17;Muy buena / Oso ona;289;80;0,1;11,1;8,73;Muy buena / Oso ona
11/03/2017;8;31;73;Buena / Ona;43;21;Muy buena / Oso ona;15;Muy buena / Oso ona;296;69;0;14,9;4,02;Buena / Ona
10/03/2017;44;62;111;Mejorable / Hobetzeko modukoa;128;34;Buena / Ona;12;Muy buena / Oso ona;90;73;0;15,3;1,36;Mejorable / Hobetzeko modukoa
09/03/2017;6;27;66;Buena / Ona;36;19;Muy buena / Oso ona;4;Muy buena / Oso ona;12;86;0;12,6;0,47;Buena / Ona
08/03/2017;9;23;63;Buena / Ona;37;12;Muy buena / Oso ona;5;Muy buena / Oso ona;339;84;0;13,1;0,81;Buena / Ona
07/03/2017;11;22;74;Buena / Ona;39;18;Muy buena / Oso ona;15;Muy buena / Oso ona;290;82;0;12,5;4,96;Buena / Ona
06/03/2017;2;13;30;Muy buena / Oso ona;16;16;Muy buena / Oso ona;17;Muy buena / Oso ona;284;72;0;13,6;5,77;Muy buena / Oso ona
05/03/2017;2;15;57;Buena / Ona;17;11;Muy buena / Oso ona;2;Muy buena / Oso ona;267;73;0;12,5;1,23;Buena / Ona
04/03/2017;3;23;91;Buena / Ona;27;8;Muy buena / Oso ona;38;Muy buena / Oso ona;284;63;0;8,6;3,22;Buena / Ona
03/03/2017;3;14;41;Muy buena / Oso ona;17;7;Muy buena / Oso ona;5;Muy buena / Oso ona;261;65;0;12,7;1,62;Muy buena / Oso ona
02/03/2017;26;40;66;Buena / Ona;79;17;Muy buena / Oso ona;7;Muy buena / Oso ona;129;68;0;13,5;1,02;Buena / Ona
01/03/2017;4;21;81;Buena / Ona;27;4;Muy buena / Oso ona;3;Muy buena / Oso ona;248;65;0;12;1,32;Buena / Ona
28/02/2017;1;14;32;Muy buena / Oso ona;16;7;Muy buena / Oso ona;5;Muy buena / Oso ona;281;76;0,1;9,8;3,45;Muy buena / Oso ona
27/02/2017;2;16;45;Muy buena / Oso ona;18;11;Muy buena / Oso ona;4;Muy buena / Oso ona;254;65;0;13,3;2,05;Muy buena / Oso ona
26/02/2017;8;32;73;Buena / Ona;44;20;Muy buena / Oso ona;10;Muy buena / Oso ona;52;77;0;11,4;0,45;Buena / Ona
25/02/2017;8;42;68;Buena / Ona;53;18;Muy buena / Oso ona;10;Muy buena / Oso ona;85;74;0;9,7;1,18;Buena / Ona
24/02/2017;2;20;58;Buena / Ona;23;8;Muy buena / Oso ona;4;Muy buena / Oso ona;310;85;0,1;9,1;1,91;Buena / Ona
23/02/2017;6;31;57;Buena / Ona;39;33;Buena / Ona;16;Muy buena / Oso ona;302;88;0;10,2;1,9;Buena / Ona
22/02/2017;18;34;55;Buena / Ona;60;22;Muy buena / Oso ona;5;Muy buena / Oso ona;325;91;0;9,4;0,91;Buena / Ona
21/02/2017;19;44;68;Buena / Ona;72;15;Muy buena / Oso ona;4;Muy buena / Oso ona;81;82;0;10,2;0,95;Buena / Ona
20/02/2017;9;27;72;Buena / Ona;41;14;Muy buena / Oso ona;3;Muy buena / Oso ona;296;80;0;10,9;1,01;Buena / Ona
19/02/2017;1;14;45;Muy buena / Oso ona;16;11;Muy buena / Oso ona;3;Muy buena / Oso ona;294;88;0;10,8;2,35;Muy buena / Oso ona
18/02/2017;11;29;69;Buena / Ona;44;22;Muy buena / Oso ona;5;Muy buena / Oso ona;306;84;0;10,3;1,74;Buena / Ona
17/02/2017;27;56;87;Buena / Ona;96;;Sin datos / Daturik gabe;7;Muy buena / Oso ona;19;74;0;11,7;0,41;Buena / Ona
16/02/2017;6;30;80;Buena / Ona;39;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;154;58;0;14,8;0,41;Buena / Ona
15/02/2017;2;20;68;Buena / Ona;22;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;137;50;0,1;15,5;2,18;Buena / Ona
14/02/2017;2;11;51;Buena / Ona;14;2;Muy buena / Oso ona;1;Muy buena / Oso ona;161;50;0;14,6;2,2;Buena / Ona
13/02/2017;6;23;76;Buena / Ona;32;2;Muy buena / Oso ona;1;Muy buena / Oso ona;117;64;0;14;5,33;Buena / Ona
12/02/2017;2;14;39;Muy buena / Oso ona;17;2;Muy buena / Oso ona;1;Muy buena / Oso ona;107;75;0,8;11,3;5,93;Muy buena / Oso ona
11/02/2017;8;37;69;Buena / Ona;48;2;Muy buena / Oso ona;6;Muy buena / Oso ona;79;84;5;7,7;1,88;Buena / Ona
10/02/2017;7;27;81;Buena / Ona;37;2;Muy buena / Oso ona;2;Muy buena / Oso ona;114;47;0;11,1;1,9;Buena / Ona
09/02/2017;15;42;77;Buena / Ona;65;2;Muy buena / Oso ona;3;Muy buena / Oso ona;90;69;0;8,7;2,28;Buena / Ona
08/02/2017;1;13;35;Muy buena / Oso ona;15;3;Muy buena / Oso ona;2;Muy buena / Oso ona;290;77;9,5;8,1;6,22;Muy buena / Oso ona
07/02/2017;3;19;41;Muy buena / Oso ona;23;3;Muy buena / Oso ona;5;Muy buena / Oso ona;284;83;7,3;10,4;5,3;Muy buena / Oso ona
06/02/2017;42;44;76;Buena / Ona;107;8;Muy buena / Oso ona;4;Muy buena / Oso ona;331;89;9,9;9,9;0,36;Buena / Ona
05/02/2017;1;12;27;Muy buena / Oso ona;14;2;Muy buena / Oso ona;5;Muy buena / Oso ona;281;71;12,4;9,2;9,73;Muy buena / Oso ona
04/02/2017;4;24;62;Buena / Ona;29;5;Muy buena / Oso ona;2;Muy buena / Oso ona;282;81;15,5;11,6;1,87;Buena / Ona
03/02/2017;1;6;12;Muy buena / Oso ona;7;4;Muy buena / Oso ona;1;Muy buena / Oso ona;215;47;0,2;14,6;3,27;Muy buena / Oso ona
02/02/2017;1;9;42;Muy buena / Oso ona;11;3;Muy buena / Oso ona;1;Muy buena / Oso ona;199;53;0,2;14,6;4,5;Muy buena / Oso ona
01/02/2017;1;8;23;Muy buena / Oso ona;10;3;Muy buena / Oso ona;1;Muy buena / Oso ona;209;50;0,1;16;3,02;Muy buena / Oso ona
31/01/2017;2;11;37;Muy buena / Oso ona;14;4;Muy buena / Oso ona;1;Muy buena / Oso ona;179;49;0;16,2;2,71;Muy buena / Oso ona
30/01/2017;2;13;43;Muy buena / Oso ona;15;2;Muy buena / Oso ona;2;Muy buena / Oso ona;193;61;0;16,2;2,36;Muy buena / Oso ona
29/01/2017;1;6;17;Muy buena / Oso ona;7;2;Muy buena / Oso ona;1;Muy buena / Oso ona;206;60;0;13,5;3,13;Muy buena / Oso ona
28/01/2017;3;24;78;Buena / Ona;28;5;Muy buena / Oso ona;4;Muy buena / Oso ona;289;65;0;9,5;2,14;Buena / Ona
27/01/2017;2;10;14;Muy buena / Oso ona;13;7;Muy buena / Oso ona;2;Muy buena / Oso ona;162;59;0,3;10,7;3,97;Muy buena / Oso ona
26/01/2017;4;29;66;Buena / Ona;34;12;Muy buena / Oso ona;5;Muy buena / Oso ona;158;58;0;8,4;3,78;Buena / Ona
25/01/2017;39;61;98;Buena / Ona;119;14;Muy buena / Oso ona;3;Muy buena / Oso ona;91;77;0;3,5;2,31;Buena / Ona
24/01/2017;21;43;91;Buena / Ona;74;17;Muy buena / Oso ona;4;Muy buena / Oso ona;303;75;0;7,2;1,19;Buena / Ona
23/01/2017;2;16;29;Muy buena / Oso ona;19;8;Muy buena / Oso ona;2;Muy buena / Oso ona;286;79;0;8,5;3,78;Muy buena / Oso ona
22/01/2017;5;25;52;Buena / Ona;32;12;Muy buena / Oso ona;4;Muy buena / Oso ona;287;86;0;7,3;1,74;Buena / Ona
21/01/2017;23;46;66;Buena / Ona;80;23;Muy buena / Oso ona;11;Muy buena / Oso ona;71;83;0;5,4;0,49;Buena / Ona
20/01/2017;51;51;85;Buena / Ona;128;19;Muy buena / Oso ona;4;Muy buena / Oso ona;97;81;0;4,4;1,24;Buena / Ona
19/01/2017;22;51;79;Buena / Ona;83;15;Muy buena / Oso ona;2;Muy buena / Oso ona;101;79;0;2,7;2,17;Buena / Ona
18/01/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;339;76;;3;1,8;Sin datos / Daturik gabe
17/01/2017;;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;Sin datos / Daturik gabe
16/01/2017;1;6;10;Muy buena / Oso ona;8;3;Muy buena / Oso ona;1;Muy buena / Oso ona;302;93;20,8;10,5;9,61;Muy buena / Oso ona
15/01/2017;1;5;11;Muy buena / Oso ona;6;3;Muy buena / Oso ona;0;Muy buena / Oso ona;299;85;10,7;9,6;7,89;Muy buena / Oso ona
14/01/2017;1;9;19;Muy buena / Oso ona;10;2;Muy buena / Oso ona;1;Muy buena / Oso ona;293;84;10,8;7;4,82;Muy buena / Oso ona
13/01/2017;1;10;17;Muy buena / Oso ona;12;4;Muy buena / Oso ona;5;Muy buena / Oso ona;296;79;13;7,8;8,08;Muy buena / Oso ona
12/01/2017;34;30;58;Buena / Ona;81;11;Muy buena / Oso ona;7;Muy buena / Oso ona;298;91;4,4;11,2;2,7;Buena / Ona
11/01/2017;2;10;17;Muy buena / Oso ona;13;2;Muy buena / Oso ona;1;Muy buena / Oso ona;298;96;4,2;12,1;8,15;Muy buena / Oso ona
10/01/2017;2;11;27;Muy buena / Oso ona;14;3;Muy buena / Oso ona;2;Muy buena / Oso ona;298;93;34,4;10,2;8,13;Muy buena / Oso ona
09/01/2017;38;61;81;Buena / Ona;119;20;Muy buena / Oso ona;3;Muy buena / Oso ona;108;78;0,2;8,6;1,38;Buena / Ona
08/01/2017;13;44;63;Buena / Ona;64;22;Muy buena / Oso ona;8;Muy buena / Oso ona;105;69;0;5,9;1,49;Buena / Ona
07/01/2017;24;47;83;Buena / Ona;84;24;Muy buena / Oso ona;6;Muy buena / Oso ona;109;77;0;4,8;1,4;Buena / Ona
06/01/2017;20;45;77;Buena / Ona;75;18;Muy buena / Oso ona;3;Muy buena / Oso ona;106;81;0;3,8;1,72;Buena / Ona
05/01/2017;43;55;89;Buena / Ona;120;31;Buena / Ona;6;Muy buena / Oso ona;103;81;0;4,8;2,85;Buena / Ona
04/01/2017;58;41;66;Buena / Ona;130;24;Muy buena / Oso ona;7;Muy buena / Oso ona;110;92;0;5,2;0,68;Buena / Ona
03/01/2017;43;46;72;Buena / Ona;112;25;Muy buena / Oso ona;4;Muy buena / Oso ona;100;85;0;5,8;1,3;Buena / Ona
02/01/2017;18;33;71;Buena / Ona;60;13;Muy buena / Oso ona;1;Muy buena / Oso ona;110;63;0;8,2;2,01;Buena / Ona
01/01/2017;8;26;52;Buena / Ona;38;12;Muy buena / Oso ona;1;Muy buena / Oso ona;99;73;0;4,9;1,16;Buena / Ona
