Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);V.vien (m/s);Tº (ºC);ICA Estación
18/04/2017;2;13;22;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;;;;;183;76;1018,7;0,26;;Muy buena / Oso ona
17/04/2017;2;10;16;Muy buena / Oso ona;13;14;Muy buena / Oso ona;;;;;;209;73;1017,5;0,12;;Muy buena / Oso ona
16/04/2017;1;9;16;Muy buena / Oso ona;12;9;Muy buena / Oso ona;;;;;;4;75;1021;0,17;;Muy buena / Oso ona
15/04/2017;1;11;24;Muy buena / Oso ona;14;13;Muy buena / Oso ona;;;;;;111;79;1020,3;0,33;;Muy buena / Oso ona
14/04/2017;2;14;19;Muy buena / Oso ona;17;17;Muy buena / Oso ona;;;;;;235;83;1017,2;0,24;;Muy buena / Oso ona
13/04/2017;3;16;27;Muy buena / Oso ona;20;14;Muy buena / Oso ona;;;;;;274;77;1015,4;0,07;;Muy buena / Oso ona
12/04/2017;3;18;33;Muy buena / Oso ona;22;18;Muy buena / Oso ona;;;;;;262;76;1017,8;0,42;;Muy buena / Oso ona
11/04/2017;3;15;40;Muy buena / Oso ona;19;21;Muy buena / Oso ona;;;;;;354;74;1021,9;0,15;;Muy buena / Oso ona
10/04/2017;4;24;46;Muy buena / Oso ona;30;35;Buena / Ona;;;;;;97;83;1021,8;0,05;;Buena / Ona
09/04/2017;3;24;48;Muy buena / Oso ona;28;23;Muy buena / Oso ona;;;;;;115;73;1017;0,46;;Muy buena / Oso ona
08/04/2017;3;24;62;Buena / Ona;28;19;Muy buena / Oso ona;;;;;;244;62;1013,7;0,79;;Buena / Ona
07/04/2017;4;20;33;Muy buena / Oso ona;25;18;Muy buena / Oso ona;;;;;;251;77;1017,3;0,3;;Muy buena / Oso ona
06/04/2017;4;17;48;Muy buena / Oso ona;23;16;Muy buena / Oso ona;;;;;;128;79;1021,7;0,63;;Muy buena / Oso ona
05/04/2017;2;13;23;Muy buena / Oso ona;16;12;Muy buena / Oso ona;;;;;;110;87;1023,3;1,13;;Muy buena / Oso ona
04/04/2017;3;17;40;Muy buena / Oso ona;22;12;Muy buena / Oso ona;;;;;;136;82;1024,2;0,41;;Muy buena / Oso ona
03/04/2017;3;18;41;Muy buena / Oso ona;23;12;Muy buena / Oso ona;;;;;;246;76;1021,6;0,57;;Muy buena / Oso ona
02/04/2017;2;8;16;Muy buena / Oso ona;11;12;Muy buena / Oso ona;;;;;;165;78;1021;0,79;;Muy buena / Oso ona
01/04/2017;2;6;12;Muy buena / Oso ona;9;8;Muy buena / Oso ona;;;;;;238;78;1017,1;1,05;;Muy buena / Oso ona
31/03/2017;4;17;58;Buena / Ona;22;16;Muy buena / Oso ona;;;;;;257;75;1014,1;0,28;;Buena / Ona
30/03/2017;3;16;40;Muy buena / Oso ona;20;11;Muy buena / Oso ona;;;;;;228;55;1015;0,53;;Muy buena / Oso ona
29/03/2017;3;21;49;Muy buena / Oso ona;26;11;Muy buena / Oso ona;;;;;;240;59;1019,8;0,81;;Muy buena / Oso ona
28/03/2017;3;18;46;Muy buena / Oso ona;22;10;Muy buena / Oso ona;;;;;;230;61;1020,7;1,16;;Muy buena / Oso ona
27/03/2017;2;12;26;Muy buena / Oso ona;15;8;Muy buena / Oso ona;;;;;;230;63;1011,9;0,63;;Muy buena / Oso ona
26/03/2017;2;9;18;Muy buena / Oso ona;12;6;Muy buena / Oso ona;;;;;;240;65;1008,8;0,66;;Muy buena / Oso ona
25/03/2017;2;10;19;Muy buena / Oso ona;13;5;Muy buena / Oso ona;;;;;;264;87;1008,4;0,99;;Muy buena / Oso ona
24/03/2017;3;17;35;Muy buena / Oso ona;22;7;Muy buena / Oso ona;;;;;;63;67;1011,7;0,1;;Muy buena / Oso ona
23/03/2017;2;13;33;Muy buena / Oso ona;17;6;Muy buena / Oso ona;;;;;;245;64;1005,7;1,43;;Muy buena / Oso ona
22/03/2017;2;16;36;Muy buena / Oso ona;19;7;Muy buena / Oso ona;;;;;;264;81;1006,9;0,51;;Muy buena / Oso ona
21/03/2017;2;15;24;Muy buena / Oso ona;17;8;Muy buena / Oso ona;;;;;;185;85;1014,6;0,38;;Muy buena / Oso ona
20/03/2017;2;20;40;Muy buena / Oso ona;23;22;Muy buena / Oso ona;;;;;;102;79;1014,6;0,23;;Muy buena / Oso ona
19/03/2017;2;13;21;Muy buena / Oso ona;16;14;Muy buena / Oso ona;;;;;;78;80;1018,1;0,28;;Muy buena / Oso ona
18/03/2017;2;13;22;Muy buena / Oso ona;16;16;Muy buena / Oso ona;;;;;;19;77;1021,5;0,1;;Muy buena / Oso ona
17/03/2017;3;20;38;Muy buena / Oso ona;26;23;Muy buena / Oso ona;;;;;;82;82;1020,6;0,21;;Muy buena / Oso ona
16/03/2017;2;18;49;Muy buena / Oso ona;20;13;Muy buena / Oso ona;;;;;;228;59;1016,2;0,61;;Muy buena / Oso ona
15/03/2017;3;19;35;Muy buena / Oso ona;24;22;Muy buena / Oso ona;;;;;;271;82;1024,1;0,25;;Muy buena / Oso ona
14/03/2017;2;18;32;Muy buena / Oso ona;21;21;Muy buena / Oso ona;;;;;;168;86;1029,3;0,57;;Muy buena / Oso ona
13/03/2017;1;15;27;Muy buena / Oso ona;16;17;Muy buena / Oso ona;;;;;;115;85;1025,4;1,82;;Muy buena / Oso ona
12/03/2017;0;5;11;Muy buena / Oso ona;6;12;Muy buena / Oso ona;;;;;;190;77;1017,6;1,49;;Muy buena / Oso ona
11/03/2017;1;14;22;Muy buena / Oso ona;16;20;Muy buena / Oso ona;;;;;;124;69;1013,9;0,51;;Muy buena / Oso ona
10/03/2017;8;35;82;Buena / Ona;48;21;Muy buena / Oso ona;;;;;;203;74;1016,8;0,4;;Buena / Ona
09/03/2017;5;27;47;Muy buena / Oso ona;35;26;Buena / Ona;;;;;;111;81;1022,4;0,24;;Buena / Ona
08/03/2017;4;16;28;Muy buena / Oso ona;22;13;Muy buena / Oso ona;;;;;;28;81;1024,4;0,1;;Muy buena / Oso ona
07/03/2017;1;13;28;Muy buena / Oso ona;16;18;Muy buena / Oso ona;;;;;;221;84;1023,3;0,49;;Muy buena / Oso ona
06/03/2017;2;12;45;Muy buena / Oso ona;14;20;Muy buena / Oso ona;;;;;;255;75;1018,5;1,07;;Muy buena / Oso ona
05/03/2017;1;11;34;Muy buena / Oso ona;12;17;Muy buena / Oso ona;;;;;;259;73;1010;1,26;;Muy buena / Oso ona
04/03/2017;1;10;32;Muy buena / Oso ona;11;8;Muy buena / Oso ona;;;;;;247;73;1001,8;0,92;;Muy buena / Oso ona
03/03/2017;1;11;24;Muy buena / Oso ona;12;10;Muy buena / Oso ona;;;;;;141;67;997,7;0,32;;Muy buena / Oso ona
02/03/2017;3;16;36;Muy buena / Oso ona;21;10;Muy buena / Oso ona;;;;;;245;71;1012;0,69;;Muy buena / Oso ona
01/03/2017;1;14;33;Muy buena / Oso ona;16;10;Muy buena / Oso ona;;;;;;252;73;1013,4;1,12;;Muy buena / Oso ona
28/02/2017;1;9;17;Muy buena / Oso ona;10;;Sin datos / Daturik gabe;;;;;;245;80;1008,5;1,17;;Muy buena / Oso ona
27/02/2017;1;11;28;Muy buena / Oso ona;12;13;Muy buena / Oso ona;;;;;;254;70;1006,9;0,93;;Muy buena / Oso ona
26/02/2017;2;17;28;Muy buena / Oso ona;20;18;Muy buena / Oso ona;;;;;;196;80;1015,9;0,32;;Muy buena / Oso ona
25/02/2017;4;22;47;Muy buena / Oso ona;28;18;Muy buena / Oso ona;;;;;;232;76;1016,6;0,35;;Muy buena / Oso ona
24/02/2017;1;17;44;Muy buena / Oso ona;19;13;Muy buena / Oso ona;;;;;;105;85;1017,5;0,66;;Muy buena / Oso ona
23/02/2017;8;30;45;Muy buena / Oso ona;43;38;Buena / Ona;;;;;;103;83;1013,2;0,21;;Buena / Ona
22/02/2017;8;35;78;Buena / Ona;47;22;Muy buena / Oso ona;;;;;;135;82;1017,5;0,3;;Buena / Ona
21/02/2017;3;22;40;Muy buena / Oso ona;28;13;Muy buena / Oso ona;;;;;;233;82;1022,9;0,28;;Muy buena / Oso ona
20/02/2017;4;22;36;Muy buena / Oso ona;28;17;Muy buena / Oso ona;;;;;;242;79;1024,9;0,41;;Muy buena / Oso ona
19/02/2017;1;19;31;Muy buena / Oso ona;21;17;Muy buena / Oso ona;;;;;;133;87;1024,1;0,14;;Muy buena / Oso ona
18/02/2017;3;18;40;Muy buena / Oso ona;22;15;Muy buena / Oso ona;;;;;;148;81;1018,8;0,49;;Muy buena / Oso ona
17/02/2017;5;29;70;Buena / Ona;37;16;Muy buena / Oso ona;;;;;;188;76;1022,8;0,43;;Buena / Ona
16/02/2017;2;18;42;Muy buena / Oso ona;21;15;Muy buena / Oso ona;;;;;;233;70;1026,2;1,34;;Muy buena / Oso ona
15/02/2017;2;15;44;Muy buena / Oso ona;18;9;Muy buena / Oso ona;;;;;;242;59;1025;1,17;;Muy buena / Oso ona
14/02/2017;1;10;26;Muy buena / Oso ona;12;5;Muy buena / Oso ona;;;;;;231;58;1015,9;1,04;;Muy buena / Oso ona
13/02/2017;2;12;33;Muy buena / Oso ona;15;17;Muy buena / Oso ona;;;;;;167;66;1001,5;0,41;;Muy buena / Oso ona
12/02/2017;1;11;20;Muy buena / Oso ona;13;18;Muy buena / Oso ona;;;;;;87;75;1000,4;0,52;;Muy buena / Oso ona
11/02/2017;4;21;39;Muy buena / Oso ona;27;15;Muy buena / Oso ona;;;;;;282;87;1010,7;0,1;;Muy buena / Oso ona
10/02/2017;3;17;43;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;;;;;;251;54;1007,6;1,4;;Muy buena / Oso ona
09/02/2017;2;13;25;Muy buena / Oso ona;16;6;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;250;71;1014,2;1,48;;Muy buena / Oso ona
08/02/2017;1;13;26;Muy buena / Oso ona;15;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;191;82;1024,7;1;;Muy buena / Oso ona
07/02/2017;2;14;34;Muy buena / Oso ona;16;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;213;85;1019,7;0,93;;Muy buena / Oso ona
06/02/2017;3;15;36;Muy buena / Oso ona;19;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;242;86;1020;0,88;;Muy buena / Oso ona
05/02/2017;1;4;9;Muy buena / Oso ona;6;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;236;70;1010,7;2,75;;Muy buena / Oso ona
04/02/2017;2;13;28;Muy buena / Oso ona;16;8;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;252;83;1002,9;0,96;;Muy buena / Oso ona
03/02/2017;1;6;14;Muy buena / Oso ona;8;7;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;235;46;1002,1;1,92;;Muy buena / Oso ona
02/02/2017;1;7;27;Muy buena / Oso ona;8;5;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;235;50;1002,3;2,13;;Muy buena / Oso ona
01/02/2017;1;12;38;Muy buena / Oso ona;14;7;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;244;59;1008,1;1,2;;Muy buena / Oso ona
31/01/2017;1;10;22;Muy buena / Oso ona;12;6;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;233;54;1009;0,88;;Muy buena / Oso ona
30/01/2017;1;9;17;Muy buena / Oso ona;11;5;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;243;66;1012,9;1,68;;Muy buena / Oso ona
29/01/2017;1;8;18;Muy buena / Oso ona;9;4;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;249;65;1015,9;2,44;;Muy buena / Oso ona
28/01/2017;2;16;37;Muy buena / Oso ona;19;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;242;76;1016,5;0,6;;Muy buena / Oso ona
27/01/2017;1;12;29;Muy buena / Oso ona;14;9;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;243;60;1004,2;1,29;;Muy buena / Oso ona
26/01/2017;2;15;24;Muy buena / Oso ona;18;12;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;246;61;1007,4;1,84;;Muy buena / Oso ona
25/01/2017;5;27;53;Buena / Ona;34;14;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;226;80;1019,2;0,63;;Buena / Ona
24/01/2017;6;27;46;Muy buena / Oso ona;37;17;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;202;84;1023,9;0,35;;Muy buena / Oso ona
23/01/2017;5;24;44;Muy buena / Oso ona;32;15;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;174;85;1020,8;0,34;;Muy buena / Oso ona
22/01/2017;3;22;47;Muy buena / Oso ona;27;17;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;211;86;1019;0,41;;Muy buena / Oso ona
21/01/2017;10;35;61;Buena / Ona;50;21;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;213;81;1018,8;0,58;;Buena / Ona
20/01/2017;16;34;58;Buena / Ona;59;20;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;219;81;1021,5;0,46;;Buena / Ona
19/01/2017;6;29;41;Muy buena / Oso ona;39;16;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;316;81;1023,3;0,12;;Muy buena / Oso ona
18/01/2017;4;27;53;Buena / Ona;33;14;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;2;80;1024,4;0,21;;Buena / Ona
17/01/2017;1;14;33;Muy buena / Oso ona;16;7;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;74;70;1024,7;1,16;;Muy buena / Oso ona
16/01/2017;1;11;28;Muy buena / Oso ona;12;8;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;128;89;1023,2;1,95;;Muy buena / Oso ona
15/01/2017;0;8;17;Muy buena / Oso ona;9;8;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;160;86;1026,7;0,9;;Muy buena / Oso ona
14/01/2017;1;9;18;Muy buena / Oso ona;11;6;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;203;86;1025,9;0,78;;Muy buena / Oso ona
13/01/2017;1;10;19;Muy buena / Oso ona;12;10;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;206;79;1021,5;1,7;;Muy buena / Oso ona
12/01/2017;8;18;54;Buena / Ona;30;10;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;214;89;1018;0,73;;Buena / Ona
11/01/2017;2;19;45;Muy buena / Oso ona;21;6;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;164;92;1021,1;0,93;;Muy buena / Oso ona
10/01/2017;1;12;24;Muy buena / Oso ona;14;7;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;138;90;1018,1;1,6;;Muy buena / Oso ona
09/01/2017;12;32;46;Muy buena / Oso ona;50;13;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;210;81;1026;0,28;;Muy buena / Oso ona
08/01/2017;12;30;57;Buena / Ona;48;16;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;215;72;1030,9;0,46;;Buena / Ona
07/01/2017;6;26;50;Muy buena / Oso ona;35;14;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;228;76;1031,3;0,91;;Muy buena / Oso ona
06/01/2017;4;21;37;Muy buena / Oso ona;28;13;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;212;82;1030,4;0,53;;Muy buena / Oso ona
05/01/2017;6;27;46;Muy buena / Oso ona;36;13;Muy buena / Oso ona;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;199;81;1027,7;0,29;;Muy buena / Oso ona
04/01/2017;20;27;46;Muy buena / Oso ona;57;21;Muy buena / Oso ona;7;12;Muy buena / Oso ona;7;Muy buena / Oso ona;219;88;1024,9;0,57;;Muy buena / Oso ona
03/01/2017;19;27;47;Muy buena / Oso ona;57;20;Muy buena / Oso ona;9;13;Muy buena / Oso ona;6;Muy buena / Oso ona;208;83;1021,8;0,38;;Muy buena / Oso ona
02/01/2017;3;14;35;Muy buena / Oso ona;18;11;Muy buena / Oso ona;38;54;Muy buena / Oso ona;5;Muy buena / Oso ona;258;68;1016,8;1,98;;Muy buena / Oso ona
01/01/2017;3;12;28;Muy buena / Oso ona;17;11;Muy buena / Oso ona;29;40;Muy buena / Oso ona;5;Muy buena / Oso ona;245;74;1020,4;1,07;;Muy buena / Oso ona
