Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
18/02/2017;2;12;26;Muy buena / Oso ona;15;45;94;Buena / Ona;21;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
17/02/2017;7;20;43;Muy buena / Oso ona;31;27;64;Buena / Ona;26;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
16/02/2017;9;19;40;Muy buena / Oso ona;32;25;61;Buena / Ona;24;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
15/02/2017;7;22;49;Muy buena / Oso ona;33;35;66;Buena / Ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
14/02/2017;6;18;37;Muy buena / Oso ona;27;36;77;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
13/02/2017;1;14;41;Muy buena / Oso ona;15;64;84;Buena / Ona;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;Buena / Ona
12/02/2017;0;9;19;Muy buena / Oso ona;10;51;82;Buena / Ona;21;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
11/02/2017;6;20;36;Muy buena / Oso ona;28;14;26;Muy buena / Oso ona;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
10/02/2017;5;24;41;Muy buena / Oso ona;32;29;62;Buena / Ona;19;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
09/02/2017;4;19;45;Muy buena / Oso ona;25;36;60;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
08/02/2017;1;14;38;Muy buena / Oso ona;16;62;80;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
07/02/2017;2;17;32;Muy buena / Oso ona;20;50;77;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
06/02/2017;7;19;35;Muy buena / Oso ona;29;37;67;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
05/02/2017;0;4;9;Muy buena / Oso ona;5;67;71;Buena / Ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
04/02/2017;1;12;30;Muy buena / Oso ona;13;51;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
03/02/2017;1;5;32;Muy buena / Oso ona;6;61;63;Buena / Ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
02/02/2017;0;3;7;Muy buena / Oso ona;4;57;63;Buena / Ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
01/02/2017;2;10;48;Muy buena / Oso ona;13;41;45;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
31/01/2017;2;16;39;Muy buena / Oso ona;19;41;48;Muy buena / Oso ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
30/01/2017;10;19;42;Muy buena / Oso ona;34;29;38;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
29/01/2017;5;26;47;Muy buena / Oso ona;34;36;47;Muy buena / Oso ona;18;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
28/01/2017;5;21;42;Muy buena / Oso ona;30;44;52;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
27/01/2017;2;16;56;Buena / Ona;18;49;52;Muy buena / Oso ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/01/2017;9;23;45;Muy buena / Oso ona;36;47;53;Muy buena / Oso ona;20;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
25/01/2017;4;26;51;Buena / Ona;32;48;57;Muy buena / Oso ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
24/01/2017;8;22;51;Buena / Ona;35;58;69;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
