Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
14/06/2017;0,16;0,22;Muy buena / Oso ona;3;14;33;Muy buena / Oso ona;19;27;Buena / Ona;342;87;1016,4;20,2;0,78;Buena / Ona
13/06/2017;0,2;0,28;Muy buena / Oso ona;8;15;43;Muy buena / Oso ona;26;26;Buena / Ona;1;81;1015,9;19,8;0,35;Buena / Ona
12/06/2017;0,13;;Sin datos / Daturik gabe;3;11;29;Muy buena / Oso ona;16;18;Muy buena / Oso ona;31;86;1020,7;18,8;1,28;Muy buena / Oso ona
11/06/2017;0,15;0,17;Muy buena / Oso ona;3;10;30;Muy buena / Oso ona;14;23;Muy buena / Oso ona;349;84;1020,9;20,1;1,3;Muy buena / Oso ona
10/06/2017;0,17;0,21;Muy buena / Oso ona;7;15;28;Muy buena / Oso ona;25;26;Buena / Ona;355;84;1019,1;19,8;0,54;Buena / Ona
09/06/2017;0,19;0,27;Muy buena / Oso ona;10;16;50;Muy buena / Oso ona;31;26;Buena / Ona;11;81;1018,5;18,2;0,54;Buena / Ona
08/06/2017;;;Sin datos / Daturik gabe;8;24;60;Buena / Ona;37;45;Buena / Ona;277;72;1014,6;20;0,67;Buena / Ona
07/06/2017;0,16;0,24;Muy buena / Oso ona;6;16;43;Muy buena / Oso ona;25;26;Buena / Ona;12;71;1021,9;17,7;0,38;Buena / Ona
06/06/2017;0,16;0,24;Muy buena / Oso ona;2;6;15;Muy buena / Oso ona;9;21;Muy buena / Oso ona;294;74;1020,4;16,6;1,07;Muy buena / Oso ona
05/06/2017;0,14;;Sin datos / Daturik gabe;7;15;44;Muy buena / Oso ona;26;14;Muy buena / Oso ona;279;73;1016,7;18;0,32;Muy buena / Oso ona
04/06/2017;;;Sin datos / Daturik gabe;2;9;22;Muy buena / Oso ona;12;11;Muy buena / Oso ona;244;90;1022,3;14,2;0,77;Muy buena / Oso ona
03/06/2017;0,13;0,19;Muy buena / Oso ona;2;7;14;Muy buena / Oso ona;10;14;Muy buena / Oso ona;251;88;1021,4;15,8;1,08;Muy buena / Oso ona
02/06/2017;0,15;0,26;Muy buena / Oso ona;2;11;29;Muy buena / Oso ona;15;20;Muy buena / Oso ona;285;89;1019,6;17,8;0,73;Muy buena / Oso ona
01/06/2017;0,24;0,34;Muy buena / Oso ona;9;17;42;Muy buena / Oso ona;30;29;Buena / Ona;314;83;1019,2;19,6;0,61;Buena / Ona
31/05/2017;0,16;0,22;Muy buena / Oso ona;3;11;30;Muy buena / Oso ona;16;14;Muy buena / Oso ona;5;82;1020,7;18,9;0,8;Muy buena / Oso ona
30/05/2017;0,14;0,18;Muy buena / Oso ona;3;10;26;Muy buena / Oso ona;13;8;Muy buena / Oso ona;22;86;1020,6;17,6;1,03;Muy buena / Oso ona
