Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;D.vien (grados);V.vien (m/s);ICA Estación
17/05/2017;9;41;56;Buena / Ona;56;25;Muy buena / Oso ona;19;Buena / Ona;4;Muy buena / Oso ona;318;1,19;Buena / Ona
16/05/2017;13;38;56;Buena / Ona;59;32;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;315;0,99;Buena / Ona
15/05/2017;17;45;64;Buena / Ona;71;21;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;251;0,56;Buena / Ona
14/05/2017;4;18;42;Muy buena / Oso ona;24;12;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;236;0,4;Muy buena / Oso ona
13/05/2017;3;16;38;Muy buena / Oso ona;22;9;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;322;0,97;Muy buena / Oso ona
12/05/2017;5;16;36;Muy buena / Oso ona;24;7;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;160;1,38;Muy buena / Oso ona
11/05/2017;5;16;36;Muy buena / Oso ona;23;6;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;152;1,95;Muy buena / Oso ona
10/05/2017;10;33;56;Buena / Ona;49;22;Muy buena / Oso ona;17;Buena / Ona;3;Muy buena / Oso ona;316;0,46;Buena / Ona
09/05/2017;12;36;53;Buena / Ona;55;24;Muy buena / Oso ona;21;Buena / Ona;4;Muy buena / Oso ona;220;0,26;Buena / Ona
08/05/2017;14;29;47;Muy buena / Oso ona;51;17;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;258;0,32;Muy buena / Oso ona
07/05/2017;4;17;30;Muy buena / Oso ona;22;10;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;276;0,76;Muy buena / Oso ona
06/05/2017;3;10;23;Muy buena / Oso ona;14;9;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;297;0,7;Muy buena / Oso ona
05/05/2017;6;33;70;Buena / Ona;43;23;Muy buena / Oso ona;17;Buena / Ona;4;Muy buena / Oso ona;157;0,98;Buena / Ona
04/05/2017;12;32;61;Buena / Ona;51;24;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;122;0,6;Buena / Ona
03/05/2017;8;23;39;Muy buena / Oso ona;35;20;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;335;0,74;Muy buena / Oso ona
02/05/2017;6;24;36;Muy buena / Oso ona;34;13;Muy buena / Oso ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;327;2,09;Muy buena / Oso ona
01/05/2017;2;13;41;Muy buena / Oso ona;17;11;Muy buena / Oso ona;4;Muy buena / Oso ona;6;Muy buena / Oso ona;318;1,46;Muy buena / Oso ona
30/04/2017;2;10;41;Muy buena / Oso ona;14;9;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;218;0,7;Muy buena / Oso ona
29/04/2017;3;15;39;Muy buena / Oso ona;20;12;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;144;4,65;Muy buena / Oso ona
28/04/2017;18;33;56;Buena / Ona;61;21;Muy buena / Oso ona;19;Buena / Ona;7;Muy buena / Oso ona;123;1,02;Buena / Ona
27/04/2017;9;29;52;Buena / Ona;44;12;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;328;1,68;Buena / Ona
26/04/2017;7;27;57;Buena / Ona;39;7;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;336;2,54;Buena / Ona
25/04/2017;8;31;56;Buena / Ona;44;16;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;321;2;Buena / Ona
24/04/2017;19;36;65;Buena / Ona;66;22;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;299;1,19;Buena / Ona
23/04/2017;4;25;38;Muy buena / Oso ona;31;22;Muy buena / Oso ona;17;Buena / Ona;9;Muy buena / Oso ona;269;0,84;Buena / Ona
22/04/2017;2;14;26;Muy buena / Oso ona;18;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;169;0,51;Muy buena / Oso ona
21/04/2017;13;40;64;Buena / Ona;60;26;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;152;1,59;Buena / Ona
20/04/2017;5;21;39;Muy buena / Oso ona;28;17;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;100;1,2;Muy buena / Oso ona
19/04/2017;4;22;38;Muy buena / Oso ona;29;17;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;32;1,55;Muy buena / Oso ona
18/04/2017;14;29;56;Buena / Ona;51;23;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;345;1,18;Buena / Ona
17/04/2017;4;16;30;Muy buena / Oso ona;23;15;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;301;0,83;Muy buena / Oso ona
16/04/2017;2;10;25;Muy buena / Oso ona;15;10;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;112;0,57;Muy buena / Oso ona
15/04/2017;3;15;40;Muy buena / Oso ona;20;16;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;330;1,42;Muy buena / Oso ona
14/04/2017;2;13;25;Muy buena / Oso ona;16;21;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;323;1,35;Muy buena / Oso ona
13/04/2017;4;19;36;Muy buena / Oso ona;25;18;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;305;0,91;Muy buena / Oso ona
12/04/2017;14;31;;Sin datos / Daturik gabe;52;27;Buena / Ona;20;Buena / Ona;4;Muy buena / Oso ona;291;1,15;Buena / Ona
11/04/2017;5;21;41;Muy buena / Oso ona;30;22;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;327;2,03;Muy buena / Oso ona
10/04/2017;6;28;56;Buena / Ona;38;26;Buena / Ona;27;Buena / Ona;14;Muy buena / Oso ona;332;2,23;Buena / Ona
09/04/2017;6;34;88;Buena / Ona;45;28;Buena / Ona;26;Buena / Ona;11;Muy buena / Oso ona;317;1,5;Buena / Ona
08/04/2017;4;37;75;Buena / Ona;43;25;Muy buena / Oso ona;21;Buena / Ona;8;Muy buena / Oso ona;163;0,86;Buena / Ona
07/04/2017;13;34;54;Buena / Ona;54;27;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;290;0,36;Buena / Ona
06/04/2017;8;24;41;Muy buena / Oso ona;36;25;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;328;3,3;Muy buena / Oso ona
05/04/2017;8;23;42;Muy buena / Oso ona;36;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;331;4,46;Muy buena / Oso ona
04/04/2017;7;25;49;Muy buena / Oso ona;37;12;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;325;3,32;Muy buena / Oso ona
03/04/2017;20;32;60;Buena / Ona;63;18;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;246;0,3;Buena / Ona
02/04/2017;2;9;26;Muy buena / Oso ona;12;11;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;320;3,77;Muy buena / Oso ona
01/04/2017;2;7;12;Muy buena / Oso ona;10;9;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;313;4,84;Muy buena / Oso ona
31/03/2017;10;34;67;Buena / Ona;49;16;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;306;0,96;Buena / Ona
30/03/2017;7;35;63;Buena / Ona;46;18;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;151;2,23;Buena / Ona
29/03/2017;19;54;83;Buena / Ona;83;22;Muy buena / Oso ona;17;Buena / Ona;7;Muy buena / Oso ona;179;1,02;Buena / Ona
28/03/2017;9;35;83;Buena / Ona;49;18;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;279;0,94;Buena / Ona
27/03/2017;6;25;72;Buena / Ona;34;9;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;151;2,56;Buena / Ona
26/03/2017;2;14;33;Muy buena / Oso ona;18;8;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;142;3,16;Muy buena / Oso ona
25/03/2017;2;17;41;Muy buena / Oso ona;21;6;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;243;1,01;Muy buena / Oso ona
24/03/2017;11;30;63;Buena / Ona;48;14;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;133;0,48;Buena / Ona
23/03/2017;7;27;70;Buena / Ona;37;7;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;164;2,02;Buena / Ona
22/03/2017;8;31;53;Buena / Ona;43;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;248;0,37;Buena / Ona
21/03/2017;10;38;68;Buena / Ona;53;14;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;275;1,17;Buena / Ona
20/03/2017;8;26;48;Muy buena / Oso ona;39;21;Muy buena / Oso ona;20;Buena / Ona;5;Muy buena / Oso ona;341;0,85;Buena / Ona
19/03/2017;10;22;42;Muy buena / Oso ona;37;18;Muy buena / Oso ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;348;0,4;Muy buena / Oso ona
18/03/2017;5;15;26;Muy buena / Oso ona;22;18;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;338;1,19;Muy buena / Oso ona
17/03/2017;11;33;61;Buena / Ona;50;28;Buena / Ona;18;Buena / Ona;3;Muy buena / Oso ona;328;2,28;Buena / Ona
16/03/2017;13;45;92;Buena / Ona;65;21;Muy buena / Oso ona;17;Buena / Ona;4;Muy buena / Oso ona;148;2,49;Buena / Ona
15/03/2017;12;37;69;Buena / Ona;56;29;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;313;0,89;Buena / Ona
14/03/2017;13;27;51;Buena / Ona;47;24;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;333;3,12;Buena / Ona
13/03/2017;13;32;62;Buena / Ona;53;20;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;331;6,84;Buena / Ona
12/03/2017;4;7;18;Muy buena / Oso ona;13;14;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;319;6,2;Muy buena / Oso ona
11/03/2017;12;36;72;Buena / Ona;54;28;Buena / Ona;26;Buena / Ona;10;Muy buena / Oso ona;306;1,95;Buena / Ona
10/03/2017;52;57;85;Buena / Ona;138;39;Buena / Ona;34;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;177;1,63;Mejorable / Hobetzeko modukoa
09/03/2017;11;37;80;Buena / Ona;53;22;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;101;0,32;Buena / Ona
08/03/2017;10;18;34;Muy buena / Oso ona;34;16;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;346;0,9;Muy buena / Oso ona
07/03/2017;13;18;37;Muy buena / Oso ona;38;24;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;309;2,87;Muy buena / Oso ona
06/03/2017;5;14;28;Muy buena / Oso ona;22;22;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;313;3,95;Muy buena / Oso ona
05/03/2017;1;15;34;Muy buena / Oso ona;18;17;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;282;0,48;Muy buena / Oso ona
04/03/2017;1;12;38;Muy buena / Oso ona;14;9;Muy buena / Oso ona;4;Muy buena / Oso ona;9;Muy buena / Oso ona;295;1,94;Muy buena / Oso ona
03/03/2017;4;18;35;Muy buena / Oso ona;24;15;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;287;0,39;Muy buena / Oso ona
02/03/2017;40;33;52;Buena / Ona;94;26;Buena / Ona;20;Buena / Ona;6;Muy buena / Oso ona;177;1,34;Buena / Ona
01/03/2017;12;18;38;Muy buena / Oso ona;36;9;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;196;1,24;Muy buena / Oso ona
28/02/2017;2;14;23;Muy buena / Oso ona;18;15;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;288;2;Muy buena / Oso ona
27/02/2017;5;19;32;Muy buena / Oso ona;26;16;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;242;0,74;Muy buena / Oso ona
26/02/2017;5;20;39;Muy buena / Oso ona;29;25;Muy buena / Oso ona;22;Buena / Ona;9;Muy buena / Oso ona;196;0,46;Buena / Ona
25/02/2017;4;20;33;Muy buena / Oso ona;26;20;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;180;1,06;Muy buena / Oso ona
24/02/2017;7;20;31;Muy buena / Oso ona;30;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;333;1,87;Muy buena / Oso ona
23/02/2017;13;26;36;Muy buena / Oso ona;46;39;Buena / Ona;35;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;323;1,59;Mejorable / Hobetzeko modukoa
22/02/2017;28;29;46;Muy buena / Oso ona;72;29;Buena / Ona;26;Buena / Ona;5;Muy buena / Oso ona;179;1,07;Buena / Ona
21/02/2017;32;31;39;Muy buena / Oso ona;81;21;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;179;0,93;Muy buena / Oso ona
20/02/2017;15;23;39;Muy buena / Oso ona;45;19;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;312;0,78;Muy buena / Oso ona
19/02/2017;1;12;22;Muy buena / Oso ona;14;12;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;324;2,44;Muy buena / Oso ona
18/02/2017;10;23;39;Muy buena / Oso ona;39;25;Muy buena / Oso ona;25;Buena / Ona;6;Muy buena / Oso ona;285;0,73;Buena / Ona
17/02/2017;25;37;49;Muy buena / Oso ona;75;28;Buena / Ona;23;Buena / Ona;7;Muy buena / Oso ona;187;1,3;Buena / Ona
16/02/2017;9;25;47;Muy buena / Oso ona;39;17;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;159;1,44;Muy buena / Oso ona
15/02/2017;5;17;38;Muy buena / Oso ona;25;11;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;142;3,93;Muy buena / Oso ona
14/02/2017;4;17;34;Muy buena / Oso ona;24;9;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;143;3,02;Muy buena / Oso ona
13/02/2017;4;17;43;Muy buena / Oso ona;23;24;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;140;5,99;Muy buena / Oso ona
12/02/2017;1;11;16;Muy buena / Oso ona;13;23;Muy buena / Oso ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;138;6,12;Muy buena / Oso ona
11/02/2017;9;22;36;Muy buena / Oso ona;36;31;Buena / Ona;27;Buena / Ona;6;Muy buena / Oso ona;135;0,73;Buena / Ona
10/02/2017;12;24;47;Muy buena / Oso ona;43;;Sin datos / Daturik gabe;12;Muy buena / Oso ona;4;Muy buena / Oso ona;149;3,49;Muy buena / Oso ona
09/02/2017;13;24;40;Muy buena / Oso ona;45;;Sin datos / Daturik gabe;15;Muy buena / Oso ona;4;Muy buena / Oso ona;148;3,34;Muy buena / Oso ona
08/02/2017;6;15;29;Muy buena / Oso ona;24;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;320;5,17;Muy buena / Oso ona
07/02/2017;4;14;26;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;305;3,14;Muy buena / Oso ona
06/02/2017;42;25;41;Muy buena / Oso ona;90;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;4;Muy buena / Oso ona;197;1,68;Muy buena / Oso ona
05/02/2017;1;4;8;Muy buena / Oso ona;5;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;3;Muy buena / Oso ona;312;5,45;Muy buena / Oso ona
04/02/2017;2;16;34;Muy buena / Oso ona;19;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;285;0,69;Muy buena / Oso ona
03/02/2017;3;12;27;Muy buena / Oso ona;17;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;160;1,97;Muy buena / Oso ona
02/02/2017;4;15;29;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;3;Muy buena / Oso ona;163;2,25;Muy buena / Oso ona
01/02/2017;3;16;21;Muy buena / Oso ona;21;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;3;Muy buena / Oso ona;145;2,57;Muy buena / Oso ona
31/01/2017;3;14;28;Muy buena / Oso ona;19;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;3;Muy buena / Oso ona;142;3,82;Muy buena / Oso ona
30/01/2017;13;18;34;Muy buena / Oso ona;38;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;138;2,21;Muy buena / Oso ona
29/01/2017;1;10;23;Muy buena / Oso ona;11;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;158;1,45;Muy buena / Oso ona
28/01/2017;3;13;42;Muy buena / Oso ona;18;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;277;1,34;Muy buena / Oso ona
27/01/2017;3;13;27;Muy buena / Oso ona;18;13;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;146;3,4;Muy buena / Oso ona
26/01/2017;5;20;35;Muy buena / Oso ona;29;23;Muy buena / Oso ona;20;Buena / Ona;5;Muy buena / Oso ona;142;4,63;Buena / Ona
25/01/2017;25;29;41;Muy buena / Oso ona;67;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;159;2,6;Muy buena / Oso ona
24/01/2017;40;28;50;Muy buena / Oso ona;90;26;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;306;0,32;Buena / Ona
23/01/2017;11;22;43;Muy buena / Oso ona;39;18;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;322;3,69;Muy buena / Oso ona
22/01/2017;8;19;29;Muy buena / Oso ona;31;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;;;Muy buena / Oso ona
21/01/2017;21;27;35;Muy buena / Oso ona;59;28;Buena / Ona;28;Buena / Ona;11;Muy buena / Oso ona;185;1,58;Buena / Ona
20/01/2017;44;27;43;Muy buena / Oso ona;95;32;Buena / Ona;29;Buena / Ona;6;Muy buena / Oso ona;175;1,86;Buena / Ona
19/01/2017;19;29;38;Muy buena / Oso ona;59;26;Buena / Ona;22;Buena / Ona;3;Muy buena / Oso ona;139;2,45;Buena / Ona
18/01/2017;11;25;34;Muy buena / Oso ona;42;17;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;341;2,09;Muy buena / Oso ona
17/01/2017;4;19;49;Muy buena / Oso ona;26;9;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;356;3,19;Muy buena / Oso ona
16/01/2017;7;15;33;Muy buena / Oso ona;27;9;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;326;7,5;Muy buena / Oso ona
15/01/2017;1;5;8;Muy buena / Oso ona;7;9;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;324;6,19;Muy buena / Oso ona
14/01/2017;1;5;10;Muy buena / Oso ona;7;8;Muy buena / Oso ona;3;Muy buena / Oso ona;3;Muy buena / Oso ona;321;4,49;Muy buena / Oso ona
13/01/2017;6;12;28;Muy buena / Oso ona;22;15;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;321;6,66;Muy buena / Oso ona
12/01/2017;41;18;31;Muy buena / Oso ona;81;19;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;287;1,36;Muy buena / Oso ona
11/01/2017;5;14;28;Muy buena / Oso ona;21;7;Muy buena / Oso ona;2;Muy buena / Oso ona;3;Muy buena / Oso ona;318;5,73;Muy buena / Oso ona
10/01/2017;6;22;34;Muy buena / Oso ona;32;13;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;320;5,77;Muy buena / Oso ona
09/01/2017;41;35;45;Muy buena / Oso ona;98;28;Buena / Ona;23;Buena / Ona;7;Muy buena / Oso ona;167;2,04;Buena / Ona
08/01/2017;12;26;41;Muy buena / Oso ona;45;28;Buena / Ona;27;Buena / Ona;10;Muy buena / Oso ona;162;2,48;Buena / Ona
07/01/2017;18;23;41;Muy buena / Oso ona;51;30;Buena / Ona;31;Buena / Ona;9;Muy buena / Oso ona;174;2,52;Buena / Ona
06/01/2017;17;24;36;Muy buena / Oso ona;51;27;Buena / Ona;26;Buena / Ona;6;Muy buena / Oso ona;168;2,2;Buena / Ona
05/01/2017;39;29;43;Muy buena / Oso ona;89;28;Buena / Ona;25;Buena / Ona;8;Muy buena / Oso ona;154;3,52;Buena / Ona
04/01/2017;54;23;35;Muy buena / Oso ona;107;29;Buena / Ona;28;Buena / Ona;8;Muy buena / Oso ona;185;1,61;Buena / Ona
03/01/2017;35;25;37;Muy buena / Oso ona;78;28;Buena / Ona;28;Buena / Ona;6;Muy buena / Oso ona;182;1,78;Buena / Ona
02/01/2017;16;22;38;Muy buena / Oso ona;46;17;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;145;2,76;Muy buena / Oso ona
01/01/2017;7;17;31;Muy buena / Oso ona;28;15;Muy buena / Oso ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;161;3,03;Muy buena / Oso ona
