Date;O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
01/07/2017;55;69;Buena / Ona;309;76;960,4;0;83,8;12,2;1,6;Buena / Ona
30/06/2017;53;69;Buena / Ona;287;74;952,9;0;84,5;12,3;1,2;Buena / Ona
29/06/2017;46;57;Muy buena / Oso ona;250;70;946,6;0;175,6;13,2;0,77;Muy buena / Oso ona
28/06/2017;52;64;Buena / Ona;252;74;943,5;0;210,2;16;1,38;Buena / Ona
27/06/2017;44;57;Muy buena / Oso ona;354;76;945,6;0;155,1;17,7;0,52;Muy buena / Oso ona
26/06/2017;52;75;Buena / Ona;332;74;947,5;0;188,2;19,9;0,5;Buena / Ona
25/06/2017;51;64;Buena / Ona;1;77;952,7;0;178,1;18,8;0,69;Buena / Ona
24/06/2017;62;70;Buena / Ona;4;77;957,4;0;167,9;17,9;1,67;Buena / Ona
23/06/2017;60;73;Buena / Ona;8;79;958,6;0;155,3;18,2;1,93;Buena / Ona
22/06/2017;72;106;Mejorable / Hobetzeko modukoa;357;78;954,8;0;230;19,8;1,22;Mejorable / Hobetzeko modukoa
21/06/2017;84;123;Mejorable / Hobetzeko modukoa;;;;0;287,4;;;Mejorable / Hobetzeko modukoa
20/06/2017;82;120;Mejorable / Hobetzeko modukoa;243;71;952;0;246,1;20,6;0,39;Mejorable / Hobetzeko modukoa
19/06/2017;83;110;Mejorable / Hobetzeko modukoa;260;76;950,3;0,1;277,5;19,8;1,29;Mejorable / Hobetzeko modukoa
18/06/2017;83;109;Mejorable / Hobetzeko modukoa;262;71;949,2;0;320,4;19,2;0,17;Mejorable / Hobetzeko modukoa
17/06/2017;74;98;Buena / Ona;334;74;953,9;0;327;17,7;0,25;Buena / Ona
16/06/2017;63;77;Buena / Ona;1;83;956,5;0;271;16,6;1,32;Buena / Ona
15/06/2017;58;75;Buena / Ona;10;86;953,7;0;105,4;16,7;1,87;Buena / Ona
14/06/2017;73;110;Mejorable / Hobetzeko modukoa;5;85;948,7;0;299,1;18,5;1,01;Mejorable / Hobetzeko modukoa
13/06/2017;62;90;Buena / Ona;328;81;947,8;0;266;17,5;0,49;Buena / Ona
12/06/2017;41;57;Muy buena / Oso ona;9;86;951,9;0;245,4;16,6;1,48;Muy buena / Oso ona
11/06/2017;63;81;Buena / Ona;355;84;952,3;0;258,6;17,3;1,08;Buena / Ona
10/06/2017;67;85;Buena / Ona;319;80;951,3;0;276,3;18,4;0,53;Buena / Ona
09/06/2017;55;74;Buena / Ona;11;81;949,7;0;249;15,6;0,74;Buena / Ona
08/06/2017;58;87;Buena / Ona;346;74;948,2;0;246,6;16,5;0,03;Buena / Ona
07/06/2017;54;82;Buena / Ona;308;74;953,4;0;329,9;12,7;0,17;Buena / Ona
06/06/2017;60;74;Buena / Ona;15;74;951;0;59,7;12,9;1,65;Buena / Ona
