Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;ICA Estación
01/07/2017;1;9;14;Muy buena / Oso ona;11;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/06/2017;2;10;18;Muy buena / Oso ona;12;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
29/06/2017;2;9;14;Muy buena / Oso ona;12;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
28/06/2017;1;7;15;Muy buena / Oso ona;10;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
27/06/2017;2;12;24;Muy buena / Oso ona;16;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
26/06/2017;3;13;37;Muy buena / Oso ona;18;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
25/06/2017;1;8;25;Muy buena / Oso ona;10;13;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
24/06/2017;1;6;8;Muy buena / Oso ona;8;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
23/06/2017;2;9;14;Muy buena / Oso ona;12;17;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
22/06/2017;3;16;50;Muy buena / Oso ona;20;25;Muy buena / Oso ona;15;Muy buena / Oso ona;Muy buena / Oso ona
21/06/2017;2;15;37;Muy buena / Oso ona;18;26;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
20/06/2017;2;15;34;Muy buena / Oso ona;19;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
19/06/2017;1;10;31;Muy buena / Oso ona;12;23;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
18/06/2017;1;8;17;Muy buena / Oso ona;11;17;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
17/06/2017;1;7;10;Muy buena / Oso ona;9;14;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
16/06/2017;1;8;15;Muy buena / Oso ona;10;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
15/06/2017;2;11;20;Muy buena / Oso ona;14;9;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
14/06/2017;3;11;17;Muy buena / Oso ona;16;23;Muy buena / Oso ona;;Sin datos / Daturik gabe;Muy buena / Oso ona
13/06/2017;2;12;26;Muy buena / Oso ona;16;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
12/06/2017;2;8;13;Muy buena / Oso ona;11;10;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;1;6;12;Muy buena / Oso ona;8;18;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
10/06/2017;1;7;13;Muy buena / Oso ona;9;17;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
09/06/2017;2;11;29;Muy buena / Oso ona;14;19;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
08/06/2017;5;17;54;Buena / Ona;24;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Buena / Ona
07/06/2017;4;13;35;Muy buena / Oso ona;20;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
06/06/2017;1;11;18;Muy buena / Oso ona;13;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
05/06/2017;0;9;20;Muy buena / Oso ona;9;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
04/06/2017;0;7;12;Muy buena / Oso ona;7;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;0;9;12;Muy buena / Oso ona;9;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;0;11;21;Muy buena / Oso ona;12;16;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
01/06/2017;0;11;19;Muy buena / Oso ona;12;17;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
31/05/2017;;;;Sin datos / Daturik gabe;9;11;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
30/05/2017;;;;Sin datos / Daturik gabe;9;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
29/05/2017;;;;Sin datos / Daturik gabe;9;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
28/05/2017;;;;Sin datos / Daturik gabe;4;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
27/05/2017;;;;Sin datos / Daturik gabe;9;23;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
26/05/2017;;;;Sin datos / Daturik gabe;19;21;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
25/05/2017;;;;Sin datos / Daturik gabe;23;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
24/05/2017;;;;Sin datos / Daturik gabe;20;20;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
23/05/2017;;;;Sin datos / Daturik gabe;12;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
22/05/2017;;;;Sin datos / Daturik gabe;18;23;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
21/05/2017;;;;Sin datos / Daturik gabe;10;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
20/05/2017;;;;Sin datos / Daturik gabe;14;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;;;;Sin datos / Daturik gabe;14;10;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
18/05/2017;;;;Sin datos / Daturik gabe;12;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/05/2017;;;;Sin datos / Daturik gabe;28;18;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
16/05/2017;;;;Sin datos / Daturik gabe;24;19;Muy buena / Oso ona;9;Muy buena / Oso ona;Muy buena / Oso ona
15/05/2017;;;;Sin datos / Daturik gabe;20;12;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
14/05/2017;;;;Sin datos / Daturik gabe;6;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
13/05/2017;;;;Sin datos / Daturik gabe;6;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;;;;Sin datos / Daturik gabe;10;7;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;;;;Sin datos / Daturik gabe;7;5;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
10/05/2017;;;;Sin datos / Daturik gabe;11;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
09/05/2017;;;;Sin datos / Daturik gabe;17;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
08/05/2017;;;;Sin datos / Daturik gabe;25;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
07/05/2017;;;;Sin datos / Daturik gabe;8;8;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;;;;Sin datos / Daturik gabe;6;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;;;;Sin datos / Daturik gabe;8;14;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
04/05/2017;;;;Sin datos / Daturik gabe;26;18;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
03/05/2017;;;;Sin datos / Daturik gabe;24;14;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
02/05/2017;;;;Sin datos / Daturik gabe;22;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
01/05/2017;;;;Sin datos / Daturik gabe;10;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
30/04/2017;;;;Sin datos / Daturik gabe;7;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
29/04/2017;;;;Sin datos / Daturik gabe;12;11;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
28/04/2017;;;;Sin datos / Daturik gabe;12;9;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
27/04/2017;;;;Sin datos / Daturik gabe;15;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
26/04/2017;;;;Sin datos / Daturik gabe;13;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
25/04/2017;;;;Sin datos / Daturik gabe;23;18;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
24/04/2017;;;;Sin datos / Daturik gabe;33;21;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
23/04/2017;;;;Sin datos / Daturik gabe;14;15;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
22/04/2017;;;;Sin datos / Daturik gabe;18;17;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
