Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
09/08/2017;;0,14;0,17;Muy buena / Oso ona;0,16;4;12;23;Muy buena / Oso ona;19;7;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;0,66;261;75;999,4;0;135;16,4;0,21;Muy buena / Oso ona
08/08/2017;;0,14;0,17;Muy buena / Oso ona;0,12;2;11;23;Muy buena / Oso ona;14;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;1;Muy buena / Oso ona;0,51;234;74;996,8;0;113,3;17,5;0,3;Muy buena / Oso ona
07/08/2017;;0,15;0,18;Muy buena / Oso ona;0,14;3;14;32;Muy buena / Oso ona;19;14;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;0,92;46;72;992,6;0;202;21,2;0,48;Muy buena / Oso ona
06/08/2017;;0,13;0,17;Muy buena / Oso ona;;1;7;13;Muy buena / Oso ona;9;10;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona;0,91;43;65;999,2;0;183,2;20,2;0,88;Muy buena / Oso ona
05/08/2017;;0,17;0,19;Muy buena / Oso ona;0,57;3;12;21;Muy buena / Oso ona;16;7;Muy buena / Oso ona;1;Muy buena / Oso ona;1;Muy buena / Oso ona;3,76;41;79;998,4;0;46,4;20,5;0,71;Muy buena / Oso ona
04/08/2017;;0,18;0,23;Muy buena / Oso ona;0,29;3;13;29;Muy buena / Oso ona;17;12;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;0,84;41;64;995,3;0;284,1;25,5;1,12;Muy buena / Oso ona
03/08/2017;0,16;0,21;0,26;Muy buena / Oso ona;0,74;1;11;25;Muy buena / Oso ona;13;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;1;Muy buena / Oso ona;1,42;47;66;995,8;0;294,1;24,9;1,19;Muy buena / Oso ona
02/08/2017;0,17;0,19;0,27;Muy buena / Oso ona;0,77;3;12;27;Muy buena / Oso ona;18;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;1;Muy buena / Oso ona;3;42;67;995,4;0;283,1;23,4;1,03;Muy buena / Oso ona
01/08/2017;;0,15;0,17;Muy buena / Oso ona;0,52;3;13;34;Muy buena / Oso ona;17;11;Muy buena / Oso ona;3;Muy buena / Oso ona;1;Muy buena / Oso ona;2,09;40;74;994,4;0;72,1;20,3;0,69;Muy buena / Oso ona
31/07/2017;;0,17;0,2;Muy buena / Oso ona;;1;9;20;Muy buena / Oso ona;11;14;Muy buena / Oso ona;4;Muy buena / Oso ona;0;Muy buena / Oso ona;0,57;347;74;991,1;0;65,3;20,1;0,21;Muy buena / Oso ona
30/07/2017;;0,17;0,2;Muy buena / Oso ona;;1;8;19;Muy buena / Oso ona;10;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0;Muy buena / Oso ona;0,67;44;70;992,6;0;174,6;21;0,9;Muy buena / Oso ona
29/07/2017;0,16;0,19;0,23;Muy buena / Oso ona;0,25;2;12;22;Muy buena / Oso ona;15;16;Muy buena / Oso ona;6;Muy buena / Oso ona;0;Muy buena / Oso ona;1,24;40;60;992,7;0;290,2;24,3;0,73;Muy buena / Oso ona
28/07/2017;0,15;0,19;0,22;Muy buena / Oso ona;0,28;2;12;30;Muy buena / Oso ona;15;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;0;Muy buena / Oso ona;1,2;41;74;995,3;0;253;22,7;1,18;Muy buena / Oso ona
27/07/2017;0,3;0,16;0,17;Muy buena / Oso ona;0,99;6;14;28;Muy buena / Oso ona;23;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;0;Muy buena / Oso ona;2,32;45;65;993,7;0;297,9;22,5;0,87;Muy buena / Oso ona
26/07/2017;0,25;0,17;0,19;Muy buena / Oso ona;0,32;7;15;30;Muy buena / Oso ona;26;16;Muy buena / Oso ona;5;Muy buena / Oso ona;0;Muy buena / Oso ona;1,66;36;69;995,1;0;274,5;20,5;0,94;Muy buena / Oso ona
25/07/2017;;0,12;0,13;Muy buena / Oso ona;;1;9;18;Muy buena / Oso ona;11;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0;Muy buena / Oso ona;0,7;19;74;998,9;0;91,9;18,2;0,39;Muy buena / Oso ona
24/07/2017;;0,13;0,14;Muy buena / Oso ona;0,12;3;10;24;Muy buena / Oso ona;15;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;1;Muy buena / Oso ona;0,52;288;82;999,8;0,1;130,6;19,1;0,2;Muy buena / Oso ona
