Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;ICA Estación
18/04/2017;0,27;0,33;Muy buena / Oso ona;5;19;40;Muy buena / Oso ona;23;13;Muy buena / Oso ona;Muy buena / Oso ona
17/04/2017;0,22;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;12;13;Muy buena / Oso ona;Muy buena / Oso ona
16/04/2017;0,19;0,25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;7;Muy buena / Oso ona;Muy buena / Oso ona
15/04/2017;0,22;0,33;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;14;11;Muy buena / Oso ona;Muy buena / Oso ona
14/04/2017;0,23;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;15;Muy buena / Oso ona;Muy buena / Oso ona
13/04/2017;0,24;0,31;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;19;13;Muy buena / Oso ona;Muy buena / Oso ona
12/04/2017;0,27;0,34;Muy buena / Oso ona;4;20;31;Muy buena / Oso ona;25;15;Muy buena / Oso ona;Muy buena / Oso ona
11/04/2017;0,18;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;14;16;Muy buena / Oso ona;Muy buena / Oso ona
10/04/2017;0,33;0,48;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;39;29;Buena / Ona;Buena / Ona
09/04/2017;0,32;0,43;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;21;15;Muy buena / Oso ona;Muy buena / Oso ona
08/04/2017;0,28;0,38;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;29;15;Muy buena / Oso ona;Muy buena / Oso ona
07/04/2017;0,34;0,44;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;35;21;Muy buena / Oso ona;Muy buena / Oso ona
06/04/2017;0,25;0,33;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;33;17;Muy buena / Oso ona;Muy buena / Oso ona
05/04/2017;0,2;0,23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;15;10;Muy buena / Oso ona;Muy buena / Oso ona
04/04/2017;0,24;0,29;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;19;12;Muy buena / Oso ona;Muy buena / Oso ona
03/04/2017;0,27;0,41;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;28;14;Muy buena / Oso ona;Muy buena / Oso ona
02/04/2017;0,18;0,24;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;10;9;Muy buena / Oso ona;Muy buena / Oso ona
01/04/2017;0,2;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;14;8;Muy buena / Oso ona;Muy buena / Oso ona
31/03/2017;0,31;0,45;Muy buena / Oso ona;8;30;71;Buena / Ona;37;15;Muy buena / Oso ona;Buena / Ona
30/03/2017;0,25;0,37;Muy buena / Oso ona;20;29;60;Buena / Ona;47;21;Muy buena / Oso ona;Buena / Ona
29/03/2017;0,38;0,58;Muy buena / Oso ona;22;35;67;Buena / Ona;68;20;Muy buena / Oso ona;Buena / Ona
28/03/2017;0,37;0,59;Muy buena / Oso ona;13;30;71;Buena / Ona;50;19;Muy buena / Oso ona;Buena / Ona
27/03/2017;0,23;0,31;Muy buena / Oso ona;2;15;34;Muy buena / Oso ona;18;16;Muy buena / Oso ona;Muy buena / Oso ona
26/03/2017;0,19;0,25;Muy buena / Oso ona;0;7;22;Muy buena / Oso ona;8;7;Muy buena / Oso ona;Muy buena / Oso ona
25/03/2017;0,25;0,31;Muy buena / Oso ona;2;16;30;Muy buena / Oso ona;19;5;Muy buena / Oso ona;Muy buena / Oso ona
24/03/2017;0,3;0,38;Muy buena / Oso ona;8;25;50;Muy buena / Oso ona;37;13;Muy buena / Oso ona;Muy buena / Oso ona
23/03/2017;0,25;0,3;Muy buena / Oso ona;3;23;56;Buena / Ona;29;9;Muy buena / Oso ona;Buena / Ona
22/03/2017;0,21;0,3;Muy buena / Oso ona;3;22;41;Muy buena / Oso ona;27;7;Muy buena / Oso ona;Muy buena / Oso ona
21/03/2017;0,28;0,36;Muy buena / Oso ona;6;27;55;Buena / Ona;36;12;Muy buena / Oso ona;Buena / Ona
20/03/2017;0,21;0,25;Muy buena / Oso ona;3;15;24;Muy buena / Oso ona;19;16;Muy buena / Oso ona;Muy buena / Oso ona
19/03/2017;0,27;0,33;Muy buena / Oso ona;2;13;27;Muy buena / Oso ona;16;13;Muy buena / Oso ona;Muy buena / Oso ona
18/03/2017;0,23;0,31;Muy buena / Oso ona;2;15;33;Muy buena / Oso ona;18;13;Muy buena / Oso ona;Muy buena / Oso ona
17/03/2017;0,32;0,46;Muy buena / Oso ona;13;29;65;Buena / Ona;49;25;Muy buena / Oso ona;Buena / Ona
16/03/2017;0,52;0,99;Muy buena / Oso ona;24;39;88;Buena / Ona;75;20;Muy buena / Oso ona;Buena / Ona
15/03/2017;0,3;0,33;Muy buena / Oso ona;9;33;55;Buena / Ona;46;21;Muy buena / Oso ona;Buena / Ona
14/03/2017;0,34;;Sin datos / Daturik gabe;14;35;62;Buena / Ona;56;19;Muy buena / Oso ona;Buena / Ona
13/03/2017;0,2;0,25;Muy buena / Oso ona;4;22;44;Muy buena / Oso ona;28;10;Muy buena / Oso ona;Muy buena / Oso ona
12/03/2017;0,2;0,27;Muy buena / Oso ona;1;11;21;Muy buena / Oso ona;12;10;Muy buena / Oso ona;Muy buena / Oso ona
11/03/2017;0,24;0,44;Muy buena / Oso ona;8;24;55;Buena / Ona;37;22;Muy buena / Oso ona;Buena / Ona
10/03/2017;0,41;0,46;Muy buena / Oso ona;20;45;95;Buena / Ona;75;27;Buena / Ona;Buena / Ona
09/03/2017;0,33;0,41;Muy buena / Oso ona;11;33;56;Buena / Ona;50;19;Muy buena / Oso ona;Buena / Ona
08/03/2017;0,27;0,33;Muy buena / Oso ona;10;26;57;Buena / Ona;42;15;Muy buena / Oso ona;Buena / Ona
07/03/2017;0,31;0,46;Muy buena / Oso ona;11;32;62;Buena / Ona;48;23;Muy buena / Oso ona;Buena / Ona
06/03/2017;0,24;0,34;Muy buena / Oso ona;6;25;54;Buena / Ona;34;22;Muy buena / Oso ona;Buena / Ona
05/03/2017;0,25;0,34;Muy buena / Oso ona;6;21;51;Buena / Ona;29;11;Muy buena / Oso ona;Buena / Ona
04/03/2017;0,22;0,28;Muy buena / Oso ona;6;21;57;Buena / Ona;29;8;Muy buena / Oso ona;Buena / Ona
03/03/2017;0,19;0,36;Muy buena / Oso ona;4;16;30;Muy buena / Oso ona;23;16;Muy buena / Oso ona;Muy buena / Oso ona
02/03/2017;0,37;0,49;Muy buena / Oso ona;26;40;74;Buena / Ona;79;17;Muy buena / Oso ona;Buena / Ona
01/03/2017;0,33;0,42;Muy buena / Oso ona;23;40;77;Buena / Ona;75;14;Muy buena / Oso ona;Buena / Ona
28/02/2017;0,24;0,29;Muy buena / Oso ona;6;26;57;Buena / Ona;35;10;Muy buena / Oso ona;Buena / Ona
27/02/2017;0,24;0,36;Muy buena / Oso ona;5;21;30;Muy buena / Oso ona;28;15;Muy buena / Oso ona;Muy buena / Oso ona
26/02/2017;0,31;0,37;Muy buena / Oso ona;7;24;53;Buena / Ona;34;17;Muy buena / Oso ona;Buena / Ona
25/02/2017;0,25;0,3;Muy buena / Oso ona;8;27;60;Buena / Ona;39;12;Muy buena / Oso ona;Buena / Ona
24/02/2017;0,23;0,27;Muy buena / Oso ona;5;25;60;Buena / Ona;33;11;Muy buena / Oso ona;Buena / Ona
23/02/2017;0,53;0,92;Muy buena / Oso ona;47;40;77;Buena / Ona;112;39;Buena / Ona;Buena / Ona
22/02/2017;0,38;0,44;Muy buena / Oso ona;21;40;77;Buena / Ona;71;22;Muy buena / Oso ona;Buena / Ona
21/02/2017;0,39;0,51;Muy buena / Oso ona;12;35;62;Buena / Ona;53;16;Muy buena / Oso ona;Buena / Ona
20/02/2017;0,34;0,43;Muy buena / Oso ona;16;40;70;Buena / Ona;65;17;Muy buena / Oso ona;Buena / Ona
19/02/2017;0,28;0,32;Muy buena / Oso ona;2;19;47;Muy buena / Oso ona;23;17;Muy buena / Oso ona;Muy buena / Oso ona
18/02/2017;0,29;0,46;Muy buena / Oso ona;11;19;29;Muy buena / Oso ona;36;18;Muy buena / Oso ona;Muy buena / Oso ona
17/02/2017;0,44;0,61;Muy buena / Oso ona;42;40;70;Buena / Ona;104;34;Buena / Ona;Buena / Ona
16/02/2017;0,47;0,74;Muy buena / Oso ona;44;42;75;Buena / Ona;109;30;Buena / Ona;Buena / Ona
15/02/2017;0,32;0,45;Muy buena / Oso ona;18;36;75;Buena / Ona;64;23;Muy buena / Oso ona;Buena / Ona
14/02/2017;0,4;0,5;Muy buena / Oso ona;30;37;81;Buena / Ona;83;16;Muy buena / Oso ona;Buena / Ona
13/02/2017;0,3;0,45;Muy buena / Oso ona;10;21;66;Buena / Ona;37;21;Muy buena / Oso ona;Buena / Ona
12/02/2017;0,26;0,36;Muy buena / Oso ona;2;13;26;Muy buena / Oso ona;17;26;Buena / Ona;Buena / Ona
11/02/2017;0,61;0,94;Muy buena / Oso ona;15;36;53;Buena / Ona;59;20;Muy buena / Oso ona;Buena / Ona
10/02/2017;0,43;0,68;Muy buena / Oso ona;17;36;74;Buena / Ona;61;18;Muy buena / Oso ona;Buena / Ona
09/02/2017;0,39;0,51;Muy buena / Oso ona;23;37;72;Buena / Ona;72;18;Muy buena / Oso ona;Buena / Ona
08/02/2017;0,21;0,28;Muy buena / Oso ona;6;24;54;Buena / Ona;32;10;Muy buena / Oso ona;Buena / Ona
07/02/2017;0,39;0,85;Muy buena / Oso ona;12;30;73;Buena / Ona;49;13;Muy buena / Oso ona;Buena / Ona
06/02/2017;0,52;0,89;Muy buena / Oso ona;42;46;80;Buena / Ona;110;17;Muy buena / Oso ona;Buena / Ona
05/02/2017;0,18;0,26;Muy buena / Oso ona;2;9;18;Muy buena / Oso ona;12;9;Muy buena / Oso ona;Muy buena / Oso ona
04/02/2017;0,25;0,31;Muy buena / Oso ona;4;19;48;Muy buena / Oso ona;26;10;Muy buena / Oso ona;Muy buena / Oso ona
03/02/2017;0,17;;Sin datos / Daturik gabe;4;15;57;Buena / Ona;22;12;Muy buena / Oso ona;Buena / Ona
02/02/2017;0,17;0,27;Muy buena / Oso ona;4;16;30;Muy buena / Oso ona;22;8;Muy buena / Oso ona;Muy buena / Oso ona
01/02/2017;0,3;0,47;Muy buena / Oso ona;27;39;87;Buena / Ona;80;23;Muy buena / Oso ona;Buena / Ona
31/01/2017;0,35;0,44;Muy buena / Oso ona;30;34;62;Buena / Ona;79;23;Muy buena / Oso ona;Buena / Ona
30/01/2017;0,34;0,44;Muy buena / Oso ona;21;34;63;Buena / Ona;65;39;Buena / Ona;Buena / Ona
29/01/2017;0,39;0,57;Muy buena / Oso ona;10;26;50;Muy buena / Oso ona;41;8;Muy buena / Oso ona;Muy buena / Oso ona
28/01/2017;0,28;0,43;Muy buena / Oso ona;13;28;53;Buena / Ona;48;9;Muy buena / Oso ona;Buena / Ona
27/01/2017;0,29;0,43;Muy buena / Oso ona;13;26;67;Buena / Ona;46;15;Muy buena / Oso ona;Buena / Ona
26/01/2017;0,4;0,55;Muy buena / Oso ona;32;31;79;Buena / Ona;79;25;Muy buena / Oso ona;Buena / Ona
25/01/2017;0,47;0,58;Muy buena / Oso ona;17;39;72;Buena / Ona;64;18;Muy buena / Oso ona;Buena / Ona
24/01/2017;0,53;0,73;Muy buena / Oso ona;42;42;81;Buena / Ona;107;24;Muy buena / Oso ona;Buena / Ona
23/01/2017;0,59;1;Muy buena / Oso ona;27;41;80;Buena / Ona;82;18;Muy buena / Oso ona;Buena / Ona
22/01/2017;0,63;0,91;Muy buena / Oso ona;20;37;71;Buena / Ona;67;17;Muy buena / Oso ona;Buena / Ona
21/01/2017;0,5;0,74;Muy buena / Oso ona;38;40;62;Buena / Ona;98;21;Muy buena / Oso ona;Buena / Ona
20/01/2017;0,64;0,75;Muy buena / Oso ona;50;49;83;Buena / Ona;127;29;Buena / Ona;Buena / Ona
19/01/2017;0,28;0,48;Muy buena / Oso ona;18;37;63;Buena / Ona;64;17;Muy buena / Oso ona;Buena / Ona
18/01/2017;0,28;0,42;Muy buena / Oso ona;11;32;50;Muy buena / Oso ona;48;15;Muy buena / Oso ona;Muy buena / Oso ona
17/01/2017;0,18;0,22;Muy buena / Oso ona;4;11;21;Muy buena / Oso ona;17;7;Muy buena / Oso ona;Muy buena / Oso ona
16/01/2017;0,17;0,18;Muy buena / Oso ona;5;14;25;Muy buena / Oso ona;21;4;Muy buena / Oso ona;Muy buena / Oso ona
15/01/2017;0,2;0,3;Muy buena / Oso ona;4;13;26;Muy buena / Oso ona;18;5;Muy buena / Oso ona;Muy buena / Oso ona
14/01/2017;0,24;0,31;Muy buena / Oso ona;7;27;61;Buena / Ona;38;5;Muy buena / Oso ona;Buena / Ona
13/01/2017;0,19;;Sin datos / Daturik gabe;9;28;67;Buena / Ona;41;8;Muy buena / Oso ona;Buena / Ona
12/01/2017;0,38;0,48;Muy buena / Oso ona;31;32;56;Buena / Ona;80;14;Muy buena / Oso ona;Buena / Ona
11/01/2017;0,32;0,35;Muy buena / Oso ona;6;24;55;Buena / Ona;33;4;Muy buena / Oso ona;Buena / Ona
10/01/2017;0,45;0,76;Muy buena / Oso ona;19;35;68;Buena / Ona;64;10;Muy buena / Oso ona;Buena / Ona
09/01/2017;0,44;0,48;Muy buena / Oso ona;44;50;88;Buena / Ona;118;18;Muy buena / Oso ona;Buena / Ona
08/01/2017;0,39;0,53;Muy buena / Oso ona;12;36;51;Buena / Ona;55;12;Muy buena / Oso ona;Buena / Ona
07/01/2017;0,44;0,51;Muy buena / Oso ona;32;45;81;Buena / Ona;93;19;Muy buena / Oso ona;Buena / Ona
06/01/2017;0,43;0,5;Muy buena / Oso ona;16;35;60;Buena / Ona;59;14;Muy buena / Oso ona;Buena / Ona
05/01/2017;0,46;0,63;Muy buena / Oso ona;30;45;81;Buena / Ona;90;21;Muy buena / Oso ona;Buena / Ona
04/01/2017;0,6;0,68;Muy buena / Oso ona;77;45;85;Buena / Ona;163;45;Buena / Ona;Buena / Ona
03/01/2017;0,64;0,74;Muy buena / Oso ona;80;46;77;Buena / Ona;169;32;Buena / Ona;Buena / Ona
02/01/2017;0,39;0,58;Muy buena / Oso ona;27;34;60;Buena / Ona;75;17;Muy buena / Oso ona;Buena / Ona
01/01/2017;0,42;0,55;Muy buena / Oso ona;20;31;49;Muy buena / Oso ona;61;13;Muy buena / Oso ona;Muy buena / Oso ona
