Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
05/07/2017;;;Sin datos / Daturik gabe;2;2;7;Muy buena / Oso ona;5;80;108;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;9;Muy buena / Oso ona;287;68;989,2;0;165,7;22,5;0,31;Mejorable / Hobetzeko modukoa
04/07/2017;0,22;;Sin datos / Daturik gabe;3;5;9;Muy buena / Oso ona;10;67;122;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;7;Muy buena / Oso ona;33;70;991,2;0;301,6;24,3;0,22;Mejorable / Hobetzeko modukoa
03/07/2017;;;Sin datos / Daturik gabe;5;1;3;Muy buena / Oso ona;8;40;58;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;350;84;1000,2;0;186,3;17,6;0,71;Muy buena / Oso ona
02/07/2017;0,14;0,17;Muy buena / Oso ona;5;0;0;Muy buena / Oso ona;8;59;65;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;345;79;1003,6;0;216;16,6;1,08;Buena / Ona
01/07/2017;0,11;0,11;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;60;68;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;309;85;1001,1;0,1;82,8;14;2,08;Buena / Ona
30/06/2017;0,12;;Sin datos / Daturik gabe;5;0;1;Muy buena / Oso ona;8;61;68;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;285;77;993;0,1;125,4;14,7;1,8;Buena / Ona
29/06/2017;;;Sin datos / Daturik gabe;4;1;2;Muy buena / Oso ona;7;61;66;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;304;67;986,9;0;165,1;16;1,46;Buena / Ona
28/06/2017;;0,15;Muy buena / Oso ona;4;0;2;Muy buena / Oso ona;6;59;69;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;308;73;982,8;0;160,7;18,4;1,95;Buena / Ona
27/06/2017;0,15;0,18;Muy buena / Oso ona;4;1;2;Muy buena / Oso ona;7;52;61;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;328;85;985,5;0;118,8;19;0,74;Buena / Ona
26/06/2017;0,18;0,2;Muy buena / Oso ona;4;1;4;Muy buena / Oso ona;7;47;64;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;299;89;987,1;0,1;129,9;20,2;0,42;Buena / Ona
25/06/2017;0,16;0,18;Muy buena / Oso ona;4;1;3;Muy buena / Oso ona;6;50;58;Muy buena / Oso ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;26;85;993,4;0;121,7;19,3;0,23;Muy buena / Oso ona
24/06/2017;0,16;0,17;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;58;66;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;359;84;998;0;155,6;19,5;0,89;Buena / Ona
23/06/2017;0,17;0,18;Muy buena / Oso ona;2;1;2;Muy buena / Oso ona;5;61;71;Buena / Ona;18;Muy buena / Oso ona;10;Muy buena / Oso ona;338;87;999,4;0;104,9;19,2;0,64;Buena / Ona
22/06/2017;0,22;0,27;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;73;122;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;10;Muy buena / Oso ona;345;98;995,1;0;41,7;19,2;1;Mejorable / Hobetzeko modukoa
21/06/2017;0,24;0,31;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;9;123;141;Mala / Txarra;20;Muy buena / Oso ona;13;Muy buena / Oso ona;353;57;991;0;293,4;28,3;0,38;Mala / Txarra
20/06/2017;0,23;0,28;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;10;114;139;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;12;Muy buena / Oso ona;146;55;992;0;256,9;26,8;0,02;Mejorable / Hobetzeko modukoa
19/06/2017;0,21;0,26;Muy buena / Oso ona;4;4;6;Muy buena / Oso ona;10;109;129;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;10;Muy buena / Oso ona;238;48;989,8;0;298,2;28,7;1,02;Mejorable / Hobetzeko modukoa
18/06/2017;0,21;0,26;Muy buena / Oso ona;3;4;8;Muy buena / Oso ona;9;103;108;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;10;Muy buena / Oso ona;353;72;991;0;313,5;22,8;0,86;Mejorable / Hobetzeko modukoa
17/06/2017;0,17;0,22;Muy buena / Oso ona;3;4;6;Muy buena / Oso ona;8;79;102;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;9;Muy buena / Oso ona;353;80;997;0;311,2;19,9;0,63;Mejorable / Hobetzeko modukoa
16/06/2017;0,16;0,18;Muy buena / Oso ona;2;5;7;Muy buena / Oso ona;8;61;68;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;10;95;1000,6;0;86,3;17,6;0,61;Buena / Ona
15/06/2017;0,17;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;68;76;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;339;99;997,6;0,1;49,9;17;1,34;Buena / Ona
14/06/2017;0,19;0,21;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;71;82;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;347;91;991,4;0;213,6;20,2;1,12;Buena / Ona
13/06/2017;0,15;0,18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;59;67;Buena / Ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;5;88;991;0;198,7;18,9;0,57;Buena / Ona
12/06/2017;0,14;0,16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;43;56;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;5;93;995,6;0;76,4;17,6;0,66;Muy buena / Oso ona
11/06/2017;0,15;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;55;69;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;342;90;995,7;0;182,7;18,3;1,15;Buena / Ona
10/06/2017;0,18;0,23;Muy buena / Oso ona;5;2;3;Muy buena / Oso ona;9;56;73;Buena / Ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;3;86;994,1;0;269,8;19,7;0,77;Buena / Ona
09/06/2017;0,14;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;62;71;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;351;85;993,5;0;168,7;17,3;0,69;Buena / Ona
08/06/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;76;92;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;280;66;989,9;0,1;256,7;22;0,32;Buena / Ona
07/06/2017;0,13;0,16;Muy buena / Oso ona;4;3;5;Muy buena / Oso ona;9;68;76;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;338;73;997,1;0;297,1;16,6;0,7;Buena / Ona
06/06/2017;0,11;0,15;Muy buena / Oso ona;2;3;4;Muy buena / Oso ona;5;68;70;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;323;78;994,9;0;99,7;15,2;1,7;Buena / Ona
05/06/2017;0,14;0,17;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;67;75;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;324;79;991,5;0;261,2;17,3;0,79;Buena / Ona
04/06/2017;0,11;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;58;67;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;308;95;996,4;0,2;36,2;12,8;0,68;Buena / Ona
03/06/2017;;0,14;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;60;71;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;327;97;995,8;0,1;42,6;14,5;0,85;Buena / Ona
02/06/2017;0,15;0,19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;72;78;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;340;96;994,3;0;69,6;16,9;0,83;Buena / Ona
01/06/2017;0,19;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;74;91;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;355;84;994,3;0;294,6;19,5;0,94;Buena / Ona
31/05/2017;0,14;0,18;Muy buena / Oso ona;;;;;;56;65;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;352;88;995,7;0;290,2;17,8;0,97;Buena / Ona
30/05/2017;0,13;0,15;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;65;76;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;358;98;995,3;0,1;75,8;15,7;0,96;Buena / Ona
29/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;345;98;;;;16,7;1,42;Sin datos / Daturik gabe
28/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
27/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;Sin datos / Daturik gabe
26/05/2017;0,2;0,26;Muy buena / Oso ona;1;3;12;Muy buena / Oso ona;5;117;128;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;14;Muy buena / Oso ona;347;59;988,1;0;345,4;23,4;1,22;Mejorable / Hobetzeko modukoa
25/05/2017;0,22;0,3;Muy buena / Oso ona;1;4;14;Muy buena / Oso ona;7;107;128;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;11;Muy buena / Oso ona;344;54;989,1;0;280,3;25,9;0,66;Mejorable / Hobetzeko modukoa
24/05/2017;0,19;0,23;Muy buena / Oso ona;2;5;7;Muy buena / Oso ona;8;72;97;Buena / Ona;18;Muy buena / Oso ona;9;Muy buena / Oso ona;355;82;995,2;0;298,7;19;0,83;Buena / Ona
23/05/2017;0,13;0,14;Muy buena / Oso ona;1;5;8;Muy buena / Oso ona;8;69;78;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;343;81;999,4;0;254,2;15,2;0,84;Buena / Ona
22/05/2017;0,17;;Sin datos / Daturik gabe;1;6;10;Muy buena / Oso ona;8;84;97;Buena / Ona;22;Muy buena / Oso ona;10;Muy buena / Oso ona;354;79;994;0;160,8;17,3;0,9;Buena / Ona
21/05/2017;;0,17;Muy buena / Oso ona;1;5;7;Muy buena / Oso ona;7;81;96;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;199;48;991,5;0;210,8;21,7;1,14;Buena / Ona
20/05/2017;0,14;0,17;Muy buena / Oso ona;1;5;9;Muy buena / Oso ona;7;74;79;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;327;73;1000,1;0;210,3;13,8;0,69;Buena / Ona
19/05/2017;0,13;0,15;Muy buena / Oso ona;1;5;8;Muy buena / Oso ona;7;76;82;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;315;72;997,6;0;148,6;12;1,36;Buena / Ona
18/05/2017;0,12;0,13;Muy buena / Oso ona;1;4;7;Muy buena / Oso ona;6;73;78;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;317;94;994,1;0,3;70,3;11,5;1,79;Buena / Ona
17/05/2017;0,16;0,21;Muy buena / Oso ona;1;7;21;Muy buena / Oso ona;10;80;99;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;341;82;994,5;0;85,2;16,3;0,61;Buena / Ona
16/05/2017;0,18;;Sin datos / Daturik gabe;2;9;18;Muy buena / Oso ona;12;97;104;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;10;Muy buena / Oso ona;357;62;999,6;0;239,7;20,5;0,74;Mejorable / Hobetzeko modukoa
15/05/2017;0,16;0,21;Muy buena / Oso ona;2;8;17;Muy buena / Oso ona;11;90;101;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;6;Muy buena / Oso ona;7;54;1001,3;0;268,4;21,2;0,37;Mejorable / Hobetzeko modukoa
14/05/2017;0,15;0,17;Muy buena / Oso ona;1;5;8;Muy buena / Oso ona;8;74;81;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;325;63;998,8;0;282,8;18,2;0,64;Buena / Ona
13/05/2017;0,15;0,16;Muy buena / Oso ona;1;5;8;Muy buena / Oso ona;7;73;86;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;357;76;990,9;0;207,1;15,2;0,57;Buena / Ona
12/05/2017;0,14;0,15;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;80;90;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;237;59;979,8;0,1;182,3;18;1,82;Buena / Ona
11/05/2017;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;239;51;;;;19;2,69;Sin datos / Daturik gabe
10/05/2017;0,15;0,19;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;5;85;94;Buena / Ona;11;Muy buena / Oso ona;7;Muy buena / Oso ona;196;67;975,9;0;223,3;18,8;0,9;Buena / Ona
09/05/2017;0,2;0,22;Muy buena / Oso ona;2;5;11;Muy buena / Oso ona;8;81;101;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;9;Muy buena / Oso ona;352;82;985,4;0;195,7;14,2;0,58;Mejorable / Hobetzeko modukoa
08/05/2017;0,17;0,2;Muy buena / Oso ona;1;3;8;Muy buena / Oso ona;5;82;88;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;352;75;996;0;247,7;13,1;0,71;Buena / Ona
07/05/2017;0,17;0,2;Muy buena / Oso ona;1;1;4;Muy buena / Oso ona;3;81;89;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;334;57;998,4;0;283,5;14,8;0,79;Buena / Ona
06/05/2017;0,14;0,16;Muy buena / Oso ona;1;0;2;Muy buena / Oso ona;3;87;95;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;300;57;992,4;0;286,1;15,2;0,83;Buena / Ona
05/05/2017;0,17;0,19;Muy buena / Oso ona;2;2;7;Muy buena / Oso ona;6;85;96;Buena / Ona;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;208;69;982,2;0,1;130,6;18,1;0,74;Buena / Ona
04/05/2017;0,19;0,22;Muy buena / Oso ona;4;4;8;Muy buena / Oso ona;9;83;89;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;356;80;987,2;0;214,9;14,1;0,81;Buena / Ona
03/05/2017;0,17;0,19;Muy buena / Oso ona;4;2;8;Muy buena / Oso ona;8;64;78;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;350;90;992,5;0;226,8;13,1;0,85;Buena / Ona
02/05/2017;0,19;0,22;Muy buena / Oso ona;3;3;5;Muy buena / Oso ona;7;68;74;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;318;86;996,1;0;94,1;12,8;0,96;Buena / Ona
01/05/2017;0,16;0,18;Muy buena / Oso ona;2;2;3;Muy buena / Oso ona;5;80;89;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;312;62;995,3;0;223,3;11,3;0,86;Buena / Ona
30/04/2017;0,15;0,17;Muy buena / Oso ona;2;2;3;Muy buena / Oso ona;6;83;90;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;239;71;983,1;0,1;79,3;11,5;1,93;Buena / Ona
29/04/2017;0,18;0,21;Muy buena / Oso ona;2;3;8;Muy buena / Oso ona;7;85;90;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;192;54;985,1;0;228,7;14,6;1,97;Buena / Ona
28/04/2017;0,17;0,19;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;87;94;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;21;66;994,7;0;283,1;9,6;0,75;Buena / Ona
27/04/2017;0,17;0,19;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;88;93;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;355;64;994,8;0;244,4;8,2;1,53;Buena / Ona
26/04/2017;0,15;0,17;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;78;88;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;360;80;990,5;0,2;130,4;7,8;1,63;Buena / Ona
25/04/2017;0,17;0,21;Muy buena / Oso ona;3;4;9;Muy buena / Oso ona;8;73;81;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;340;86;985,7;0,1;54,1;11,5;0,69;Buena / Ona
24/04/2017;0,2;0,23;Muy buena / Oso ona;3;5;8;Muy buena / Oso ona;9;86;98;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;353;67;989,9;0;256,9;14,5;1,05;Buena / Ona
23/04/2017;0,2;0,26;Muy buena / Oso ona;2;4;6;Muy buena / Oso ona;7;111;127;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;8;Muy buena / Oso ona;350;52;994;0;268,4;16;0,88;Mejorable / Hobetzeko modukoa
22/04/2017;0,17;0,21;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;115;128;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;7;Muy buena / Oso ona;261;34;996,6;0;271,6;17,6;0,39;Mejorable / Hobetzeko modukoa
21/04/2017;0,2;0,28;Muy buena / Oso ona;3;7;16;Muy buena / Oso ona;10;97;109;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;10;Muy buena / Oso ona;317;41;1000,1;0;269,1;15,1;0,56;Mejorable / Hobetzeko modukoa
20/04/2017;0,19;0,22;Muy buena / Oso ona;3;5;14;Muy buena / Oso ona;9;83;98;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;8;47;1001,3;0;271,4;10,9;0,81;Buena / Ona
19/04/2017;0,16;;Sin datos / Daturik gabe;2;4;13;Muy buena / Oso ona;8;87;101;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;6;Muy buena / Oso ona;36;47;1000,1;0;266,1;11,1;1,42;Mejorable / Hobetzeko modukoa
18/04/2017;0,17;0,2;Muy buena / Oso ona;2;2;4;Muy buena / Oso ona;5;84;94;Buena / Ona;17;Muy buena / Oso ona;6;Muy buena / Oso ona;5;78;997,8;0;191,5;13,1;1,21;Buena / Ona
17/04/2017;0,17;0,2;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;77;88;Buena / Ona;19;Muy buena / Oso ona;7;Muy buena / Oso ona;345;82;996,8;0;255,4;13;0,88;Buena / Ona
16/04/2017;0,15;0,16;Muy buena / Oso ona;2;3;14;Muy buena / Oso ona;6;75;82;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;71;78;1000,5;0;190,1;12,4;0,5;Buena / Ona
15/04/2017;0,15;0,18;Muy buena / Oso ona;2;1;4;Muy buena / Oso ona;4;81;85;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;340;84;999,5;0;70,8;12,5;1,02;Buena / Ona
14/04/2017;0,18;0,21;Muy buena / Oso ona;2;1;2;Muy buena / Oso ona;4;90;97;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;333;83;996,4;0;96,3;12,4;0,7;Buena / Ona
13/04/2017;0,18;0,22;Muy buena / Oso ona;2;2;6;Muy buena / Oso ona;5;96;101;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;8;Muy buena / Oso ona;341;77;994,7;0;252,4;13,4;0,82;Mejorable / Hobetzeko modukoa
12/04/2017;0,17;0,2;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;87;100;Buena / Ona;19;Muy buena / Oso ona;10;Muy buena / Oso ona;336;80;997,2;0;244,4;13;0,75;Buena / Ona
11/04/2017;0,15;0,17;Muy buena / Oso ona;2;2;4;Muy buena / Oso ona;5;88;95;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;341;84;1001,3;0;165,9;12,6;1,01;Buena / Ona
10/04/2017;0,19;0,22;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;80;97;Buena / Ona;20;Muy buena / Oso ona;13;Muy buena / Oso ona;336;95;1000,9;0;79,2;11,5;0,73;Buena / Ona
09/04/2017;0,23;0,28;Muy buena / Oso ona;2;4;7;Muy buena / Oso ona;7;90;107;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;12;Muy buena / Oso ona;359;70;996,6;0;244;16,3;0,95;Mejorable / Hobetzeko modukoa
08/04/2017;0,17;0,2;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;99;115;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;6;Muy buena / Oso ona;199;41;993,4;0;246,4;20,5;0,32;Mejorable / Hobetzeko modukoa
07/04/2017;0,17;0,19;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;89;94;Buena / Ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;346;83;996,7;0;199,6;11,8;0,73;Buena / Ona
06/04/2017;0,19;0,21;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;7;82;93;Buena / Ona;32;Buena / Ona;11;Muy buena / Oso ona;346;86;1000,6;0;228,9;11,9;1,48;Buena / Ona
05/04/2017;0,17;0,18;Muy buena / Oso ona;2;1;4;Muy buena / Oso ona;4;82;84;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;341;94;1001,8;0;79,2;10,9;2,59;Buena / Ona
04/04/2017;0,16;0,18;Muy buena / Oso ona;2;1;5;Muy buena / Oso ona;4;83;87;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;335;90;1002,9;0;90,4;11,1;1,96;Buena / Ona
03/04/2017;0,16;0,18;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;7;81;89;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;343;85;1000,8;0;232,2;11,2;0,76;Buena / Ona
02/04/2017;0,16;0,17;Muy buena / Oso ona;2;0;1;Muy buena / Oso ona;3;90;93;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;327;87;999,5;0,2;97,7;10;2,47;Buena / Ona
01/04/2017;0,15;0,16;Muy buena / Oso ona;2;1;3;Muy buena / Oso ona;4;87;91;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;310;80;995,8;0,1;71,6;10,7;2,78;Buena / Ona
31/03/2017;0,19;0,23;Muy buena / Oso ona;3;4;19;Muy buena / Oso ona;8;87;110;Mejorable / Hobetzeko modukoa;14;Muy buena / Oso ona;6;Muy buena / Oso ona;292;75;993,6;0,1;136;14,7;0,43;Mejorable / Hobetzeko modukoa
30/03/2017;0,15;0,18;Muy buena / Oso ona;4;3;7;Muy buena / Oso ona;9;100;111;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;5;Muy buena / Oso ona;201;41;994,8;0;175,6;20,9;2;Mejorable / Hobetzeko modukoa
29/03/2017;0,16;0,19;Muy buena / Oso ona;2;5;9;Muy buena / Oso ona;8;92;103;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;4;Muy buena / Oso ona;249;44;999,6;0;214,8;19;0,44;Mejorable / Hobetzeko modukoa
28/03/2017;0,18;0,19;Muy buena / Oso ona;2;3;7;Muy buena / Oso ona;6;92;103;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;4;Muy buena / Oso ona;259;56;1000,2;0;208,6;15,1;1,55;Mejorable / Hobetzeko modukoa
27/03/2017;0,18;0,2;Muy buena / Oso ona;2;2;3;Muy buena / Oso ona;4;96;102;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;3;Muy buena / Oso ona;193;52;991,7;0;115,5;14,7;3,1;Mejorable / Hobetzeko modukoa
26/03/2017;0,19;0,2;Muy buena / Oso ona;2;1;2;Muy buena / Oso ona;4;87;94;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;184;53;988,9;0;183,2;14,1;2,56;Buena / Ona
25/03/2017;0,18;0,2;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;80;92;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;246;90;986,8;0,4;19,9;7,5;1,69;Buena / Ona
24/03/2017;0,18;0,2;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;84;94;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;71;64;990,8;0;180,8;9,2;0,04;Buena / Ona
23/03/2017;0,16;0,17;Muy buena / Oso ona;2;2;9;Muy buena / Oso ona;5;84;89;Buena / Ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;235;58;984,9;0;172,6;8;1,98;Buena / Ona
22/03/2017;0,16;0,18;Muy buena / Oso ona;2;2;3;Muy buena / Oso ona;4;80;84;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;249;79;985,7;0,1;64;8,2;1,59;Buena / Ona
21/03/2017;0,16;0,17;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;87;92;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;310;86;993,3;0,1;35,5;9,4;1,19;Buena / Ona
20/03/2017;0,17;0,2;Muy buena / Oso ona;2;3;8;Muy buena / Oso ona;6;79;87;Buena / Ona;16;Muy buena / Oso ona;8;Muy buena / Oso ona;332;83;993,7;0;51,8;10;0,57;Buena / Ona
19/03/2017;0,18;0,23;Muy buena / Oso ona;2;2;5;Muy buena / Oso ona;5;84;91;Buena / Ona;17;Muy buena / Oso ona;6;Muy buena / Oso ona;342;82;997,1;0;151,7;9,8;0,86;Buena / Ona
18/03/2017;0,16;0,19;Muy buena / Oso ona;2;2;3;Muy buena / Oso ona;5;81;83;Buena / Ona;17;Muy buena / Oso ona;8;Muy buena / Oso ona;360;79;1000,6;0;70,2;10,2;0,4;Buena / Ona
17/03/2017;0,2;0,22;Muy buena / Oso ona;2;3;6;Muy buena / Oso ona;6;82;102;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;14;Muy buena / Oso ona;343;87;999,5;0;66,4;11,3;0,96;Mejorable / Hobetzeko modukoa
16/03/2017;0,15;0,18;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;93;105;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;6;Muy buena / Oso ona;198;42;996;0;192,5;18,6;1,41;Mejorable / Hobetzeko modukoa
15/03/2017;0,19;0,21;Muy buena / Oso ona;2;4;6;Muy buena / Oso ona;7;77;89;Buena / Ona;31;Buena / Ona;12;Muy buena / Oso ona;342;93;1003,3;0;137,6;11,4;0,81;Buena / Ona
14/03/2017;0,2;0,21;Muy buena / Oso ona;2;3;5;Muy buena / Oso ona;6;72;77;Buena / Ona;28;Buena / Ona;10;Muy buena / Oso ona;342;95;1008;0;83,1;10,8;1,43;Buena / Ona
