Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
29/05/2017;;0,33;0,43;Muy buena / Oso ona;;3;16;43;Muy buena / Oso ona;21;49;60;Muy buena / Oso ona;;26;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
28/05/2017;;0,3;0,37;Muy buena / Oso ona;;2;13;22;Muy buena / Oso ona;16;55;77;Buena / Ona;;31;Buena / Ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
27/05/2017;;0,29;0,31;Muy buena / Oso ona;;3;16;47;Muy buena / Oso ona;20;43;62;Buena / Ona;;35;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;;Buena / Ona
26/05/2017;;0,31;0,42;Muy buena / Oso ona;;6;25;76;Buena / Ona;35;70;116;Mejorable / Hobetzeko modukoa;;38;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
25/05/2017;;;;Sin datos / Daturik gabe;;11;25;79;Buena / Ona;42;71;123;Mejorable / Hobetzeko modukoa;;41;Buena / Ona;18;Buena / Ona;3;Muy buena / Oso ona;;Mejorable / Hobetzeko modukoa
24/05/2017;;0,26;0,31;Muy buena / Oso ona;;3;16;26;Muy buena / Oso ona;21;57;87;Buena / Ona;;26;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
23/05/2017;;0,23;0,29;Muy buena / Oso ona;;2;12;28;Muy buena / Oso ona;15;56;72;Buena / Ona;;25;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
22/05/2017;;0,25;0,33;Muy buena / Oso ona;;6;16;64;Buena / Ona;26;65;84;Buena / Ona;;39;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
21/05/2017;;0,29;0,34;Muy buena / Oso ona;;4;17;31;Muy buena / Oso ona;23;52;86;Buena / Ona;;19;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
20/05/2017;;0,26;0,32;Muy buena / Oso ona;;4;16;31;Muy buena / Oso ona;22;39;70;Buena / Ona;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
19/05/2017;;0,21;0,31;Muy buena / Oso ona;;5;17;41;Muy buena / Oso ona;25;44;75;Buena / Ona;;16;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
18/05/2017;;0,24;0,3;Muy buena / Oso ona;;3;15;31;Muy buena / Oso ona;19;59;70;Buena / Ona;;14;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
17/05/2017;;0,32;0,51;Muy buena / Oso ona;;7;30;61;Buena / Ona;41;36;67;Buena / Ona;;31;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
16/05/2017;;0,37;0,43;Muy buena / Oso ona;;9;27;63;Buena / Ona;40;56;89;Buena / Ona;;32;Buena / Ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
15/05/2017;;0,32;0,38;Muy buena / Oso ona;;9;24;63;Buena / Ona;39;52;88;Buena / Ona;;26;Buena / Ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
14/05/2017;;0,25;0,37;Muy buena / Oso ona;;3;14;26;Muy buena / Oso ona;19;49;77;Buena / Ona;;13;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
13/05/2017;;0,31;0,4;Muy buena / Oso ona;;2;12;27;Muy buena / Oso ona;16;52;76;Buena / Ona;;10;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
12/05/2017;;0,21;0,26;Muy buena / Oso ona;;2;9;35;Muy buena / Oso ona;11;69;86;Buena / Ona;;7;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
11/05/2017;;0,19;0,36;Muy buena / Oso ona;;1;7;30;Muy buena / Oso ona;9;77;83;Buena / Ona;;5;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
10/05/2017;;0,32;0,38;Muy buena / Oso ona;;10;25;63;Buena / Ona;40;49;83;Buena / Ona;;27;Buena / Ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
09/05/2017;;0,32;0,39;Muy buena / Oso ona;;10;23;46;Muy buena / Oso ona;38;42;74;Buena / Ona;;27;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
08/05/2017;;0,29;0,4;Muy buena / Oso ona;;8;19;49;Muy buena / Oso ona;31;45;74;Buena / Ona;;17;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
07/05/2017;;0,23;0,28;Muy buena / Oso ona;;3;13;24;Muy buena / Oso ona;17;51;79;Buena / Ona;;14;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
06/05/2017;;0,19;0,24;Muy buena / Oso ona;;2;11;28;Muy buena / Oso ona;14;57;83;Buena / Ona;;11;Muy buena / Oso ona;5;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
05/05/2017;;0,26;0,29;Muy buena / Oso ona;;3;22;46;Muy buena / Oso ona;26;55;83;Buena / Ona;;27;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
04/05/2017;;0,3;0,38;Muy buena / Oso ona;;9;21;41;Muy buena / Oso ona;35;47;77;Buena / Ona;;23;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
03/05/2017;;0,29;0,34;Muy buena / Oso ona;;4;16;30;Muy buena / Oso ona;22;40;70;Buena / Ona;;18;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
02/05/2017;;0,23;0,3;Muy buena / Oso ona;;15;25;54;Buena / Ona;47;31;62;Buena / Ona;;21;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
01/05/2017;;0,19;0,33;Muy buena / Oso ona;;4;18;31;Muy buena / Oso ona;23;41;81;Buena / Ona;;20;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
30/04/2017;;0,33;0,43;Muy buena / Oso ona;;2;11;22;Muy buena / Oso ona;13;71;87;Buena / Ona;;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
29/04/2017;;0,22;0,28;Muy buena / Oso ona;;5;13;32;Muy buena / Oso ona;21;56;87;Buena / Ona;;17;Muy buena / Oso ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
28/04/2017;;0,28;0,39;Muy buena / Oso ona;;18;26;55;Buena / Ona;52;41;88;Buena / Ona;;23;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
27/04/2017;;0,24;0,28;Muy buena / Oso ona;;5;21;43;Muy buena / Oso ona;28;47;85;Buena / Ona;;15;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;;Buena / Ona
