Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
31/01/2017;0,44;0,58;Muy buena / Oso ona;65;51;87;Buena / Ona;150;26;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
30/01/2017;0,32;0,5;Muy buena / Oso ona;34;45;97;Buena / Ona;97;16;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/01/2017;0,28;0,4;Muy buena / Oso ona;12;37;82;Buena / Ona;55;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
28/01/2017;0,29;0,34;Muy buena / Oso ona;15;39;85;Buena / Ona;62;12;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/01/2017;0,27;0,32;Muy buena / Oso ona;5;30;52;Buena / Ona;37;15;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
26/01/2017;0,37;0,62;Muy buena / Oso ona;38;54;93;Buena / Ona;112;33;Buena / Ona;19;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
25/01/2017;0,48;0,52;Muy buena / Oso ona;36;54;97;Buena / Ona;109;29;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
24/01/2017;0,41;0,52;Muy buena / Oso ona;18;48;89;Buena / Ona;75;24;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
23/01/2017;0,39;0,5;Muy buena / Oso ona;20;49;88;Buena / Ona;80;20;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/01/2017;0,41;0,91;Muy buena / Oso ona;21;35;62;Buena / Ona;67;21;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
21/01/2017;0,62;0,92;Muy buena / Oso ona;66;60;92;Buena / Ona;161;34;Buena / Ona;21;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
20/01/2017;0,67;0,92;Muy buena / Oso ona;88;58;94;Buena / Ona;193;48;Buena / Ona;33;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
19/01/2017;0,33;0,41;Muy buena / Oso ona;18;34;63;Buena / Ona;63;23;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
