Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
12/06/2017;0,17;0,18;Muy buena / Oso ona;4;10;16;41;Muy buena / Oso ona;31;12;Muy buena / Oso ona;4;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
11/06/2017;0,19;0,22;Muy buena / Oso ona;3;2;10;21;Muy buena / Oso ona;12;26;Buena / Ona;14;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
10/06/2017;0,21;0,26;Muy buena / Oso ona;4;8;15;27;Muy buena / Oso ona;27;26;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;Buena / Ona
09/06/2017;0,3;0,55;Muy buena / Oso ona;6;18;24;52;Buena / Ona;52;24;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
08/06/2017;0,41;0,67;Muy buena / Oso ona;5;15;34;60;Buena / Ona;56;35;Buena / Ona;16;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
07/06/2017;0,23;0,23;Muy buena / Oso ona;3;14;32;61;Buena / Ona;53;32;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
06/06/2017;0,14;0,33;Muy buena / Oso ona;2;4;9;19;Muy buena / Oso ona;14;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
05/06/2017;0,2;0,18;Muy buena / Oso ona;2;9;22;40;Muy buena / Oso ona;36;13;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
04/06/2017;0,21;0,32;Muy buena / Oso ona;2;3;17;36;Muy buena / Oso ona;21;11;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
03/06/2017;0,31;0,53;Muy buena / Oso ona;3;4;22;49;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
02/06/2017;0,24;0,29;Muy buena / Oso ona;4;7;21;49;Muy buena / Oso ona;31;17;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
01/06/2017;0,47;0,91;Muy buena / Oso ona;5;17;24;41;Muy buena / Oso ona;50;25;Muy buena / Oso ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
31/05/2017;0,27;0,45;Muy buena / Oso ona;3;14;27;53;Buena / Ona;48;14;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
30/05/2017;0,21;0,23;Muy buena / Oso ona;3;8;17;47;Muy buena / Oso ona;28;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;1;Muy buena / Oso ona;Muy buena / Oso ona
29/05/2017;0,18;0,24;Muy buena / Oso ona;4;7;15;35;Muy buena / Oso ona;26;9;Muy buena / Oso ona;9;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
28/05/2017;0,24;0,28;Muy buena / Oso ona;4;3;15;56;Buena / Ona;19;24;Muy buena / Oso ona;17;Buena / Ona;1;Muy buena / Oso ona;Buena / Ona
27/05/2017;0,5;0,87;Muy buena / Oso ona;6;9;38;84;Buena / Ona;50;27;Buena / Ona;17;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
26/05/2017;0,32;0,4;Muy buena / Oso ona;5;9;34;72;Buena / Ona;46;25;Muy buena / Oso ona;15;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
25/05/2017;0,35;0,53;Muy buena / Oso ona;6;14;49;76;Buena / Ona;70;35;Buena / Ona;18;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
24/05/2017;0,24;0,28;Muy buena / Oso ona;2;11;37;84;Buena / Ona;53;25;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
23/05/2017;0,18;0,2;Muy buena / Oso ona;2;6;21;58;Buena / Ona;29;20;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/05/2017;0,48;1,17;Muy buena / Oso ona;5;7;18;83;Buena / Ona;29;28;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/05/2017;0,3;0,37;Muy buena / Oso ona;2;5;26;44;Muy buena / Oso ona;34;11;Muy buena / Oso ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;Muy buena / Oso ona
20/05/2017;0,18;0,28;Muy buena / Oso ona;1;5;23;46;Muy buena / Oso ona;30;9;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
19/05/2017;0,25;0,4;Muy buena / Oso ona;2;13;24;60;Buena / Ona;43;15;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
18/05/2017;0,14;0,31;Muy buena / Oso ona;3;5;18;39;Muy buena / Oso ona;26;7;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
17/05/2017;0,43;0,76;Muy buena / Oso ona;5;21;39;74;Buena / Ona;71;20;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
16/05/2017;0,38;0,75;Muy buena / Oso ona;5;15;35;67;Buena / Ona;57;24;Muy buena / Oso ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
15/05/2017;0,39;0,45;Muy buena / Oso ona;3;11;38;69;Buena / Ona;54;18;Muy buena / Oso ona;10;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
14/05/2017;0,36;0,73;Muy buena / Oso ona;3;5;24;64;Buena / Ona;30;9;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
13/05/2017;0,3;0,5;Muy buena / Oso ona;2;3;18;44;Muy buena / Oso ona;23;7;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
12/05/2017;;;Sin datos / Daturik gabe;3;4;17;34;Muy buena / Oso ona;23;6;Muy buena / Oso ona;3;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
11/05/2017;0,12;0,29;Muy buena / Oso ona;4;4;11;23;Muy buena / Oso ona;17;4;Muy buena / Oso ona;2;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
10/05/2017;0,44;0,91;Muy buena / Oso ona;7;18;32;71;Buena / Ona;59;25;Muy buena / Oso ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
09/05/2017;0,46;0,59;Muy buena / Oso ona;6;24;38;65;Buena / Ona;75;31;Buena / Ona;17;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
08/05/2017;0,44;0,96;Muy buena / Oso ona;4;22;32;52;Buena / Ona;65;23;Muy buena / Oso ona;12;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
07/05/2017;0,29;0,52;Muy buena / Oso ona;4;6;23;47;Muy buena / Oso ona;33;17;Muy buena / Oso ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;Muy buena / Oso ona
06/05/2017;0,28;0,59;Muy buena / Oso ona;4;5;15;49;Muy buena / Oso ona;22;8;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
05/05/2017;0,26;0,39;Muy buena / Oso ona;6;11;33;66;Buena / Ona;49;21;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
04/05/2017;0,58;1,2;Muy buena / Oso ona;5;18;32;61;Buena / Ona;59;24;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
03/05/2017;0,21;0,25;Muy buena / Oso ona;4;13;23;43;Muy buena / Oso ona;43;17;Muy buena / Oso ona;11;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
02/05/2017;0,22;0,6;Muy buena / Oso ona;4;17;27;57;Buena / Ona;51;17;Muy buena / Oso ona;8;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
01/05/2017;0,3;0,55;Muy buena / Oso ona;2;5;21;53;Buena / Ona;28;12;Muy buena / Oso ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
30/04/2017;0,15;;Sin datos / Daturik gabe;3;3;10;21;Muy buena / Oso ona;14;5;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
29/04/2017;0,18;0,3;Muy buena / Oso ona;4;6;20;47;Muy buena / Oso ona;29;11;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
28/04/2017;0,31;0,4;Muy buena / Oso ona;4;28;38;64;Buena / Ona;79;24;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
27/04/2017;0,21;;Sin datos / Daturik gabe;3;16;31;70;Buena / Ona;56;12;Muy buena / Oso ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
26/04/2017;0,16;0,18;Muy buena / Oso ona;4;10;27;69;Buena / Ona;43;7;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
25/04/2017;0,3;0,5;Muy buena / Oso ona;8;16;34;85;Buena / Ona;58;19;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
24/04/2017;0,31;;Sin datos / Daturik gabe;6;29;40;74;Buena / Ona;84;29;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
23/04/2017;0,32;0,48;Muy buena / Oso ona;5;8;39;76;Buena / Ona;50;23;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;Buena / Ona
22/04/2017;0,17;0,27;Muy buena / Oso ona;5;4;24;59;Buena / Ona;29;15;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
21/04/2017;0,27;;Sin datos / Daturik gabe;5;16;45;77;Buena / Ona;70;24;Muy buena / Oso ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
20/04/2017;0,28;0,37;Muy buena / Oso ona;2;15;34;83;Buena / Ona;55;15;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
19/04/2017;0,26;0,43;Muy buena / Oso ona;3;17;31;94;Buena / Ona;57;14;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/04/2017;0,26;0,36;Muy buena / Oso ona;4;17;33;57;Buena / Ona;58;18;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
17/04/2017;0,23;0,3;Muy buena / Oso ona;3;5;19;49;Muy buena / Oso ona;27;14;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;Muy buena / Oso ona
16/04/2017;0,21;0,25;Muy buena / Oso ona;3;4;19;45;Muy buena / Oso ona;25;9;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
15/04/2017;0,22;0,3;Muy buena / Oso ona;4;4;19;43;Muy buena / Oso ona;24;13;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
14/04/2017;0,18;0,2;Muy buena / Oso ona;4;3;16;34;Muy buena / Oso ona;20;17;Muy buena / Oso ona;14;Muy buena / Oso ona;12;Muy buena / Oso ona;Muy buena / Oso ona
13/04/2017;0,26;0,37;Muy buena / Oso ona;4;7;23;41;Muy buena / Oso ona;33;17;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
12/04/2017;0,36;0,58;Muy buena / Oso ona;4;25;33;62;Buena / Ona;70;26;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
11/04/2017;0,22;0,27;Muy buena / Oso ona;4;8;22;51;Buena / Ona;33;20;Muy buena / Oso ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
10/04/2017;0,21;0,27;Muy buena / Oso ona;3;7;20;51;Buena / Ona;31;34;Buena / Ona;20;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
09/04/2017;0,33;;Sin datos / Daturik gabe;5;6;24;62;Buena / Ona;33;26;Buena / Ona;18;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
08/04/2017;0,35;;Sin datos / Daturik gabe;5;9;42;94;Buena / Ona;55;28;Buena / Ona;17;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
07/04/2017;0,3;0,37;Muy buena / Oso ona;4;21;43;85;Buena / Ona;75;36;Buena / Ona;18;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
06/04/2017;0,26;0,29;Muy buena / Oso ona;5;8;28;58;Buena / Ona;39;23;Muy buena / Oso ona;13;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
05/04/2017;0,17;0,19;Muy buena / Oso ona;2;3;15;37;Muy buena / Oso ona;20;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
04/04/2017;0,18;0,21;Muy buena / Oso ona;2;8;24;77;Buena / Ona;35;11;Muy buena / Oso ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
03/04/2017;0,22;0,27;Muy buena / Oso ona;2;13;30;54;Buena / Ona;49;16;Muy buena / Oso ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
02/04/2017;0,15;0,17;Muy buena / Oso ona;1;2;15;54;Buena / Ona;17;13;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
01/04/2017;0,17;0,21;Muy buena / Oso ona;4;2;15;34;Muy buena / Oso ona;17;9;Muy buena / Oso ona;5;Muy buena / Oso ona;6;Muy buena / Oso ona;Muy buena / Oso ona
31/03/2017;0,36;0,71;Muy buena / Oso ona;10;22;38;96;Buena / Ona;71;34;Buena / Ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
30/03/2017;0,19;0,47;Muy buena / Oso ona;11;8;33;64;Buena / Ona;43;15;Muy buena / Oso ona;9;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
29/03/2017;0,67;3,16;Muy buena / Oso ona;7;25;59;99;Buena / Ona;96;38;Buena / Ona;18;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
28/03/2017;0,9;1,86;Muy buena / Oso ona;7;9;35;94;Buena / Ona;48;19;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
27/03/2017;0,32;0,58;Muy buena / Oso ona;2;4;24;59;Buena / Ona;30;11;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
26/03/2017;0,17;0,21;Muy buena / Oso ona;1;1;10;26;Muy buena / Oso ona;12;4;Muy buena / Oso ona;4;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
25/03/2017;0,2;0,26;Muy buena / Oso ona;2;2;22;35;Muy buena / Oso ona;25;5;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
24/03/2017;0,31;0,71;Muy buena / Oso ona;4;20;35;62;Buena / Ona;65;11;Muy buena / Oso ona;7;Muy buena / Oso ona;9;Muy buena / Oso ona;Buena / Ona
23/03/2017;0,32;0,59;Muy buena / Oso ona;2;7;27;81;Buena / Ona;38;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
22/03/2017;0,38;0,93;Muy buena / Oso ona;3;6;26;58;Buena / Ona;35;11;Muy buena / Oso ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
21/03/2017;0,46;0,73;Muy buena / Oso ona;3;10;45;78;Buena / Ona;60;21;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
20/03/2017;0,25;0,25;Muy buena / Oso ona;3;5;26;50;Muy buena / Oso ona;34;20;Muy buena / Oso ona;15;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
19/03/2017;0,5;1,05;Muy buena / Oso ona;4;6;20;63;Buena / Ona;29;14;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
18/03/2017;0,25;0,31;Muy buena / Oso ona;4;5;22;71;Buena / Ona;29;14;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
17/03/2017;0,25;0,38;Muy buena / Oso ona;5;13;25;67;Buena / Ona;44;23;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
16/03/2017;0,47;0,9;Muy buena / Oso ona;5;16;40;89;Buena / Ona;64;22;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/03/2017;0,43;0,59;Muy buena / Oso ona;7;28;47;88;Buena / Ona;90;31;Buena / Ona;17;Buena / Ona;3;Muy buena / Oso ona;Buena / Ona
14/03/2017;0,26;0,33;Muy buena / Oso ona;5;11;29;65;Buena / Ona;45;23;Muy buena / Oso ona;12;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
13/03/2017;0,2;0,22;Muy buena / Oso ona;3;3;16;51;Buena / Ona;20;17;Muy buena / Oso ona;6;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
12/03/2017;0,17;0,18;Muy buena / Oso ona;4;1;10;21;Muy buena / Oso ona;11;15;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;Muy buena / Oso ona
11/03/2017;0,92;1,84;Muy buena / Oso ona;9;17;37;77;Buena / Ona;62;33;Buena / Ona;20;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
10/03/2017;0,7;1,29;Muy buena / Oso ona;5;66;64;98;Buena / Ona;164;62;Mejorable / Hobetzeko modukoa;32;Buena / Ona;9;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/03/2017;0,35;0,41;Muy buena / Oso ona;5;16;38;76;Buena / Ona;61;28;Buena / Ona;17;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
08/03/2017;0,26;0,42;Muy buena / Oso ona;5;28;28;76;Buena / Ona;70;24;Muy buena / Oso ona;12;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
07/03/2017;0,34;0,74;Muy buena / Oso ona;4;19;38;69;Buena / Ona;66;39;Buena / Ona;12;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/03/2017;0,17;0,32;Muy buena / Oso ona;3;5;20;55;Buena / Ona;27;28;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/03/2017;0,28;0,63;Muy buena / Oso ona;3;3;16;56;Buena / Ona;19;22;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
04/03/2017;0,27;0,46;Muy buena / Oso ona;1;4;22;75;Buena / Ona;27;13;Muy buena / Oso ona;5;Muy buena / Oso ona;8;Muy buena / Oso ona;Buena / Ona
03/03/2017;0,21;0,48;Muy buena / Oso ona;5;6;20;47;Muy buena / Oso ona;29;13;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
02/03/2017;0,38;0,63;Muy buena / Oso ona;4;47;48;112;Mejorable / Hobetzeko modukoa;120;33;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
01/03/2017;0,29;0,32;Muy buena / Oso ona;2;13;35;78;Buena / Ona;54;13;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
28/02/2017;0,29;0,54;Muy buena / Oso ona;3;4;23;46;Muy buena / Oso ona;28;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
27/02/2017;0,28;0,49;Muy buena / Oso ona;4;5;24;56;Buena / Ona;32;18;Muy buena / Oso ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
26/02/2017;0,34;0,84;Muy buena / Oso ona;4;12;32;63;Buena / Ona;50;28;Buena / Ona;16;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
25/02/2017;0,52;0,75;Muy buena / Oso ona;2;18;41;78;Buena / Ona;69;33;Buena / Ona;17;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
24/02/2017;0,3;0,38;Muy buena / Oso ona;3;10;31;80;Buena / Ona;45;18;Muy buena / Oso ona;9;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
23/02/2017;0,38;0,59;Muy buena / Oso ona;5;10;35;55;Buena / Ona;51;44;Buena / Ona;30;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
22/02/2017;0,54;0,96;Muy buena / Oso ona;6;33;40;65;Buena / Ona;90;35;Buena / Ona;21;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
21/02/2017;0,57;1,16;Muy buena / Oso ona;6;36;44;72;Buena / Ona;98;29;Buena / Ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
20/02/2017;0,27;0,49;Muy buena / Oso ona;5;21;40;78;Buena / Ona;72;23;Muy buena / Oso ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
19/02/2017;0,27;0,27;Muy buena / Oso ona;4;7;23;80;Buena / Ona;33;13;Muy buena / Oso ona;10;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
18/02/2017;0,64;1,28;Muy buena / Oso ona;6;18;32;68;Buena / Ona;59;24;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
17/02/2017;0,37;0,47;Muy buena / Oso ona;5;33;53;91;Buena / Ona;102;31;Buena / Ona;17;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
16/02/2017;0,2;0,3;Muy buena / Oso ona;4;15;41;82;Buena / Ona;64;19;Muy buena / Oso ona;11;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
15/02/2017;0,2;0,3;Muy buena / Oso ona;4;11;35;74;Buena / Ona;51;9;Muy buena / Oso ona;7;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
14/02/2017;0,2;0,26;Muy buena / Oso ona;4;12;36;73;Buena / Ona;53;11;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
13/02/2017;0,18;0,25;Muy buena / Oso ona;5;11;26;79;Buena / Ona;42;20;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
12/02/2017;0,2;0,26;Muy buena / Oso ona;6;2;16;41;Muy buena / Oso ona;18;19;Muy buena / Oso ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Muy buena / Oso ona
11/02/2017;0,27;0,3;Muy buena / Oso ona;6;17;33;57;Buena / Ona;59;27;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
10/02/2017;0,21;0,24;Muy buena / Oso ona;3;17;44;84;Buena / Ona;70;15;Muy buena / Oso ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
09/02/2017;0,22;0,25;Muy buena / Oso ona;3;21;45;76;Buena / Ona;77;20;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
08/02/2017;0,17;0,2;Muy buena / Oso ona;2;6;28;66;Buena / Ona;37;12;Muy buena / Oso ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
07/02/2017;0,17;0,38;Muy buena / Oso ona;4;10;33;86;Buena / Ona;47;16;Muy buena / Oso ona;8;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
06/02/2017;0,28;0,41;Muy buena / Oso ona;2;32;45;76;Buena / Ona;93;21;Muy buena / Oso ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
05/02/2017;0,18;0,51;Muy buena / Oso ona;2;1;10;20;Muy buena / Oso ona;12;11;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
04/02/2017;0,4;0,69;Muy buena / Oso ona;4;6;29;62;Buena / Ona;37;17;Muy buena / Oso ona;7;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
03/02/2017;0,14;0,26;Muy buena / Oso ona;2;3;12;35;Muy buena / Oso ona;16;8;Muy buena / Oso ona;3;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
02/02/2017;0,17;0,27;Muy buena / Oso ona;4;3;13;45;Muy buena / Oso ona;17;6;Muy buena / Oso ona;3;Muy buena / Oso ona;0;Muy buena / Oso ona;Muy buena / Oso ona
01/02/2017;0,22;0,7;Muy buena / Oso ona;7;16;27;81;Buena / Ona;51;11;Muy buena / Oso ona;8;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
31/01/2017;0,39;;Sin datos / Daturik gabe;4;10;28;62;Buena / Ona;42;10;Muy buena / Oso ona;6;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
30/01/2017;0,41;0,91;Muy buena / Oso ona;5;8;24;43;Muy buena / Oso ona;37;6;Muy buena / Oso ona;4;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
29/01/2017;0,16;0,29;Muy buena / Oso ona;4;2;13;30;Muy buena / Oso ona;17;3;Muy buena / Oso ona;2;Muy buena / Oso ona;2;Muy buena / Oso ona;Muy buena / Oso ona
28/01/2017;0,22;0,28;Muy buena / Oso ona;4;7;33;80;Buena / Ona;44;12;Muy buena / Oso ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
27/01/2017;0,19;0,22;Muy buena / Oso ona;6;5;23;39;Muy buena / Oso ona;29;10;Muy buena / Oso ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;Muy buena / Oso ona
26/01/2017;0,19;0,26;Muy buena / Oso ona;4;9;33;74;Buena / Ona;45;17;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;Buena / Ona
25/01/2017;0,45;0,94;Muy buena / Oso ona;5;42;54;99;Buena / Ona;117;27;Buena / Ona;19;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
24/01/2017;0,69;1,2;Muy buena / Oso ona;6;54;53;94;Buena / Ona;135;35;Buena / Ona;21;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
23/01/2017;0,38;0,53;Muy buena / Oso ona;6;53;44;101;Mejorable / Hobetzeko modukoa;125;27;Buena / Ona;16;Muy buena / Oso ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/01/2017;0,69;1,71;Muy buena / Oso ona;8;18;30;43;Muy buena / Oso ona;56;24;Muy buena / Oso ona;17;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
21/01/2017;0,78;1,12;Muy buena / Oso ona;6;37;47;69;Buena / Ona;103;33;Buena / Ona;21;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
