Date;Benceno (µg/m3);CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);ICA Estación
16/05/2017;0,2;0,44;0,72;Muy buena / Oso ona;0,55;16;43;70;Buena / Ona;67;1,92;27;Buena / Ona;10;Muy buena / Oso ona;2,82;Buena / Ona
15/05/2017;0,24;0,36;0,62;Muy buena / Oso ona;0,21;13;39;66;Buena / Ona;59;0,86;19;Muy buena / Oso ona;10;Muy buena / Oso ona;1,43;Buena / Ona
14/05/2017;0,14;0,27;0,35;Muy buena / Oso ona;0,05;4;23;53;Buena / Ona;30;0,32;11;Muy buena / Oso ona;6;Muy buena / Oso ona;0,73;Buena / Ona
13/05/2017;0,16;0,24;0,32;Muy buena / Oso ona;0,04;3;19;49;Muy buena / Oso ona;24;0,28;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0,62;Muy buena / Oso ona
12/05/2017;0,15;0,18;0,25;Muy buena / Oso ona;0,03;4;22;39;Muy buena / Oso ona;29;0,32;7;Muy buena / Oso ona;2;Muy buena / Oso ona;0,59;Muy buena / Oso ona
11/05/2017;;0,15;0,36;Muy buena / Oso ona;;4;18;56;Buena / Ona;24;;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;Buena / Ona
10/05/2017;;0,37;0,55;Muy buena / Oso ona;;15;39;83;Buena / Ona;63;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;Buena / Ona
09/05/2017;0,13;0,31;;Sin datos / Daturik gabe;0,27;9;37;53;Buena / Ona;50;0,95;23;Muy buena / Oso ona;8;Muy buena / Oso ona;1,98;Buena / Ona
08/05/2017;0,16;0,25;0,33;Muy buena / Oso ona;0,17;13;30;51;Buena / Ona;50;0,69;15;Muy buena / Oso ona;10;Muy buena / Oso ona;1,59;Buena / Ona
07/05/2017;0,18;0,21;0,29;Muy buena / Oso ona;0,07;6;22;51;Buena / Ona;31;0,36;12;Muy buena / Oso ona;8;Muy buena / Oso ona;0,61;Buena / Ona
06/05/2017;0,18;0,19;0,26;Muy buena / Oso ona;0,03;3;18;52;Buena / Ona;22;0,23;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0,46;Buena / Ona
05/05/2017;0,23;0,29;0,41;Muy buena / Oso ona;0,22;13;41;83;Buena / Ona;60;0,89;23;Muy buena / Oso ona;6;Muy buena / Oso ona;1,65;Buena / Ona
04/05/2017;0,15;0,23;0,29;Muy buena / Oso ona;0,17;8;30;55;Buena / Ona;43;0,66;15;Muy buena / Oso ona;5;Muy buena / Oso ona;1,36;Buena / Ona
03/05/2017;0,24;0,27;0,3;Muy buena / Oso ona;0,12;10;27;49;Muy buena / Oso ona;42;0,5;20;Muy buena / Oso ona;7;Muy buena / Oso ona;1,22;Muy buena / Oso ona
02/05/2017;0,21;0,3;0,36;Muy buena / Oso ona;0,14;18;29;65;Buena / Ona;57;0,63;16;Muy buena / Oso ona;6;Muy buena / Oso ona;1,33;Buena / Ona
01/05/2017;0,18;0,22;0,27;Muy buena / Oso ona;0,06;6;28;49;Muy buena / Oso ona;37;0,33;12;Muy buena / Oso ona;5;Muy buena / Oso ona;0,61;Muy buena / Oso ona
30/04/2017;0,15;0,2;0,29;Muy buena / Oso ona;0,03;3;23;55;Buena / Ona;28;0,24;9;Muy buena / Oso ona;3;Muy buena / Oso ona;0,52;Buena / Ona
29/04/2017;0,21;0,27;0,3;Muy buena / Oso ona;0,08;9;33;49;Muy buena / Oso ona;47;0,48;14;Muy buena / Oso ona;6;Muy buena / Oso ona;0,82;Muy buena / Oso ona
28/04/2017;0,13;0,26;0,31;Muy buena / Oso ona;0,17;18;40;67;Buena / Ona;67;0,6;17;Muy buena / Oso ona;9;Muy buena / Oso ona;1,45;Buena / Ona
27/04/2017;0,17;0,23;0,49;Muy buena / Oso ona;0,14;12;36;73;Buena / Ona;54;0,47;13;Muy buena / Oso ona;5;Muy buena / Oso ona;1,13;Buena / Ona
26/04/2017;0,34;0,26;0,42;Muy buena / Oso ona;0,04;4;29;57;Buena / Ona;31;0,25;8;Muy buena / Oso ona;2;Muy buena / Oso ona;0,76;Buena / Ona
25/04/2017;0,22;0,29;0,44;Muy buena / Oso ona;0,16;9;40;66;Buena / Ona;53;0,74;19;Muy buena / Oso ona;4;Muy buena / Oso ona;1,63;Buena / Ona
24/04/2017;0,18;0,29;0,35;Muy buena / Oso ona;0,2;17;40;74;Buena / Ona;65;0,88;25;Muy buena / Oso ona;13;Muy buena / Oso ona;2,03;Buena / Ona
23/04/2017;0,28;0,31;0,34;Muy buena / Oso ona;0,13;6;40;63;Buena / Ona;49;0,64;24;Muy buena / Oso ona;17;Muy buena / Oso ona;1,34;Buena / Ona
22/04/2017;0,27;0,25;0,34;Muy buena / Oso ona;0,08;3;32;68;Buena / Ona;37;0,45;19;Muy buena / Oso ona;11;Muy buena / Oso ona;0,84;Buena / Ona
21/04/2017;0,19;0,29;0,31;Muy buena / Oso ona;0,21;14;48;70;Buena / Ona;69;0,73;23;Muy buena / Oso ona;9;Muy buena / Oso ona;1,87;Buena / Ona
20/04/2017;0,2;0,21;0,24;Muy buena / Oso ona;0,08;12;30;73;Buena / Ona;41;0,33;13;Muy buena / Oso ona;2;Muy buena / Oso ona;0,98;Buena / Ona
19/04/2017;0,23;0,17;0,23;Muy buena / Oso ona;0,01;4;19;50;Muy buena / Oso ona;23;0,16;12;Muy buena / Oso ona;2;Muy buena / Oso ona;0,47;Muy buena / Oso ona
18/04/2017;0,17;0,23;0,32;Muy buena / Oso ona;0,1;16;32;62;Buena / Ona;52;0,52;21;Muy buena / Oso ona;8;Muy buena / Oso ona;0,9;Buena / Ona
17/04/2017;0,14;0,2;0,26;Muy buena / Oso ona;0,03;6;21;45;Muy buena / Oso ona;31;0,26;20;Muy buena / Oso ona;7;Muy buena / Oso ona;0,45;Muy buena / Oso ona
16/04/2017;0,17;0,19;0,25;Muy buena / Oso ona;0,03;4;17;37;Muy buena / Oso ona;23;0,23;12;Muy buena / Oso ona;3;Muy buena / Oso ona;0,43;Muy buena / Oso ona
15/04/2017;0,2;0,25;0,37;Muy buena / Oso ona;0,05;3;18;44;Muy buena / Oso ona;23;0,28;16;Muy buena / Oso ona;4;Muy buena / Oso ona;0,52;Muy buena / Oso ona
14/04/2017;0,3;0,25;0,28;Muy buena / Oso ona;0,05;3;23;50;Muy buena / Oso ona;27;0,28;22;Muy buena / Oso ona;7;Muy buena / Oso ona;0,6;Muy buena / Oso ona
13/04/2017;0,2;0,23;0,26;Muy buena / Oso ona;0,14;7;26;49;Muy buena / Oso ona;38;0,62;18;Muy buena / Oso ona;9;Muy buena / Oso ona;1,07;Muy buena / Oso ona
12/04/2017;0,21;0,25;0,29;Muy buena / Oso ona;0,15;10;33;52;Buena / Ona;48;0,66;23;Muy buena / Oso ona;10;Muy buena / Oso ona;1,66;Buena / Ona
11/04/2017;0,25;0,29;0,43;Muy buena / Oso ona;0,01;3;18;55;Buena / Ona;23;0,21;20;Muy buena / Oso ona;5;Muy buena / Oso ona;0,62;Buena / Ona
10/04/2017;0,23;0,26;0,4;Muy buena / Oso ona;0,04;5;23;59;Buena / Ona;30;0,27;38;Buena / Ona;12;Muy buena / Oso ona;0,71;Buena / Ona
09/04/2017;0,21;0,32;0,44;Muy buena / Oso ona;0,19;9;36;71;Buena / Ona;49;0,89;27;Buena / Ona;11;Muy buena / Oso ona;1,44;Buena / Ona
08/04/2017;0,16;0,31;0,39;Muy buena / Oso ona;0,33;11;53;109;Mejorable / Hobetzeko modukoa;70;1,35;25;Muy buena / Oso ona;9;Muy buena / Oso ona;2,49;Mejorable / Hobetzeko modukoa
07/04/2017;0,16;0,3;0,33;Muy buena / Oso ona;0,27;16;43;74;Buena / Ona;67;0,84;27;Buena / Ona;7;Muy buena / Oso ona;2,04;Buena / Ona
06/04/2017;0,29;0,2;0,24;Muy buena / Oso ona;0,1;3;19;66;Buena / Ona;24;0,39;20;Muy buena / Oso ona;2;Muy buena / Oso ona;0,6;Buena / Ona
05/04/2017;0,31;0,26;0,33;Muy buena / Oso ona;0,02;3;18;41;Muy buena / Oso ona;23;0,23;12;Muy buena / Oso ona;2;Muy buena / Oso ona;0,44;Muy buena / Oso ona
04/04/2017;0,19;0,2;0,28;Muy buena / Oso ona;0,05;7;24;69;Buena / Ona;35;0,32;12;Muy buena / Oso ona;4;Muy buena / Oso ona;0,88;Buena / Ona
03/04/2017;0,27;0,29;0,33;Muy buena / Oso ona;0,18;17;36;56;Buena / Ona;61;0,8;22;Muy buena / Oso ona;11;Muy buena / Oso ona;1,46;Buena / Ona
02/04/2017;0,22;0,2;0,23;Muy buena / Oso ona;0,02;2;17;55;Buena / Ona;21;0,17;14;Muy buena / Oso ona;3;Muy buena / Oso ona;0,32;Buena / Ona
01/04/2017;0,24;0,15;0,17;Muy buena / Oso ona;0,03;2;15;27;Muy buena / Oso ona;18;;10;Muy buena / Oso ona;3;Muy buena / Oso ona;0,38;Muy buena / Oso ona
31/03/2017;0,3;0,23;0,35;Muy buena / Oso ona;0,12;12;36;100;Buena / Ona;55;0,63;18;Muy buena / Oso ona;3;Muy buena / Oso ona;1,47;Buena / Ona
30/03/2017;0,18;0,25;0,42;Muy buena / Oso ona;0,37;13;51;91;Buena / Ona;72;1,33;17;Muy buena / Oso ona;3;Muy buena / Oso ona;2,19;Buena / Ona
29/03/2017;0,13;0,3;0,41;Muy buena / Oso ona;0,41;19;60;103;Mejorable / Hobetzeko modukoa;89;1,24;20;Muy buena / Oso ona;9;Muy buena / Oso ona;2,54;Mejorable / Hobetzeko modukoa
28/03/2017;0,21;0,26;0,33;Muy buena / Oso ona;0,22;9;40;83;Buena / Ona;53;0,79;11;Muy buena / Oso ona;3;Muy buena / Oso ona;1,42;Buena / Ona
27/03/2017;0,3;0,24;0,28;Muy buena / Oso ona;0,09;6;32;64;Buena / Ona;42;0,48;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,9;Buena / Ona
26/03/2017;0,32;0,22;0,26;Muy buena / Oso ona;0,01;5;24;40;Muy buena / Oso ona;31;0,27;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,67;Muy buena / Oso ona
25/03/2017;0,36;0,25;0,3;Muy buena / Oso ona;0,04;5;35;54;Buena / Ona;42;0,34;6;Muy buena / Oso ona;2;Muy buena / Oso ona;0,76;Buena / Ona
24/03/2017;0,24;0,29;0,36;Muy buena / Oso ona;0,23;18;39;74;Buena / Ona;66;0,59;15;Muy buena / Oso ona;11;Muy buena / Oso ona;1,45;Buena / Ona
23/03/2017;0,21;0,21;;Sin datos / Daturik gabe;0,15;10;42;90;Buena / Ona;58;0,58;8;Muy buena / Oso ona;3;Muy buena / Oso ona;1,15;Buena / Ona
22/03/2017;0,29;0,23;0,28;Muy buena / Oso ona;0,05;4;32;60;Buena / Ona;38;0,33;9;Muy buena / Oso ona;4;Muy buena / Oso ona;0,76;Buena / Ona
21/03/2017;0,33;0,25;0,34;Muy buena / Oso ona;0,17;8;43;76;Buena / Ona;55;0,73;15;Muy buena / Oso ona;4;Muy buena / Oso ona;1,44;Buena / Ona
20/03/2017;0,34;0,28;0,35;Muy buena / Oso ona;0,06;4;28;54;Buena / Ona;35;0,36;21;Muy buena / Oso ona;3;Muy buena / Oso ona;0,76;Buena / Ona
19/03/2017;0,21;0,26;0,27;Muy buena / Oso ona;0,09;7;22;42;Muy buena / Oso ona;33;0,44;18;Muy buena / Oso ona;6;Muy buena / Oso ona;0,74;Muy buena / Oso ona
