Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SH2 (µg/m3);SO2 (µg/m3);SO2 - ICA;Tolueno (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
30/05/2017;0,77;0,64;2;16;29;Muy buena / Oso ona;19;58;73;Buena / Ona;10;Muy buena / Oso ona;1;2;Muy buena / Oso ona;1,04;341;92;1013,7;136,5;17,4;0,5;Buena / Ona
29/05/2017;0,55;0,58;2;16;45;Muy buena / Oso ona;19;66;81;Buena / Ona;17;Muy buena / Oso ona;1;1;Muy buena / Oso ona;0,45;337;98;1010,3;34;16,6;0,5;Buena / Ona
28/05/2017;1,17;1,62;2;16;27;Muy buena / Oso ona;19;62;82;Buena / Ona;35;Buena / Ona;1;4;Muy buena / Oso ona;2,32;346;96;1007,9;62,2;17,6;0,7;Buena / Ona
27/05/2017;0,96;1;2;15;37;Muy buena / Oso ona;18;71;88;Buena / Ona;29;Buena / Ona;1;3;Muy buena / Oso ona;2,24;329;93;1008,8;189,6;18,6;0,8;Buena / Ona
26/05/2017;1,44;1,04;2;13;29;Muy buena / Oso ona;16;93;115;Mejorable / Hobetzeko modukoa;26;Buena / Ona;1;2;Muy buena / Oso ona;2,49;310;81;1007,7;232,8;20,9;0,5;Mejorable / Hobetzeko modukoa
25/05/2017;0,98;1,96;4;21;49;Muy buena / Oso ona;26;87;;Sin datos / Daturik gabe;36;Buena / Ona;4;7;Muy buena / Oso ona;3,06;244;70;1008,5;313,3;24;0,7;Buena / Ona
24/05/2017;0,95;1,4;3;18;38;Muy buena / Oso ona;22;62;87;Buena / Ona;28;Buena / Ona;5;10;Muy buena / Oso ona;2,45;312;88;1015,1;314;19,1;0,7;Buena / Ona
23/05/2017;0,94;0,49;2;10;35;Muy buena / Oso ona;14;59;76;Buena / Ona;22;Muy buena / Oso ona;4;9;Muy buena / Oso ona;1,6;317;85;1020;282,7;16,6;0,2;Buena / Ona
22/05/2017;0,67;0,49;2;10;25;Muy buena / Oso ona;13;80;92;Buena / Ona;32;Buena / Ona;4;7;Muy buena / Oso ona;0,85;329;82;1014,5;301,6;18,1;2,6;Buena / Ona
21/05/2017;1,39;1,88;3;15;38;Muy buena / Oso ona;19;68;92;Buena / Ona;17;Muy buena / Oso ona;5;12;Muy buena / Oso ona;2,85;158;55;1010,8;245,1;22,9;3,5;Buena / Ona
20/05/2017;0,59;0,34;1;9;20;Muy buena / Oso ona;10;65;78;Buena / Ona;11;Muy buena / Oso ona;4;7;Muy buena / Oso ona;0,64;302;75;1020,6;277,3;15,2;0,4;Buena / Ona
19/05/2017;0,65;0,28;1;9;14;Muy buena / Oso ona;11;70;84;Buena / Ona;14;Muy buena / Oso ona;4;6;Muy buena / Oso ona;0,76;316;75;1018,6;198,3;13,5;1,5;Buena / Ona
18/05/2017;0,84;0,15;1;7;11;Muy buena / Oso ona;9;79;82;Buena / Ona;9;Muy buena / Oso ona;4;6;Muy buena / Oso ona;1,44;323;88;1015,5;165;13,4;2,2;Buena / Ona
17/05/2017;1,06;0,98;2;23;53;Buena / Ona;27;57;90;Buena / Ona;21;Muy buena / Oso ona;4;10;Muy buena / Oso ona;2,09;308;94;1015,2;69,2;16,5;0,6;Buena / Ona
16/05/2017;1,45;1,72;4;20;65;Buena / Ona;26;77;106;Mejorable / Hobetzeko modukoa;25;Muy buena / Oso ona;3;13;Muy buena / Oso ona;2,15;307;78;1020;252,1;19,5;0,7;Mejorable / Hobetzeko modukoa
