Date;CO (mg/m3);CO 8h max (mg/m3);CO 8h max - ICA;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;ICA Estación
10/02/2017;;;Sin datos / Daturik gabe;45;56;103;Mejorable / Hobetzeko modukoa;124;32;50;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
09/02/2017;0,28;;Sin datos / Daturik gabe;44;58;96;Buena / Ona;124;18;35;Muy buena / Oso ona;16;Muy buena / Oso ona;5;Muy buena / Oso ona;Buena / Ona
08/02/2017;;;Sin datos / Daturik gabe;15;49;93;Buena / Ona;72;47;86;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
07/02/2017;;0,5;Muy buena / Oso ona;18;52;89;Buena / Ona;80;34;61;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
06/02/2017;0,28;0,36;Muy buena / Oso ona;53;53;90;Buena / Ona;135;21;76;Buena / Ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
05/02/2017;;;Sin datos / Daturik gabe;1;8;22;Muy buena / Oso ona;9;81;85;Buena / Ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
04/02/2017;0,25;0,35;Muy buena / Oso ona;12;40;70;Buena / Ona;58;42;81;Buena / Ona;14;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
03/02/2017;;;Sin datos / Daturik gabe;3;22;56;Buena / Ona;26;72;88;Buena / Ona;11;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
02/02/2017;;;Sin datos / Daturik gabe;2;18;65;Buena / Ona;21;70;73;Buena / Ona;9;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
01/02/2017;0,21;0,31;Muy buena / Oso ona;20;36;90;Buena / Ona;65;43;59;Muy buena / Oso ona;13;Muy buena / Oso ona;3;Muy buena / Oso ona;Buena / Ona
31/01/2017;;;Sin datos / Daturik gabe;9;32;59;Buena / Ona;45;40;64;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
30/01/2017;;;Sin datos / Daturik gabe;54;44;93;Buena / Ona;127;25;44;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
29/01/2017;;;Sin datos / Daturik gabe;9;37;64;Buena / Ona;50;35;65;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
28/01/2017;;;Sin datos / Daturik gabe;28;53;90;Buena / Ona;95;26;52;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona;Buena / Ona
27/01/2017;;0,29;Muy buena / Oso ona;5;31;65;Buena / Ona;38;52;66;Buena / Ona;13;Muy buena / Oso ona;2;Muy buena / Oso ona;Buena / Ona
26/01/2017;0,27;;Sin datos / Daturik gabe;35;47;118;Mejorable / Hobetzeko modukoa;101;37;57;Muy buena / Oso ona;21;Muy buena / Oso ona;5;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
25/01/2017;0,42;0,66;Muy buena / Oso ona;69;63;100;Buena / Ona;169;14;41;Muy buena / Oso ona;25;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
24/01/2017;0,44;0,55;Muy buena / Oso ona;83;71;113;Mejorable / Hobetzeko modukoa;197;13;30;Muy buena / Oso ona;32;Buena / Ona;6;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
23/01/2017;0,37;0,62;Muy buena / Oso ona;69;66;104;Mejorable / Hobetzeko modukoa;173;25;38;Muy buena / Oso ona;27;Buena / Ona;4;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
22/01/2017;0,36;0,57;Muy buena / Oso ona;34;53;87;Buena / Ona;105;18;34;Muy buena / Oso ona;24;Muy buena / Oso ona;7;Muy buena / Oso ona;Buena / Ona
21/01/2017;0,44;0,52;Muy buena / Oso ona;78;58;88;Buena / Ona;177;8;13;Muy buena / Oso ona;31;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
20/01/2017;0,4;0,46;Muy buena / Oso ona;99;60;98;Buena / Ona;211;6;10;Muy buena / Oso ona;32;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
19/01/2017;0,26;0,56;Muy buena / Oso ona;35;49;73;Buena / Ona;103;14;24;Muy buena / Oso ona;21;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
18/01/2017;0,43;0,66;Muy buena / Oso ona;31;46;86;Buena / Ona;94;25;57;Muy buena / Oso ona;18;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
17/01/2017;0,23;0,33;Muy buena / Oso ona;17;36;78;Buena / Ona;62;45;66;Buena / Ona;11;Muy buena / Oso ona;1;Muy buena / Oso ona;Buena / Ona
