Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);SO2 (µg/m3);SO2 - ICA;D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
21/05/2017;2;13;23;Muy buena / Oso ona;16;61;86;Buena / Ona;11;Muy buena / Oso ona;;;;;179;61;1006,5;21,3;1,18;Buena / Ona
20/05/2017;2;13;22;Muy buena / Oso ona;16;49;72;Buena / Ona;13;Muy buena / Oso ona;;;;;193;77;1015,9;13,7;0,25;Buena / Ona
19/05/2017;2;13;21;Muy buena / Oso ona;16;55;77;Buena / Ona;14;Muy buena / Oso ona;;;;;211;77;1013,9;12;0,34;Buena / Ona
18/05/2017;2;9;18;Muy buena / Oso ona;12;65;74;Buena / Ona;10;Muy buena / Oso ona;;;;;358;85;1010,8;12,8;0,52;Buena / Ona
17/05/2017;3;31;50;Muy buena / Oso ona;37;38;71;Buena / Ona;25;Muy buena / Oso ona;;;;;75;87;1010,6;16;0,14;Buena / Ona
16/05/2017;5;32;57;Buena / Ona;39;57;74;Buena / Ona;22;Muy buena / Oso ona;;;;;97;72;1015,3;19,8;0,28;Buena / Ona
15/05/2017;3;26;60;Buena / Ona;31;54;81;Buena / Ona;14;Muy buena / Oso ona;;;;;165;66;1017;19,6;0,73;Buena / Ona
14/05/2017;2;15;34;Muy buena / Oso ona;18;54;76;Buena / Ona;11;Muy buena / Oso ona;;;;;185;67;1014,2;18,7;0,42;Buena / Ona
13/05/2017;2;12;25;Muy buena / Oso ona;15;58;80;Buena / Ona;9;Muy buena / Oso ona;;;;;344;78;1006,3;16,7;0,13;Buena / Ona
12/05/2017;2;11;37;Muy buena / Oso ona;14;69;88;Buena / Ona;10;Muy buena / Oso ona;;;;;188;65;995,2;17,9;1,52;Buena / Ona
11/05/2017;2;8;28;Muy buena / Oso ona;11;83;85;Buena / Ona;4;Muy buena / Oso ona;;;;;187;58;987,3;18,7;2,01;Buena / Ona
10/05/2017;5;27;46;Muy buena / Oso ona;34;56;86;Buena / Ona;26;Buena / Ona;;;;;71;79;991,4;17,2;0,13;Buena / Ona
09/05/2017;5;25;47;Muy buena / Oso ona;33;47;75;Buena / Ona;17;Muy buena / Oso ona;;;;;26;79;1000,8;15,1;0,14;Buena / Ona
08/05/2017;5;21;36;Muy buena / Oso ona;28;45;70;Buena / Ona;6;Muy buena / Oso ona;;;;;71;73;1011,6;14,2;0,15;Buena / Ona
07/05/2017;2;14;35;Muy buena / Oso ona;17;56;80;Buena / Ona;2;Muy buena / Oso ona;;;;;142;69;1014,1;15,5;0,25;Buena / Ona
06/05/2017;2;9;22;Muy buena / Oso ona;12;68;87;Buena / Ona;4;Muy buena / Oso ona;;;;;326;65;1007,5;15,8;0,2;Buena / Ona
05/05/2017;2;18;42;Muy buena / Oso ona;21;61;84;Buena / Ona;19;Muy buena / Oso ona;;;;;181;77;997,5;17,7;0,53;Buena / Ona
04/05/2017;5;23;39;Muy buena / Oso ona;31;52;77;Buena / Ona;17;Muy buena / Oso ona;;;;;3;77;1002,7;16,6;0,57;Buena / Ona
03/05/2017;5;19;36;Muy buena / Oso ona;26;43;71;Buena / Ona;17;Muy buena / Oso ona;;;;;38;84;1008,2;14,2;0,36;Buena / Ona
02/05/2017;8;23;50;Muy buena / Oso ona;36;39;;Sin datos / Daturik gabe;14;Muy buena / Oso ona;;;;;84;85;1012,4;13,1;0,15;Muy buena / Oso ona
01/05/2017;1;12;25;Muy buena / Oso ona;13;56;83;Buena / Ona;12;Muy buena / Oso ona;;;;;182;74;1011,4;10,4;1,1;Buena / Ona
30/04/2017;2;7;13;Muy buena / Oso ona;10;79;92;Buena / Ona;9;Muy buena / Oso ona;;;;;191;72;999;11,9;1,8;Buena / Ona
29/04/2017;1;9;13;Muy buena / Oso ona;11;71;89;Buena / Ona;9;Muy buena / Oso ona;;;;;179;61;1000,3;14,6;2,48;Buena / Ona
28/04/2017;3;17;27;Muy buena / Oso ona;21;57;87;Buena / Ona;11;Muy buena / Oso ona;;;;;176;74;1010,9;8,2;0,47;Buena / Ona
27/04/2017;2;16;34;Muy buena / Oso ona;19;53;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;;;;;72;78;1011,6;7;0,21;Muy buena / Oso ona
26/04/2017;1;14;30;Muy buena / Oso ona;16;52;64;Buena / Ona;7;Muy buena / Oso ona;;;;;356;87;1007,8;7,3;0,31;Buena / Ona
25/04/2017;3;21;42;Muy buena / Oso ona;25;42;;Sin datos / Daturik gabe;15;Muy buena / Oso ona;;;;;256;92;1002,1;11,6;0,13;Muy buena / Oso ona
24/04/2017;5;27;53;Buena / Ona;35;46;63;Buena / Ona;20;Muy buena / Oso ona;;;;;69;74;1005,8;14;0,44;Buena / Ona
23/04/2017;2;22;48;Muy buena / Oso ona;25;64;89;Buena / Ona;20;Muy buena / Oso ona;;;;;98;66;1009,7;14,6;0,28;Buena / Ona
22/04/2017;1;16;36;Muy buena / Oso ona;18;80;96;Buena / Ona;17;Muy buena / Oso ona;;;;;183;48;1012,2;17,3;0,47;Buena / Ona
21/04/2017;2;21;39;Muy buena / Oso ona;25;63;96;Buena / Ona;15;Muy buena / Oso ona;;;;;174;56;1015,5;13,9;0,75;Buena / Ona
20/04/2017;3;18;43;Muy buena / Oso ona;23;61;84;Buena / Ona;13;Muy buena / Oso ona;;;;;347;57;1017,5;10,9;0,79;Buena / Ona
19/04/2017;3;14;49;Muy buena / Oso ona;18;69;89;Buena / Ona;12;Muy buena / Oso ona;;;;;360;58;1016,7;11,3;1,15;Buena / Ona
18/04/2017;3;16;32;Muy buena / Oso ona;20;51;80;Buena / Ona;17;Muy buena / Oso ona;;;;;25;79;1014,2;12;0,39;Buena / Ona
17/04/2017;2;12;22;Muy buena / Oso ona;15;49;74;Buena / Ona;15;Muy buena / Oso ona;;;;;31;77;1012,9;13,3;0,28;Buena / Ona
16/04/2017;2;10;18;Muy buena / Oso ona;12;48;71;Buena / Ona;10;Muy buena / Oso ona;;;;;36;78;1016,5;12,9;0,21;Buena / Ona
15/04/2017;2;12;28;Muy buena / Oso ona;14;55;77;Buena / Ona;17;Muy buena / Oso ona;;;;;22;82;1015,8;13,4;0,37;Buena / Ona
14/04/2017;2;16;25;Muy buena / Oso ona;18;52;77;Buena / Ona;19;Muy buena / Oso ona;;;;;168;86;1012,7;12,2;0,29;Buena / Ona
13/04/2017;2;16;26;Muy buena / Oso ona;19;56;84;Buena / Ona;17;Muy buena / Oso ona;;;;;97;80;1010,7;12,6;0,43;Buena / Ona
12/04/2017;3;22;41;Muy buena / Oso ona;27;50;76;Buena / Ona;21;Muy buena / Oso ona;;;;;132;82;1013,1;13;0,39;Buena / Ona
11/04/2017;2;16;40;Muy buena / Oso ona;19;72;88;Buena / Ona;23;Muy buena / Oso ona;;;;;2;77;1017,6;13,9;0,57;Buena / Ona
10/04/2017;5;23;52;Buena / Ona;31;63;84;Buena / Ona;38;Buena / Ona;;;;;6;88;1017,4;13;0,36;Buena / Ona
09/04/2017;2;22;40;Muy buena / Oso ona;26;63;;Sin datos / Daturik gabe;25;Muy buena / Oso ona;;;;;58;76;1012,5;15;0,41;Muy buena / Oso ona
08/04/2017;2;28;76;Buena / Ona;31;65;96;Buena / Ona;23;Muy buena / Oso ona;;;;;185;64;1009,1;17,1;1,08;Buena / Ona
07/04/2017;4;25;42;Muy buena / Oso ona;31;46;77;Buena / Ona;22;Muy buena / Oso ona;;;;;157;82;1012,7;12;0,5;Buena / Ona
06/04/2017;3;16;54;Buena / Ona;21;62;83;Buena / Ona;19;Muy buena / Oso ona;;;;;16;83;1017,2;12,8;1,01;Buena / Ona
05/04/2017;1;13;28;Muy buena / Oso ona;16;66;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;;;;;9;89;1018,9;11,6;1,16;Muy buena / Oso ona
04/04/2017;3;17;42;Muy buena / Oso ona;22;54;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;;;;;19;85;1019,7;11,5;0,46;Muy buena / Oso ona
03/04/2017;3;19;;Sin datos / Daturik gabe;23;50;;Sin datos / Daturik gabe;16;Muy buena / Oso ona;;;;;162;80;1016,9;11,1;0,9;Muy buena / Oso ona
02/04/2017;;;;;;72;;;;;;;;;;;;;;
01/04/2017;;;;Sin datos / Daturik gabe;;73;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;;;;;;;;;;Sin datos / Daturik gabe
31/03/2017;5;22;74;Buena / Ona;30;62;83;Buena / Ona;15;Muy buena / Oso ona;;;;;220;77;1009,3;14,9;0,13;Buena / Ona
30/03/2017;3;23;54;Buena / Ona;27;67;88;Buena / Ona;13;Muy buena / Oso ona;;;;;183;55;1010,3;19,3;1,85;Buena / Ona
29/03/2017;4;33;97;Buena / Ona;39;47;71;Buena / Ona;14;Muy buena / Oso ona;;;;;189;61;1015,1;16,8;1,25;Buena / Ona
28/03/2017;3;24;58;Buena / Ona;28;58;83;Buena / Ona;12;Muy buena / Oso ona;;;;;186;63;1015,9;14,9;0,88;Buena / Ona
27/03/2017;2;15;24;Muy buena / Oso ona;18;76;90;Buena / Ona;8;Muy buena / Oso ona;;;;;182;60;1007,3;15;1,57;Buena / Ona
26/03/2017;2;11;18;Muy buena / Oso ona;13;74;81;Buena / Ona;5;Muy buena / Oso ona;;;;;190;65;1004,3;13;2,26;Buena / Ona
25/03/2017;2;9;21;Muy buena / Oso ona;12;72;78;Buena / Ona;6;Muy buena / Oso ona;;;;;206;90;1003,8;7,5;1,22;Buena / Ona
24/03/2017;4;19;36;Muy buena / Oso ona;24;55;84;Buena / Ona;9;Muy buena / Oso ona;;;;;174;69;1007,1;8;0,59;Buena / Ona
23/03/2017;3;16;42;Muy buena / Oso ona;20;62;85;Buena / Ona;5;Muy buena / Oso ona;;;;;190;65;1001,1;7,4;1,78;Buena / Ona
22/03/2017;2;16;29;Muy buena / Oso ona;19;60;69;Buena / Ona;8;Muy buena / Oso ona;;;;;202;83;1002,2;7,5;0,52;Buena / Ona
21/03/2017;2;17;38;Muy buena / Oso ona;20;54;78;Buena / Ona;10;Muy buena / Oso ona;;;;;189;87;1009,8;9,7;0,64;Buena / Ona
20/03/2017;2;20;39;Muy buena / Oso ona;23;54;69;Buena / Ona;26;Buena / Ona;;;;;48;81;1010;10,8;0,07;Buena / Ona
19/03/2017;2;13;21;Muy buena / Oso ona;16;54;78;Buena / Ona;16;Muy buena / Oso ona;;;;;67;83;1013,5;9,9;0,18;Buena / Ona
18/03/2017;2;14;27;Muy buena / Oso ona;17;54;73;Buena / Ona;17;Muy buena / Oso ona;;;;;347;78;1016,9;11,8;0,25;Buena / Ona
17/03/2017;3;20;44;Muy buena / Oso ona;26;56;73;Buena / Ona;26;Buena / Ona;;;;;14;85;1015,8;11,6;0,45;Buena / Ona
16/03/2017;4;28;64;Buena / Ona;34;56;95;Buena / Ona;16;Muy buena / Oso ona;;;;;199;58;1011,6;16,6;1,13;Buena / Ona
15/03/2017;6;29;54;Buena / Ona;38;36;66;Buena / Ona;27;Buena / Ona;;;;;25;84;1019,8;12,5;0,18;Buena / Ona
14/03/2017;3;22;47;Muy buena / Oso ona;27;49;66;Buena / Ona;22;Muy buena / Oso ona;;;;;11;88;1024,7;12,1;0,99;Buena / Ona
13/03/2017;2;17;32;Muy buena / Oso ona;19;67;83;Buena / Ona;21;Muy buena / Oso ona;;;;;10;87;1020,6;10,4;1,77;Buena / Ona
12/03/2017;2;6;9;Muy buena / Oso ona;9;78;80;Buena / Ona;15;Muy buena / Oso ona;;;;;6;80;1012,9;11,5;0,72;Buena / Ona
11/03/2017;4;19;31;Muy buena / Oso ona;25;60;80;Buena / Ona;24;Muy buena / Oso ona;;;;;147;73;1009,2;14,6;0,4;Buena / Ona
10/03/2017;17;50;93;Buena / Ona;75;18;27;Muy buena / Oso ona;28;Buena / Ona;;;;;177;76;1012;15,1;1,74;Buena / Ona
09/03/2017;8;37;80;Buena / Ona;49;25;52;Muy buena / Oso ona;26;Buena / Ona;;;;;122;84;1017,8;13;0,09;Buena / Ona
08/03/2017;8;20;38;Muy buena / Oso ona;31;46;63;Buena / Ona;15;Muy buena / Oso ona;;;;;13;83;1020;13,7;0,49;Buena / Ona
07/03/2017;4;22;56;Buena / Ona;28;43;60;Muy buena / Oso ona;24;Muy buena / Oso ona;;;;;188;86;1018,6;11,9;0,55;Buena / Ona
06/03/2017;4;17;62;Buena / Ona;24;61;;Sin datos / Daturik gabe;29;Buena / Ona;;;;;91;77;1014;13,4;0,14;Buena / Ona
05/03/2017;2;14;44;Muy buena / Oso ona;17;60;76;Buena / Ona;21;Muy buena / Oso ona;;;;;191;76;1005,4;12,4;0,71;Buena / Ona
04/03/2017;1;13;37;Muy buena / Oso ona;14;62;83;Buena / Ona;10;Muy buena / Oso ona;;;;;195;72;996,5;8,2;1,14;Buena / Ona
03/03/2017;2;15;33;Muy buena / Oso ona;18;69;73;Buena / Ona;13;Muy buena / Oso ona;;;;;180;67;993,1;13,3;1,76;Buena / Ona
02/03/2017;6;20;43;Muy buena / Oso ona;29;42;62;Buena / Ona;11;Muy buena / Oso ona;;;;;188;71;1007,3;13,4;1,38;Buena / Ona
01/03/2017;;;;Sin datos / Daturik gabe;;48;71;Buena / Ona;9;Muy buena / Oso ona;;;;;192;75;1008,7;10,4;1,94;Buena / Ona
28/02/2017;1;10;20;Muy buena / Oso ona;12;68;78;Buena / Ona;10;Muy buena / Oso ona;;;;;200;80;1003,3;9,7;0,98;Buena / Ona
27/02/2017;4;15;25;Muy buena / Oso ona;22;55;78;Buena / Ona;17;Muy buena / Oso ona;;;;;187;72;1002,5;13;1,28;Buena / Ona
26/02/2017;8;18;32;Muy buena / Oso ona;30;37;68;Buena / Ona;21;Muy buena / Oso ona;;;;;177;82;1011,4;10,5;0,76;Buena / Ona
25/02/2017;8;26;47;Muy buena / Oso ona;38;32;51;Muy buena / Oso ona;22;Muy buena / Oso ona;;;;;169;76;1011,9;9,4;1,12;Muy buena / Oso ona
24/02/2017;6;17;30;Muy buena / Oso ona;26;58;76;Buena / Ona;15;Muy buena / Oso ona;;;;;15;87;1013;9,3;0,43;Buena / Ona
23/02/2017;13;29;39;Muy buena / Oso ona;48;27;47;Muy buena / Oso ona;41;Buena / Ona;;;;;8;86;1008,8;10,4;0,07;Buena / Ona
22/02/2017;12;34;63;Buena / Ona;53;19;27;Muy buena / Oso ona;26;Buena / Ona;;;;;171;86;1012,9;10,3;0,88;Buena / Ona
21/02/2017;8;23;39;Muy buena / Oso ona;35;33;55;Muy buena / Oso ona;15;Muy buena / Oso ona;;;;;179;84;1018,3;9,8;0,75;Muy buena / Oso ona
20/02/2017;9;22;37;Muy buena / Oso ona;36;40;73;Buena / Ona;20;Muy buena / Oso ona;;;;;183;82;1020,4;10,3;0,49;Buena / Ona
19/02/2017;5;16;35;Muy buena / Oso ona;25;56;79;Buena / Ona;19;Muy buena / Oso ona;;;;;12;88;1019,5;11,1;0,26;Buena / Ona
18/02/2017;6;17;38;Muy buena / Oso ona;26;49;83;Buena / Ona;18;Muy buena / Oso ona;;;;;163;84;1014,1;9,7;0,74;Buena / Ona
17/02/2017;10;29;59;Buena / Ona;44;30;50;Muy buena / Oso ona;20;Muy buena / Oso ona;;;;;181;78;1018,1;11,1;1,88;Buena / Ona
16/02/2017;8;19;45;Muy buena / Oso ona;32;47;70;Buena / Ona;17;Muy buena / Oso ona;;;;;190;68;1021,5;13,4;2;Buena / Ona
15/02/2017;8;15;41;Muy buena / Oso ona;28;58;71;Buena / Ona;14;Muy buena / Oso ona;;;;;195;59;1020,4;14,8;1,67;Buena / Ona
14/02/2017;6;16;49;Muy buena / Oso ona;25;57;72;Buena / Ona;7;Muy buena / Oso ona;;;;;180;60;1011,2;13,5;1,59;Buena / Ona
13/02/2017;6;17;33;Muy buena / Oso ona;25;58;77;Buena / Ona;18;Muy buena / Oso ona;;;;;176;68;996,7;13,8;4,25;Buena / Ona
12/02/2017;4;14;21;Muy buena / Oso ona;20;57;74;Buena / Ona;20;Muy buena / Oso ona;;;;;183;75;995,6;11,8;3,53;Buena / Ona
11/02/2017;5;19;44;Muy buena / Oso ona;27;29;47;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;;263;88;1005,9;6,5;0,17;Muy buena / Oso ona
10/02/2017;5;18;44;Muy buena / Oso ona;25;52;73;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;193;55;1002,7;10,7;1,63;Buena / Ona
09/02/2017;4;18;39;Muy buena / Oso ona;24;46;56;Muy buena / Oso ona;8;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;182;74;1009,4;8,3;2,06;Muy buena / Oso ona
08/02/2017;1;10;20;Muy buena / Oso ona;12;71;86;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;;;;;;Buena / Ona
07/02/2017;4;12;26;Muy buena / Oso ona;18;61;80;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;204;88;1014,6;10,7;0,52;Buena / Ona
06/02/2017;5;19;40;Muy buena / Oso ona;26;39;82;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;196;88;1015,1;9,9;1,61;Buena / Ona
05/02/2017;2;5;7;Muy buena / Oso ona;8;83;87;Buena / Ona;9;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;204;73;1005,8;9,5;0,74;Buena / Ona
04/02/2017;6;15;29;Muy buena / Oso ona;24;53;80;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;198;88;998,5;11,2;0,47;Buena / Ona
03/02/2017;6;8;14;Muy buena / Oso ona;17;83;85;Buena / Ona;8;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;185;48;997,4;15,3;3,04;Buena / Ona
02/02/2017;7;9;23;Muy buena / Oso ona;19;77;81;Buena / Ona;6;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;188;53;997,1;15,5;3,5;Buena / Ona
01/02/2017;8;14;41;Muy buena / Oso ona;26;54;66;Buena / Ona;9;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;187;59;1003,5;15,6;1,97;Buena / Ona
31/01/2017;7;11;18;Muy buena / Oso ona;22;53;62;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;183;56;1004,6;16,1;2,09;Buena / Ona
30/01/2017;6;11;22;Muy buena / Oso ona;20;45;59;Muy buena / Oso ona;7;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;187;69;1008,5;15,6;1,96;Muy buena / Oso ona
29/01/2017;3;6;16;Muy buena / Oso ona;12;61;72;Buena / Ona;7;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;196;66;1011,2;12,9;1,98;Buena / Ona
28/01/2017;3;14;38;Muy buena / Oso ona;19;45;67;Buena / Ona;10;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;193;76;1011,7;8,1;1,48;Buena / Ona
27/01/2017;3;12;24;Muy buena / Oso ona;16;65;67;Buena / Ona;12;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;183;62;999,4;11,1;2,48;Buena / Ona
26/01/2017;2;16;27;Muy buena / Oso ona;18;54;;Sin datos / Daturik gabe;18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;184;62;1002,4;7;2,95;Muy buena / Oso ona
25/01/2017;5;23;45;Muy buena / Oso ona;30;28;52;Muy buena / Oso ona;;Sin datos / Daturik gabe;;;;Sin datos / Daturik gabe;179;81;1014,4;2,5;1,33;Muy buena / Oso ona
24/01/2017;8;24;43;Muy buena / Oso ona;36;27;56;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;181;85;1018,6;5;0,47;Muy buena / Oso ona
23/01/2017;6;18;38;Muy buena / Oso ona;27;43;68;Buena / Ona;18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;304;85;1015,4;7,3;0,1;Buena / Ona
22/01/2017;3;15;26;Muy buena / Oso ona;19;35;61;Buena / Ona;20;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;179;87;1013,4;6,8;0,91;Buena / Ona
21/01/2017;7;28;44;Muy buena / Oso ona;38;15;30;Muy buena / Oso ona;25;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;175;83;1012,9;4,6;1,52;Muy buena / Oso ona
20/01/2017;16;30;50;Muy buena / Oso ona;54;10;19;Muy buena / Oso ona;23;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;179;81;1015,2;1,8;1,49;Muy buena / Oso ona
19/01/2017;6;27;38;Muy buena / Oso ona;36;18;29;Muy buena / Oso ona;18;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;168;79;1017,2;2,8;0,45;Muy buena / Oso ona
18/01/2017;6;28;65;Buena / Ona;37;26;58;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;27;76;1018,1;2,2;0,11;Buena / Ona
17/01/2017;2;19;53;Buena / Ona;22;53;62;Buena / Ona;8;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;10;67;1019,3;5,6;1,94;Buena / Ona
16/01/2017;2;14;26;Muy buena / Oso ona;17;66;78;Buena / Ona;12;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;11;91;1018,2;10,3;1,7;Buena / Ona
15/01/2017;1;7;15;Muy buena / Oso ona;9;74;78;Buena / Ona;11;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;347;85;1021,4;8,9;0,66;Buena / Ona
14/01/2017;1;9;20;Muy buena / Oso ona;10;67;71;Buena / Ona;7;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;223;85;1020,2;6,5;0,77;Buena / Ona
13/01/2017;1;9;15;Muy buena / Oso ona;10;72;77;Buena / Ona;12;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;226;79;1015,8;7,7;0,77;Buena / Ona
12/01/2017;13;22;52;Buena / Ona;41;26;49;Muy buena / Oso ona;14;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;178;91;1012,7;10,6;0,73;Buena / Ona
11/01/2017;2;18;42;Muy buena / Oso ona;21;46;70;Buena / Ona;7;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;25;96;1016,3;11,9;0,91;Buena / Ona
10/01/2017;1;17;25;Muy buena / Oso ona;18;53;66;Buena / Ona;12;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;301;94;1012,6;8,9;0,12;Buena / Ona
09/01/2017;14;37;61;Buena / Ona;58;17;27;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;183;81;1021;7,5;1,55;Buena / Ona
08/01/2017;;;;Sin datos / Daturik gabe;;22;39;Muy buena / Oso ona;20;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;183;71;1024,9;3,9;1,07;Muy buena / Oso ona
07/01/2017;;;;Sin datos / Daturik gabe;;21;37;Muy buena / Oso ona;19;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;179;75;1025;1;1,7;Muy buena / Oso ona
06/01/2017;3;25;46;Muy buena / Oso ona;30;22;41;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;185;83;1024,3;1,5;0,83;Muy buena / Oso ona
05/01/2017;13;35;54;Buena / Ona;54;19;45;Muy buena / Oso ona;16;Muy buena / Oso ona;;;;Sin datos / Daturik gabe;184;82;1022,7;3,9;1,31;Buena / Ona
04/01/2017;23;34;57;Buena / Ona;70;7;14;Muy buena / Oso ona;24;Muy buena / Oso ona;1,9;0,05;9;Muy buena / Oso ona;175;89;1020,1;3,8;0,95;Buena / Ona
03/01/2017;24;35;55;Buena / Ona;73;8;12;Muy buena / Oso ona;26;Buena / Ona;1,96;0,06;6;Muy buena / Oso ona;183;84;1016,9;4,6;1,01;Buena / Ona
02/01/2017;4;21;48;Muy buena / Oso ona;27;34;47;Muy buena / Oso ona;13;Muy buena / Oso ona;2,05;0,06;3;Muy buena / Oso ona;194;68;1011,9;7,2;2,07;Muy buena / Oso ona
01/01/2017;4;17;37;Muy buena / Oso ona;22;26;40;Muy buena / Oso ona;14;Muy buena / Oso ona;2,36;0,06;4;Muy buena / Oso ona;182;74;1015,3;4,3;3,24;Muy buena / Oso ona
