Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
13/01/2017;7;20;44;Muy buena / Oso ona;32;61;79;Buena / Ona;9;Muy buena / Oso ona;272;84;1016,1;36;33,1;7;1,61;Buena / Ona
12/01/2017;14;22;46;Muy buena / Oso ona;44;28;41;Muy buena / Oso ona;13;Muy buena / Oso ona;148;90;1013,7;7,8;40,7;11,4;0,03;Muy buena / Oso ona
11/01/2017;10;23;50;Muy buena / Oso ona;38;46;75;Buena / Ona;5;Muy buena / Oso ona;12;97;1016,6;46;20,2;11,9;0,59;Buena / Ona
10/01/2017;13;24;49;Muy buena / Oso ona;43;43;66;Buena / Ona;11;Muy buena / Oso ona;27;93;1012,8;92,2;7,8;8,9;0,79;Buena / Ona
09/01/2017;33;36;63;Buena / Ona;86;17;39;Muy buena / Oso ona;23;Muy buena / Oso ona;274;83;1021,8;0;36,1;7,2;0,14;Buena / Ona
08/01/2017;17;33;58;Buena / Ona;58;17;40;Muy buena / Oso ona;18;Muy buena / Oso ona;271;81;1026,1;0;20,7;6,6;0,16;Buena / Ona
07/01/2017;26;30;57;Buena / Ona;69;18;42;Muy buena / Oso ona;23;Muy buena / Oso ona;311;80;1026,4;0;36,1;;0,17;Buena / Ona
06/01/2017;15;26;46;Muy buena / Oso ona;49;20;43;Muy buena / Oso ona;15;Muy buena / Oso ona;39;87;1025,5;0;37,7;;0,47;Muy buena / Oso ona
05/01/2017;20;30;54;Buena / Ona;61;17;25;Muy buena / Oso ona;17;Muy buena / Oso ona;99;84;1023,9;0;50,6;3,1;0,52;Buena / Ona
04/01/2017;16;26;44;Muy buena / Oso ona;50;13;23;Muy buena / Oso ona;25;Muy buena / Oso ona;84;90;1021,1;0;39,9;4;0,77;Muy buena / Oso ona
03/01/2017;39;29;47;Muy buena / Oso ona;88;10;20;Muy buena / Oso ona;25;Muy buena / Oso ona;30;88;1018,1;0;36,1;4,6;0,5;Muy buena / Oso ona
02/01/2017;42;35;57;Buena / Ona;98;13;22;Muy buena / Oso ona;20;Muy buena / Oso ona;240;77;1014;0;45,5;4,8;1,17;Buena / Ona
01/01/2017;25;26;38;Muy buena / Oso ona;65;13;28;Muy buena / Oso ona;16;Muy buena / Oso ona;239;83;1016,5;0;34,3;4,5;0,7;Muy buena / Oso ona
