Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;ICA Estación
01/04/2017;2;8;27;Muy buena / Oso ona;11;80;90;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
31/03/2017;3;10;18;Muy buena / Oso ona;14;90;112;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
30/03/2017;1;7;14;Muy buena / Oso ona;9;106;112;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
29/03/2017;15;21;56;Buena / Ona;43;64;99;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
28/03/2017;7;21;46;Muy buena / Oso ona;31;64;97;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
27/03/2017;1;7;15;Muy buena / Oso ona;8;94;107;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
26/03/2017;1;4;7;Muy buena / Oso ona;5;93;103;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
25/03/2017;2;9;26;Muy buena / Oso ona;12;83;87;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
24/03/2017;2;12;25;Muy buena / Oso ona;15;80;97;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
23/03/2017;3;13;32;Muy buena / Oso ona;18;82;92;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
22/03/2017;3;14;23;Muy buena / Oso ona;19;71;81;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
21/03/2017;1;10;31;Muy buena / Oso ona;12;75;90;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
20/03/2017;3;11;25;Muy buena / Oso ona;16;65;66;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
19/03/2017;2;9;19;Muy buena / Oso ona;11;61;80;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
18/03/2017;3;9;23;Muy buena / Oso ona;12;74;86;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
17/03/2017;6;19;59;Buena / Ona;28;75;105;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
16/03/2017;2;9;23;Muy buena / Oso ona;12;103;108;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;Mejorable / Hobetzeko modukoa
15/03/2017;6;26;55;Buena / Ona;36;48;;Sin datos / Daturik gabe;31;Buena / Ona;Buena / Ona
14/03/2017;3;12;41;Muy buena / Oso ona;16;78;93;Buena / Ona;24;Muy buena / Oso ona;Buena / Ona
13/03/2017;1;2;9;Muy buena / Oso ona;4;84;90;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
12/03/2017;1;3;9;Muy buena / Oso ona;4;83;91;Buena / Ona;7;Muy buena / Oso ona;Buena / Ona
11/03/2017;7;19;43;Muy buena / Oso ona;30;58;99;Buena / Ona;19;Muy buena / Oso ona;Buena / Ona
10/03/2017;21;35;71;Buena / Ona;68;36;88;Buena / Ona;27;Buena / Ona;Buena / Ona
09/03/2017;12;26;62;Buena / Ona;44;37;80;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
08/03/2017;8;19;47;Muy buena / Oso ona;31;49;77;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
07/03/2017;3;13;37;Muy buena / Oso ona;18;65;85;Buena / Ona;22;Muy buena / Oso ona;Buena / Ona
06/03/2017;2;7;19;Muy buena / Oso ona;11;76;92;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
05/03/2017;4;14;46;Muy buena / Oso ona;20;59;82;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
04/03/2017;3;12;40;Muy buena / Oso ona;16;65;84;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
03/03/2017;1;5;10;Muy buena / Oso ona;7;83;85;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
02/03/2017;8;13;39;Muy buena / Oso ona;26;57;81;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
01/03/2017;6;16;43;Muy buena / Oso ona;26;52;74;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
28/02/2017;3;9;24;Muy buena / Oso ona;13;80;89;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
27/02/2017;3;11;26;Muy buena / Oso ona;16;71;86;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
26/02/2017;4;20;47;Muy buena / Oso ona;27;44;86;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
25/02/2017;5;19;52;Buena / Ona;26;54;92;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
24/02/2017;1;5;26;Muy buena / Oso ona;6;79;92;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
23/02/2017;8;20;52;Buena / Ona;32;44;52;Muy buena / Oso ona;37;Buena / Ona;Buena / Ona
22/02/2017;9;25;85;Buena / Ona;39;36;48;Muy buena / Oso ona;18;Muy buena / Oso ona;Buena / Ona
21/02/2017;5;21;58;Buena / Ona;29;42;74;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
20/02/2017;4;17;60;Buena / Ona;24;69;89;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
19/02/2017;2;15;52;Buena / Ona;18;54;90;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
18/02/2017;9;16;31;Muy buena / Oso ona;30;45;85;Buena / Ona;18;Muy buena / Oso ona;Buena / Ona
17/02/2017;23;31;60;Buena / Ona;67;23;49;Muy buena / Oso ona;25;Muy buena / Oso ona;Buena / Ona
16/02/2017;3;11;34;Muy buena / Oso ona;15;75;88;Buena / Ona;17;Muy buena / Oso ona;Buena / Ona
15/02/2017;3;8;26;Muy buena / Oso ona;13;75;81;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
14/02/2017;14;20;66;Buena / Ona;42;54;75;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
13/02/2017;5;18;61;Buena / Ona;25;66;91;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
12/02/2017;1;3;4;Muy buena / Oso ona;4;88;90;Buena / Ona;21;Muy buena / Oso ona;Buena / Ona
11/02/2017;1;9;15;Muy buena / Oso ona;11;83;92;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
10/02/2017;2;8;20;Muy buena / Oso ona;10;81;86;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
09/02/2017;10;23;71;Buena / Ona;38;61;78;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
08/02/2017;2;8;24;Muy buena / Oso ona;12;83;89;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
07/02/2017;7;17;61;Buena / Ona;28;67;84;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
06/02/2017;10;31;63;Buena / Ona;47;40;87;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
05/02/2017;1;5;11;Muy buena / Oso ona;8;86;89;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
04/02/2017;4;11;37;Muy buena / Oso ona;17;79;88;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
03/02/2017;2;9;30;Muy buena / Oso ona;13;84;88;Buena / Ona;11;Muy buena / Oso ona;Buena / Ona
02/02/2017;2;9;13;Muy buena / Oso ona;12;73;89;Buena / Ona;6;Muy buena / Oso ona;Buena / Ona
01/02/2017;5;20;46;Muy buena / Oso ona;28;49;63;Buena / Ona;16;Muy buena / Oso ona;Buena / Ona
31/01/2017;3;12;24;Muy buena / Oso ona;17;52;63;Buena / Ona;10;Muy buena / Oso ona;Buena / Ona
30/01/2017;8;19;50;Muy buena / Oso ona;31;40;46;Muy buena / Oso ona;10;Muy buena / Oso ona;Muy buena / Oso ona
29/01/2017;6;29;59;Buena / Ona;38;34;66;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
28/01/2017;9;24;52;Buena / Ona;38;46;65;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
27/01/2017;4;18;54;Buena / Ona;25;58;74;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
26/01/2017;4;17;47;Muy buena / Oso ona;23;59;73;Buena / Ona;22;Muy buena / Oso ona;Buena / Ona
25/01/2017;14;36;71;Buena / Ona;57;32;60;Muy buena / Oso ona;20;Muy buena / Oso ona;Buena / Ona
24/01/2017;4;21;57;Buena / Ona;28;64;82;Buena / Ona;15;Muy buena / Oso ona;Buena / Ona
23/01/2017;9;23;77;Buena / Ona;36;66;86;Buena / Ona;14;Muy buena / Oso ona;Buena / Ona
22/01/2017;3;19;45;Muy buena / Oso ona;24;55;76;Buena / Ona;12;Muy buena / Oso ona;Buena / Ona
21/01/2017;29;43;72;Buena / Ona;88;20;45;Muy buena / Oso ona;22;Muy buena / Oso ona;Buena / Ona
20/01/2017;54;46;90;Buena / Ona;128;9;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;Buena / Ona
19/01/2017;17;28;64;Buena / Ona;54;33;55;Muy buena / Oso ona;17;Muy buena / Oso ona;Buena / Ona
18/01/2017;1;9;23;Muy buena / Oso ona;11;57;74;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
17/01/2017;1;4;8;Muy buena / Oso ona;6;74;77;Buena / Ona;4;Muy buena / Oso ona;Buena / Ona
16/01/2017;2;5;14;Muy buena / Oso ona;7;81;91;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
15/01/2017;1;5;12;Muy buena / Oso ona;7;85;89;Buena / Ona;2;Muy buena / Oso ona;Buena / Ona
14/01/2017;3;14;23;Muy buena / Oso ona;20;70;73;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
13/01/2017;6;19;41;Muy buena / Oso ona;29;67;84;Buena / Ona;8;Muy buena / Oso ona;Buena / Ona
12/01/2017;29;30;53;Buena / Ona;74;27;54;Muy buena / Oso ona;14;Muy buena / Oso ona;Buena / Ona
11/01/2017;7;18;54;Buena / Ona;29;53;78;Buena / Ona;5;Muy buena / Oso ona;Buena / Ona
10/01/2017;6;21;53;Buena / Ona;30;49;76;Buena / Ona;9;Muy buena / Oso ona;Buena / Ona
09/01/2017;16;33;67;Buena / Ona;58;40;64;Buena / Ona;13;Muy buena / Oso ona;Buena / Ona
08/01/2017;14;31;46;Muy buena / Oso ona;52;31;56;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
07/01/2017;22;40;62;Buena / Ona;73;20;47;Muy buena / Oso ona;19;Muy buena / Oso ona;Buena / Ona
06/01/2017;13;30;51;Buena / Ona;50;26;55;Muy buena / Oso ona;19;Muy buena / Oso ona;Buena / Ona
05/01/2017;38;33;61;Buena / Ona;91;24;55;Muy buena / Oso ona;23;Muy buena / Oso ona;Buena / Ona
04/01/2017;43;36;58;Buena / Ona;102;12;29;Muy buena / Oso ona;39;Buena / Ona;Buena / Ona
03/01/2017;35;35;59;Buena / Ona;88;18;32;Muy buena / Oso ona;28;Buena / Ona;Buena / Ona
02/01/2017;16;22;45;Muy buena / Oso ona;47;25;32;Muy buena / Oso ona;11;Muy buena / Oso ona;Muy buena / Oso ona
01/01/2017;6;17;42;Muy buena / Oso ona;27;29;40;Muy buena / Oso ona;16;Muy buena / Oso ona;Muy buena / Oso ona
