Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;D.vien (grados);V.vien (m/s);ICA Estación
26/02/2017;2;0;0;Muy buena / Oso ona;3;35;72;Buena / Ona;353;0,32;Buena / Ona
25/02/2017;1;0;0;Muy buena / Oso ona;3;35;71;Buena / Ona;94;0,48;Buena / Ona
24/02/2017;3;10;50;Muy buena / Oso ona;14;50;73;Buena / Ona;356;0,76;Buena / Ona
23/02/2017;6;23;55;Buena / Ona;32;29;55;Muy buena / Oso ona;335;0,42;Buena / Ona
22/02/2017;10;25;57;Buena / Ona;41;27;50;Muy buena / Oso ona;61;0,21;Buena / Ona
21/02/2017;12;19;48;Muy buena / Oso ona;38;31;66;Buena / Ona;17;0,41;Buena / Ona
20/02/2017;7;19;37;Muy buena / Oso ona;29;32;70;Buena / Ona;28;0,38;Buena / Ona
19/02/2017;2;11;21;Muy buena / Oso ona;14;52;78;Buena / Ona;306;0,73;Buena / Ona
18/02/2017;8;18;32;Muy buena / Oso ona;29;35;77;Buena / Ona;307;0,53;Buena / Ona
17/02/2017;14;26;63;Buena / Ona;47;25;58;Muy buena / Oso ona;82;0,39;Buena / Ona
16/02/2017;9;24;68;Buena / Ona;37;31;65;Buena / Ona;141;0,56;Buena / Ona
15/02/2017;3;18;39;Muy buena / Oso ona;23;47;63;Buena / Ona;157;2,01;Buena / Ona
14/02/2017;9;19;38;Muy buena / Oso ona;33;40;67;Buena / Ona;161;1,73;Buena / Ona
13/02/2017;3;10;28;Muy buena / Oso ona;14;62;81;Buena / Ona;144;4,3;Buena / Ona
12/02/2017;2;7;17;Muy buena / Oso ona;10;54;80;Buena / Ona;130;3,04;Buena / Ona
11/02/2017;6;15;45;Muy buena / Oso ona;25;28;53;Muy buena / Oso ona;52;0,85;Muy buena / Oso ona
10/02/2017;2;13;25;Muy buena / Oso ona;17;55;69;Buena / Ona;158;2,42;Buena / Ona
09/02/2017;9;29;57;Buena / Ona;43;29;53;Muy buena / Oso ona;112;1,08;Buena / Ona
08/02/2017;3;13;34;Muy buena / Oso ona;17;60;78;Buena / Ona;319;1,07;Buena / Ona
07/02/2017;5;24;57;Buena / Ona;33;42;70;Buena / Ona;283;0,82;Buena / Ona
06/02/2017;21;34;68;Buena / Ona;66;32;74;Buena / Ona;148;0,54;Buena / Ona
05/02/2017;2;5;8;Muy buena / Oso ona;8;77;82;Buena / Ona;266;3,42;Buena / Ona
04/02/2017;3;14;30;Muy buena / Oso ona;18;51;79;Buena / Ona;238;0,66;Buena / Ona
03/02/2017;2;5;11;Muy buena / Oso ona;9;80;82;Buena / Ona;209;3,86;Buena / Ona
02/02/2017;2;6;14;Muy buena / Oso ona;10;73;79;Buena / Ona;183;3,08;Buena / Ona
01/02/2017;6;15;69;Buena / Ona;25;42;60;Muy buena / Oso ona;188;1,84;Buena / Ona
31/01/2017;8;16;72;Buena / Ona;29;44;58;Muy buena / Oso ona;175;2,05;Buena / Ona
30/01/2017;3;14;29;Muy buena / Oso ona;19;33;51;Muy buena / Oso ona;144;1,71;Muy buena / Oso ona
29/01/2017;2;14;28;Muy buena / Oso ona;18;43;65;Buena / Ona;170;1,36;Buena / Ona
28/01/2017;4;14;39;Muy buena / Oso ona;21;34;63;Buena / Ona;89;0,16;Buena / Ona
27/01/2017;3;12;34;Muy buena / Oso ona;16;60;66;Buena / Ona;162;3,47;Buena / Ona
26/01/2017;5;19;49;Muy buena / Oso ona;26;47;66;Buena / Ona;156;3,36;Buena / Ona
25/01/2017;19;29;59;Buena / Ona;58;25;58;Muy buena / Oso ona;59;0,79;Buena / Ona
24/01/2017;18;20;58;Buena / Ona;47;23;50;Muy buena / Oso ona;25;0,57;Buena / Ona
23/01/2017;25;19;68;Buena / Ona;58;26;58;Muy buena / Oso ona;342;0,49;Buena / Ona
22/01/2017;12;22;37;Muy buena / Oso ona;40;22;53;Muy buena / Oso ona;303;0,25;Muy buena / Oso ona
21/01/2017;16;28;36;Muy buena / Oso ona;52;14;30;Muy buena / Oso ona;76;0,16;Muy buena / Oso ona
20/01/2017;30;32;53;Buena / Ona;78;11;20;Muy buena / Oso ona;87;0,36;Buena / Ona
19/01/2017;7;22;42;Muy buena / Oso ona;33;19;33;Muy buena / Oso ona;73;0,43;Muy buena / Oso ona
18/01/2017;7;17;40;Muy buena / Oso ona;29;27;62;Buena / Ona;9;0,35;Buena / Ona
17/01/2017;4;9;39;Muy buena / Oso ona;15;53;62;Buena / Ona;17;1,92;Buena / Ona
16/01/2017;1;4;8;Muy buena / Oso ona;6;67;76;Buena / Ona;320;2,08;Buena / Ona
15/01/2017;1;5;21;Muy buena / Oso ona;8;65;74;Buena / Ona;327;1,16;Buena / Ona
14/01/2017;2;12;20;Muy buena / Oso ona;15;50;55;Muy buena / Oso ona;272;0,13;Muy buena / Oso ona
13/01/2017;3;14;36;Muy buena / Oso ona;19;59;70;Buena / Ona;301;1,01;Buena / Ona
12/01/2017;11;25;46;Muy buena / Oso ona;41;20;38;Muy buena / Oso ona;250;0,47;Muy buena / Oso ona
11/01/2017;1;8;28;Muy buena / Oso ona;11;53;69;Buena / Ona;302;1,73;Buena / Ona
10/01/2017;9;14;40;Muy buena / Oso ona;28;47;69;Buena / Ona;316;1,41;Buena / Ona
09/01/2017;24;29;58;Buena / Ona;65;16;32;Muy buena / Oso ona;84;0,26;Buena / Ona
08/01/2017;7;22;49;Muy buena / Oso ona;32;23;48;Muy buena / Oso ona;47;0,29;Muy buena / Oso ona
07/01/2017;13;26;41;Muy buena / Oso ona;46;14;30;Muy buena / Oso ona;89;0,18;Muy buena / Oso ona
06/01/2017;10;21;30;Muy buena / Oso ona;36;18;39;Muy buena / Oso ona;61;0,42;Muy buena / Oso ona
05/01/2017;13;24;42;Muy buena / Oso ona;44;20;46;Muy buena / Oso ona;88;0,92;Muy buena / Oso ona
04/01/2017;37;28;49;Muy buena / Oso ona;85;7;11;Muy buena / Oso ona;18;0,1;Muy buena / Oso ona
03/01/2017;28;28;49;Muy buena / Oso ona;70;10;19;Muy buena / Oso ona;68;0,31;Muy buena / Oso ona
02/01/2017;10;21;40;Muy buena / Oso ona;37;26;37;Muy buena / Oso ona;115;2;Muy buena / Oso ona
01/01/2017;10;22;33;Muy buena / Oso ona;37;14;25;Muy buena / Oso ona;107;0,92;Muy buena / Oso ona
