Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;SO2 (µg/m3);SO2 - ICA;CH4 (mg/m3);HCNM (mg/m3 HEX);D.vien (grados);H (%);P (mBar);Tº (ºC);V.vien (m/s);ICA Estación
08/06/2017;;;;Sin datos / Daturik gabe;;70;83;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;;295;73;977,9;21,4;0,65;Buena / Ona
07/06/2017;;;;Sin datos / Daturik gabe;;59;76;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;;345;83;983,9;17,7;0,35;Buena / Ona
06/06/2017;;;;Sin datos / Daturik gabe;;63;72;Buena / Ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;;;310;96;982,3;14;3,01;Buena / Ona
05/06/2017;;;;Sin datos / Daturik gabe;;56;72;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;;;301;94;979,2;16,8;0,91;Buena / Ona
04/06/2017;;;;Sin datos / Daturik gabe;;51;64;Buena / Ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;;;318;100;983,8;11,9;0,98;Buena / Ona
03/06/2017;;;;Sin datos / Daturik gabe;;54;59;Muy buena / Oso ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;;;304;100;983,3;13,7;1,27;Muy buena / Oso ona
02/06/2017;;;;Sin datos / Daturik gabe;;58;67;Buena / Ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona;;;334;100;981,8;15,7;1,31;Buena / Ona
01/06/2017;;;;Sin datos / Daturik gabe;;57;81;Buena / Ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;;;332;95;981,6;19,3;1,23;Buena / Ona
31/05/2017;2;1;1;Muy buena / Oso ona;4;49;68;Buena / Ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona;;;346;98;982,9;18;0,86;Buena / Ona
30/05/2017;3;4;13;Muy buena / Oso ona;9;60;77;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;331;100;982,4;15,2;1,29;Buena / Ona
29/05/2017;3;16;31;Muy buena / Oso ona;21;62;78;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;333;100;979,3;15,3;1,44;Buena / Ona
28/05/2017;3;15;28;Muy buena / Oso ona;20;68;83;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;;67;81;977,3;19,8;0,36;Buena / Ona
27/05/2017;5;23;41;Muy buena / Oso ona;29;69;87;Buena / Ona;23;Muy buena / Oso ona;5;Muy buena / Oso ona;;;277;84;977,3;21;0,15;Buena / Ona
26/05/2017;4;17;35;Muy buena / Oso ona;22;96;115;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;5;Muy buena / Oso ona;;;305;76;976,6;20,4;1,04;Mejorable / Hobetzeko modukoa
25/05/2017;4;19;39;Muy buena / Oso ona;26;103;132;Mejorable / Hobetzeko modukoa;21;Muy buena / Oso ona;5;Muy buena / Oso ona;;;299;60;976,7;25,9;1,09;Mejorable / Hobetzeko modukoa
24/05/2017;5;20;38;Muy buena / Oso ona;28;65;86;Buena / Ona;17;Muy buena / Oso ona;6;Muy buena / Oso ona;;;42;80;982,2;20,6;0,54;Buena / Ona
23/05/2017;2;15;27;Muy buena / Oso ona;18;58;70;Buena / Ona;16;Muy buena / Oso ona;9;Muy buena / Oso ona;;;341;85;986,3;15,3;1,1;Buena / Ona
22/05/2017;3;12;31;Muy buena / Oso ona;16;76;91;Buena / Ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;;;336;81;981,6;16,8;1,76;Buena / Ona
21/05/2017;1;8;17;Muy buena / Oso ona;10;78;93;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;;148;58;978,9;21,6;0,24;Buena / Ona
20/05/2017;2;10;17;Muy buena / Oso ona;13;62;73;Buena / Ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;;;317;83;986,6;13,1;0,68;Buena / Ona
19/05/2017;2;8;19;Muy buena / Oso ona;12;73;80;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;289;79;984,5;11,4;2,41;Buena / Ona
18/05/2017;2;6;9;Muy buena / Oso ona;10;76;79;Buena / Ona;5;Muy buena / Oso ona;7;Muy buena / Oso ona;;;302;92;981,6;11,4;3,05;Buena / Ona
17/05/2017;3;25;50;Muy buena / Oso ona;30;57;78;Buena / Ona;18;Muy buena / Oso ona;15;Muy buena / Oso ona;;;313;89;982;15,3;1,01;Buena / Ona
16/05/2017;7;29;58;Buena / Ona;39;72;84;Buena / Ona;20;Muy buena / Oso ona;11;Muy buena / Oso ona;;;314;67;986,8;20,4;1,13;Buena / Ona
15/05/2017;3;17;50;Muy buena / Oso ona;22;75;84;Buena / Ona;10;Muy buena / Oso ona;8;Muy buena / Oso ona;;;297;59;988,3;20,2;1,05;Buena / Ona
14/05/2017;3;11;31;Muy buena / Oso ona;15;67;77;Buena / Ona;7;Muy buena / Oso ona;9;Muy buena / Oso ona;;;290;65;985,5;18,5;0,82;Buena / Ona
13/05/2017;2;10;19;Muy buena / Oso ona;13;69;81;Buena / Ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;;;294;80;978,1;16;0,82;Buena / Ona
12/05/2017;2;6;30;Muy buena / Oso ona;9;77;91;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;218;69;968;16,2;5,08;Buena / Ona
11/05/2017;2;3;5;Muy buena / Oso ona;5;90;95;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;214;59;960,8;17,3;7;Buena / Ona
10/05/2017;2;16;42;Muy buena / Oso ona;19;78;89;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;;249;75;964,6;17,2;1,17;Buena / Ona
09/05/2017;4;19;47;Muy buena / Oso ona;25;69;75;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;;9;79;974,2;15,2;0,38;Buena / Ona
08/05/2017;5;18;42;Muy buena / Oso ona;25;61;71;Buena / Ona;8;Muy buena / Oso ona;10;Muy buena / Oso ona;;;25;69;982,7;14,2;0,61;Buena / Ona
07/05/2017;2;9;23;Muy buena / Oso ona;12;74;82;Buena / Ona;6;Muy buena / Oso ona;7;Muy buena / Oso ona;;;323;64;985,1;15,4;0,94;Buena / Ona
06/05/2017;2;6;12;Muy buena / Oso ona;9;81;87;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;279;67;979,6;14,5;2,07;Buena / Ona
05/05/2017;2;10;30;Muy buena / Oso ona;13;83;91;Buena / Ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona;;;180;75;970,2;17,7;0,76;Buena / Ona
04/05/2017;4;17;33;Muy buena / Oso ona;23;60;77;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;;;61;87;974,5;15,4;0,49;Buena / Ona
03/05/2017;5;19;30;Muy buena / Oso ona;25;47;70;Buena / Ona;14;Muy buena / Oso ona;9;Muy buena / Oso ona;;;340;92;979,5;13,3;1,01;Buena / Ona
02/05/2017;3;14;38;Muy buena / Oso ona;19;65;69;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;;287;88;983,3;12,5;1,3;Buena / Ona
01/05/2017;2;8;21;Muy buena / Oso ona;12;76;88;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;268;68;982,2;10,2;1,41;Buena / Ona
30/04/2017;2;5;8;Muy buena / Oso ona;8;91;97;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;229;71;970,9;10,8;4,13;Buena / Ona
29/04/2017;2;6;11;Muy buena / Oso ona;9;81;91;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;;182;62;972,5;13,8;1,61;Buena / Ona
28/04/2017;3;10;24;Muy buena / Oso ona;14;78;89;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;330;75;981,6;8,1;0,49;Buena / Ona
27/04/2017;3;11;30;Muy buena / Oso ona;15;82;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;311;76;982,1;6,6;1,51;Muy buena / Oso ona
26/04/2017;2;10;23;Muy buena / Oso ona;14;82;90;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;324;88;978,5;6,2;1,48;Buena / Ona
25/04/2017;3;17;39;Muy buena / Oso ona;22;66;82;Buena / Ona;14;Muy buena / Oso ona;8;Muy buena / Oso ona;;;299;93;973,6;12,3;1,33;Buena / Ona
24/04/2017;8;22;59;Buena / Ona;35;75;95;Buena / Ona;16;Muy buena / Oso ona;16;Muy buena / Oso ona;;;325;69;977,4;18;1,32;Buena / Ona
23/04/2017;2;14;30;Muy buena / Oso ona;18;103;110;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;14;Muy buena / Oso ona;;;325;54;981,1;19,4;0,95;Mejorable / Hobetzeko modukoa
22/04/2017;2;11;27;Muy buena / Oso ona;13;109;116;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;16;Muy buena / Oso ona;;;278;42;983,6;20,7;1,36;Mejorable / Hobetzeko modukoa
21/04/2017;3;12;40;Muy buena / Oso ona;15;98;112;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;6;Muy buena / Oso ona;;;87;46;986,3;18,3;0,14;Mejorable / Hobetzeko modukoa
20/04/2017;4;13;41;Muy buena / Oso ona;18;83;;Sin datos / Daturik gabe;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;68;54;987,6;12,8;0,82;Muy buena / Oso ona
19/04/2017;2;8;18;Muy buena / Oso ona;11;91;100;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;54;59;987;10,9;1,27;Buena / Ona
18/04/2017;3;10;21;Muy buena / Oso ona;15;79;88;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;;;358;84;984,9;12,1;0,9;Buena / Ona
17/04/2017;2;8;14;Muy buena / Oso ona;11;75;84;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;357;84;983,9;13,2;0,88;Buena / Ona
16/04/2017;2;7;15;Muy buena / Oso ona;11;74;80;Buena / Ona;28;Buena / Ona;5;Muy buena / Oso ona;;;62;86;987;12,8;0,68;Buena / Ona
15/04/2017;2;10;22;Muy buena / Oso ona;13;78;88;Buena / Ona;33;Buena / Ona;9;Muy buena / Oso ona;;;327;92;986,7;12,3;1,48;Buena / Ona
14/04/2017;2;16;43;Muy buena / Oso ona;19;76;92;Buena / Ona;22;Muy buena / Oso ona;11;Muy buena / Oso ona;;;323;96;983,7;11,5;0,67;Buena / Ona
13/04/2017;4;15;37;Muy buena / Oso ona;21;83;95;Buena / Ona;14;Muy buena / Oso ona;11;Muy buena / Oso ona;;;332;87;982;12,8;1,51;Buena / Ona
12/04/2017;4;16;40;Muy buena / Oso ona;23;74;90;Buena / Ona;14;Muy buena / Oso ona;16;Muy buena / Oso ona;;;315;87;984,2;12,8;1,46;Buena / Ona
11/04/2017;3;11;21;Muy buena / Oso ona;15;90;97;Buena / Ona;19;Muy buena / Oso ona;9;Muy buena / Oso ona;;;315;89;988,1;12,4;1,4;Buena / Ona
10/04/2017;4;22;43;Muy buena / Oso ona;28;66;94;Buena / Ona;31;Buena / Ona;17;Muy buena / Oso ona;;;323;99;987,8;11,4;1,46;Buena / Ona
09/04/2017;3;24;49;Muy buena / Oso ona;28;80;116;Mejorable / Hobetzeko modukoa;22;Muy buena / Oso ona;15;Muy buena / Oso ona;;;321;66;983,9;16,5;1,15;Mejorable / Hobetzeko modukoa
08/04/2017;1;15;37;Muy buena / Oso ona;17;97;118;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;17;Muy buena / Oso ona;;;256;53;981,1;19,5;0,88;Mejorable / Hobetzeko modukoa
07/04/2017;5;22;53;Buena / Ona;30;68;83;Buena / Ona;18;Muy buena / Oso ona;11;Muy buena / Oso ona;;;340;93;983,6;12,1;0,71;Buena / Ona
06/04/2017;2;12;21;Muy buena / Oso ona;16;77;87;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;;340;99;987,8;11,4;2,28;Buena / Ona
05/04/2017;3;12;21;Muy buena / Oso ona;16;74;79;Buena / Ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;;329;100;989,1;10,1;3;Buena / Ona
04/04/2017;3;14;26;Muy buena / Oso ona;19;71;80;Buena / Ona;10;Muy buena / Oso ona;14;Muy buena / Oso ona;;;319;94;989,7;10,7;2,1;Buena / Ona
03/04/2017;6;16;35;Muy buena / Oso ona;24;67;86;Buena / Ona;11;Muy buena / Oso ona;17;Muy buena / Oso ona;;;324;86;987,4;11,2;0,95;Buena / Ona
02/04/2017;3;8;17;Muy buena / Oso ona;12;89;93;Buena / Ona;6;Muy buena / Oso ona;6;Muy buena / Oso ona;;;302;87;986,8;9,6;2,92;Buena / Ona
01/04/2017;3;5;12;Muy buena / Oso ona;9;87;93;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;272;78;983,1;10,6;4,84;Buena / Ona
31/03/2017;3;13;37;Muy buena / Oso ona;17;85;100;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;;;279;79;980,6;13,8;0,86;Buena / Ona
30/03/2017;3;8;16;Muy buena / Oso ona;12;95;104;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;5;Muy buena / Oso ona;;;196;49;982;20;1,7;Mejorable / Hobetzeko modukoa
29/03/2017;5;18;48;Muy buena / Oso ona;25;77;88;Buena / Ona;9;Muy buena / Oso ona;10;Muy buena / Oso ona;;;281;51;986,2;18,7;0,85;Buena / Ona
28/03/2017;3;12;44;Muy buena / Oso ona;17;84;92;Buena / Ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;;;244;58;986,6;15,4;2,15;Buena / Ona
27/03/2017;3;6;13;Muy buena / Oso ona;10;93;99;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;174;63;978,6;14,4;2,26;Buena / Ona
26/03/2017;3;5;7;Muy buena / Oso ona;9;84;93;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;151;71;975,7;12,3;3,05;Buena / Ona
25/03/2017;2;6;10;Muy buena / Oso ona;9;84;89;Buena / Ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;;249;93;974,8;6,8;2,64;Buena / Ona
24/03/2017;3;11;19;Muy buena / Oso ona;16;76;87;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;307;66;977,8;8,3;0,63;Buena / Ona
23/03/2017;3;5;11;Muy buena / Oso ona;9;84;90;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;218;66;972;7,2;3,04;Buena / Ona
22/03/2017;3;11;21;Muy buena / Oso ona;16;75;78;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;238;88;973,1;7;1,92;Buena / Ona
21/03/2017;3;11;18;Muy buena / Oso ona;16;75;85;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;295;95;980,5;8,7;1,62;Buena / Ona
20/03/2017;4;15;32;Muy buena / Oso ona;20;60;74;Buena / Ona;23;Muy buena / Oso ona;8;Muy buena / Oso ona;;;306;95;980,6;9,3;0,75;Buena / Ona
19/03/2017;4;12;25;Muy buena / Oso ona;18;66;81;Buena / Ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;;;320;95;983,7;9,4;1,4;Buena / Ona
18/03/2017;3;12;17;Muy buena / Oso ona;17;69;74;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;;327;88;987;10,3;0,86;Buena / Ona
17/03/2017;4;18;31;Muy buena / Oso ona;24;62;86;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;;;338;93;986,1;10,3;1,23;Buena / Ona
16/03/2017;3;8;27;Muy buena / Oso ona;12;90;101;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;207;49;982,8;18,4;1,29;Mejorable / Hobetzeko modukoa
15/03/2017;4;19;54;Buena / Ona;25;63;72;Buena / Ona;20;Muy buena / Oso ona;12;Muy buena / Oso ona;;;339;100;989,5;11,8;0,78;Buena / Ona
14/03/2017;4;18;35;Muy buena / Oso ona;23;59;75;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;;;339;100;994,2;10,6;2,38;Buena / Ona
13/03/2017;3;13;23;Muy buena / Oso ona;17;74;85;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;;;332;95;990,4;9;5,11;Buena / Ona
12/03/2017;3;7;13;Muy buena / Oso ona;11;81;84;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;296;86;983,4;10,1;5,17;Buena / Ona
11/03/2017;4;12;39;Muy buena / Oso ona;18;80;85;Buena / Ona;20;Muy buena / Oso ona;10;Muy buena / Oso ona;;;301;62;980,4;17;2,65;Buena / Ona
10/03/2017;11;32;62;Buena / Ona;49;51;64;Buena / Ona;23;Muy buena / Oso ona;10;Muy buena / Oso ona;;;318;64;983,3;19,2;0,09;Buena / Ona
09/03/2017;6;27;75;Buena / Ona;36;38;56;Muy buena / Oso ona;21;Muy buena / Oso ona;15;Muy buena / Oso ona;;;45;98;988;12,6;0,46;Buena / Ona
08/03/2017;5;14;27;Muy buena / Oso ona;21;56;66;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;;;333;100;989,9;12,4;0,95;Buena / Ona
07/03/2017;3;10;29;Muy buena / Oso ona;15;68;88;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;;;288;94;988,6;11,5;2,67;Buena / Ona
06/03/2017;3;7;21;Muy buena / Oso ona;12;79;88;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;279;83;984,4;12,8;3,74;Buena / Ona
05/03/2017;3;8;21;Muy buena / Oso ona;13;72;80;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;;;239;79;976,4;11,7;2,57;Buena / Ona
04/03/2017;3;5;13;Muy buena / Oso ona;10;80;87;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;265;68;968,5;7,8;2,97;Buena / Ona
03/03/2017;4;9;23;Muy buena / Oso ona;15;76;83;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;;222;71;965,3;11,9;1,9;Buena / Ona
02/03/2017;7;14;38;Muy buena / Oso ona;24;61;76;Buena / Ona;11;Muy buena / Oso ona;6;Muy buena / Oso ona;;;235;70;978,4;14;0,42;Buena / Ona
01/03/2017;3;8;25;Muy buena / Oso ona;13;72;85;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;;;242;75;979,5;11;2,63;Buena / Ona
28/02/2017;3;5;16;Muy buena / Oso ona;10;81;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;262;82;974,8;9;4,47;Muy buena / Oso ona
27/02/2017;3;9;25;Muy buena / Oso ona;14;71;82;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;;232;75;973,8;12,3;3,23;Buena / Ona
26/02/2017;4;15;26;Muy buena / Oso ona;22;61;72;Buena / Ona;14;Muy buena / Oso ona;10;Muy buena / Oso ona;;;320;90;981,9;11,2;0,75;Buena / Ona
25/02/2017;6;21;49;Muy buena / Oso ona;31;58;75;Buena / Ona;13;Muy buena / Oso ona;13;Muy buena / Oso ona;;;326;88;982,4;10,5;0,34;Buena / Ona
24/02/2017;3;11;20;Muy buena / Oso ona;16;75;80;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;330;99;983,2;8,3;1,52;Buena / Ona
23/02/2017;6;27;56;Buena / Ona;37;35;51;Muy buena / Oso ona;29;Buena / Ona;12;Muy buena / Oso ona;;;320;98;979,4;9,6;1,21;Buena / Ona
22/02/2017;10;31;55;Buena / Ona;46;28;35;Muy buena / Oso ona;17;Muy buena / Oso ona;12;Muy buena / Oso ona;;;324;96;983,3;10,1;0,34;Buena / Ona
21/02/2017;5;17;39;Muy buena / Oso ona;24;58;79;Buena / Ona;8;Muy buena / Oso ona;6;Muy buena / Oso ona;;;323;90;988,2;10;0,63;Buena / Ona
20/02/2017;3;11;23;Muy buena / Oso ona;16;75;78;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;;300;91;990;10,1;1,07;Buena / Ona
19/02/2017;3;10;26;Muy buena / Oso ona;15;79;85;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;;;331;98;989,4;9,9;1,84;Buena / Ona
18/02/2017;4;12;31;Muy buena / Oso ona;18;69;85;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;;;315;82;984,3;10,6;1,55;Buena / Ona
17/02/2017;6;21;44;Muy buena / Oso ona;30;58;68;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;;296;71;988,2;12,8;0,63;Buena / Ona
16/02/2017;3;10;49;Muy buena / Oso ona;15;71;81;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;242;64;991,3;14;1,6;Buena / Ona
15/02/2017;3;6;10;Muy buena / Oso ona;11;72;75;Buena / Ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona;;;193;60;990,4;14,2;1,38;Buena / Ona
14/02/2017;3;5;11;Muy buena / Oso ona;11;75;80;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;191;59;981,9;13,5;1,88;Buena / Ona
13/02/2017;3;7;19;Muy buena / Oso ona;12;74;80;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;;;139;72;968,5;12,8;3,92;Buena / Ona
12/02/2017;3;7;12;Muy buena / Oso ona;12;64;79;Buena / Ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona;;;123;83;967,3;10,4;4,47;Buena / Ona
11/02/2017;5;17;55;Buena / Ona;25;55;68;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;;;91;82;976,5;7,8;0,68;Buena / Ona
10/02/2017;3;11;39;Muy buena / Oso ona;16;67;73;Buena / Ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;;;181;56;974;10,1;0,35;Buena / Ona
09/02/2017;5;13;34;Muy buena / Oso ona;20;64;70;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;245;79;979,7;8,6;0,36;Buena / Ona
08/02/2017;4;10;23;Muy buena / Oso ona;16;77;88;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;292;92;989,1;6,5;3,57;Buena / Ona
07/02/2017;3;7;22;Muy buena / Oso ona;12;75;86;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;276;91;985,1;9,7;4,27;Buena / Ona
06/02/2017;4;8;29;Muy buena / Oso ona;14;62;85;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;258;93;985,2;9,8;2,53;Buena / Ona
05/02/2017;3;3;7;Muy buena / Oso ona;8;86;88;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;272;75;976,3;8,2;8,61;Buena / Ona
04/02/2017;3;7;18;Muy buena / Oso ona;11;74;85;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;257;80;969,9;11,6;2,86;Buena / Ona
03/02/2017;3;3;5;Muy buena / Oso ona;8;87;88;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;;;221;53;969,1;13,6;7,32;Buena / Ona
02/02/2017;3;4;11;Muy buena / Oso ona;9;82;88;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;217;56;969,3;13,7;8,88;Buena / Ona
01/02/2017;3;6;11;Muy buena / Oso ona;11;68;71;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;;;213;58;974,9;15;6,18;Buena / Ona
31/01/2017;4;9;23;Muy buena / Oso ona;15;59;70;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;;;205;60;;14,7;1,94;Buena / Ona
30/01/2017;4;5;10;Muy buena / Oso ona;12;59;64;Buena / Ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona;;;216;71;;15,3;4,42;Buena / Ona
29/01/2017;4;5;18;Muy buena / Oso ona;10;70;78;Buena / Ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona;;;223;68;;12,5;5,02;Buena / Ona
28/01/2017;4;9;28;Muy buena / Oso ona;14;71;82;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;265;71;;8,7;2,08;Buena / Ona
27/01/2017;4;8;12;Muy buena / Oso ona;13;71;73;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;192;69;;9,4;2,95;Buena / Ona
26/01/2017;4;16;47;Muy buena / Oso ona;22;63;77;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;;;182;65;;6,4;2,17;Buena / Ona
25/01/2017;5;16;43;Muy buena / Oso ona;24;64;76;Buena / Ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona;;;126;79;984,6;3,9;0,28;Buena / Ona
24/01/2017;4;14;36;Muy buena / Oso ona;20;72;76;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;;;295;87;988,1;6,5;1,43;Buena / Ona
23/01/2017;4;15;25;Muy buena / Oso ona;21;71;76;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;;;302;94;985,4;7,5;2,31;Buena / Ona
22/01/2017;4;18;34;Muy buena / Oso ona;23;56;71;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;;;302;98;983,5;6,8;1,56;Buena / Ona
21/01/2017;5;23;51;Buena / Ona;31;46;60;Muy buena / Oso ona;16;Muy buena / Oso ona;11;Muy buena / Oso ona;;;285;83;982,9;6,6;1,03;Buena / Ona
20/01/2017;13;33;73;Buena / Ona;53;26;36;Muy buena / Oso ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;;;305;88;984,6;2,7;0,44;Buena / Ona
19/01/2017;6;26;40;Muy buena / Oso ona;34;27;37;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;;;113;92;986,4;1,6;0,68;Muy buena / Oso ona
18/01/2017;4;18;40;Muy buena / Oso ona;23;43;63;Buena / Ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona;;;6;86;987,2;1;0,73;Buena / Ona
17/01/2017;3;10;24;Muy buena / Oso ona;15;62;66;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;;;19;89;988,5;4;2,09;Buena / Ona
16/01/2017;4;12;18;Muy buena / Oso ona;18;66;75;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;324;100;985;8,9;6,1;Buena / Ona
15/01/2017;4;12;16;Muy buena / Oso ona;18;71;73;Buena / Ona;4;Muy buena / Oso ona;6;Muy buena / Oso ona;;;312;100;981,8;7,7;4,13;Buena / Ona
14/01/2017;3;10;15;Muy buena / Oso ona;15;70;74;Buena / Ona;4;Muy buena / Oso ona;7;Muy buena / Oso ona;;;282;97;980,6;5,4;2,74;Buena / Ona
13/01/2017;3;8;18;Muy buena / Oso ona;13;75;81;Buena / Ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona;;;279;92;976,6;6;4,88;Buena / Ona
