Date;NO (µg/m3);NO2 (µg/m3);NO2 max (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 8h max (µg/m3);O3 8h max - ICA;PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);R.UVA (w/m2);Tº (ºC);V.vien (m/s);ICA Estación
20/06/2017;1;5;10;Muy buena / Oso ona;7;102;120;Mejorable / Hobetzeko modukoa;19;Muy buena / Oso ona;15;Muy buena / Oso ona;357;64;1005,4;0;297,9;65,1;24,5;0,05;Mejorable / Hobetzeko modukoa
19/06/2017;1;4;11;Muy buena / Oso ona;6;107;127;Mejorable / Hobetzeko modukoa;18;Muy buena / Oso ona;11;Muy buena / Oso ona;178;56;1003,1;0;411,8;88,2;26,8;2,04;Mejorable / Hobetzeko modukoa
18/06/2017;1;2;4;Muy buena / Oso ona;4;94;115;Mejorable / Hobetzeko modukoa;16;Muy buena / Oso ona;9;Muy buena / Oso ona;325;74;1004,6;0;480,8;87,5;21,3;0,53;Mejorable / Hobetzeko modukoa
17/06/2017;1;1;4;Muy buena / Oso ona;3;70;97;Buena / Ona;17;Muy buena / Oso ona;7;Muy buena / Oso ona;327;85;1011;0;464,3;87,3;19;0,36;Buena / Ona
16/06/2017;1;1;5;Muy buena / Oso ona;3;52;59;Muy buena / Oso ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;30;89;1014,8;0;74,7;30,7;18,1;0,12;Muy buena / Oso ona
15/06/2017;1;1;2;Muy buena / Oso ona;3;65;71;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;283;92;1011,7;0;32,6;13,6;17,5;1,35;Buena / Ona
14/06/2017;1;2;8;Muy buena / Oso ona;4;62;74;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;314;89;1005,1;0;272,2;69,3;19,7;1,17;Buena / Ona
13/06/2017;1;2;7;Muy buena / Oso ona;4;56;66;Buena / Ona;14;Muy buena / Oso ona;6;Muy buena / Oso ona;311;87;1004,9;0;210,7;58,5;18,5;0,86;Buena / Ona
12/06/2017;1;1;3;Muy buena / Oso ona;3;50;59;Muy buena / Oso ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;360;88;1009,8;0;101,2;40,5;18;0,57;Muy buena / Oso ona
11/06/2017;1;2;6;Muy buena / Oso ona;4;51;65;Buena / Ona;18;Muy buena / Oso ona;;Sin datos / Daturik gabe;272;86;1009,6;0;323,5;79,5;19;1,31;Buena / Ona
10/06/2017;1;1;4;Muy buena / Oso ona;4;50;72;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;328;83;1008;0;387,7;88,4;19,4;0,76;Buena / Ona
09/06/2017;1;3;10;Muy buena / Oso ona;5;50;71;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;21;85;1007,5;0;248,7;59,6;17,1;0,46;Buena / Ona
08/06/2017;1;4;12;Muy buena / Oso ona;6;69;86;Buena / Ona;15;Muy buena / Oso ona;6;Muy buena / Oso ona;237;72;1003,6;0,1;332,8;68,5;19,1;0,86;Buena / Ona
07/06/2017;1;3;8;Muy buena / Oso ona;6;61;76;Buena / Ona;18;Muy buena / Oso ona;6;Muy buena / Oso ona;358;76;1011;0;447,2;69,8;16,2;0,2;Buena / Ona
06/06/2017;1;0;2;Muy buena / Oso ona;2;69;74;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;279;74;1009,1;0;190,5;46;15,8;2,44;Buena / Ona
05/06/2017;2;5;14;Muy buena / Oso ona;8;59;82;Buena / Ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona;344;81;1005,7;0;467,7;71,6;16,6;0,38;Buena / Ona
04/06/2017;1;1;3;Muy buena / Oso ona;3;49;64;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;261;93;1010,9;0;35,2;10,7;13,2;0,82;Buena / Ona
03/06/2017;1;1;2;Muy buena / Oso ona;3;53;63;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;258;94;1010,1;0;37,7;12,8;14,8;0,86;Buena / Ona
02/06/2017;1;2;9;Muy buena / Oso ona;4;65;76;Buena / Ona;12;Muy buena / Oso ona;9;Muy buena / Oso ona;270;93;1008,4;0;61,8;19,3;17;1,21;Buena / Ona
01/06/2017;1;3;7;Muy buena / Oso ona;5;70;92;Buena / Ona;11;Muy buena / Oso ona;9;Muy buena / Oso ona;338;85;1008,2;0;414,3;74,3;18,5;0,78;Buena / Ona
31/05/2017;1;0;3;Muy buena / Oso ona;2;56;67;Buena / Ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;354;86;1009,7;0;403,9;70;17,8;1,19;Buena / Ona
30/05/2017;1;1;7;Muy buena / Oso ona;3;62;73;Buena / Ona;5;Muy buena / Oso ona;5;Muy buena / Oso ona;346;89;1009,4;0;205,6;38,9;16,5;0,79;Buena / Ona
29/05/2017;1;2;7;Muy buena / Oso ona;4;70;80;Buena / Ona;10;Muy buena / Oso ona;7;Muy buena / Oso ona;317;96;1005,9;0;65,4;20,3;16,3;0,89;Buena / Ona
28/05/2017;1;3;6;Muy buena / Oso ona;5;72;81;Buena / Ona;17;Muy buena / Oso ona;16;Muy buena / Oso ona;349;90;1003,4;0;116;29,6;17,7;0,46;Buena / Ona
27/05/2017;1;3;6;Muy buena / Oso ona;5;81;97;Buena / Ona;17;Muy buena / Oso ona;15;Muy buena / Oso ona;342;87;1003,6;0;264,8;58,9;18,6;0,85;Buena / Ona
26/05/2017;1;4;15;Muy buena / Oso ona;6;102;124;Mejorable / Hobetzeko modukoa;17;Muy buena / Oso ona;14;Muy buena / Oso ona;230;70;1002,3;0;354;66,9;20,5;0,65;Mejorable / Hobetzeko modukoa
25/05/2017;2;7;20;Muy buena / Oso ona;10;99;129;Mejorable / Hobetzeko modukoa;20;Muy buena / Oso ona;11;Muy buena / Oso ona;254;62;1002,5;0;449,4;79,1;23,8;0,47;Mejorable / Hobetzeko modukoa
24/05/2017;1;2;6;Muy buena / Oso ona;4;80;106;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;8;Muy buena / Oso ona;353;81;1009,1;0;408,6;69,1;18,4;1,2;Mejorable / Hobetzeko modukoa
23/05/2017;1;1;6;Muy buena / Oso ona;3;67;81;Buena / Ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;19;80;1013,6;0;337,1;67,1;15,5;0,65;Buena / Ona
22/05/2017;1;2;14;Muy buena / Oso ona;4;85;92;Buena / Ona;17;Muy buena / Oso ona;11;Muy buena / Oso ona;279;73;1007,8;0;403,2;68,5;17,8;2,62;Buena / Ona
21/05/2017;1;3;7;Muy buena / Oso ona;5;70;82;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;219;64;1005,1;0;260,1;53,9;19,3;0,58;Buena / Ona
20/05/2017;1;1;7;Muy buena / Oso ona;3;73;84;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;356;78;1014,2;0;334;58,5;13,7;0,5;Buena / Ona
19/05/2017;1;1;7;Muy buena / Oso ona;3;73;86;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;264;74;1011,8;0;266,7;47,4;12,4;1,82;Buena / Ona
18/05/2017;1;1;3;Muy buena / Oso ona;3;77;79;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;279;87;1008,5;0;106,6;20,4;12,3;2,19;Buena / Ona
17/05/2017;1;5;20;Muy buena / Oso ona;7;73;87;Buena / Ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;246;83;1008,6;0;56;20,9;16;0,7;Buena / Ona
16/05/2017;1;6;14;Muy buena / Oso ona;8;86;106;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;8;Muy buena / Oso ona;328;65;1013,6;0;305,3;58;18,9;0,51;Mejorable / Hobetzeko modukoa
15/05/2017;1;5;11;Muy buena / Oso ona;7;85;109;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;7;Muy buena / Oso ona;153;62;1015,2;0;323,9;62,8;18,8;0,19;Mejorable / Hobetzeko modukoa
14/05/2017;1;2;4;Muy buena / Oso ona;4;74;83;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;344;68;1012,8;0;433;60,5;17;0,75;Buena / Ona
13/05/2017;1;1;4;Muy buena / Oso ona;3;73;87;Buena / Ona;5;Muy buena / Oso ona;3;Muy buena / Oso ona;130;73;1004,7;0,1;348,2;54,7;15,2;0,26;Buena / Ona
12/05/2017;1;2;3;Muy buena / Oso ona;4;78;88;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;181;62;993,2;0,1;206,5;35,3;17,7;3,99;Buena / Ona
11/05/2017;1;2;4;Muy buena / Oso ona;4;86;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;2;Muy buena / Oso ona;179;51;985,5;0;264,9;49,6;19;4,42;Muy buena / Oso ona
10/05/2017;1;6;13;Muy buena / Oso ona;8;81;102;Mejorable / Hobetzeko modukoa;15;Muy buena / Oso ona;9;Muy buena / Oso ona;226;78;989,9;0;380,3;58,9;16,6;0,42;Mejorable / Hobetzeko modukoa
09/05/2017;1;3;8;Muy buena / Oso ona;5;80;90;Buena / Ona;13;Muy buena / Oso ona;7;Muy buena / Oso ona;354;80;999,4;0;180,5;42,2;13,9;0,42;Buena / Ona
08/05/2017;1;2;5;Muy buena / Oso ona;4;81;84;Buena / Ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona;20;78;1010,2;0;326,5;57,2;13,5;0,45;Buena / Ona
07/05/2017;1;1;2;Muy buena / Oso ona;3;76;86;Buena / Ona;8;Muy buena / Oso ona;3;Muy buena / Oso ona;359;68;1012,6;0;420,6;64,9;14;0,74;Buena / Ona
06/05/2017;1;1;4;Muy buena / Oso ona;3;78;91;Buena / Ona;6;Muy buena / Oso ona;3;Muy buena / Oso ona;187;64;1006,4;0;439,5;58,8;14,9;0,27;Buena / Ona
05/05/2017;1;4;15;Muy buena / Oso ona;6;82;99;Buena / Ona;15;Muy buena / Oso ona;7;Muy buena / Oso ona;209;74;995,8;0,1;125,2;35,5;17,2;1;Buena / Ona
04/05/2017;1;3;9;Muy buena / Oso ona;5;88;101;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;7;Muy buena / Oso ona;349;82;1001,3;0;235,2;45,8;13,8;0,94;Mejorable / Hobetzeko modukoa
03/05/2017;1;2;7;Muy buena / Oso ona;4;70;84;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;9;91;1006,7;0;299,7;43,7;13;0,8;Buena / Ona
02/05/2017;1;3;8;Muy buena / Oso ona;5;75;79;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;271;84;1010,3;0;83,9;22,7;13,1;1,28;Buena / Ona
01/05/2017;1;3;7;Muy buena / Oso ona;5;80;94;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;253;61;1009,3;0;302,5;43;11,7;1,43;Buena / Ona
30/04/2017;1;2;4;Muy buena / Oso ona;4;91;96;Buena / Ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona;208;65;996,9;0,1;52,6;9,4;12,3;3,07;Buena / Ona
29/04/2017;1;4;8;Muy buena / Oso ona;6;78;91;Buena / Ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona;167;60;998,6;0;382,6;43;14,8;2,73;Buena / Ona
28/04/2017;1;5;13;Muy buena / Oso ona;7;76;94;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;95;71;1009,2;0;310,1;38,3;8,6;0,43;Buena / Ona
27/04/2017;1;4;11;Muy buena / Oso ona;6;77;95;Buena / Ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona;310;73;1009,6;0,1;336,3;32,1;7,4;0,58;Buena / Ona
26/04/2017;1;3;4;Muy buena / Oso ona;5;86;94;Buena / Ona;7;Muy buena / Oso ona;3;Muy buena / Oso ona;332;77;1005,5;0,1;80,8;15,7;8;2;Buena / Ona
25/04/2017;1;4;8;Muy buena / Oso ona;6;76;88;Buena / Ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona;317;90;1000;0,1;33,5;8,6;11,6;1,26;Buena / Ona
24/04/2017;1;4;10;Muy buena / Oso ona;6;83;97;Buena / Ona;7;Muy buena / Oso ona;7;Muy buena / Oso ona;337;78;1004,1;0;370,5;48,5;13,3;0,85;Buena / Ona
23/04/2017;1;5;9;Muy buena / Oso ona;7;105;125;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;9;Muy buena / Oso ona;335;62;1008,1;0;419,1;49,3;14,2;0,6;Mejorable / Hobetzeko modukoa
22/04/2017;1;4;8;Muy buena / Oso ona;6;113;133;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;6;Muy buena / Oso ona;231;41;1010,7;0;419,4;53,5;16;0,09;Mejorable / Hobetzeko modukoa
21/04/2017;1;6;14;Muy buena / Oso ona;9;95;114;Mejorable / Hobetzeko modukoa;7;Muy buena / Oso ona;6;Muy buena / Oso ona;340;53;1014,3;0;419,6;50,4;13,3;0,63;Mejorable / Hobetzeko modukoa
20/04/2017;1;4;7;Muy buena / Oso ona;6;90;105;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;5;Muy buena / Oso ona;69;54;1016,1;0;422,1;43,3;11,7;1,37;Mejorable / Hobetzeko modukoa
19/04/2017;1;3;6;Muy buena / Oso ona;5;98;106;Mejorable / Hobetzeko modukoa;8;Muy buena / Oso ona;5;Muy buena / Oso ona;44;56;1014,8;0;415,9;35,7;12,4;2,32;Mejorable / Hobetzeko modukoa
18/04/2017;1;4;15;Muy buena / Oso ona;6;82;100;Buena / Ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona;29;77;1012,4;0;281,4;46,5;12,9;0,88;Buena / Ona
17/04/2017;1;2;6;Muy buena / Oso ona;5;81;94;Buena / Ona;7;Muy buena / Oso ona;6;Muy buena / Oso ona;10;81;1011,2;0;399,9;50,7;13,3;0,72;Buena / Ona
16/04/2017;1;1;4;Muy buena / Oso ona;3;77;85;Buena / Ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona;87;78;1014,7;0;242,7;42,1;12,9;0,53;Buena / Ona
15/04/2017;1;3;8;Muy buena / Oso ona;5;80;92;Buena / Ona;6;Muy buena / Oso ona;8;Muy buena / Oso ona;324;84;1013,9;0;135,9;24,3;12,8;0,85;Buena / Ona
14/04/2017;1;3;5;Muy buena / Oso ona;5;83;98;Buena / Ona;8;Muy buena / Oso ona;7;Muy buena / Oso ona;3;85;1010,8;0;74;22,2;12,2;0,58;Buena / Ona
13/04/2017;1;3;7;Muy buena / Oso ona;5;89;105;Mejorable / Hobetzeko modukoa;9;Muy buena / Oso ona;8;Muy buena / Oso ona;339;87;1009;0;382,5;47,7;12,2;0,57;Mejorable / Hobetzeko modukoa
12/04/2017;1;4;9;Muy buena / Oso ona;6;83;104;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;8;Muy buena / Oso ona;336;86;1011,5;0;395,3;50,5;12,1;0,64;Mejorable / Hobetzeko modukoa
11/04/2017;1;3;8;Muy buena / Oso ona;5;90;105;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;9;Muy buena / Oso ona;335;84;1015,7;0;259,3;44,1;12,7;0,95;Mejorable / Hobetzeko modukoa
10/04/2017;1;3;9;Muy buena / Oso ona;5;92;111;Mejorable / Hobetzeko modukoa;11;Muy buena / Oso ona;14;Muy buena / Oso ona;281;89;1015,2;0;207,6;34,2;12,4;1,49;Mejorable / Hobetzeko modukoa
09/04/2017;1;6;11;Muy buena / Oso ona;8;95;115;Mejorable / Hobetzeko modukoa;10;Muy buena / Oso ona;12;Muy buena / Oso ona;359;78;1010,7;0;331,6;47,5;13,9;0,59;Mejorable / Hobetzeko modukoa
08/04/2017;1;6;10;Muy buena / Oso ona;8;97;126;Mejorable / Hobetzeko modukoa;8;Muy buena / Oso ona;9;Muy buena / Oso ona;233;57;1007,3;0;383,6;55,2;17,3;0,37;Mejorable / Hobetzeko modukoa
07/04/2017;1;6;13;Muy buena / Oso ona;8;85;102;Mejorable / Hobetzeko modukoa;13;Muy buena / Oso ona;8;Muy buena / Oso ona;25;82;1011,1;0;376;45;11,6;0,66;Mejorable / Hobetzeko modukoa
06/04/2017;1;5;17;Muy buena / Oso ona;7;80;91;Buena / Ona;17;Muy buena / Oso ona;10;Muy buena / Oso ona;340;85;1015,3;0;296,7;40,2;12,3;1,51;Buena / Ona
05/04/2017;1;4;8;Muy buena / Oso ona;6;79;87;Buena / Ona;10;Muy buena / Oso ona;6;Muy buena / Oso ona;332;89;1016,7;0;84,7;19,5;11,7;2,24;Buena / Ona
04/04/2017;1;3;8;Muy buena / Oso ona;5;79;88;Buena / Ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona;298;87;1017,4;0,1;150,9;24,8;11,4;1,22;Buena / Ona
03/04/2017;1;5;13;Muy buena / Oso ona;7;73;95;Buena / Ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona;31;85;1015,2;0;330,5;40,1;10,9;0,34;Buena / Ona
02/04/2017;1;1;2;Muy buena / Oso ona;3;93;98;Buena / Ona;10;Muy buena / Oso ona;3;Muy buena / Oso ona;286;79;1014,1;0;203,3;29,4;11,1;2,39;Buena / Ona
01/04/2017;1;1;4;Muy buena / Oso ona;3;91;97;Buena / Ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona;273;79;1010;0;147,8;20,9;11,4;4,14;Buena / Ona
31/03/2017;1;5;19;Muy buena / Oso ona;7;89;104;Mejorable / Hobetzeko modukoa;12;Muy buena / Oso ona;8;Muy buena / Oso ona;293;79;1007,7;0;144,9;24,3;13,6;0,46;Mejorable / Hobetzeko modukoa
30/03/2017;1;5;8;Muy buena / Oso ona;7;97;106;Mejorable / Hobetzeko modukoa;8;Muy buena / Oso ona;5;Muy buena / Oso ona;174;42;1008,2;0;216,2;34,2;21,3;3,92;Mejorable / Hobetzeko modukoa
29/03/2017;1;7;13;Muy buena / Oso ona;9;91;111;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;147;50;1013,4;0;356,6;45;17;1,07;Mejorable / Hobetzeko modukoa
28/03/2017;1;6;12;Muy buena / Oso ona;8;86;101;Mejorable / Hobetzeko modukoa;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;161;61;1014,3;0;354,8;36,9;14,3;0,81;Mejorable / Hobetzeko modukoa
27/03/2017;1;4;7;Muy buena / Oso ona;6;91;97;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;165;53;1005,5;0;249,8;25,6;15,5;2,65;Buena / Ona
26/03/2017;1;3;5;Muy buena / Oso ona;4;81;89;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;145;58;1002,7;0;141,6;17,8;13,3;1,8;Buena / Ona
25/03/2017;1;3;5;Muy buena / Oso ona;5;83;87;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;211;91;1001,2;0,3;20,5;4,5;8;2,48;Buena / Ona
24/03/2017;1;4;8;Muy buena / Oso ona;6;78;96;Buena / Ona;;Sin datos / Daturik gabe;2;Muy buena / Oso ona;131;67;1005,1;0;220,2;20,7;8,5;0,55;Buena / Ona
23/03/2017;1;4;9;Muy buena / Oso ona;6;79;89;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;173;62;999;0;317,7;23,5;7,9;2,66;Buena / Ona
22/03/2017;1;4;7;Muy buena / Oso ona;6;75;83;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;192;83;1000;0;48,5;8,7;7,6;1,88;Buena / Ona
21/03/2017;1;6;9;Muy buena / Oso ona;8;74;95;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;232;91;1007,7;0;27,1;6,9;9,2;0,74;Buena / Ona
20/03/2017;1;4;7;Muy buena / Oso ona;6;74;83;Buena / Ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;204;80;1008;0;28,1;9,9;10,5;0,5;Buena / Ona
19/03/2017;1;3;6;Muy buena / Oso ona;5;74;88;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;345;83;1011,5;0;265,8;32,6;9,6;0,52;Buena / Ona
18/03/2017;1;3;9;Muy buena / Oso ona;5;78;85;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;8;78;1015,1;0;72,7;16,7;10,8;0,3;Buena / Ona
17/03/2017;1;5;9;Muy buena / Oso ona;7;84;93;Buena / Ona;24;Muy buena / Oso ona;12;Muy buena / Oso ona;283;82;1013,8;0;57,4;14,5;11,7;1,09;Buena / Ona
16/03/2017;8;12;26;Muy buena / Oso ona;24;70;92;Buena / Ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;172;59;1009,8;0;331,1;34;16;1,14;Buena / Ona
15/03/2017;1;6;10;Muy buena / Oso ona;8;71;88;Buena / Ona;26;Buena / Ona;11;Muy buena / Oso ona;13;90;1017,7;0;275,5;29,8;11,3;0,39;Buena / Ona
14/03/2017;1;5;9;Muy buena / Oso ona;7;66;79;Buena / Ona;26;Buena / Ona;11;Muy buena / Oso ona;339;91;1022,7;0;110,6;19,6;11,6;1,63;Buena / Ona
13/03/2017;1;2;4;Muy buena / Oso ona;4;81;88;Buena / Ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona;307;90;1018,3;0,1;7,5;2,3;10,4;2,19;Buena / Ona
12/03/2017;1;1;4;Muy buena / Oso ona;3;87;96;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;282;83;1010,5;0,3;39;8,6;11,1;4,5;Buena / Ona
11/03/2017;2;6;20;Muy buena / Oso ona;9;80;96;Buena / Ona;15;Muy buena / Oso ona;10;Muy buena / Oso ona;268;63;1007,1;0;161,9;21,5;15,3;2,31;Buena / Ona
10/03/2017;3;10;21;Muy buena / Oso ona;15;54;74;Buena / Ona;15;Muy buena / Oso ona;8;Muy buena / Oso ona;303;78;1010,7;0;319,9;34;13,5;0,51;Buena / Ona
09/03/2017;1;4;8;Muy buena / Oso ona;6;68;77;Buena / Ona;;Sin datos / Daturik gabe;8;Muy buena / Oso ona;42;86;1016,3;0;187,9;25,1;12;0,46;Buena / Ona
08/03/2017;1;2;6;Muy buena / Oso ona;4;68;75;Buena / Ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona;327;87;1018,1;0;146,5;23,5;12,9;0,31;Buena / Ona
07/03/2017;1;3;13;Muy buena / Oso ona;5;73;91;Buena / Ona;22;Muy buena / Oso ona;5;Muy buena / Oso ona;270;87;1016,3;0,1;36,1;11,3;12,1;2,7;Buena / Ona
06/03/2017;1;1;4;Muy buena / Oso ona;3;83;96;Buena / Ona;23;Muy buena / Oso ona;7;Muy buena / Oso ona;258;75;1011,6;0;71,7;12,6;13,5;3,23;Buena / Ona
05/03/2017;1;3;6;Muy buena / Oso ona;5;72;81;Buena / Ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona;185;73;1003,2;0;67,4;14;12,4;2,75;Buena / Ona
04/03/2017;1;3;5;Muy buena / Oso ona;5;81;90;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;225;68;994,7;0,1;177,8;12;8,5;2,14;Buena / Ona
03/03/2017;1;4;8;Muy buena / Oso ona;6;82;93;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;217;68;991,1;0,3;77,7;12,2;12,9;2,24;Buena / Ona
02/03/2017;2;8;21;Muy buena / Oso ona;11;63;75;Buena / Ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona;279;75;1005,7;0;188,9;21,7;12,5;0,33;Buena / Ona
01/03/2017;1;5;10;Muy buena / Oso ona;7;71;80;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;176;67;1006,5;0;262,5;22,6;11,8;2,45;Buena / Ona
28/02/2017;1;3;8;Muy buena / Oso ona;5;79;92;Buena / Ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona;231;77;1001,5;0,2;25,3;5;9,8;2,12;Buena / Ona
27/02/2017;1;3;8;Muy buena / Oso ona;5;74;89;Buena / Ona;12;Muy buena / Oso ona;6;Muy buena / Oso ona;203;67;1000,3;0;231,1;16,2;13,1;2,33;Buena / Ona
26/02/2017;1;3;6;Muy buena / Oso ona;5;73;89;Buena / Ona;;Sin datos / Daturik gabe;9;Muy buena / Oso ona;178;82;1009,4;0;211,6;19,8;11,4;0,1;Buena / Ona
25/02/2017;1;4;9;Muy buena / Oso ona;6;69;82;Buena / Ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona;211;78;1010,2;0;267,1;20,2;9,1;0,29;Buena / Ona
24/02/2017;4;6;38;Muy buena / Oso ona;12;76;85;Buena / Ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona;348;83;1010,9;0,1;91,9;12;9,5;1,5;Buena / Ona
23/02/2017;1;9;19;Muy buena / Oso ona;12;44;65;Buena / Ona;19;Muy buena / Oso ona;13;Muy buena / Oso ona;247;90;1006,6;0;57,3;7,7;9,5;1,01;Buena / Ona
22/02/2017;1;6;12;Muy buena / Oso ona;8;60;76;Buena / Ona;19;Muy buena / Oso ona;11;Muy buena / Oso ona;207;93;1011,3;0;99,8;10,3;8,7;0,23;Buena / Ona
21/02/2017;1;6;19;Muy buena / Oso ona;8;64;80;Buena / Ona;9;Muy buena / Oso ona;6;Muy buena / Oso ona;182;86;1016,4;0;97,7;11,8;9,6;0,29;Buena / Ona
20/02/2017;2;7;22;Muy buena / Oso ona;10;69;86;Buena / Ona;;Sin datos / Daturik gabe;10;Muy buena / Oso ona;204;87;1018,3;0;139,6;13,7;10,1;0,14;Buena / Ona
19/02/2017;1;3;6;Muy buena / Oso ona;5;81;92;Buena / Ona;15;Muy buena / Oso ona;10;Muy buena / Oso ona;280;88;1017,4;0;41,4;6,2;10,9;0,57;Buena / Ona
18/02/2017;1;7;15;Muy buena / Oso ona;9;72;94;Buena / Ona;18;Muy buena / Oso ona;12;Muy buena / Oso ona;261;78;1011,8;0;188,8;11,6;11;1,06;Buena / Ona
17/02/2017;1;8;16;Muy buena / Oso ona;11;71;84;Buena / Ona;13;Muy buena / Oso ona;8;Muy buena / Oso ona;166;69;1016,1;0;244,3;12,7;11,9;0,67;Buena / Ona
16/02/2017;1;7;14;Muy buena / Oso ona;10;78;88;Buena / Ona;15;Muy buena / Oso ona;9;Muy buena / Oso ona;171;60;1019,3;0;220;10,8;14;1,35;Buena / Ona
15/02/2017;1;6;17;Muy buena / Oso ona;8;72;78;Buena / Ona;;Sin datos / Daturik gabe;6;Muy buena / Oso ona;175;54;1018,2;0;224,1;12,5;15,1;3,18;Buena / Ona
14/02/2017;1;4;8;Muy buena / Oso ona;6;71;80;Buena / Ona;;Sin datos / Daturik gabe;3;Muy buena / Oso ona;173;53;1009,2;0;217,2;11,2;14,2;4;Buena / Ona
13/02/2017;1;3;5;Muy buena / Oso ona;5;74;83;Buena / Ona;20;Muy buena / Oso ona;8;Muy buena / Oso ona;148;61;995,2;0,2;67;6,5;14,2;2,89;Buena / Ona
12/02/2017;1;5;9;Muy buena / Oso ona;7;59;80;Buena / Ona;27;Buena / Ona;12;Muy buena / Oso ona;123;72;994,4;0,4;31,7;4,9;11,5;1,9;Buena / Ona
11/02/2017;1;5;7;Muy buena / Oso ona;7;62;69;Buena / Ona;17;Muy buena / Oso ona;9;Muy buena / Oso ona;92;83;1004,1;2,2;25,7;3,3;8,2;0,58;Buena / Ona
