Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);PM10 (µg/m3);PM10 - ICA;D.vien (grados);H (%);P (mBar);Precipitación (l/m2);R (w/m2);Tº (ºC);V.vien (m/s)
04/09/2017;10:00;20;19;Muy buena / Oso ona;49;11;"Muy buena / ";7;22;Muy buena / Oso ona;247;85;1007,4;0;215,6;20;0,67
04/09/2017;09:00;30;22;Muy buena / Oso ona;67;4;"Muy buena / ";8;19;Muy buena / Oso ona;239;91;1006,7;0;90,2;18,7;1,2
04/09/2017;08:00;21;21;Muy buena / Oso ona;52;5;"Muy buena / ";9;17;Muy buena / Oso ona;245;92;1006;0;62,5;18,2;0,59
04/09/2017;07:00;27;18;Muy buena / Oso ona;59;3;"Muy buena / ";10;15;Muy buena / Oso ona;230;94;1005,4;0;55;17,6;0,48
04/09/2017;06:00;19;18;Muy buena / Oso ona;47;2;"Muy buena / ";13;12;Muy buena / Oso ona;225;95;1004,8;0;2,6;17,5;0,46
04/09/2017;05:00;10;13;Muy buena / Oso ona;28;6;"Muy buena / ";18;10;Muy buena / Oso ona;236;94;1004,2;0;0,7;17,4;0,61
04/09/2017;04:00;5;9;Muy buena / Oso ona;15;14;"Muy buena / ";23;8;Muy buena / Oso ona;161;93;1004,1;0,3;0,6;17,4;0,59
04/09/2017;03:00;2;8;Muy buena / Oso ona;11;14;"Muy buena / ";28;11;Muy buena / Oso ona;212;90;1004,1;0,3;0,5;17,7;0,58
04/09/2017;02:00;2;8;Muy buena / Oso ona;11;14;"Muy buena / ";36;8;Muy buena / Oso ona;194;91;1003,9;0;0,6;17,6;0,51
04/09/2017;01:00;2;8;Muy buena / Oso ona;11;16;"Muy buena / ";45;9;Muy buena / Oso ona;193;91;1003,6;0;0,6;17,6;0,28
03/09/2017;24:00;3;8;Muy buena / Oso ona;13;20;"Muy buena / ";54;9;Muy buena / Oso ona;132;90;1003,6;0;0,6;17,9;0,1
03/09/2017;23:00;2;9;Muy buena / Oso ona;12;28;"Muy buena / ";54;8;Muy buena / Oso ona;114;88;1003,6;0;0,6;18,6;0,33
03/09/2017;22:00;3;10;Muy buena / Oso ona;14;36;"Muy buena / ";58;14;Muy buena / Oso ona;66;85;1003,2;0;0,6;19,4;0,21
03/09/2017;21:00;3;16;Muy buena / Oso ona;20;37;"Muy buena / ";67;15;Muy buena / Oso ona;39;77;1003,5;0;0,6;20,8;0,44
03/09/2017;20:00;3;15;Muy buena / Oso ona;20;51;"Muy buena / ";75;17;Muy buena / Oso ona;64;69;1003,7;0;0,7;21,9;0,82
03/09/2017;19:00;4;15;Muy buena / Oso ona;22;67;"Buena / ";78;17;Muy buena / Oso ona;36;62;1003,1;0;9;22,8;1,3
03/09/2017;18:00;3;12;Muy buena / Oso ona;17;79;"Buena / ";75;13;Muy buena / Oso ona;39;58;1002,7;0;83,7;23,5;1,95
03/09/2017;17:00;4;10;Muy buena / Oso ona;16;80;"Buena / ";67;14;Muy buena / Oso ona;42;52;1003,1;0;154,2;25,4;2,29
03/09/2017;16:00;3;7;Muy buena / Oso ona;11;;"Sin datos / ";58;13;Muy buena / Oso ona;35;47;1003,5;0;382,1;25,7;1,69
03/09/2017;15:00;4;6;Muy buena / Oso ona;11;88;"Buena / ";52;12;Muy buena / Oso ona;42;46;1003,8;0;393,8;25,7;2,3
03/09/2017;14:00;4;6;Muy buena / Oso ona;12;87;"Buena / ";47;16;Muy buena / Oso ona;43;39;1004,2;0;651,2;26,8;2,34
03/09/2017;13:00;4;5;Muy buena / Oso ona;11;84;"Buena / ";38;7;Muy buena / Oso ona;267;34;1004,8;0;911,7;26,7;0,64
03/09/2017;12:00;5;7;Muy buena / Oso ona;14;70;"Buena / ";28;3;Muy buena / Oso ona;174;44;1005,3;0;766,6;24,2;0,62
03/09/2017;11:00;5;9;Muy buena / Oso ona;16;47;"Muy buena / ";21;8;Muy buena / Oso ona;238;58;1006;0;495,6;21,7;0,4
03/09/2017;10:00;6;10;Muy buena / Oso ona;19;35;"Muy buena / ";17;8;Muy buena / Oso ona;192;72;1006,6;0;274,3;18,1;0,33
03/09/2017;09:00;6;11;Muy buena / Oso ona;20;24;"Muy buena / ";14;10;Muy buena / Oso ona;208;85;1006,9;0;177,3;15,5;0,63
03/09/2017;08:00;7;11;Muy buena / Oso ona;21;16;"Muy buena / ";13;13;Muy buena / Oso ona;215;89;1007,2;0;79;14,5;0,93
03/09/2017;07:00;5;7;Muy buena / Oso ona;16;15;"Muy buena / ";13;10;Muy buena / Oso ona;159;91;1007,2;0;22,4;13,7;0,59
03/09/2017;06:00;5;8;Muy buena / Oso ona;15;11;"Muy buena / ";13;9;Muy buena / Oso ona;243;92;1006,8;0;1,5;13,3;0,61
03/09/2017;05:00;5;8;Muy buena / Oso ona;16;8;"Muy buena / ";15;11;Muy buena / Oso ona;217;92;1007,3;0;0,7;13,1;0,52
03/09/2017;04:00;3;7;Muy buena / Oso ona;11;12;"Muy buena / ";17;8;Muy buena / Oso ona;147;93;1007,9;0;0,7;12,9;0,73
03/09/2017;03:00;4;7;Muy buena / Oso ona;13;12;"Muy buena / ";21;8;Muy buena / Oso ona;137;93;1008,4;0;0,7;12,8;0,62
03/09/2017;02:00;2;7;Muy buena / Oso ona;10;15;"Muy buena / ";28;7;Muy buena / Oso ona;129;93;1009,2;0;0,7;12,6;0,96
03/09/2017;01:00;3;8;Muy buena / Oso ona;12;15;"Muy buena / ";36;7;Muy buena / Oso ona;135;93;1009,7;0;0,7;12,9;0,92
02/09/2017;24:00;3;7;Muy buena / Oso ona;11;17;"Muy buena / ";45;7;Muy buena / Oso ona;144;92;1010,5;0;0,7;13,5;0,61
02/09/2017;23:00;4;8;Muy buena / Oso ona;14;19;"Muy buena / ";45;8;Muy buena / Oso ona;134;91;1011;0;0,7;14;0,67
02/09/2017;22:00;5;10;Muy buena / Oso ona;17;22;"Muy buena / ";50;8;Muy buena / Oso ona;134;89;1011,5;0;0,7;14,6;0,64
02/09/2017;21:00;4;12;Muy buena / Oso ona;18;26;"Muy buena / ";59;10;Muy buena / Oso ona;182;86;1011,6;0;0,7;15,5;0,4
02/09/2017;20:00;4;10;Muy buena / Oso ona;16;39;"Muy buena / ";68;11;Muy buena / Oso ona;120;81;1011,7;0;0,7;16,9;0,61
02/09/2017;19:00;4;11;Muy buena / Oso ona;17;58;"Muy buena / ";73;12;Muy buena / Oso ona;56;71;1011,3;0;13,5;18,8;1,64
02/09/2017;18:00;3;7;Muy buena / Oso ona;12;74;"Buena / ";74;9;Muy buena / Oso ona;28;63;1011,5;0;113,4;20,4;1,87
02/09/2017;17:00;3;5;Muy buena / Oso ona;9;78;"Buena / ";71;7;Muy buena / Oso ona;24;60;1012,1;0;241,8;20,9;2,21
02/09/2017;16:00;3;5;Muy buena / Oso ona;9;;"Sin datos / ";64;5;Muy buena / Oso ona;28;59;1012,6;0;446,9;21,2;2,3
02/09/2017;15:00;3;5;Muy buena / Oso ona;9;80;"Buena / ";58;7;Muy buena / Oso ona;34;61;1013,2;0;504;21,3;2,56
02/09/2017;14:00;4;5;Muy buena / Oso ona;10;80;"Buena / ";54;9;Muy buena / Oso ona;37;60;1013,8;0;663,8;21,6;2,5
02/09/2017;13:00;3;6;Muy buena / Oso ona;11;77;"Buena / ";46;9;Muy buena / Oso ona;43;60;1014,4;0;596,4;21;1,27
02/09/2017;12:00;5;8;Muy buena / Oso ona;16;68;"Buena / ";39;10;Muy buena / Oso ona;44;60;1014,9;0;399,4;20,7;1,66
02/09/2017;11:00;6;13;Muy buena / Oso ona;21;66;"Buena / ";33;7;Muy buena / Oso ona;271;57;1015,3;0;430,3;21,1;0,41
02/09/2017;10:00;5;7;Muy buena / Oso ona;15;57;"Muy buena / ";29;5;Muy buena / Oso ona;87;66;1015,5;0;584,5;19,3;0,14
02/09/2017;09:00;6;9;Muy buena / Oso ona;18;35;"Muy buena / ";26;10;Muy buena / Oso ona;167;81;1015,6;0;341,4;16,7;0,5
02/09/2017;08:00;6;13;Muy buena / Oso ona;22;23;"Muy buena / ";26;10;Muy buena / Oso ona;242;94;1015,6;0;94,6;14;0,53
02/09/2017;07:00;5;9;Muy buena / Oso ona;16;22;"Muy buena / ";26;11;Muy buena / Oso ona;169;97;1015,4;0;24,5;13,4;0,45
02/09/2017;06:00;3;7;Muy buena / Oso ona;12;21;"Muy buena / ";27;7;Muy buena / Oso ona;125;96;1015;0;4,7;13,4;0,76
02/09/2017;05:00;3;8;Muy buena / Oso ona;12;19;"Muy buena / ";31;8;Muy buena / Oso ona;139;96;1014,8;0;0,7;13,8;0,55
02/09/2017;04:00;2;6;Muy buena / Oso ona;9;24;"Muy buena / ";35;6;Muy buena / Oso ona;131;95;1014,6;0;0,7;14,1;0,54
02/09/2017;03:00;2;6;Muy buena / Oso ona;9;27;"Muy buena / ";39;8;Muy buena / Oso ona;163;95;1014,8;0;0,7;14,3;0,48
02/09/2017;02:00;2;7;Muy buena / Oso ona;10;34;"Muy buena / ";45;8;Muy buena / Oso ona;135;93;1015;0;0,7;14,6;0,22
02/09/2017;01:00;2;8;Muy buena / Oso ona;11;35;"Muy buena / ";50;12;Muy buena / Oso ona;90;90;1015;0,4;0,7;15,2;0,25
01/09/2017;24:00;3;11;Muy buena / Oso ona;15;32;"Muy buena / ";54;11;Muy buena / Oso ona;161;89;1015,1;0;0,7;15,1;0,51
01/09/2017;23:00;4;13;Muy buena / Oso ona;20;29;"Muy buena / ";54;13;Muy buena / Oso ona;208;89;1015,1;0;0,7;15,4;0,66
01/09/2017;22:00;2;10;Muy buena / Oso ona;13;48;"Muy buena / ";59;10;Muy buena / Oso ona;215;85;1015;0;0,7;16,1;1,02
01/09/2017;21:00;4;11;Muy buena / Oso ona;17;51;"Muy buena / ";62;13;Muy buena / Oso ona;258;81;1014,5;0;0,7;16,7;0,85
01/09/2017;20:00;4;15;Muy buena / Oso ona;21;52;"Muy buena / ";64;13;Muy buena / Oso ona;267;77;1014;0;0,7;17,1;0,91
01/09/2017;19:00;5;14;Muy buena / Oso ona;22;65;"Buena / ";66;9;Muy buena / Oso ona;272;71;1013,5;0;12,7;18,1;2,37
01/09/2017;18:00;5;13;Muy buena / Oso ona;21;68;"Buena / ";67;8;Muy buena / Oso ona;266;69;1013,2;0;65,7;18,9;3,19
01/09/2017;17:00;6;14;Muy buena / Oso ona;24;67;"Buena / ";62;11;Muy buena / Oso ona;266;66;1012,9;0;124,6;19,7;3,15
01/09/2017;16:00;6;10;Muy buena / Oso ona;19;;"Sin datos / ";53;5;Muy buena / Oso ona;271;63;1012,8;0;385,6;20,1;3,49
01/09/2017;15:00;5;11;Muy buena / Oso ona;19;63;"Buena / ";47;4;Muy buena / Oso ona;264;70;1012,7;0;316,5;19,6;1,42
01/09/2017;14:00;5;11;Muy buena / Oso ona;18;66;"Buena / ";42;8;Muy buena / Oso ona;29;77;1013;0,1;203,3;18,6;0,41
01/09/2017;13:00;5;10;Muy buena / Oso ona;18;65;"Buena / ";34;10;Muy buena / Oso ona;54;81;1013,2;0;413,3;17,8;2,36
01/09/2017;12:00;5;13;Muy buena / Oso ona;21;67;"Buena / ";27;17;Muy buena / Oso ona;33;64;1012,9;0;209,9;19,8;1,57
01/09/2017;11:00;9;15;Muy buena / Oso ona;28;66;"Buena / ";20;4;Muy buena / Oso ona;245;59;1013,1;0;555,8;20,1;2,78
01/09/2017;10:00;13;20;Muy buena / Oso ona;41;41;"Muy buena / ";13;9;Muy buena / Oso ona;253;71;1013,5;0;450,9;18,5;2,18
01/09/2017;09:00;17;23;Muy buena / Oso ona;49;14;"Muy buena / ";10;20;Muy buena / Oso ona;254;77;1013,3;0;200,7;17,3;0,31
01/09/2017;08:00;18;18;Muy buena / Oso ona;46;10;"Muy buena / ";10;16;Muy buena / Oso ona;248;88;1013,1;0;108,9;14,4;0,49
01/09/2017;07:00;20;18;Muy buena / Oso ona;49;5;"Muy buena / ";10;17;Muy buena / Oso ona;254;94;1012,8;0;48,9;13,2;0,82
01/09/2017;06:00;12;16;Muy buena / Oso ona;34;5;"Muy buena / ";12;16;Muy buena / Oso ona;132;94;1012,5;0;4;12,5;0,58
01/09/2017;05:00;6;12;Muy buena / Oso ona;21;7;"Muy buena / ";14;12;Muy buena / Oso ona;133;95;1012,5;0;0,7;12,6;0,53
01/09/2017;04:00;4;7;Muy buena / Oso ona;13;10;"Muy buena / ";16;10;Muy buena / Oso ona;115;95;1012,6;0;0,6;12,4;0,73
01/09/2017;03:00;3;8;Muy buena / Oso ona;12;13;"Muy buena / ";20;9;Muy buena / Oso ona;118;95;1012,9;0;0,6;12,7;0,87
01/09/2017;02:00;2;8;Muy buena / Oso ona;11;15;"Muy buena / ";25;14;Muy buena / Oso ona;204;95;1013;0;0,6;13;0,5
01/09/2017;01:00;3;7;Muy buena / Oso ona;11;14;"Muy buena / ";33;8;Muy buena / Oso ona;130;94;1013,2;0;0,6;13;0,66
31/08/2017;24:00;4;9;Muy buena / Oso ona;15;10;"Muy buena / ";43;10;Muy buena / Oso ona;241;93;1013,2;0;0,6;13,5;0,5
31/08/2017;23:00;3;9;Muy buena / Oso ona;14;17;"Muy buena / ";43;9;Muy buena / Oso ona;170;92;1013,3;0;0,6;14;0,51
31/08/2017;22:00;5;11;Muy buena / Oso ona;19;19;"Muy buena / ";47;11;Muy buena / Oso ona;217;91;1013,3;0;0,6;14,3;0,47
31/08/2017;21:00;4;10;Muy buena / Oso ona;16;27;"Muy buena / ";55;10;Muy buena / Oso ona;135;89;1013,1;0;0,7;15;0,65
31/08/2017;20:00;4;14;Muy buena / Oso ona;19;34;"Muy buena / ";61;12;Muy buena / Oso ona;192;84;1012,6;0;0,8;16,4;0,44
31/08/2017;19:00;6;18;Muy buena / Oso ona;28;48;"Muy buena / ";66;14;Muy buena / Oso ona;53;74;1012;0;15,1;18,4;1,16
31/08/2017;18:00;7;12;Muy buena / Oso ona;23;73;"Buena / ";66;11;Muy buena / Oso ona;36;65;1011,6;0;131,3;20,1;1,39
31/08/2017;17:00;5;9;Muy buena / Oso ona;16;80;"Buena / ";61;10;Muy buena / Oso ona;21;65;1011,5;0;210,1;20,3;1,62
31/08/2017;16:00;5;9;Muy buena / Oso ona;16;;"Sin datos / ";53;15;Muy buena / Oso ona;37;65;1011,4;0;192,9;20,4;2,02
31/08/2017;15:00;4;7;Muy buena / Oso ona;13;73;"Buena / ";48;9;Muy buena / Oso ona;39;60;1011,4;0;519,6;21,1;1,65
31/08/2017;14:00;4;8;Muy buena / Oso ona;13;69;"Buena / ";44;6;Muy buena / Oso ona;267;67;1011,8;0;399,9;20,1;0,6
31/08/2017;13:00;6;12;Muy buena / Oso ona;21;64;"Buena / ";38;3;Muy buena / Oso ona;261;77;1012,2;0;401,6;18,6;1,95
31/08/2017;12:00;7;16;Muy buena / Oso ona;27;61;"Buena / ";33;3;Muy buena / Oso ona;252;86;1012,4;0;376,9;17,2;1,27
31/08/2017;11:00;6;16;Muy buena / Oso ona;25;51;"Muy buena / ";30;5;Muy buena / Oso ona;255;92;1012,6;1,1;148,9;16,4;0,51
31/08/2017;10:00;12;27;Muy buena / Oso ona;45;38;"Muy buena / ";29;7;Muy buena / Oso ona;241;89;1012,4;0;163,1;16,9;1,44
31/08/2017;09:00;8;19;Muy buena / Oso ona;31;33;"Muy buena / ";31;10;Muy buena / Oso ona;226;89;1012;0,1;124;16,6;0,71
31/08/2017;08:00;10;19;Muy buena / Oso ona;34;22;"Muy buena / ";34;28;Muy buena / Oso ona;113;91;1011,5;0;70,1;16,4;0,56
31/08/2017;07:00;12;23;Muy buena / Oso ona;41;13;"Muy buena / ";35;14;Muy buena / Oso ona;198;94;1011,1;0;40,1;15,9;0,3
31/08/2017;06:00;4;16;Muy buena / Oso ona;23;20;"Muy buena / ";42;11;Muy buena / Oso ona;128;95;1010,9;0;4,1;15,7;0,61
31/08/2017;05:00;3;10;Muy buena / Oso ona;15;29;"Muy buena / ";47;10;Muy buena / Oso ona;124;95;1010,5;0;0,7;15,7;0,8
31/08/2017;04:00;2;8;Muy buena / Oso ona;11;35;"Muy buena / ";52;9;Muy buena / Oso ona;128;95;1010,3;0;0,6;15,9;0,67
31/08/2017;03:00;2;5;Muy buena / Oso ona;8;44;"Muy buena / ";55;8;Muy buena / Oso ona;169;94;1010,2;0;0,6;15,8;0,29
31/08/2017;02:00;2;5;Muy buena / Oso ona;8;50;"Muy buena / ";57;7;Muy buena / Oso ona;133;94;1010,1;0;0,6;15,9;0,71
31/08/2017;01:00;2;5;Muy buena / Oso ona;8;57;"Muy buena / ";60;5;Muy buena / Oso ona;142;93;1010;0;0,5;15,9;0,54
30/08/2017;24:00;2;5;Muy buena / Oso ona;8;57;"Muy buena / ";62;6;Muy buena / Oso ona;195;92;1010;0,1;0,5;16,1;0,26
30/08/2017;23:00;2;6;Muy buena / Oso ona;9;57;"Muy buena / ";62;3;Muy buena / Oso ona;265;90;1009,6;0;0,6;16,6;1,07
30/08/2017;22:00;2;6;Muy buena / Oso ona;9;59;"Muy buena / ";63;3;Muy buena / Oso ona;285;91;1009,2;0,1;0,6;17,1;0,6
30/08/2017;21:00;2;6;Muy buena / Oso ona;9;63;"Buena / ";68;2;Muy buena / Oso ona;325;93;1008,5;0,2;0,7;17,6;0,34
30/08/2017;20:00;4;11;Muy buena / Oso ona;17;53;"Muy buena / ";72;7;Muy buena / Oso ona;284;95;1007,4;0,8;0,7;18;0,15
30/08/2017;19:00;4;9;Muy buena / Oso ona;15;60;"Muy buena / ";77;5;Muy buena / Oso ona;23;94;1006,5;0,2;2;18,1;0,78
30/08/2017;18:00;4;9;Muy buena / Oso ona;15;69;"Buena / ";78;4;Muy buena / Oso ona;46;94;1005,5;0,7;15,3;18,3;2,77
30/08/2017;17:00;3;10;Muy buena / Oso ona;15;73;"Buena / ";73;3;Muy buena / Oso ona;51;94;1004,5;1,7;35,1;19;2,04
30/08/2017;16:00;5;10;Muy buena / Oso ona;18;;"Sin datos / ";67;21;Muy buena / Oso ona;40;94;1003,2;0,3;101,7;20,6;1,96
30/08/2017;15:00;5;11;Muy buena / Oso ona;18;82;"Buena / ";60;29;Muy buena / Oso ona;41;82;1003;2,5;83,4;22,4;2,38
30/08/2017;14:00;3;8;Muy buena / Oso ona;13;91;"Buena / ";55;20;Muy buena / Oso ona;43;74;1002,8;0;547,4;24,1;4,03
30/08/2017;13:00;5;8;Muy buena / Oso ona;15;87;"Buena / ";44;19;Muy buena / Oso ona;41;72;1002,9;0;626,8;24,4;4,28
30/08/2017;12:00;5;11;Muy buena / Oso ona;18;82;"Buena / ";36;27;Muy buena / Oso ona;40;56;1002,9;0;708,5;27,6;2,2
30/08/2017;11:00;6;13;Muy buena / Oso ona;22;65;"Buena / ";29;7;Muy buena / Oso ona;242;57;1003,2;0;791,7;26,6;0,56
30/08/2017;10:00;8;16;Muy buena / Oso ona;28;42;"Muy buena / ";25;14;Muy buena / Oso ona;199;70;1003,6;0;640;24,2;0,43
30/08/2017;09:00;10;17;Muy buena / Oso ona;32;32;"Muy buena / ";25;16;Muy buena / Oso ona;244;85;1004,1;0;370,5;21;1,21
30/08/2017;08:00;8;21;Muy buena / Oso ona;34;24;"Muy buena / ";27;18;Muy buena / Oso ona;232;90;1004,2;0;123,2;19,7;0,39
30/08/2017;07:00;13;24;Muy buena / Oso ona;43;14;"Muy buena / ";28;16;Muy buena / Oso ona;243;94;1004;0;40,2;18,9;1,04
30/08/2017;06:00;13;20;Muy buena / Oso ona;40;8;"Muy buena / ";32;13;Muy buena / Oso ona;237;95;1003,6;0;3,1;19;0,86
30/08/2017;05:00;5;14;Muy buena / Oso ona;22;19;"Muy buena / ";38;11;Muy buena / Oso ona;187;95;1003,8;0;0,7;19,3;0,37
30/08/2017;04:00;3;10;Muy buena / Oso ona;15;26;"Muy buena / ";42;11;Muy buena / Oso ona;165;94;1003,7;0;0,6;19,4;0,48
30/08/2017;03:00;2;8;Muy buena / Oso ona;11;36;"Muy buena / ";47;10;Muy buena / Oso ona;128;94;1003,9;0;0,6;19,6;0,48
30/08/2017;02:00;2;7;Muy buena / Oso ona;10;44;"Muy buena / ";52;8;Muy buena / Oso ona;208;92;1004,2;0;0,6;20;0,37
30/08/2017;01:00;2;7;Muy buena / Oso ona;10;47;"Muy buena / ";56;10;Muy buena / Oso ona;2;93;1004,4;0;0,6;20,1;0,5
29/08/2017;24:00;2;8;Muy buena / Oso ona;11;44;"Muy buena / ";61;9;Muy buena / Oso ona;37;93;1004,3;0;0,6;20,1;0,75
29/08/2017;23:00;2;11;Muy buena / Oso ona;14;42;"Muy buena / ";61;20;Muy buena / Oso ona;167;91;1004,4;1,3;0,6;20,6;0,25
29/08/2017;22:00;4;10;Muy buena / Oso ona;16;49;"Muy buena / ";64;11;Muy buena / Oso ona;42;84;1003,9;0,1;0,6;21,3;0,7
29/08/2017;21:00;4;12;Muy buena / Oso ona;18;53;"Muy buena / ";70;10;Muy buena / Oso ona;45;84;1003,9;0;0,7;21,7;1,31
29/08/2017;20:00;4;18;Muy buena / Oso ona;23;58;"Muy buena / ";74;12;Muy buena / Oso ona;280;82;1003,7;0;0,7;22,2;0,58
29/08/2017;19:00;4;13;Muy buena / Oso ona;20;68;"Buena / ";77;11;Muy buena / Oso ona;35;83;1003,3;0;18,4;22,3;1,82
29/08/2017;18:00;4;12;Muy buena / Oso ona;18;74;"Buena / ";73;10;Muy buena / Oso ona;49;82;1002,9;0;58,8;22,8;2,66
29/08/2017;17:00;4;9;Muy buena / Oso ona;16;80;"Buena / ";63;12;Muy buena / Oso ona;47;78;1002,5;0;140,5;23,8;3,53
29/08/2017;16:00;4;8;Muy buena / Oso ona;14;;"Sin datos / ";53;13;Muy buena / Oso ona;41;73;1002,3;0;392;25;4,24
29/08/2017;15:00;4;6;Muy buena / Oso ona;12;88;"Buena / ";48;12;Muy buena / Oso ona;42;71;1002,3;0;478;25,7;4,13
29/08/2017;14:00;5;9;Muy buena / Oso ona;17;84;"Buena / ";45;17;Muy buena / Oso ona;42;67;1003;0;818,4;26,6;3,6
29/08/2017;13:00;4;10;Muy buena / Oso ona;16;80;"Buena / ";37;;Sin datos / Daturik gabe;33;56;1003,2;0;887,8;27,7;1,37
29/08/2017;12:00;5;9;Muy buena / Oso ona;18;73;"Buena / ";30;;Sin datos / Daturik gabe;275;58;1003,8;0;884,2;26,3;0,66
29/08/2017;11:00;11;19;Muy buena / Oso ona;35;45;"Muy buena / ";24;;Sin datos / Daturik gabe;167;77;1004,4;0;778,1;22,7;0,4
29/08/2017;10:00;19;33;Muy buena / Oso ona;62;13;"Muy buena / ";25;27;Muy buena / Oso ona;246;85;1004,7;0,1;94,9;21,1;0,65
29/08/2017;09:00;13;21;Muy buena / Oso ona;40;23;"Muy buena / ";30;15;Muy buena / Oso ona;196;90;1004,6;0;325,2;19,3;0,65
29/08/2017;08:00;11;23;Muy buena / Oso ona;39;21;"Muy buena / ";34;14;Muy buena / Oso ona;177;97;1004,7;0;144,2;17,6;0,61
29/08/2017;07:00;10;24;Muy buena / Oso ona;39;18;"Muy buena / ";36;14;Muy buena / Oso ona;227;98;1004,3;0;29,4;17,3;0,44
29/08/2017;06:00;7;18;Muy buena / Oso ona;29;24;"Muy buena / ";39;11;Muy buena / Oso ona;224;97;1003,8;0;3,4;17,4;0,65
29/08/2017;05:00;4;11;Muy buena / Oso ona;17;24;"Muy buena / ";38;11;Muy buena / Oso ona;134;98;1003,7;0;0,7;17,4;0,72
29/08/2017;04:00;4;15;Muy buena / Oso ona;21;27;"Muy buena / ";40;7;Muy buena / Oso ona;226;97;1003,4;0;0,6;17,7;0,6
29/08/2017;03:00;2;8;Muy buena / Oso ona;11;46;"Muy buena / ";41;5;Muy buena / Oso ona;239;97;1003,9;0;0,6;18;0,65
29/08/2017;02:00;2;7;Muy buena / Oso ona;10;54;"Muy buena / ";40;5;Muy buena / Oso ona;231;97;1004,3;0,1;0,6;18,2;0,63
29/08/2017;01:00;2;7;Muy buena / Oso ona;10;56;"Muy buena / ";39;6;Muy buena / Oso ona;219;97;1004,7;1;0,6;18,3;0,63
28/08/2017;24:00;2;7;Muy buena / Oso ona;10;54;"Muy buena / ";41;17;Muy buena / Oso ona;213;94;1005,9;3,7;0,6;19;0,23
28/08/2017;23:00;3;11;Muy buena / Oso ona;15;39;"Muy buena / ";41;12;Muy buena / Oso ona;250;84;1004,9;0,4;0,5;20,7;1,51
28/08/2017;22:00;4;12;Muy buena / Oso ona;18;23;"Muy buena / ";41;13;Muy buena / Oso ona;176;87;1004,9;0,1;0,6;20,6;0,39
28/08/2017;21:00;4;9;Muy buena / Oso ona;16;32;"Muy buena / ";48;10;Muy buena / Oso ona;146;85;1004,6;0;0,7;20,9;0,8
28/08/2017;20:00;5;13;Muy buena / Oso ona;20;34;"Muy buena / ";51;11;Muy buena / Oso ona;145;86;1004,7;0;0,8;21,6;0,97
28/08/2017;19:00;5;17;Muy buena / Oso ona;24;40;"Muy buena / ";49;19;Muy buena / Oso ona;138;84;1004,7;0;5,5;22,5;1
28/08/2017;18:00;6;21;Muy buena / Oso ona;31;47;"Muy buena / ";46;;Sin datos / Daturik gabe;128;79;1004,9;0;106,5;23,3;0,98
28/08/2017;17:00;6;20;Muy buena / Oso ona;28;69;"Buena / ";40;;Sin datos / Daturik gabe;268;53;1004,3;0,1;45,1;26,6;2,37
28/08/2017;16:00;7;26;Muy buena / Oso ona;37;;"Sin datos / ";30;22;Muy buena / Oso ona;258;51;1003,6;0;98,5;28,3;1,36
28/08/2017;15:00;6;20;Muy buena / Oso ona;28;69;"Buena / ";26;11;Muy buena / Oso ona;237;47;1003,5;0;268,2;28,8;2,02
28/08/2017;14:00;6;18;Muy buena / Oso ona;27;63;"Buena / ";24;;Sin datos / Daturik gabe;231;54;1003,8;0;465,9;28,7;3,16
28/08/2017;13:00;6;15;Muy buena / Oso ona;24;53;"Muy buena / ";16;9;Muy buena / Oso ona;206;69;1003,7;0;496,5;26,1;0,58
28/08/2017;12:00;15;31;Muy buena / Oso ona;55;21;"Muy buena / ";10;36;Muy buena / Oso ona;164;78;1004,2;0;182,6;24,9;0,43
28/08/2017;11:00;17;34;Muy buena / Oso ona;61;22;"Muy buena / ";9;29;Muy buena / Oso ona;251;69;1005,4;0;222,9;25,8;0,51
28/08/2017;10:00;30;29;Muy buena / Oso ona;75;14;"Muy buena / ";8;38;Muy buena / Oso ona;234;81;1005,5;0;478;22,5;1,44
28/08/2017;09:00;35;32;Muy buena / Oso ona;85;5;"Muy buena / ";10;35;Muy buena / Oso ona;235;82;1005,6;0,1;109,7;20,6;0,84
28/08/2017;08:00;26;27;Muy buena / Oso ona;66;6;"Muy buena / ";14;28;Muy buena / Oso ona;231;85;1005,1;0;102,7;19,5;0,74
28/08/2017;07:00;25;26;Muy buena / Oso ona;64;5;"Muy buena / ";15;25;Muy buena / Oso ona;230;90;1004,8;0;68,1;18,1;0,37
28/08/2017;06:00;19;22;Muy buena / Oso ona;50;4;"Muy buena / ";20;20;Muy buena / Oso ona;249;92;1004,9;0;4,8;17,5;0,41
28/08/2017;05:00;13;17;Muy buena / Oso ona;38;6;"Muy buena / ";23;17;Muy buena / Oso ona;234;92;1004,6;0;0,7;17,4;0,47
28/08/2017;04:00;7;16;Muy buena / Oso ona;27;8;"Muy buena / ";25;15;Muy buena / Oso ona;251;91;1004,4;0;0,6;17,8;0,74
28/08/2017;03:00;3;12;Muy buena / Oso ona;16;17;"Muy buena / ";28;15;Muy buena / Oso ona;245;88;1004,6;0;0,6;18,4;0,53
28/08/2017;02:00;2;12;Muy buena / Oso ona;15;27;"Muy buena / ";29;17;Muy buena / Oso ona;146;84;1004,5;0;0,6;19,4;0,24
