Date;Hour;O3 (µg/m3);O3 - ICA;O3 8h (µg/m3)
04/10/2017;17:00;70;"Buena / ";60
04/10/2017;16:00;77;"Buena / ";54
04/10/2017;15:00;80;"Buena / ";47
04/10/2017;14:00;72;"Buena / ";40
04/10/2017;13:00;61;"Buena / ";34
04/10/2017;12:00;47;"Muy buena / ";30
04/10/2017;11:00;40;"Muy buena / ";27
04/10/2017;10:00;30;"Muy buena / ";25
04/10/2017;09:00;21;"Muy buena / ";25
04/10/2017;08:00;22;"Muy buena / ";27
04/10/2017;07:00;23;"Muy buena / ";27
04/10/2017;06:00;;"Sin datos / ";29
04/10/2017;05:00;20;"Muy buena / ";30
04/10/2017;04:00;24;"Muy buena / ";31
04/10/2017;03:00;26;"Muy buena / ";33
04/10/2017;02:00;27;"Muy buena / ";35
04/10/2017;01:00;34;"Muy buena / ";37
