Date;Hour;NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);O3 (µg/m3);O3 - ICA;O3 8h (µg/m3);D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
09/08/2017;08:00;0;4;Muy buena / Oso ona;4;70;"Buena / ";66;;;;;;
09/08/2017;07:00;0;4;Muy buena / Oso ona;4;68;"Buena / ";66;309;97;969,8;21,3;11,2;8,73
09/08/2017;06:00;0;2;Muy buena / Oso ona;2;69;"Buena / ";66;322;91;969,2;2,2;12,4;9,74
09/08/2017;05:00;0;7;Muy buena / Oso ona;7;65;"Buena / ";65;299;83;968,9;0;13,5;6,59
09/08/2017;04:00;0;5;Muy buena / Oso ona;5;67;"Buena / ";65;266;83;968,9;0;13,4;5,55
09/08/2017;03:00;0;6;Muy buena / Oso ona;6;64;"Buena / ";65;271;82;969,3;0;13,5;5,58
09/08/2017;02:00;0;7;Muy buena / Oso ona;7;67;"Buena / ";64;285;81;969,7;0;13,9;5,83
09/08/2017;01:00;0;8;Muy buena / Oso ona;8;61;"Buena / ";64;282;82;970;0;13,9;4,11
08/08/2017;24:00;0;6;Muy buena / Oso ona;6;64;"Buena / ";65;287;81;970,2;0;14,2;4,21
08/08/2017;23:00;0;5;Muy buena / Oso ona;5;67;"Buena / ";64;292;80;970,2;0;14,3;5,54
08/08/2017;22:00;0;6;Muy buena / Oso ona;6;64;"Buena / ";65;299;81;970,4;0;14,5;6,29
08/08/2017;21:00;0;6;Muy buena / Oso ona;6;64;"Buena / ";65;281;82;970,8;0;14,3;5,24
08/08/2017;20:00;0;6;Muy buena / Oso ona;6;65;"Buena / ";66;283;82;970,6;1;14,4;4,94
08/08/2017;19:00;0;8;Muy buena / Oso ona;8;63;"Buena / ";66;;;;;;
08/08/2017;18:00;0;2;Muy buena / Oso ona;2;67;"Buena / ";66;328;78;970,4;153,9;15,1;5,7
08/08/2017;17:00;0;2;Muy buena / Oso ona;2;62;"Buena / ";66;344;80;970,6;916,1;15,6;4,57
08/08/2017;16:00;0;2;Muy buena / Oso ona;2;63;"Buena / ";66;340;89;970,8;652,1;14,4;4,82
08/08/2017;15:00;0;3;Muy buena / Oso ona;3;68;"Buena / ";67;333;87;970,8;213,3;14,3;6,41
08/08/2017;14:00;0;2;Muy buena / Oso ona;3;66;"Buena / ";67;337;85;970,8;309,4;14,4;4,28
08/08/2017;13:00;0;3;Muy buena / Oso ona;3;72;"Buena / ";67;325;87;970,7;151,8;13,3;8,15
08/08/2017;12:00;1;4;Muy buena / Oso ona;5;66;"Buena / ";67;323;91;970,3;215;13,3;8,47
08/08/2017;11:00;0;4;Muy buena / Oso ona;4;63;"Buena / ";67;318;95;969,9;83,7;13,3;9,2
08/08/2017;10:00;1;4;Muy buena / Oso ona;5;65;"Buena / ";68;307;89;969,6;172;13,8;7,7
08/08/2017;09:00;0;4;Muy buena / Oso ona;4;67;"Buena / ";68;295;89;969,2;183,6;13,4;8,03
08/08/2017;08:00;0;7;Muy buena / Oso ona;7;67;"Buena / ";68;292;90;968,8;77,2;13,2;7,71
08/08/2017;07:00;0;6;Muy buena / Oso ona;6;67;"Buena / ";68;292;89;968,3;84,2;13,4;7,22
08/08/2017;06:00;0;5;Muy buena / Oso ona;5;68;"Buena / ";69;295;87;968;8,9;13,6;7,42
08/08/2017;05:00;0;3;Muy buena / Oso ona;3;69;"Buena / ";70;300;87;967,7;0,1;13,6;7,31
08/08/2017;04:00;0;2;Muy buena / Oso ona;2;68;"Buena / ";70;303;88;967,7;0;13,4;7,38
08/08/2017;03:00;0;2;Muy buena / Oso ona;2;69;"Buena / ";70;314;89;967,7;0;13,5;9,11
08/08/2017;02:00;0;2;Muy buena / Oso ona;2;69;"Buena / ";70;312;90;967,6;0;13,7;9,43
08/08/2017;01:00;0;1;Muy buena / Oso ona;1;69;"Buena / ";70;314;95;967,7;0;13,5;10,69
07/08/2017;24:00;0;1;Muy buena / Oso ona;1;68;"Buena / ";71;317;98;967,5;0;13,9;9,76
07/08/2017;23:00;0;1;Muy buena / Oso ona;1;71;"Buena / ";71;319;98;967,2;0;13,9;10,88
07/08/2017;22:00;0;2;Muy buena / Oso ona;2;75;"Buena / ";71;319;97;966,9;0;13,9;12,66
07/08/2017;21:00;0;2;Muy buena / Oso ona;2;69;"Buena / ";71;331;99;966,2;0;15,2;10,87
07/08/2017;20:00;0;4;Muy buena / Oso ona;4;70;"Buena / ";71;318;99;965,5;0,3;15,5;10,98
07/08/2017;19:00;0;5;Muy buena / Oso ona;5;68;"Buena / ";71;316;97;965,1;4,4;15,7;9,99
07/08/2017;18:00;0;5;Muy buena / Oso ona;5;70;"Buena / ";69;314;96;964,8;21,7;16,1;8,66
07/08/2017;17:00;0;4;Muy buena / Oso ona;4;72;"Buena / ";67;;;;;;
07/08/2017;16:00;0;4;Muy buena / Oso ona;4;71;"Buena / ";64;324;97;964,7;54,5;16,5;8,78
07/08/2017;15:00;0;3;Muy buena / Oso ona;3;74;"Buena / ";63;324;94;964,6;117,8;17;7,05
07/08/2017;14:00;0;2;Muy buena / Oso ona;2;71;"Buena / ";61;342;93;964,6;230,1;17,3;4,83
07/08/2017;13:00;1;3;Muy buena / Oso ona;4;;"Sin datos / ";57;1;89;964,9;317,8;17,4;5
07/08/2017;12:00;1;4;Muy buena / Oso ona;6;65;"Buena / ";56;4;88;965,2;322,6;17,3;4,47
07/08/2017;11:00;2;13;Muy buena / Oso ona;15;58;"Muy buena / ";58;360;86;965,4;247,6;17,5;2,35
07/08/2017;10:00;3;18;Muy buena / Oso ona;22;52;"Muy buena / ";60;330;83;965,6;195,9;17,9;0,54
07/08/2017;09:00;2;16;Muy buena / Oso ona;19;56;"Muy buena / ";64;287;85;965,9;221,8;17,1;1,03
07/08/2017;08:00;1;9;Muy buena / Oso ona;10;63;"Buena / ";67;281;88;966,2;270,8;16,2;2,04
07/08/2017;07:00;1;16;Muy buena / Oso ona;17;59;"Muy buena / ";67;279;90;966,3;60,7;15,9;2,79
07/08/2017;06:00;1;30;Muy buena / Oso ona;30;46;"Muy buena / ";69;298;90;966,4;3,5;16;2,06
07/08/2017;05:00;0;14;Muy buena / Oso ona;14;58;"Muy buena / ";73;333;90;966,7;0,1;16;1,65
07/08/2017;04:00;0;5;Muy buena / Oso ona;5;68;"Buena / ";75;;;;;;
07/08/2017;03:00;0;3;Muy buena / Oso ona;3;80;"Buena / ";77;41;87;967,9;0;16,2;3,13
07/08/2017;02:00;0;2;Muy buena / Oso ona;2;81;"Buena / ";76;49;86;968,7;0;16,3;3,69
07/08/2017;01:00;0;5;Muy buena / Oso ona;5;79;"Buena / ";75;61;84;969,4;0;16,4;4,32
06/08/2017;24:00;0;6;Muy buena / Oso ona;6;76;"Buena / ";72;62;81;970;0;16,5;4,32
06/08/2017;23:00;0;7;Muy buena / Oso ona;7;74;"Buena / ";70;68;80;970,5;0;16,6;4,2
06/08/2017;22:00;0;8;Muy buena / Oso ona;8;73;"Buena / ";68;65;81;970,7;0;16,5;3,43
06/08/2017;21:00;0;6;Muy buena / Oso ona;6;73;"Buena / ";67;56;81;971;0;16,5;3,58
06/08/2017;20:00;0;8;Muy buena / Oso ona;8;76;"Buena / ";66;57;81;970,9;2,8;16,4;4,47
06/08/2017;19:00;0;3;Muy buena / Oso ona;3;77;"Buena / ";63;47;80;971,1;62,7;16,4;4,99
06/08/2017;18:00;0;2;Muy buena / Oso ona;2;71;"Buena / ";60;43;82;971,4;149,2;16,4;5,61
06/08/2017;17:00;0;2;Muy buena / Oso ona;3;63;"Buena / ";58;41;82;971,8;276,7;16,6;6,19
06/08/2017;16:00;0;2;Muy buena / Oso ona;2;56;"Muy buena / ";58;31;83;972,1;487,5;16,6;6,17
06/08/2017;15:00;0;2;Muy buena / Oso ona;2;51;"Muy buena / ";58;;;;;;
06/08/2017;14:00;0;2;Muy buena / Oso ona;2;;"Sin datos / ";59;28;80;972,7;767,3;16,3;6,56
06/08/2017;13:00;1;1;Muy buena / Oso ona;2;55;"Muy buena / ";59;31;78;973,1;1101,4;16,3;5,59
06/08/2017;12:00;1;1;Muy buena / Oso ona;2;58;"Muy buena / ";59;33;77;973,6;1157,3;16,2;4,73
06/08/2017;11:00;0;2;Muy buena / Oso ona;2;61;"Buena / ";59;40;74;974,1;1141;16,2;3,71
06/08/2017;10:00;0;2;Muy buena / Oso ona;2;60;"Muy buena / ";59;32;74;974,2;957,1;16,1;3,59
06/08/2017;09:00;0;2;Muy buena / Oso ona;2;59;"Muy buena / ";59;50;76;974,2;873,4;16;2,96
06/08/2017;08:00;0;3;Muy buena / Oso ona;4;58;"Muy buena / ";59;44;78;974,2;598;15,4;4,11
06/08/2017;07:00;0;6;Muy buena / Oso ona;6;58;"Muy buena / ";59;48;80;974;523,9;15,2;5,13
06/08/2017;06:00;0;4;Muy buena / Oso ona;4;59;"Muy buena / ";58;47;83;973,6;70,7;14,8;6,19
06/08/2017;05:00;0;2;Muy buena / Oso ona;2;60;"Muy buena / ";57;46;84;973,4;0,1;14,9;6,67
06/08/2017;04:00;0;2;Muy buena / Oso ona;2;60;"Muy buena / ";57;50;83;973,4;0;15;6,96
06/08/2017;03:00;0;2;Muy buena / Oso ona;2;60;"Muy buena / ";56;52;84;973,5;0;15,1;7,88
06/08/2017;02:00;0;2;Muy buena / Oso ona;2;58;"Muy buena / ";56;;;;;;
06/08/2017;01:00;0;3;Muy buena / Oso ona;3;55;"Muy buena / ";56;52;86;973,7;0;15,3;7,6
05/08/2017;24:00;0;5;Muy buena / Oso ona;5;54;"Muy buena / ";55;49;91;973,8;0;15,3;6,91
05/08/2017;23:00;0;2;Muy buena / Oso ona;2;55;"Muy buena / ";55;47;95;973,8;0;14,8;7,57
05/08/2017;22:00;0;4;Muy buena / Oso ona;4;54;"Muy buena / ";55;49;97;973,8;0;14,7;5,5
05/08/2017;21:00;0;3;Muy buena / Oso ona;3;54;"Muy buena / ";55;52;97;973,7;0;14,5;5,55
05/08/2017;20:00;0;2;Muy buena / Oso ona;2;57;"Muy buena / ";56;23;92;973,3;0,7;15,1;5,98
05/08/2017;19:00;0;2;Muy buena / Oso ona;2;58;"Muy buena / ";56;9;96;972,9;7,4;14,7;5,8
05/08/2017;18:00;0;2;Muy buena / Oso ona;2;59;"Muy buena / ";56;350;95;972,9;28,1;14,8;5,35
05/08/2017;17:00;0;3;Muy buena / Oso ona;3;51;"Muy buena / ";56;7;96;972,8;76,8;14,6;3,67
05/08/2017;16:00;0;4;Muy buena / Oso ona;4;52;"Muy buena / ";56;21;97;972,6;128,7;14,3;4,08
05/08/2017;15:00;0;4;Muy buena / Oso ona;4;;"Sin datos / ";55;16;99;972,8;143,5;13,9;5,02
05/08/2017;14:00;0;3;Muy buena / Oso ona;3;57;"Muy buena / ";55;17;99;973,1;186,3;14,2;5,39
05/08/2017;13:00;0;3;Muy buena / Oso ona;3;59;"Muy buena / ";55;;;;;;
05/08/2017;12:00;1;3;Muy buena / Oso ona;4;58;"Muy buena / ";53;12;99;972,8;188,1;15;9,2
05/08/2017;11:00;0;4;Muy buena / Oso ona;4;58;"Muy buena / ";52;5;99;972,2;163,2;15,3;11,09
05/08/2017;10:00;0;5;Muy buena / Oso ona;5;56;"Muy buena / ";50;11;99;971,7;103,8;16;11,61
05/08/2017;09:00;0;4;Muy buena / Oso ona;4;50;"Muy buena / ";49;25;99;971,3;87;16,5;5,55
05/08/2017;08:00;0;5;Muy buena / Oso ona;5;51;"Muy buena / ";49;29;99;971,1;50,5;16,7;6,27
05/08/2017;07:00;0;5;Muy buena / Oso ona;5;53;"Muy buena / ";48;35;99;970,4;19,6;16,8;7,53
05/08/2017;06:00;0;4;Muy buena / Oso ona;4;51;"Muy buena / ";49;36;99;969,6;4,4;17,6;7,46
05/08/2017;05:00;0;4;Muy buena / Oso ona;4;49;"Muy buena / ";49;34;98;969,1;0;18,2;7,44
05/08/2017;04:00;0;4;Muy buena / Oso ona;4;47;"Muy buena / ";50;;;;;;
05/08/2017;03:00;0;8;Muy buena / Oso ona;8;42;"Muy buena / ";50;35;98;968,9;0;19,2;5,27
05/08/2017;02:00;0;8;Muy buena / Oso ona;8;41;"Muy buena / ";52;25;97;968,8;0;19,2;3,51
05/08/2017;01:00;0;8;Muy buena / Oso ona;8;46;"Muy buena / ";52;;;;;;
04/08/2017;24:00;0;5;Muy buena / Oso ona;5;53;"Muy buena / ";52;;;;;;
04/08/2017;23:00;0;6;Muy buena / Oso ona;6;58;"Muy buena / ";52;20;89;969,4;0;20;3,09
04/08/2017;22:00;0;6;Muy buena / Oso ona;6;54;"Muy buena / ";50;52;77;969,8;0;21,3;2,96
04/08/2017;21:00;1;6;Muy buena / Oso ona;7;50;"Muy buena / ";48;61;77;969,7;0;21,4;3,14
04/08/2017;20:00;1;10;Muy buena / Oso ona;11;49;"Muy buena / ";47;61;76;969,3;12;21,7;3,16
04/08/2017;19:00;2;10;Muy buena / Oso ona;12;54;"Muy buena / ";48;46;75;969;166,4;21,9;3,88
04/08/2017;18:00;4;15;Muy buena / Oso ona;21;48;"Muy buena / ";47;19;75;968,9;403,2;21,8;3,57
04/08/2017;17:00;2;9;Muy buena / Oso ona;11;53;"Muy buena / ";47;27;74;968,9;662,6;21,9;5,29
04/08/2017;16:00;1;6;Muy buena / Oso ona;8;48;"Muy buena / ";48;31;72;968,8;1046,2;22,4;6,48
04/08/2017;15:00;1;6;Muy buena / Oso ona;9;41;"Muy buena / ";49;24;69;968,7;1129,4;23;4,08
04/08/2017;14:00;2;7;Muy buena / Oso ona;10;43;"Muy buena / ";53;12;70;969;1047,6;23,1;4,99
04/08/2017;13:00;2;8;Muy buena / Oso ona;12;43;"Muy buena / ";55;24;69;969,1;1060,6;23,1;4,35
04/08/2017;12:00;2;10;Muy buena / Oso ona;14;50;"Muy buena / ";56;22;68;969,3;1127,9;23,5;3,18
04/08/2017;11:00;6;20;Muy buena / Oso ona;28;51;"Muy buena / ";55;;;;;;
04/08/2017;10:00;7;20;Muy buena / Oso ona;30;48;"Muy buena / ";55;327;70;969,7;907,6;23,3;1,33
04/08/2017;09:00;3;15;Muy buena / Oso ona;19;63;"Buena / ";56;335;69;969,5;801,9;22,3;2,84
04/08/2017;08:00;6;27;Muy buena / Oso ona;37;52;"Muy buena / ";54;316;68;969,1;594,5;21,8;4,38
04/08/2017;07:00;1;8;Muy buena / Oso ona;9;71;"Buena / ";54;291;67;968,5;482,6;21,8;3,97
04/08/2017;06:00;0;10;Muy buena / Oso ona;10;64;"Buena / ";50;276;74;968,2;125,5;20,7;3,02
04/08/2017;05:00;1;13;Muy buena / Oso ona;14;46;"Muy buena / ";47;224;85;967,9;0,4;18,9;1,42
04/08/2017;04:00;1;15;Muy buena / Oso ona;16;44;"Muy buena / ";48;172;91;967,8;0;18,1;5,31
04/08/2017;03:00;1;13;Muy buena / Oso ona;14;51;"Muy buena / ";50;171;92;968,2;0;18,1;4,28
04/08/2017;02:00;1;9;Muy buena / Oso ona;10;53;"Muy buena / ";52;161;92;968,6;0;18;2,52
04/08/2017;01:00;0;4;Muy buena / Oso ona;4;47;"Muy buena / ";55;104;93;968,8;0;17,4;2,1
03/08/2017;24:00;0;7;Muy buena / Oso ona;7;37;"Muy buena / ";60;50;93;969,3;0;17,2;2,73
03/08/2017;23:00;0;7;Muy buena / Oso ona;7;45;"Muy buena / ";58;68;94;969,5;0;17;2,02
03/08/2017;22:00;0;6;Muy buena / Oso ona;6;45;"Muy buena / ";59;;;;;;
03/08/2017;21:00;0;5;Muy buena / Oso ona;5;48;"Muy buena / ";61;43;98;970;0;17,4;1,85
03/08/2017;20:00;0;4;Muy buena / Oso ona;4;60;"Muy buena / ";62;15;98;969,9;3,5;17,5;3,02
03/08/2017;19:00;0;3;Muy buena / Oso ona;3;66;"Buena / ";61;8;97;969,7;39,2;17,8;4,79
03/08/2017;18:00;0;6;Muy buena / Oso ona;6;71;"Buena / ";59;15;96;969,5;72,9;18,6;6,17
03/08/2017;17:00;1;9;Muy buena / Oso ona;10;83;"Buena / ";54;10;93;969,6;188,3;18,6;6,25
03/08/2017;16:00;4;9;Muy buena / Oso ona;15;52;"Muy buena / ";47;7;86;969,6;860,8;19;5,46
03/08/2017;15:00;3;10;Muy buena / Oso ona;14;53;"Muy buena / ";49;14;78;969,6;1143,3;19,8;4,8
03/08/2017;14:00;1;7;Muy buena / Oso ona;9;59;"Muy buena / ";51;16;70;969,6;1056,9;20,7;4,61
03/08/2017;13:00;2;8;Muy buena / Oso ona;12;58;"Muy buena / ";51;16;68;969,9;1064,1;20,8;5,04
03/08/2017;12:00;8;27;Muy buena / Oso ona;40;51;"Muy buena / ";51;6;67;970,1;1140;21,5;2,98
03/08/2017;11:00;9;30;Muy buena / Oso ona;44;53;"Muy buena / ";51;334;77;970,3;1066,4;21,4;1,27
03/08/2017;10:00;18;39;Muy buena / Oso ona;66;31;"Muy buena / ";50;265;76;970,2;898,8;21,4;0,53
03/08/2017;09:00;24;36;Muy buena / Oso ona;72;20;"Muy buena / ";53;;;;;;
03/08/2017;08:00;3;13;Muy buena / Oso ona;18;70;"Buena / ";57;169;76;969,6;591,5;21;1,23
03/08/2017;07:00;1;5;Muy buena / Oso ona;7;67;"Buena / ";55;166;75;969,2;493,1;19,7;3,35
03/08/2017;06:00;1;10;Muy buena / Oso ona;11;59;"Muy buena / ";56;137;78;969,3;94,2;18,7;2,92
03/08/2017;05:00;0;12;Muy buena / Oso ona;12;54;"Muy buena / ";58;137;82;969;0,3;18,3;3,54
03/08/2017;04:00;0;10;Muy buena / Oso ona;10;54;"Muy buena / ";59;140;81;968,7;0;18,3;3,51
03/08/2017;03:00;1;18;Muy buena / Oso ona;19;44;"Muy buena / ";60;78;84;968,9;0;18,2;2,27
03/08/2017;02:00;1;20;Muy buena / Oso ona;20;52;"Muy buena / ";64;41;79;968,9;0;18,8;1,18
03/08/2017;01:00;1;19;Muy buena / Oso ona;20;54;"Muy buena / ";66;16;79;968,9;0;18,9;0,54
02/08/2017;24:00;1;26;Muy buena / Oso ona;27;49;"Muy buena / ";68;298;86;969,1;0;18,6;2,38
02/08/2017;23:00;0;5;Muy buena / Oso ona;5;77;"Buena / ";68;276;82;968,9;0;19,1;2,39
02/08/2017;22:00;0;10;Muy buena / Oso ona;10;70;"Buena / ";66;269;85;969,3;0;18,7;1,33
02/08/2017;21:00;1;16;Muy buena / Oso ona;16;60;"Muy buena / ";65;226;94;969,5;0;17,5;2,2
02/08/2017;20:00;0;13;Muy buena / Oso ona;13;63;"Buena / ";64;;;;;;
02/08/2017;19:00;0;9;Muy buena / Oso ona;9;72;"Buena / ";62;294;93;968,7;69,7;17,6;1,55
02/08/2017;18:00;1;7;Muy buena / Oso ona;9;;"Sin datos / ";58;9;92;968,6;91,9;17,4;2,36
02/08/2017;17:00;1;5;Muy buena / Oso ona;6;69;"Buena / ";55;9;93;968,8;146;17,2;4,54
02/08/2017;16:00;1;5;Muy buena / Oso ona;7;70;"Buena / ";53;14;92;968,5;525,6;17,6;4,81
02/08/2017;15:00;1;3;Muy buena / Oso ona;5;64;"Buena / ";47;11;90;968,5;967,1;17,8;5,58
02/08/2017;14:00;2;9;Muy buena / Oso ona;11;60;"Muy buena / ";46;11;84;968,5;1047,1;18,1;5,53
02/08/2017;13:00;3;12;Muy buena / Oso ona;17;51;"Muy buena / ";44;17;82;968,8;1061,8;18,9;3,13
02/08/2017;12:00;5;16;Muy buena / Oso ona;24;49;"Muy buena / ";44;354;81;969,2;1128,7;19,3;0,97
02/08/2017;11:00;5;13;Muy buena / Oso ona;21;48;"Muy buena / ";44;328;83;969,7;1069,6;18,9;1,88
02/08/2017;10:00;6;16;Muy buena / Oso ona;25;43;"Muy buena / ";44;304;84;969,8;916,7;18,1;2,04
02/08/2017;09:00;8;16;Muy buena / Oso ona;28;36;"Muy buena / ";46;248;86;969,6;853,9;17,3;1,86
02/08/2017;08:00;18;31;Muy buena / Oso ona;58;25;"Muy buena / ";47;276;85;969,5;564;17,1;2,25
02/08/2017;07:00;1;7;Muy buena / Oso ona;9;52;"Muy buena / ";50;;;;;;
02/08/2017;06:00;1;11;Muy buena / Oso ona;11;48;"Muy buena / ";50;285;84;968,6;60,6;17,1;0,98
02/08/2017;05:00;0;8;Muy buena / Oso ona;8;48;"Muy buena / ";50;186;84;968,5;0,3;17,1;3,55
02/08/2017;04:00;0;5;Muy buena / Oso ona;5;49;"Muy buena / ";49;167;85;968,9;0;17;2,78
02/08/2017;03:00;0;2;Muy buena / Oso ona;2;54;"Muy buena / ";48;142;88;969,2;0;16,4;3,03
02/08/2017;02:00;0;2;Muy buena / Oso ona;2;54;"Muy buena / ";47;138;90;969,4;0;16,4;3,81
02/08/2017;01:00;0;5;Muy buena / Oso ona;5;47;"Muy buena / ";;125;87;969,9;0;16,6;2,31
01/08/2017;24:00;0;7;Muy buena / Oso ona;7;47;"Muy buena / ";;118;88;970,3;0;16,6;2,17
01/08/2017;23:00;0;6;Muy buena / Oso ona;6;50;"Muy buena / ";45;110;86;970,4;0;16,9;1,39
01/08/2017;22:00;0;6;Muy buena / Oso ona;6;48;"Muy buena / ";45;131;87;970,5;0;16,8;1,45
01/08/2017;21:00;0;6;Muy buena / Oso ona;6;44;"Muy buena / ";43;96;89;970,3;0;16,8;2,29
01/08/2017;20:00;0;6;Muy buena / Oso ona;6;41;"Muy buena / ";43;108;89;969,4;4,7;16,9;2,07
01/08/2017;19:00;0;5;Muy buena / Oso ona;5;;"Sin datos / ";42;64;90;968,6;25;16,9;3,26
01/08/2017;18:00;1;4;Muy buena / Oso ona;6;42;"Muy buena / ";40;;;;;;
01/08/2017;17:00;1;6;Muy buena / Oso ona;8;44;"Muy buena / ";40;41;91;967,8;191,9;17,4;6,57
01/08/2017;16:00;1;5;Muy buena / Oso ona;7;45;"Muy buena / ";38;36;94;967,8;168,1;17,3;4,84
01/08/2017;15:00;1;5;Muy buena / Oso ona;7;45;"Muy buena / ";36;28;96;967,8;343,9;17;5,29
01/08/2017;14:00;1;4;Muy buena / Oso ona;7;41;"Muy buena / ";35;33;93;967,9;644,9;17,1;4,07
01/08/2017;13:00;1;7;Muy buena / Oso ona;9;40;"Muy buena / ";34;36;94;967,6;472,6;17;2,91
01/08/2017;12:00;3;10;Muy buena / Oso ona;15;35;"Muy buena / ";35;36;94;967,7;497,4;16,9;3,05
01/08/2017;11:00;3;13;Muy buena / Oso ona;17;33;"Muy buena / ";36;56;92;967,6;184,5;16,7;0,97
01/08/2017;10:00;2;10;Muy buena / Oso ona;13;36;"Muy buena / ";38;39;92;967,2;167,6;16,4;0,59
01/08/2017;09:00;2;13;Muy buena / Oso ona;15;30;"Muy buena / ";39;68;95;966,9;89,9;15,5;2,38
01/08/2017;08:00;2;13;Muy buena / Oso ona;15;28;"Muy buena / ";43;32;97;966,5;30,5;15,7;1,07
01/08/2017;07:00;0;5;Muy buena / Oso ona;5;37;"Muy buena / ";45;55;95;965,8;23,2;15,5;3,37
01/08/2017;06:00;0;2;Muy buena / Oso ona;2;46;"Muy buena / ";47;47;96;965,4;2,9;15,7;3,16
01/08/2017;05:00;0;3;Muy buena / Oso ona;3;49;"Muy buena / ";46;55;94;965;0;15,6;0,92
01/08/2017;04:00;0;9;Muy buena / Oso ona;9;38;"Muy buena / ";46;21;97;964,8;0;15,7;1,79
01/08/2017;03:00;0;5;Muy buena / Oso ona;5;45;"Muy buena / ";47;53;96;965;0;15,8;1,14
01/08/2017;02:00;0;4;Muy buena / Oso ona;4;47;"Muy buena / ";47;53;94;964,7;0;15,9;2,03
01/08/2017;01:00;0;3;Muy buena / Oso ona;3;54;"Muy buena / ";46;49;91;965;0;16,1;2
31/07/2017;24:00;0;2;Muy buena / Oso ona;2;49;"Muy buena / ";45;55;92;965,1;0;16,1;3,16
31/07/2017;23:00;0;4;Muy buena / Oso ona;4;47;"Muy buena / ";45;71;91;965,3;0;16,1;3,35
31/07/2017;22:00;0;6;Muy buena / Oso ona;6;45;"Muy buena / ";45;68;92;965,5;0;16,2;3,97
31/07/2017;21:00;0;8;Muy buena / Oso ona;8;44;"Muy buena / ";45;41;94;965,2;0;16,1;4,59
31/07/2017;20:00;0;6;Muy buena / Oso ona;6;49;"Muy buena / ";46;38;92;964,7;1,5;16,2;4,73
31/07/2017;19:00;0;4;Muy buena / Oso ona;4;44;"Muy buena / ";45;29;94;964,1;12,2;16;4,04
31/07/2017;18:00;0;3;Muy buena / Oso ona;3;41;"Muy buena / ";45;52;93;963,8;45;15,7;2,98
31/07/2017;17:00;0;2;Muy buena / Oso ona;2;42;"Muy buena / ";46;43;96;963,8;60,2;15,5;3,56
31/07/2017;16:00;0;3;Muy buena / Oso ona;3;45;"Muy buena / ";45;;;;;;
31/07/2017;15:00;0;2;Muy buena / Oso ona;3;46;"Muy buena / ";45;39;99;963,7;158,5;15,2;6,07
31/07/2017;14:00;0;3;Muy buena / Oso ona;3;49;"Muy buena / ";43;39;98;963,4;150,4;15,6;5,21
31/07/2017;13:00;0;3;Muy buena / Oso ona;3;49;"Muy buena / ";42;355;98;963,6;209;15,7;3,77
31/07/2017;12:00;0;2;Muy buena / Oso ona;2;47;"Muy buena / ";40;8;98;963,7;211,2;15,7;2,13
31/07/2017;11:00;0;3;Muy buena / Oso ona;4;44;"Muy buena / ";39;26;98;963,6;160,4;15,4;3,53
31/07/2017;10:00;0;3;Muy buena / Oso ona;3;45;"Muy buena / ";39;24;98;963,7;132;15,3;2,58
31/07/2017;09:00;1;5;Muy buena / Oso ona;6;38;"Muy buena / ";39;32;98;963,8;73;15;2,33
31/07/2017;08:00;1;6;Muy buena / Oso ona;6;38;"Muy buena / ";39;94;97;963,7;49,7;14,9;2,76
31/07/2017;07:00;1;8;Muy buena / Oso ona;8;33;"Muy buena / ";39;36;99;963,9;28,5;15,1;4,47
31/07/2017;06:00;0;6;Muy buena / Oso ona;6;38;"Muy buena / ";42;14;97;963,9;5,2;15,3;4,92
31/07/2017;05:00;0;7;Muy buena / Oso ona;7;37;"Muy buena / ";44;14;96;963,8;0,1;15,6;4,47
31/07/2017;04:00;0;10;Muy buena / Oso ona;10;38;"Muy buena / ";47;19;94;964,1;0;15,7;3,55
31/07/2017;03:00;0;5;Muy buena / Oso ona;5;45;"Muy buena / ";49;;;;;;
31/07/2017;02:00;0;7;Muy buena / Oso ona;7;41;"Muy buena / ";50;30;90;965,3;0;15,8;3,26
31/07/2017;01:00;0;8;Muy buena / Oso ona;8;41;"Muy buena / ";51;6;91;965,7;0;15,9;3,26
30/07/2017;24:00;0;7;Muy buena / Oso ona;7;44;"Muy buena / ";52;357;92;966,1;0;16;2,37
30/07/2017;23:00;0;7;Muy buena / Oso ona;7;51;"Muy buena / ";52;355;90;966,5;0;16,2;1,16
30/07/2017;22:00;0;2;Muy buena / Oso ona;2;56;"Muy buena / ";51;348;91;966,9;0;16,2;1,41
30/07/2017;21:00;0;2;Muy buena / Oso ona;2;56;"Muy buena / ";50;1;91;966,7;0;16,1;1,43
30/07/2017;20:00;0;4;Muy buena / Oso ona;4;52;"Muy buena / ";48;358;90;966,4;2,8;16,1;2,4
30/07/2017;19:00;0;5;Muy buena / Oso ona;5;51;"Muy buena / ";47;355;88;966,2;21,9;16,1;2,36
30/07/2017;18:00;0;2;Muy buena / Oso ona;2;49;"Muy buena / ";45;8;87;966;46,5;16,1;2,76
30/07/2017;17:00;0;2;Muy buena / Oso ona;2;52;"Muy buena / ";43;349;91;966,2;51,6;15,8;5,75
30/07/2017;16:00;0;3;Muy buena / Oso ona;3;48;"Muy buena / ";39;347;87;966,2;94,8;16,4;4,82
30/07/2017;15:00;0;3;Muy buena / Oso ona;3;47;"Muy buena / ";35;1;89;966;132,1;16,2;4,77
