Date;Hour;D.vien (grados);H (%);P (mBar);R (w/m2);Tº (ºC);V.vien (m/s)
10/09/2017;01:00;14;96;998,8;0,2;13,2;0,23
09/09/2017;24:00;237;96;998,7;0,2;13,3;0,64
09/09/2017;23:00;7;95;998,4;0,1;13,3;0,83
09/09/2017;22:00;241;95;998,3;0,2;13,7;0,99
09/09/2017;21:00;231;95;998;0;13,8;0,91
09/09/2017;20:00;252;94;997,3;0,1;13,7;1,5
09/09/2017;19:00;252;94;997;1;13,5;1,89
09/09/2017;18:00;253;91;997,2;14,9;14;2,59
09/09/2017;17:00;262;88;996,7;119,9;15,7;1,44
09/09/2017;16:00;256;82;996,5;200,2;16;2,96
09/09/2017;15:00;241;74;996,7;380,6;17,7;3,1
09/09/2017;14:00;254;77;996,9;173,8;16,2;3,36
09/09/2017;13:00;258;65;996,8;711,5;19,4;3,89
09/09/2017;12:00;262;71;996,8;573,2;18,4;3,18
09/09/2017;11:00;258;77;996,7;360,2;18,1;2,77
09/09/2017;10:00;255;83;996,8;247,9;17,4;2,14
09/09/2017;09:00;249;90;996,7;146,1;16,3;1,7
09/09/2017;08:00;244;93;996,6;47,3;15,3;1,53
09/09/2017;07:00;224;95;996,4;6,5;15,3;0,96
09/09/2017;06:00;240;95;996;0,7;15,4;0,83
09/09/2017;05:00;259;95;995,8;0,2;15,2;1,85
09/09/2017;04:00;259;94;995,8;3,1;16;3,51
09/09/2017;03:00;254;85;995,3;0;17,9;3,44
09/09/2017;02:00;263;86;995,5;0;17,6;2,1
09/09/2017;01:00;226;84;995,8;0;17,4;0,26
08/09/2017;24:00;90;84;996,5;0;17,3;0,31
08/09/2017;23:00;123;86;997,3;0;17;0,13
08/09/2017;22:00;78;86;998;0;16,9;1,28
08/09/2017;21:00;253;86;998,5;0;16,9;0,42
08/09/2017;20:00;263;85;998,3;0;16,8;0,34
08/09/2017;19:00;277;80;998,2;0;17,7;0,56
08/09/2017;18:00;302;70;998,3;88,5;20,5;1,23
08/09/2017;17:00;272;63;998,4;234,4;22,2;1,52
08/09/2017;16:00;281;60;998,8;410,8;23,1;1,45
08/09/2017;15:00;303;58;999,7;555,2;23,6;1,75
08/09/2017;14:00;278;54;999,7;654,2;24,6;1,8
08/09/2017;13:00;335;53;1000,1;722,9;23,9;0,8
08/09/2017;12:00;213;55;1001,2;715,1;22,8;1,11
08/09/2017;11:00;78;57;1002,3;643,9;21,7;0,3
08/09/2017;10:00;142;66;1003,1;554,3;20,1;0,49
08/09/2017;09:00;71;80;1003,7;355,8;16,4;1,38
08/09/2017;08:00;44;90;1003,6;222;13,9;1,72
08/09/2017;07:00;16;95;1003,6;54,6;12,1;1,56
08/09/2017;06:00;6;96;1003,4;0,9;12,2;0,4
08/09/2017;05:00;28;96;1003,6;0;12,7;0,79
08/09/2017;04:00;9;92;1004,1;0;13,4;0,76
08/09/2017;03:00;41;92;1004,7;0;13,9;1,26
08/09/2017;02:00;26;90;1005,4;0;14,5;0,81
08/09/2017;01:00;11;89;1005,9;0;14,8;0,63
07/09/2017;24:00;4;88;1006,3;0;15;0,45
07/09/2017;23:00;31;88;1006,6;0;15,2;1,24
07/09/2017;22:00;19;86;1007,1;0;15,4;0,54
07/09/2017;21:00;14;84;1007,2;0;15,7;0,26
07/09/2017;20:00;313;81;1007,3;0;16,2;0,31
07/09/2017;19:00;339;74;1006,9;0,5;17,7;1,24
07/09/2017;18:00;4;72;1006,8;62,4;19,1;1,64
07/09/2017;17:00;352;68;1007;195;20,6;1,17
07/09/2017;16:00;331;63;1007,3;354,7;21,6;1,31
07/09/2017;15:00;338;62;1007,7;547,7;22;1,56
07/09/2017;14:00;337;67;1008,1;433,8;20,7;1,25
07/09/2017;13:00;308;72;1008,6;247;19,2;1,31
07/09/2017;12:00;290;73;1009;175,5;19;1,27
07/09/2017;11:00;258;68;1009,2;364,8;20;2,3
07/09/2017;10:00;260;75;1009,6;393,1;19,4;1,92
07/09/2017;09:00;274;84;1009,6;229,9;18,2;0,69
07/09/2017;08:00;31;94;1009,4;116;16,3;0,51
07/09/2017;07:00;24;97;1009,3;29,2;15,1;0,7
07/09/2017;06:00;28;97;1009,1;0;15;0,6
07/09/2017;05:00;4;97;1008,9;0;14,9;0,43
07/09/2017;04:00;14;97;1009,2;0;14,6;0,54
07/09/2017;03:00;8;97;1009,7;0;14,6;0,78
07/09/2017;02:00;331;96;1010,2;0;15,5;0,3
07/09/2017;01:00;298;96;1010,8;0;15,6;0,45
06/09/2017;24:00;288;96;1011,4;0;15,6;0,62
06/09/2017;23:00;334;94;1011,8;0;15,7;0,36
06/09/2017;22:00;349;93;1012,1;0;16,3;0,32
06/09/2017;21:00;308;86;1012,2;0;17,4;0,78
06/09/2017;20:00;306;86;1011,8;0;17,6;1,14
06/09/2017;19:00;308;86;1011,4;1,1;18;0,99
06/09/2017;18:00;274;85;1011,6;35,3;18,5;1,19
06/09/2017;17:00;278;83;1011,8;69,8;19,1;1,02
06/09/2017;16:00;307;82;1012,1;106;19,6;1,08
06/09/2017;15:00;293;86;1012,4;134,9;19,8;0,76
06/09/2017;14:00;168;87;1012,9;175,7;19,6;0,24
06/09/2017;13:00;279;89;1013,3;186,6;19,6;0,19
06/09/2017;12:00;357;87;1013,5;195,1;19,8;0,43
06/09/2017;11:00;303;93;1013,6;136,1;19,1;1,23
06/09/2017;10:00;269;94;1013,4;164,5;19,7;1,37
06/09/2017;09:00;271;97;1013,1;80,9;18,9;1,15
06/09/2017;08:00;261;98;1012,7;50,6;18,5;1,5
06/09/2017;07:00;274;98;1012,4;9,6;18,5;1,08
06/09/2017;06:00;281;98;1012;0,3;18,2;0,69
06/09/2017;05:00;271;98;1011,7;0;18,1;0,87
06/09/2017;04:00;256;98;1011,7;0,2;18,2;0,72
06/09/2017;03:00;281;97;1011,7;0;18;0,43
06/09/2017;02:00;36;97;1011,9;0;17,9;0,54
06/09/2017;01:00;271;96;1011,9;0;18,2;0,47
05/09/2017;24:00;197;95;1012;0;18,3;0,11
05/09/2017;23:00;289;94;1012,2;0;18,7;0,57
05/09/2017;22:00;283;92;1012;0;19,1;0,8
05/09/2017;21:00;276;90;1011,9;0;19,5;0,61
05/09/2017;20:00;343;86;1011,4;0;20,1;0,35
05/09/2017;19:00;327;83;1010,9;0,3;21,1;1,1
05/09/2017;18:00;325;79;1010,5;19,4;22,1;1,09
05/09/2017;17:00;326;74;1010;66,3;23,1;1,17
05/09/2017;16:00;268;72;1009,7;204,6;24;1,75
05/09/2017;15:00;273;70;1009,5;295,1;24,5;1,8
05/09/2017;14:00;299;67;1009,2;411,2;25,6;1,63
05/09/2017;13:00;276;66;1008,5;648,3;26,8;2,2
05/09/2017;12:00;277;63;1008,3;781,4;27;2,06
05/09/2017;11:00;278;64;1008,2;702,9;26,5;1,02
05/09/2017;10:00;267;69;1007,6;594,1;24,8;0,54
05/09/2017;09:00;182;81;1007,4;443,6;22;0,45
05/09/2017;08:00;44;98;1007,3;227,4;17,9;1,27
05/09/2017;07:00;73;99;1007,3;22,5;15,5;3,06
05/09/2017;06:00;57;99;1007,5;0,6;14,9;1,94
05/09/2017;05:00;30;98;1007,4;0;14,9;0,73
05/09/2017;04:00;13;98;1007,2;0;15;0,75
05/09/2017;03:00;47;98;1007,1;0;15;0,78
05/09/2017;02:00;1;97;1007;0;15,4;0,61
05/09/2017;01:00;9;97;1006,7;0;15,7;0,31
04/09/2017;24:00;330;96;1006,5;0;15,9;0,29
04/09/2017;23:00;306;94;1006,5;0;16,3;0,5
04/09/2017;22:00;329;92;1006,6;0;16,9;0,3
04/09/2017;21:00;349;91;1006,5;0;17,3;0,32
04/09/2017;20:00;283;88;1006,3;0;18,4;0,4
04/09/2017;19:00;290;81;1005,8;4,4;20,3;1,38
04/09/2017;18:00;262;73;1005,6;129,5;22,6;1,67
04/09/2017;17:00;286;73;1005,4;221,4;22,6;1,51
04/09/2017;16:00;319;73;1005,1;188,6;23;1,16
04/09/2017;15:00;276;74;1004,9;300,3;23,2;1,69
04/09/2017;14:00;289;74;1004,7;507,5;23,5;1,84
04/09/2017;13:00;282;76;1004,5;461;23,6;1,63
04/09/2017;12:00;265;85;1004,4;415,5;21,9;1,29
04/09/2017;11:00;269;91;1004,1;222,3;20,2;1,27
04/09/2017;10:00;327;82;1003,2;184;21,7;0,42
04/09/2017;09:00;74;84;1002,5;229,5;21,2;0,81
04/09/2017;08:00;60;94;1001,9;164,9;19,1;0,75
04/09/2017;07:00;32;97;1001,3;26,7;18;0,41
04/09/2017;06:00;64;97;1000,8;0;17,7;0,99
04/09/2017;05:00;39;97;1000,3;0;17,7;1,14
04/09/2017;04:00;45;97;1000,1;0;17,9;1,22
04/09/2017;03:00;2;97;1000;0;17,8;0,63
04/09/2017;02:00;45;97;1000;0;17,6;0,87
04/09/2017;01:00;52;97;999,6;0;17,3;0,81
03/09/2017;24:00;13;97;999,5;0;17,1;0,26
03/09/2017;23:00;314;96;999,7;0;17,2;0,33
03/09/2017;22:00;271;94;999,7;0;17,8;0,57
03/09/2017;21:00;304;90;999,4;0;19,1;0,35
03/09/2017;20:00;266;78;999,7;0;21,2;0,53
03/09/2017;19:00;270;74;999,6;0;22,7;0,92
03/09/2017;18:00;11;67;999,1;57,4;24,4;0,67
03/09/2017;17:00;4;59;999,2;139,5;25,8;0,81
03/09/2017;16:00;340;57;999,6;287,4;26,4;0,54
03/09/2017;15:00;341;53;999,8;383,5;26,9;0,76
03/09/2017;14:00;305;46;1000,2;711,2;27,8;1,08
03/09/2017;13:00;292;45;1000,8;813,4;27,5;1,18
03/09/2017;12:00;56;45;1001,3;770,5;26;0,08
03/09/2017;11:00;75;59;1001,9;542,6;22,9;1,31
03/09/2017;10:00;72;72;1002,3;479,2;19,7;1,45
03/09/2017;09:00;71;83;1002,7;233,9;16,7;2,04
03/09/2017;08:00;66;90;1002,8;61,1;14,9;1,73
03/09/2017;07:00;67;90;1002,9;8,6;14,5;1,22
03/09/2017;06:00;55;91;1002,5;0;14,1;1,37
03/09/2017;05:00;52;93;1002,8;0;13,7;1,36
03/09/2017;04:00;58;94;1003,4;0;13,6;1,54
03/09/2017;03:00;46;94;1003,8;0;13,6;1,12
03/09/2017;02:00;62;94;1004,5;0;13,8;1,38
03/09/2017;01:00;58;94;1005,1;0;13,9;1,47
02/09/2017;24:00;54;93;1005,8;0;14,4;1,38
02/09/2017;23:00;65;89;1006,5;0;15,1;0,97
02/09/2017;22:00;78;86;1006,9;0;15,7;1,48
02/09/2017;21:00;56;83;1007,1;0;16,4;1,86
02/09/2017;20:00;61;80;1007,1;0;17;2,29
02/09/2017;19:00;60;75;1006,9;5,6;18,2;2,31
02/09/2017;18:00;57;70;1007,2;91,7;19,9;2,79
02/09/2017;17:00;47;65;1007,7;316;21,2;3,11
02/09/2017;16:00;52;62;1008,3;556,7;22,2;3,07
02/09/2017;15:00;60;57;1009;698,3;23,4;2,66
02/09/2017;14:00;56;53;1009,4;815,1;23,7;1,24
02/09/2017;13:00;18;52;1010,2;827,9;23,3;0,46
02/09/2017;12:00;242;57;1011;777,7;22,7;1,23
02/09/2017;11:00;288;62;1011,5;536,4;21,6;0,91
02/09/2017;10:00;274;74;1011,5;607,2;20,3;0,91
02/09/2017;09:00;58;97;1011,6;409;17;0,3
02/09/2017;08:00;62;99;1011,6;128,8;14,4;1,28
02/09/2017;07:00;43;99;1011,4;42,3;13,9;0,71
02/09/2017;06:00;29;99;1011,2;2,1;13,3;0,59
02/09/2017;05:00;29;98;1010,9;0,2;12,7;0,64
02/09/2017;04:00;326;98;1010,9;0,2;13;0,23
02/09/2017;03:00;40;98;1011,1;0,6;13,1;0,51
02/09/2017;02:00;17;98;1011,2;0,3;13,5;0,5
02/09/2017;01:00;326;98;1011,3;0,2;13,7;0,05
01/09/2017;24:00;266;98;1011,5;0,5;14;0,24
01/09/2017;23:00;314;97;1011,4;0;14,3;0,42
01/09/2017;22:00;11;97;1011,4;0;14,6;0,54
01/09/2017;21:00;337;96;1010,9;0;14,7;0,35
01/09/2017;20:00;20;95;1010,4;0;15,5;0,43
01/09/2017;19:00;315;90;1010,1;1,3;16,4;0,86
01/09/2017;18:00;271;79;1009,7;48,2;18,1;1,02
01/09/2017;17:00;265;74;1009,6;110,1;18,5;2,01
01/09/2017;16:00;258;68;1009,3;191,6;19,9;3,49
01/09/2017;15:00;259;66;1009,2;410,2;20,5;3,11
01/09/2017;14:00;263;66;1009,4;416;20,7;2,92
01/09/2017;13:00;273;59;1009,2;528,3;22;2,45
01/09/2017;12:00;266;57;1009,1;789,9;22,2;2,88
01/09/2017;11:00;263;60;1009,3;698,4;21,2;2,57
01/09/2017;10:00;252;68;1009,4;579,4;20,3;1,65
01/09/2017;09:00;56;85;1009,2;373;17,2;1,22
01/09/2017;08:00;49;92;1009;112,1;15;1,05
01/09/2017;07:00;50;95;1008,7;23,9;13,9;0,52
01/09/2017;06:00;50;96;1008,4;0,3;13,7;0,84
01/09/2017;05:00;49;95;1008,2;0;13,7;0,91
01/09/2017;04:00;47;95;1008,4;0;13,8;0,62
01/09/2017;03:00;41;94;1008,5;0;13,9;0,52
01/09/2017;02:00;59;94;1008,7;0;13,9;1,17
01/09/2017;01:00;72;94;1008,9;0;13,9;1,39
31/08/2017;24:00;46;94;1009;0;14,1;1,19
31/08/2017;23:00;46;92;1009,1;0;14,5;0,98
31/08/2017;22:00;48;92;1009;0;14,5;1,28
31/08/2017;21:00;54;90;1008,9;0;15,1;1,04
31/08/2017;20:00;44;89;1008,5;0;15,3;0,31
31/08/2017;19:00;328;76;1008,2;6,6;17,9;0,92
31/08/2017;18:00;17;70;1008;101,6;19,7;1,33
31/08/2017;17:00;32;70;1007,8;267,1;20,5;2,09
31/08/2017;16:00;46;69;1007,6;237,5;20,5;2,14
31/08/2017;15:00;351;65;1007,6;603,1;22,1;0,81
31/08/2017;14:00;42;74;1007,9;286,9;19,9;0,83
31/08/2017;13:00;267;74;1008,3;527,9;20,7;2,09
31/08/2017;12:00;257;84;1008,5;280,2;18,3;1,92
31/08/2017;11:00;68;73;1008,5;433;20,2;0,29
31/08/2017;10:00;150;78;1008,6;402,5;18,8;0,27
31/08/2017;09:00;3;87;1008,5;168,3;17,6;0,82
31/08/2017;08:00;296;90;1007,9;173;17,4;0,61
31/08/2017;07:00;255;97;1007,6;36,9;15,6;0,5
31/08/2017;06:00;260;97;1007,2;0,6;15,3;0,51
31/08/2017;05:00;254;97;1006,9;0;15,6;0,23
31/08/2017;04:00;342;97;1006,6;0;15,5;0,16
31/08/2017;03:00;265;97;1006,7;0;15,5;0,56
31/08/2017;02:00;267;97;1006,5;0;15,8;0,81
31/08/2017;01:00;358;97;1006,3;0;15,9;0,42
30/08/2017;24:00;280;97;1006,3;0;15,8;0,34
30/08/2017;23:00;260;97;1006;0;15,8;1,45
30/08/2017;22:00;241;95;1005,8;0;16;0,99
30/08/2017;21:00;242;95;1005,6;0;16,4;1,63
30/08/2017;20:00;257;96;1004,5;0;17;1,81
30/08/2017;19:00;258;97;1003,1;1;17,7;2,2
30/08/2017;18:00;261;95;1002,4;4,3;18,3;1,07
30/08/2017;17:00;266;95;1001,4;11,9;19;2,11
30/08/2017;16:00;253;95;1000,3;54,4;19,9;1,29
30/08/2017;15:00;326;88;999,8;37,8;21,4;1,78
30/08/2017;14:00;354;79;999,2;132;24,3;1,87
30/08/2017;13:00;263;63;998,8;598,7;28;2,15
30/08/2017;12:00;270;60;999,2;513,5;27,8;1,34
30/08/2017;11:00;231;62;999,4;632;27,4;0,89
30/08/2017;10:00;234;68;999,7;473,9;25,6;1,28
30/08/2017;09:00;37;76;1000;416,5;24,2;0,18
30/08/2017;08:00;66;87;1000,3;195;21,5;0,77
30/08/2017;07:00;41;95;999,8;82,1;19,5;0,88
30/08/2017;06:00;43;97;1000;0,5;18,6;1,45
30/08/2017;05:00;65;96;999,9;0;18,9;0,67
30/08/2017;04:00;356;95;1000,2;0;19,1;0,37
30/08/2017;03:00;43;94;1000,3;0;19,2;1,02
30/08/2017;02:00;48;93;1000,5;0;19,3;1,01
30/08/2017;01:00;45;92;1000,7;0;19,4;0,46
29/08/2017;24:00;60;93;1000,8;0;19,3;0,77
29/08/2017;23:00;292;94;1000,9;0;19;0,41
29/08/2017;22:00;327;94;1000,4;0;19,2;0,47
29/08/2017;21:00;279;91;1000,5;0;20,1;1,05
29/08/2017;20:00;257;87;1000,7;0;20,6;1,67
29/08/2017;19:00;256;84;1000;2,1;21,4;2,09
29/08/2017;18:00;258;78;999,4;51,7;22,8;1,84
29/08/2017;17:00;264;75;998,8;176,8;24,9;2,14
29/08/2017;16:00;258;67;998,3;476,2;27,4;2,71
29/08/2017;15:00;339;55;998,4;612;30;1,37
29/08/2017;14:00;337;51;998,7;710,8;29,6;0,78
29/08/2017;13:00;5;56;999,5;745,3;28,6;0,36
29/08/2017;12:00;264;63;1000,2;697,4;26,8;0,37
29/08/2017;11:00;286;75;1000,7;552,4;23,9;1,06
29/08/2017;10:00;55;84;1000,9;238;21,7;0,91
29/08/2017;09:00;58;98;1000,7;350,7;19,5;1,37
29/08/2017;08:00;68;99;1000,7;100,1;17,5;1,86
29/08/2017;07:00;46;99;1000,5;44,1;17,1;1,11
29/08/2017;06:00;26;99;1000,1;2,2;16,8;1,06
29/08/2017;05:00;301;98;999,8;0;17;0,32
29/08/2017;04:00;299;97;999,7;0;17,5;0,68
29/08/2017;03:00;357;97;999,8;0;17,8;0,49
29/08/2017;02:00;29;96;1000,4;0;17,9;0,49
29/08/2017;01:00;68;95;1000,7;0;18,2;1,7
28/08/2017;24:00;55;95;1001,5;0,1;18,5;1,92
28/08/2017;23:00;31;86;1001,3;0;19,6;0,86
28/08/2017;22:00;294;79;1001;0;20,6;0,47
28/08/2017;21:00;236;83;1000,7;0;20,4;1,94
28/08/2017;20:00;39;89;1000,8;0;19,9;1,29
28/08/2017;19:00;65;79;1000,8;0,7;21,3;0,45
28/08/2017;18:00;222;71;1001,2;17,8;22,4;2,11
28/08/2017;17:00;225;75;1000,8;23,1;22;2,67
28/08/2017;16:00;214;71;1000,5;19,6;24,3;4,29
28/08/2017;15:00;343;58;999,7;219,3;27,5;0,34
28/08/2017;14:00;204;63;1000,7;261,7;26,1;1,65
28/08/2017;13:00;225;65;1000,7;224,4;25,9;1,79
28/08/2017;12:00;76;70;1000,3;343,6;24,3;2,21
28/08/2017;11:00;80;77;1000,9;118,9;22,6;2,9
28/08/2017;10:00;7;82;1001,4;125,9;21,5;1,01
28/08/2017;09:00;277;85;1002;54,9;20,7;0,73
28/08/2017;08:00;336;87;1000,9;94,1;20;0,47
28/08/2017;07:00;60;85;1000,3;52,9;19,8;0,81
28/08/2017;06:00;64;90;999,9;1,5;18,7;1,92
28/08/2017;05:00;35;92;1000,6;0;18;0,64
28/08/2017;04:00;46;93;1000,3;0;17,9;0,97
28/08/2017;03:00;62;91;1000,4;0;18,3;0,58
28/08/2017;02:00;206;84;1000,6;0;19,8;0,15
28/08/2017;01:00;263;71;1000,5;0;22,6;0,9
27/08/2017;24:00;327;68;999,8;0;23,2;0,6
27/08/2017;23:00;150;68;999,4;0;23,6;0,31
27/08/2017;22:00;97;66;999,6;0;24;1,03
27/08/2017;21:00;227;73;999,9;0;22,6;0,54
27/08/2017;20:00;195;74;999,7;0;22,7;1
27/08/2017;19:00;182;75;999,6;9,7;22,9;1,23
27/08/2017;18:00;95;78;1000;126,1;22,7;1,27
27/08/2017;17:00;85;86;1000,7;174,3;22,1;1,86
27/08/2017;16:00;85;92;1001,3;166,4;20,4;1,75
27/08/2017;15:00;63;87;1003,9;9,7;20,4;0,67
27/08/2017;14:00;233;83;1003,5;60,1;22,8;2,01
27/08/2017;13:00;215;80;1002,8;60;24,7;0,36
27/08/2017;12:00;91;78;1001,9;256,6;25,8;0,72
27/08/2017;11:00;81;86;1001,7;194,7;23,9;0,73
27/08/2017;10:00;3;86;1001,9;116,1;23,1;0,31
27/08/2017;09:00;253;85;1001,1;100,9;22,6;0,86
27/08/2017;08:00;259;96;999,8;81,3;20,5;0,3
27/08/2017;07:00;347;97;999,5;43,3;19,6;0,21
27/08/2017;06:00;245;98;998,9;4,1;19;0,19
27/08/2017;05:00;354;99;999,1;0,4;18,8;0,55
27/08/2017;04:00;49;99;999,2;0;18,7;0,77
27/08/2017;03:00;63;98;999,6;0;18,6;0,75
27/08/2017;02:00;269;98;1000,1;0;19;0,39
27/08/2017;01:00;259;98;1000,2;0;18,8;1,25
26/08/2017;24:00;267;97;1000,2;0;18,8;0,34
26/08/2017;23:00;336;95;1000,5;0;19,7;0,3
26/08/2017;22:00;348;94;1000,6;0;20,1;0,26
26/08/2017;21:00;259;94;1000,3;0;20,1;0,47
26/08/2017;20:00;337;92;1000,1;0;20,6;0,36
26/08/2017;19:00;72;88;999,8;0,7;21,7;0,64
26/08/2017;18:00;260;81;1000,1;113,6;23,6;1,72
26/08/2017;17:00;259;78;1000,2;240,1;24,5;2,39
26/08/2017;16:00;257;76;1000,3;360,7;24,5;2,75
26/08/2017;15:00;257;76;999,9;214,6;24,9;2,68
26/08/2017;14:00;277;66;999,2;292,5;28,5;1,54
26/08/2017;13:00;57;55;998,6;457,2;31,5;1,22
26/08/2017;12:00;75;58;999,1;657,4;30,6;1,03
26/08/2017;11:00;54;64;999,7;582,6;27,9;0,54
26/08/2017;10:00;238;72;999,8;459,1;25,7;0,79
26/08/2017;09:00;143;77;1000;367,2;24,3;0,24
26/08/2017;08:00;62;85;1000,1;279,8;22,5;1,06
26/08/2017;07:00;56;94;1000,2;66,4;20,3;0,73
26/08/2017;06:00;51;96;1000,2;1,6;19,7;0,54
26/08/2017;05:00;64;96;1000,2;0;19,7;0,43
26/08/2017;04:00;349;97;1000,4;0,2;19,6;0,25
26/08/2017;03:00;284;97;1001,1;0,3;19,4;0,52
26/08/2017;02:00;306;97;1001,5;0,1;19,3;0,32
26/08/2017;01:00;44;93;1001,9;0;19,6;0,54
25/08/2017;24:00;13;91;1002,2;0;19,9;0,49
25/08/2017;23:00;303;90;1002,6;0;20;0,42
25/08/2017;22:00;279;89;1002,8;0;20,3;0,56
25/08/2017;21:00;9;87;1002,7;0;20,6;0,49
25/08/2017;20:00;16;87;1002,2;0;20,8;0,51
25/08/2017;19:00;356;86;1001,7;0;21,3;0,33
25/08/2017;18:00;22;84;1001,5;14;21,6;0,55
25/08/2017;17:00;24;83;1001,4;50,2;22,1;1,31
25/08/2017;16:00;12;79;1001,1;114,1;23,3;1,6
25/08/2017;15:00;350;75;1000,9;244,2;24,9;1,67
25/08/2017;14:00;344;73;1000,9;330,1;25,9;1,55
25/08/2017;13:00;15;69;1000,8;615,8;27,2;2,09
25/08/2017;12:00;319;64;1001;696;28,1;0,91
25/08/2017;11:00;73;67;1001,4;711,5;26,6;1,44
25/08/2017;10:00;85;71;1001,6;515,3;25;0,84
25/08/2017;09:00;90;77;1001,9;409,4;23,7;0,78
25/08/2017;08:00;59;89;1002;184,3;21,3;0,58
25/08/2017;07:00;33;95;1002;34,3;19,1;0,23
25/08/2017;06:00;338;95;1001,9;1;19,1;0,37
25/08/2017;05:00;322;95;1001,9;0;19,2;0,49
25/08/2017;04:00;323;94;1002,3;0;19,5;0,5
25/08/2017;03:00;300;94;1002,6;0;19,5;0,53
25/08/2017;02:00;272;94;1003,1;0;19,6;0,61
25/08/2017;01:00;264;94;1003,4;0;19,7;0,76
24/08/2017;24:00;264;93;1003,8;0;19,8;0,8
24/08/2017;23:00;264;90;1004;0;20,1;0,8
24/08/2017;22:00;280;91;1004,1;0;20,2;0,68
24/08/2017;21:00;294;92;1003,9;0;20,3;0,76
24/08/2017;20:00;257;88;1003,4;0;20,7;1,51
24/08/2017;19:00;273;86;1002,9;0;21;1,04
24/08/2017;18:00;281;86;1002,6;10,9;21,6;1,42
24/08/2017;17:00;337;79;1002,1;38,9;22,8;1,14
24/08/2017;16:00;357;79;1001,7;82,4;23,4;1,52
24/08/2017;15:00;358;75;1001,3;213,7;24,9;2,13
24/08/2017;14:00;16;72;1001,1;371,9;26,1;1,7
24/08/2017;13:00;341;71;1001,2;419,2;26,7;1,34
24/08/2017;12:00;267;69;1001,4;606,5;26,5;1,47
24/08/2017;11:00;38;71;1002;494,2;25,3;0,31
24/08/2017;10:00;32;75;1002,3;540,1;24,7;0,83
24/08/2017;09:00;267;92;1002,7;244;21;1,25
24/08/2017;08:00;256;98;1002,7;86,5;19,7;1,13
24/08/2017;07:00;257;98;1002,5;16,7;19,3;0,93
24/08/2017;06:00;296;98;1002,2;1;19;0,61
24/08/2017;05:00;302;98;1002,2;0;18,8;0,76
24/08/2017;04:00;262;98;1002,5;0,1;18,8;0,8
24/08/2017;03:00;265;97;1002,8;0,3;18,6;0,53
24/08/2017;02:00;260;97;1002,9;0,4;18,8;0,91
24/08/2017;01:00;264;96;1003,2;0,2;18,8;0,87
23/08/2017;24:00;292;91;1003,7;0;19,3;0,6
23/08/2017;23:00;339;88;1003,8;0;19,8;0,74
23/08/2017;22:00;346;86;1003,8;0;20;1,01
23/08/2017;21:00;29;86;1002,8;0;20;1,42
23/08/2017;20:00;25;84;1003,5;0;20,4;1,22
23/08/2017;19:00;23;82;1003,3;1,3;20,9;1,17
23/08/2017;18:00;28;80;1003,2;51,5;21,7;2,18
23/08/2017;17:00;24;77;1003;148,1;23,2;2,41
23/08/2017;16:00;16;72;1003;343,6;24,8;1,75
23/08/2017;15:00;47;73;1003,2;303,3;24,7;1,96
23/08/2017;14:00;347;72;1003,6;341,2;24,7;1,03
23/08/2017;13:00;358;71;1003,8;291,2;24,8;1,16
23/08/2017;12:00;358;68;1003,9;385,4;25;0,76
23/08/2017;11:00;42;67;1004,2;469,8;24,7;1,34
23/08/2017;10:00;68;70;1004,5;444,2;22,9;1,49
23/08/2017;09:00;66;75;1004,7;274,2;21,5;1,89
23/08/2017;08:00;59;84;1004,7;159,1;19,6;1,2
23/08/2017;07:00;45;90;1004,9;46,5;18,3;0,98
23/08/2017;06:00;11;93;1004,8;0,1;17,8;0,3
23/08/2017;05:00;348;93;1004,9;0;17,5;0,26
23/08/2017;04:00;303;93;1004,9;0;17,6;0,17
23/08/2017;03:00;334;90;1005;0;18,2;0,44
23/08/2017;02:00;6;90;1005,1;0;18,5;0,54
23/08/2017;01:00;44;91;1005,2;0;18,4;0,67
22/08/2017;24:00;333;90;1005,4;0;18,7;0,28
22/08/2017;23:00;265;88;1005,6;0;19,4;1,47
22/08/2017;22:00;258;87;1005,5;0;20,1;1,86
22/08/2017;21:00;259;87;1005,1;0;20,4;1,59
22/08/2017;20:00;311;87;1004,4;0;20,8;1,04
22/08/2017;19:00;350;85;1003,8;2,2;21,3;1,46
22/08/2017;18:00;348;82;1003,4;54,2;22;1,65
22/08/2017;17:00;336;80;1003,5;132,3;23;2
22/08/2017;16:00;274;76;1003,1;264,3;24,8;2,6
22/08/2017;15:00;259;71;1002,6;588,3;26,4;3,71
22/08/2017;14:00;258;69;1002,3;677,6;27,2;3,93
22/08/2017;13:00;262;64;1002,2;730,9;29;2,86
22/08/2017;12:00;266;56;1002,5;722,6;29,1;2,65
22/08/2017;11:00;277;56;1002,6;652,9;28,8;2,43
22/08/2017;10:00;281;57;1001,6;546,3;28,8;2,22
22/08/2017;09:00;241;48;1000,8;442,1;31,1;1,65
22/08/2017;08:00;242;53;1000,6;268,5;28,6;0,94
22/08/2017;07:00;251;59;1000,3;106,2;25,5;1,79
22/08/2017;06:00;315;69;999,9;4,8;21,8;0,17
22/08/2017;05:00;297;62;999,5;0;23,4;0,32
22/08/2017;04:00;273;54;999,4;0;25,4;1,89
22/08/2017;03:00;77;34;998,9;0;29,7;1,22
22/08/2017;02:00;90;28;998,5;0;30,9;4,44
