Date;Hour;CO (mg/m3);CO - ICA;CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - ICA;NOX (µg/m3);PM10 (µg/m3);PM10 - ICA;PM2,5 (µg/m3);PM2,5 - ICA;SO2 (µg/m3);SO2 - ICA
31/07/2017;01:00;0,3;"Muy buena / ";0,31;2;5;Muy buena / Oso ona;8;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;24:00;0,32;"Muy buena / ";0,3;1;3;Muy buena / Oso ona;5;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;23:00;0,32;"Muy buena / ";0,29;1;6;Muy buena / Oso ona;8;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;22:00;0,32;"Muy buena / ";0,27;2;7;Muy buena / Oso ona;9;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;21:00;0,33;"Muy buena / ";0,26;3;8;Muy buena / Oso ona;12;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;20:00;0,33;"Muy buena / ";0,24;4;8;Muy buena / Oso ona;13;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;19:00;0,31;"Muy buena / ";0,22;4;9;Muy buena / Oso ona;16;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;18:00;0,29;"Muy buena / ";0,2;5;12;Muy buena / Oso ona;19;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;17:00;0,23;"Muy buena / ";0,19;4;7;Muy buena / Oso ona;14;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;16:00;0,2;"Muy buena / ";0,2;5;5;Muy buena / Oso ona;12;14;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;15:00;0,19;"Muy buena / ";0,22;2;7;Muy buena / Oso ona;10;22;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;14:00;0,22;"Muy buena / ";0,24;4;6;Muy buena / Oso ona;12;23;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;13:00;0,19;"Muy buena / ";0,26;3;8;Muy buena / Oso ona;12;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;12:00;0,16;"Muy buena / ";0,28;2;8;Muy buena / Oso ona;10;19;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;11:00;0,15;"Muy buena / ";0,3;1;7;Muy buena / Oso ona;9;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;10:00;0,19;"Muy buena / ";0,32;2;6;Muy buena / Oso ona;9;10;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;09:00;0,31;"Muy buena / ";0,34;3;7;Muy buena / Oso ona;11;12;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;08:00;0,38;"Muy buena / ";0,34;4;11;Muy buena / Oso ona;18;17;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;07:00;0,36;"Muy buena / ";0,34;7;19;Muy buena / Oso ona;30;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
30/07/2017;06:00;0,34;"Muy buena / ";0,34;2;15;Muy buena / Oso ona;18;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
30/07/2017;05:00;0,35;"Muy buena / ";0,34;2;17;Muy buena / Oso ona;20;7;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona
30/07/2017;04:00;0,34;"Muy buena / ";0,33;2;12;Muy buena / Oso ona;15;9;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
30/07/2017;03:00;0,33;"Muy buena / ";0,33;1;9;Muy buena / Oso ona;11;6;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
30/07/2017;02:00;0,32;"Muy buena / ";0,31;2;9;Muy buena / Oso ona;11;5;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona
30/07/2017;01:00;0,35;"Muy buena / ";0,3;1;14;Muy buena / Oso ona;15;13;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;24:00;0,38;"Muy buena / ";0,28;3;12;Muy buena / Oso ona;17;10;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;23:00;0,34;"Muy buena / ";0,27;1;10;Muy buena / Oso ona;12;14;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;22:00;0,33;"Muy buena / ";0,25;3;14;Muy buena / Oso ona;19;9;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;21:00;0,33;"Muy buena / ";0,22;4;18;Muy buena / Oso ona;24;11;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;20:00;0,28;"Muy buena / ";0,2;3;18;Muy buena / Oso ona;22;13;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;19:00;0,24;"Muy buena / ";0,18;4;15;Muy buena / Oso ona;21;17;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;18:00;0,23;"Muy buena / ";0,16;3;12;Muy buena / Oso ona;16;15;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;17:00;0,2;"Muy buena / ";0,15;2;12;Muy buena / Oso ona;15;8;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;16:00;0,2;"Muy buena / ";0,16;2;13;Muy buena / Oso ona;15;11;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;15:00;0,18;"Muy buena / ";0,18;2;14;Muy buena / Oso ona;17;13;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;14:00;0,12;"Muy buena / ";0,2;3;11;Muy buena / Oso ona;15;13;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;13:00;0,14;"Muy buena / ";0,23;1;12;Muy buena / Oso ona;13;10;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;12:00;0,14;"Muy buena / ";0,26;2;15;Muy buena / Oso ona;18;12;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;11:00;0,12;"Muy buena / ";0,28;4;14;Muy buena / Oso ona;20;;Sin datos / Daturik gabe;11;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;10:00;0,15;"Muy buena / ";0,31;7;21;Muy buena / Oso ona;31;19;Muy buena / Oso ona;8;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;09:00;0,29;"Muy buena / ";0,33;11;29;Muy buena / Oso ona;46;33;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;08:00;0,35;"Muy buena / ";0,33;17;27;Muy buena / Oso ona;53;32;Muy buena / Oso ona;17;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;07:00;0,31;"Muy buena / ";0,33;10;31;Muy buena / Oso ona;46;26;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;06:00;0,33;"Muy buena / ";0,33;8;27;Muy buena / Oso ona;40;24;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;05:00;0,36;"Muy buena / ";0,33;4;26;Muy buena / Oso ona;32;20;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;04:00;0,35;"Muy buena / ";0,32;4;18;Muy buena / Oso ona;24;15;Muy buena / Oso ona;16;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;03:00;0,33;"Muy buena / ";0,31;2;14;Muy buena / Oso ona;16;19;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
29/07/2017;02:00;0,28;"Muy buena / ";0,29;1;12;Muy buena / Oso ona;13;12;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
29/07/2017;01:00;0,31;"Muy buena / ";0,28;1;13;Muy buena / Oso ona;14;11;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;24:00;0,32;"Muy buena / ";0,27;2;11;Muy buena / Oso ona;13;19;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;23:00;0,32;"Muy buena / ";0,26;2;11;Muy buena / Oso ona;15;18;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;22:00;0,33;"Muy buena / ";0,24;3;16;Muy buena / Oso ona;21;14;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;21:00;0,32;"Muy buena / ";0,23;6;17;Muy buena / Oso ona;26;16;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;20:00;0,27;"Muy buena / ";0,21;4;20;Muy buena / Oso ona;27;38;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;19:00;0,24;"Muy buena / ";0,19;7;21;Muy buena / Oso ona;31;17;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;18:00;0,21;"Muy buena / ";0,18;5;16;Muy buena / Oso ona;24;19;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;17:00;0,2;"Muy buena / ";0,17;6;17;Muy buena / Oso ona;26;18;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;16:00;0,22;"Muy buena / ";0,18;6;16;Muy buena / Oso ona;25;13;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
28/07/2017;15:00;0,23;"Muy buena / ";0,19;6;14;Muy buena / Oso ona;22;13;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;14:00;0,2;"Muy buena / ";0,2;5;12;Muy buena / Oso ona;20;12;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
28/07/2017;13:00;0,19;"Muy buena / ";0,22;3;11;Muy buena / Oso ona;15;14;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;12:00;0,12;"Muy buena / ";0,23;4;9;Muy buena / Oso ona;15;11;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;11:00;0,12;"Muy buena / ";0,25;5;10;Muy buena / Oso ona;18;12;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;10:00;0,13;"Muy buena / ";0,27;6;10;Muy buena / Oso ona;18;10;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;09:00;0,23;"Muy buena / ";0,27;7;12;Muy buena / Oso ona;23;13;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;08:00;0,28;"Muy buena / ";0,27;12;19;Muy buena / Oso ona;37;12;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;07:00;0,3;"Muy buena / ";0,27;10;19;Muy buena / Oso ona;34;11;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona
28/07/2017;06:00;0,3;"Muy buena / ";0,26;6;17;Muy buena / Oso ona;26;7;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
28/07/2017;05:00;0,3;"Muy buena / ";0,25;5;13;Muy buena / Oso ona;20;3;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
28/07/2017;04:00;0,27;"Muy buena / ";0,24;3;12;Muy buena / Oso ona;15;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona
28/07/2017;03:00;0,25;"Muy buena / ";0,23;0;7;Muy buena / Oso ona;7;15;Muy buena / Oso ona;14;Muy buena / Oso ona;5;Muy buena / Oso ona
28/07/2017;02:00;0,25;"Muy buena / ";0,22;1;9;Muy buena / Oso ona;11;14;Muy buena / Oso ona;13;Muy buena / Oso ona;4;Muy buena / Oso ona
28/07/2017;01:00;0,24;"Muy buena / ";0,21;1;7;Muy buena / Oso ona;9;13;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
27/07/2017;24:00;0,24;"Muy buena / ";0,2;1;7;Muy buena / Oso ona;9;6;Muy buena / Oso ona;2;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;23:00;0,23;"Muy buena / ";0,18;1;8;Muy buena / Oso ona;10;6;Muy buena / Oso ona;5;Muy buena / Oso ona;4;Muy buena / Oso ona
27/07/2017;22:00;0,24;"Muy buena / ";0,17;2;8;Muy buena / Oso ona;11;14;Muy buena / Oso ona;6;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;21:00;0,24;"Muy buena / ";0,16;6;12;Muy buena / Oso ona;22;9;Muy buena / Oso ona;2;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;20:00;0,21;"Muy buena / ";0,14;5;13;Muy buena / Oso ona;21;10;Muy buena / Oso ona;2;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;19:00;0,17;"Muy buena / ";0,13;6;14;Muy buena / Oso ona;22;15;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;18:00;0,16;"Muy buena / ";0,12;6;14;Muy buena / Oso ona;24;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
27/07/2017;17:00;0,14;"Muy buena / ";0,13;6;16;Muy buena / Oso ona;25;19;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;16:00;0,12;"Muy buena / ";0,17;5;15;Muy buena / Oso ona;23;22;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;15:00;0,12;"Muy buena / ";0,2;5;13;Muy buena / Oso ona;21;16;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona
27/07/2017;14:00;0,14;"Muy buena / ";0,22;6;14;Muy buena / Oso ona;23;13;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;13:00;0,12;"Muy buena / ";0,25;5;13;Muy buena / Oso ona;21;20;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;12:00;0,11;"Muy buena / ";0,27;2;10;Muy buena / Oso ona;14;19;Muy buena / Oso ona;14;Muy buena / Oso ona;7;Muy buena / Oso ona
27/07/2017;11:00;0,11;"Muy buena / ";0,29;4;11;Muy buena / Oso ona;17;15;Muy buena / Oso ona;;Sin datos / Daturik gabe;12;Muy buena / Oso ona
27/07/2017;10:00;0,16;"Muy buena / ";0,3;6;16;Muy buena / Oso ona;25;29;Muy buena / Oso ona;9;Muy buena / Oso ona;24;Muy buena / Oso ona
27/07/2017;09:00;0,32;"Muy buena / ";0,31;19;32;Muy buena / Oso ona;61;35;Muy buena / Oso ona;8;Muy buena / Oso ona;28;Muy buena / Oso ona
27/07/2017;08:00;0,38;"Muy buena / ";0,3;34;35;Muy buena / Oso ona;87;37;Muy buena / Oso ona;13;Muy buena / Oso ona;6;Muy buena / Oso ona
27/07/2017;07:00;0,35;"Muy buena / ";0,29;48;34;Muy buena / Oso ona;108;26;Muy buena / Oso ona;13;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;06:00;0,33;"Muy buena / ";0,28;28;28;Muy buena / Oso ona;71;18;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;05:00;0,36;"Muy buena / ";0,27;20;27;Muy buena / Oso ona;58;15;Muy buena / Oso ona;11;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;04:00;0,23;"Muy buena / ";0,27;4;14;Muy buena / Oso ona;21;11;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona
27/07/2017;03:00;0,24;"Muy buena / ";0,27;2;13;Muy buena / Oso ona;15;4;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
27/07/2017;02:00;0,29;"Muy buena / ";0,25;2;9;Muy buena / Oso ona;11;13;Muy buena / Oso ona;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
27/07/2017;01:00;0,28;"Muy buena / ";0,23;2;12;Muy buena / Oso ona;16;21;Muy buena / Oso ona;18;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;24:00;0,27;"Muy buena / ";0,22;1;14;Muy buena / Oso ona;15;27;Muy buena / Oso ona;18;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;23:00;0,28;"Muy buena / ";0,2;2;19;Muy buena / Oso ona;21;24;Muy buena / Oso ona;22;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;22:00;0,29;"Muy buena / ";0,18;2;21;Muy buena / Oso ona;24;21;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
26/07/2017;21:00;0,27;"Muy buena / ";0,16;4;24;Muy buena / Oso ona;30;28;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;20:00;0,23;"Muy buena / ";0,14;5;24;Muy buena / Oso ona;32;13;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;19:00;0,16;"Muy buena / ";0,13;7;20;Muy buena / Oso ona;31;13;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;18:00;0,14;"Muy buena / ";0,13;6;17;Muy buena / Oso ona;26;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;17:00;0,15;"Muy buena / ";0,13;6;16;Muy buena / Oso ona;24;13;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;16:00;0,15;"Muy buena / ";0,14;5;13;Muy buena / Oso ona;20;11;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;15:00;0,11;"Muy buena / ";0,16;6;11;Muy buena / Oso ona;20;10;Muy buena / Oso ona;7;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;14:00;0,13;"Muy buena / ";0,19;5;10;Muy buena / Oso ona;18;11;Muy buena / Oso ona;9;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;13:00;0,11;"Muy buena / ";0,22;4;12;Muy buena / Oso ona;18;11;Muy buena / Oso ona;10;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;12:00;;"Sin datos / ";0,23;7;16;Muy buena / Oso ona;26;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
26/07/2017;11:00;;"Sin datos / ";0,22;;;Sin datos / Daturik gabe;;;Sin datos / Daturik gabe;;Sin datos / Daturik gabe;5;Muy buena / Oso ona
26/07/2017;10:00;0,11;"Muy buena / ";0,22;8;16;Muy buena / Oso ona;28;15;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;09:00;0,2;"Muy buena / ";0,22;8;19;Muy buena / Oso ona;30;15;Muy buena / Oso ona;3;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;08:00;0,2;"Muy buena / ";0,22;8;18;Muy buena / Oso ona;30;18;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;07:00;0,24;"Muy buena / ";0,21;20;31;Muy buena / Oso ona;62;30;Muy buena / Oso ona;21;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;06:00;0,33;"Muy buena / ";0,2;34;38;Muy buena / Oso ona;90;25;Muy buena / Oso ona;15;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;05:00;0,27;"Muy buena / ";0,18;19;23;Muy buena / Oso ona;51;15;Muy buena / Oso ona;12;Muy buena / Oso ona;5;Muy buena / Oso ona
26/07/2017;04:00;0,16;"Muy buena / ";0,19;1;8;Muy buena / Oso ona;9;14;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;03:00;0,17;"Muy buena / ";0,19;1;9;Muy buena / Oso ona;11;11;Muy buena / Oso ona;;Sin datos / Daturik gabe;4;Muy buena / Oso ona
26/07/2017;02:00;0,2;"Muy buena / ";0,19;2;16;Muy buena / Oso ona;18;17;Muy buena / Oso ona;14;Muy buena / Oso ona;4;Muy buena / Oso ona
26/07/2017;01:00;0,19;"Muy buena / ";0,18;2;13;Muy buena / Oso ona;15;12;Muy buena / Oso ona;15;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;24:00;0,18;"Muy buena / ";0,17;0;10;Muy buena / Oso ona;10;11;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;23:00;0,18;"Muy buena / ";0,16;1;11;Muy buena / Oso ona;12;15;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;22:00;0,2;"Muy buena / ";0,16;2;13;Muy buena / Oso ona;16;14;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;21:00;0,21;"Muy buena / ";0,16;5;16;Muy buena / Oso ona;23;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;20:00;0,19;"Muy buena / ";0,17;4;13;Muy buena / Oso ona;19;14;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;19:00;0,17;"Muy buena / ";0,17;4;9;Muy buena / Oso ona;15;11;Muy buena / Oso ona;7;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;18:00;0,14;"Muy buena / ";0,18;3;10;Muy buena / Oso ona;14;11;Muy buena / Oso ona;10;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;17:00;0,12;"Muy buena / ";0,19;4;8;Muy buena / Oso ona;14;15;Muy buena / Oso ona;12;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;16:00;0,12;"Muy buena / ";0,2;3;8;Muy buena / Oso ona;13;11;Muy buena / Oso ona;9;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;15:00;0,13;"Muy buena / ";0,21;3;8;Muy buena / Oso ona;13;12;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;14:00;0,22;"Muy buena / ";0,21;5;8;Muy buena / Oso ona;15;11;Muy buena / Oso ona;11;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;13:00;0,22;"Muy buena / ";0,21;4;8;Muy buena / Oso ona;14;16;Muy buena / Oso ona;8;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;12:00;0,22;"Muy buena / ";0,21;3;9;Muy buena / Oso ona;14;12;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;11:00;0,22;"Muy buena / ";0,21;2;9;Muy buena / Oso ona;12;10;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;10:00;0,22;"Muy buena / ";0,21;3;8;Muy buena / Oso ona;14;7;Muy buena / Oso ona;4;Muy buena / Oso ona;5;Muy buena / Oso ona
25/07/2017;09:00;0,22;"Muy buena / ";0,21;4;10;Muy buena / Oso ona;16;7;Muy buena / Oso ona;2;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;08:00;0,21;"Muy buena / ";0,21;2;10;Muy buena / Oso ona;13;7;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;07:00;0,22;"Muy buena / ";0,21;3;12;Muy buena / Oso ona;16;10;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;06:00;0,2;"Muy buena / ";0,21;1;7;Muy buena / Oso ona;9;6;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;05:00;0,2;"Muy buena / ";0,22;1;7;Muy buena / Oso ona;8;4;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;04:00;0,21;"Muy buena / ";0,22;1;6;Muy buena / Oso ona;7;6;Muy buena / Oso ona;6;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;03:00;0,2;"Muy buena / ";0,23;0;4;Muy buena / Oso ona;4;2;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;02:00;0,21;"Muy buena / ";0,23;1;4;Muy buena / Oso ona;5;6;Muy buena / Oso ona;4;Muy buena / Oso ona;4;Muy buena / Oso ona
25/07/2017;01:00;0,21;"Muy buena / ";0,24;1;5;Muy buena / Oso ona;6;9;Muy buena / Oso ona;3;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;24:00;0,23;"Muy buena / ";0,24;2;9;Muy buena / Oso ona;13;3;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;23:00;0,22;"Muy buena / ";0,23;2;8;Muy buena / Oso ona;11;10;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;22:00;0,24;"Muy buena / ";0,23;2;10;Muy buena / Oso ona;14;7;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;21:00;0,25;"Muy buena / ";0,22;7;13;Muy buena / Oso ona;23;9;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
24/07/2017;20:00;0,25;"Muy buena / ";0,22;4;13;Muy buena / Oso ona;19;12;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;19:00;0,27;"Muy buena / ";0,22;9;17;Muy buena / Oso ona;31;10;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;18:00;0,26;"Muy buena / ";0,22;9;15;Muy buena / Oso ona;29;13;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;17:00;0,22;"Muy buena / ";0,22;6;10;Muy buena / Oso ona;20;15;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;16:00;0,19;"Muy buena / ";0,23;6;12;Muy buena / Oso ona;21;5;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;15:00;0,15;"Muy buena / ";0,25;7;10;Muy buena / Oso ona;20;11;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
24/07/2017;14:00;0,21;"Muy buena / ";0,26;9;12;Muy buena / Oso ona;26;5;Muy buena / Oso ona;1;Muy buena / Oso ona;5;Muy buena / Oso ona
24/07/2017;13:00;0,23;"Muy buena / ";0,27;9;11;Muy buena / Oso ona;24;4;Muy buena / Oso ona;1;Muy buena / Oso ona;4;Muy buena / Oso ona
