OBJECTID	CENTRO	DIRECCION	CAPACIDAD	PROBLEMAS
1376	Teatro Real	Carlos III	4	false
1377	"Metro ""Opera"""	Plaza de Isabel II	8	false
1378	"Metro ""Opera"""	Plaza de Isabel II	8	false
1379	A.G. Seguridad y Movilidad	Albarracín, 31	4	false
1380	A.G. Seguridad y Movilidad	Albarracín, 33	4	false
1383	Belen	BelÚn, 7	4	false
1384	San Gregorio	San Gregorio, 8	4	false
1386	Oficinas Albasanz 15	Albasanz 15	10	false
1386	Viviendas Alfonso XIII 54	Alfonso XIII, 54	10	false
1387	Colegio Las Naciones	Alfonso XIII, 90	10	false
1388	Colegio Santa MarÝa de la Hispanidad	Armonia 22	8	false
1389	Biblioteca Pablo Neruda	Ascao, 4	10	false
1390	Junta Municipal de Retiro	Ciudad de Barcelona, 162	8	false
1391	Oficinas Castellana 35 A	Paseo de la Castellana 35 A	10	false
1392	Colegio Alemßn	Concha Espina, 32	10	false
1393	Parque Cu±a Verde de La Latina	Concejal Fco. JosÚ Jimenez Martín, 102	10	false
1394	Viviendas Esquilache 2	Esquilache, 2	10	false
1395	Junta Municipal de Moratalaz	Fuente Carrantona, 12	10	false
1396	Estaci¾n de Metro Ligero de Fuente de la Mora	Estación de Fuente de la Mora	10	false
1397	Escuela Oficial de Idiomas	General Kirkpatrick, 20	10	false
1398	Hotel Ritz	Plaza de la Lealtad, 5	10	false
1399	Viviendas L¾pez de Hoyos 470	López de Hoyos, 470	8	false
1400	Centro Cultural Luis Peidr¾	Luis Peidró, 2	10	false
1401	Parque MarÝa Sevilla Diago	María Sevilla Diago, 13	10	false
1402	British Council	Miguel ?ngel, 1	10	false
1403	British Council	General Martínez Campos, 31	10	false
1404	Colegio Sagrada Familia	Oberón, 6	10	false
1405	TESTA	Avenida del Partenón , 16	10	false
1406	CEIP JoaquÝn Costa	Pontones, 8	10	false
1407	Viviendas Raimundo Fernßndez Villaverde 32	Raimundo Fdez Villaverde, 32	10	false
1409	Viviendas Santa Engracia 129	Santa Engracia, 129	10	false
1410	ERICSSON ESPAÐA S.A.U	Titßn, 8	10	false
1411	Viviendas Vallehermoso 15	Vallehermoso, 15	10	false
1408	Colegio Ciudad Pegaso	SÚptima, 11	10	false
1412	BailÚn 41	BailÚn 41	8	false
1413	Bravo Murillo 39	Bravo Murillo 39	8	false
1414	Magallanes 3	Magallanes 3	14	false
1415	Maudes 17	Maudes 17	10	false
1416	Museo Cerralbo	Ventura Rodríguez 17	8	false
1417	Plaza de la Paja	Plaza de la Paja	10	false
1418	Fundaci¾n Mapfre	Paseo Recoletos 23	6	false
1419	Colegio Infanta Leonor	Avenida Monasterio del Paular 140	10	false
