COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;NOMBRE_COMIENZA;NOMBRE_ACENTOS_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;NOMBRE_TERMINA;NOMBRE_ACENTOS_TERMINA
00001108;GLORIETA;DE;SINTRA;SINTRA;00001120;CAMINO;DE;SINTRA;SINTRA;00001113;CALLE;;VIA DE DUBLIN;VÍA DE DUBLÍN
00002472;CALLE;DE;SIRACUSA;SIRACUSA;00002461;CALLE;DE;SUIZA;SUIZA;00002443;CALLE;DE;SOFIA;SOFÍA
00723800;CALLE;DE;SIRIO;SIRIO;00586700;CALLE;DEL;PEZ VOLADOR;PEZ VOLADOR;00499700;AVENIDA;DEL;MEDITERRANEO;MEDITERRÁNEO
00723900;CALLE;DE;SIRO MUELA;SIRO MUELA;00328700;CALLE;DEL;GENERAL ARANAZ;GENERAL ARANAZ;00002541;CALLE;DE;MIAMI;MIAMI
00723925;CALLE;DEL;SIROCO;SIROCO;00076550;CALLE;DEL;ARROYO DE LA TIA MARTINA;ARROYO DE LA TÍA MARTINA;99000001;LUGAR;;FONDO DE SACO;FONDO DE SACO
00723950;CALLE;DE;SIRRACH;SIRRACH;00025400;CALLE;DEL;ALFAR;ALFAR;00712000;CALLE;DEL;SEXTANTE;SEXTANTE
00724000;CALLE;DE;SISEBUTO;SISEBUTO;00285200;PASEO;DE;EXTREMADURA;EXTREMADURA;00603600;AVENIDA;DE;PORTUGAL;PORTUGAL
00724100;PLAZA;DE;SISENANDO;SISENANDO;00334900;CALLE;DE;GENSERICO;GENSERICO;00258800;CALLE;DE;EGICA;ÉGICA
00905471;CAMINO;DEL;SISON;SISÓN;00905487;CAMINO;DE;VALDEALCALA;VALDEALCALÁ;00905453;CAMINO;DEL;CERRO DE LOS INOCENTES;CERRO DE LOS INOCENTES
00724200;CALLE;DE LOS;SISONES;SISONES;00243700;CALLE;DEL;DOCTOR MEDIAVILLA;DOCTOR MEDIAVILLA;00509800;CALLE;DE;MIRA EL RIO;MIRA EL RÍO
31000341;CALLE;DEL;SITIO DE EL ESCORIAL;SITIO DE EL ESCORIAL;00333700;CALLE;DE;JOAQUIN TURINA;JOAQUÍN TURINA;31000542;CALLE;DEL;PARQUE DE DOÑANA;PARQUE DE DOÑANA
