Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Texto Cajetines
442660,7;4473024,47;26/05/2009;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;34;PMR;;1;
442787,62;4472962,95;17/07/2007;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;35;PMR;;1;
442739,64;4472973,16;13/04/2007;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;42;PMR;;1;
442857,92;4472916,63;20/07/2011;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;43;PMR;;1;
442909,26;4472883,15;30/03/2011;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;49;PMR;;1;
442922,08;4472854,58;12/05/2010;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;60;PMR;;1;
442569,73;4472438,17;16/12/2011;03  RETIRO;03-01 PACÍFICO;COCHERAS, CALLE, DE LAS;2;PMR;;1;
442183,27;4472755,35;05/05/2015;03  RETIRO;03-01 PACÍFICO;COMERCIO, CALLE, DEL;3;PMR;Línea;2;
442003,44;4472690,64;14/06/2001;03  RETIRO;03-01 PACÍFICO;COMERCIO, CALLE, DEL;10;PMR;;1;
442022,58;4472680,32;29/06/2003;03  RETIRO;03-01 PACÍFICO;COMERCIO, CALLE, DEL;10;PMR;;1;
443070,01;4473015,58;26/11/2004;03  RETIRO;03-01 PACÍFICO;DOCTOR ESQUERDO, CALLE, DEL;136;PMR;;1;DIAS LABORABLESDE 8,45 A 16 H
442861,83;4472718,58;01/12/2004;03  RETIRO;03-01 PACÍFICO;DOCTOR ESQUERDO, CALLE, DEL;160;PMR;;1;
442079,42;4473068,42;21/11/2012;03  RETIRO;03-01 PACÍFICO;FUENTERRABIA, CALLE, DE;5;PMR;;1;
442620,15;4472759,29;01/01/1900;03  RETIRO;03-01 PACÍFICO;GRANADA, CALLE, DE;41;PMR;;2;RESERVADO CONDUCTORESVEHICULOS MINUSVALIDOSAUTORIZADOS
442652,87;4472726,46;13/01/2011;03  RETIRO;03-01 PACÍFICO;GRANADA, CALLE, DE;44;PMR;;2;
442793,24;4472644,4;26/03/2008;03  RETIRO;03-01 PACÍFICO;GRANADA, CALLE, DE;59;PMR;;1;
442174,2;4472935,7;01/08/2014;03  RETIRO;03-01 PACÍFICO;GUTENBERG, CALLE, DE;4;PMR;Batería;3;
442235,1;4473055,33;18/07/2014;03  RETIRO;03-01 PACÍFICO;GUTENBERG, CALLE, DE;18;PMR;Línea;1;
442288,76;4473160,63;17/01/2006;03  RETIRO;03-01 PACÍFICO;GUTENBERG, CALLE, DE;28;PMR;;2;
442573,04;4472507,08;30/06/2006;03  RETIRO;03-01 PACÍFICO;HOYUELO, CALLE, DE;3;PMR;;1;
442432,15;4473108,29;29/11/2010;03  RETIRO;03-01 PACÍFICO;JOSE SANCHEZ PESCADOR, CALLE, DE;5;PMR;;1;
442425,03;4472755,81;01/08/2011;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;1;PMR;;1;
442468,85;4472822,28;29/10/2008;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;7;PMR;;1;
442510,86;4472871,58;07/09/1995;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;16;PMR;;2;RESERVADO CONDUCTORESVEHICULOS MINUSVALIDOSAUTORIZADOS
442588,61;4472990,6;22/04/2016;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;30;PMR;Línea;1;
442692,94;4473148,83;19/01/2011;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;46;PMR;;1;
442690,81;4473145,56;19/01/2011;03  RETIRO;03-01 PACÍFICO;JUAN DE URBIETA, CALLE, DE;46;PMR;;1;LABORABLESDE LUNES A VIERNESDE 9 A 14 HORAS
442039,78;4472978,72;05/02/2013;03  RETIRO;03-01 PACÍFICO;JULIAN GAYARRE, CALLE, DE;2;PMR;;1;
442392,96;4472716,06;16/12/2011;03  RETIRO;03-01 PACÍFICO;LEON GIL DE PALACIO, CALLE, DE;Fte 1;PMR;;1;
442572,28;4473176,87;25/05/2011;03  RETIRO;03-01 PACÍFICO;MEDITERRANEO, AVENIDA, DEL;12;PMR;;1;
442626,88;4473169,99;16/11/2009;03  RETIRO;03-01 PACÍFICO;MEDITERRANEO, AVENIDA, DEL;16;PMR;;1;
442329,06;4473087,43;18/05/2007;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;26;PMR;;1;
442238,44;4472910,47;23/09/2014;03  RETIRO;03-01 PACÍFICO;MENENDEZ PELAYO, AVENIDA, DE;40;PMR;Línea;1;
442342,7;4472828,77;17/04/2015;03  RETIRO;03-01 PACÍFICO;NARCISO SERRA, CALLE, DE;2;PMR;Batería;1;
442419,11;4472959,7;14/01/2003;03  RETIRO;03-01 PACÍFICO;NARCISO SERRA, CALLE, DE;16;PMR;;1;
442470,77;4473066,12;01/08/2011;03  RETIRO;03-01 PACÍFICO;NARCISO SERRA, CALLE, DE;27;PMR;;1;
442230,93;4473163,2;14/01/2005;03  RETIRO;03-01 PACÍFICO;REINA CRISTINA, PASEO, DE LA;26;PMR;;2;
442695,03;4472723,07;06/12/2011;03  RETIRO;03-01 PACÍFICO;SANCHEZ BARCAIZTEGUI, CALLE, DE;7;PMR;;1;
442705,97;4472757,32;01/09/2003;03  RETIRO;03-01 PACÍFICO;SANCHEZ BARCAIZTEGUI, CALLE, DE;11;PMR;;1;
442737,15;4472803,67;05/05/2015;03  RETIRO;03-01 PACÍFICO;SANCHEZ BARCAIZTEGUI, CALLE, DE;19;PMR;Batería;2;
442904,13;4473046,45;21/06/2013;03  RETIRO;03-01 PACÍFICO;SANCHEZ BARCAIZTEGUI, CALLE, DE;36;PMR;Línea;1;
442923,97;4473077,15;02/03/2005;03  RETIRO;03-01 PACÍFICO;SANCHEZ BARCAIZTEGUI, CALLE, DE;38;PMR;;1;
442024,4;4472809,79;04/12/2007;03  RETIRO;03-01 PACÍFICO;TELLEZ, CALLE, DE;10;PMR;;1;
442182,24;4472724,15;11/02/2011;03  RETIRO;03-01 PACÍFICO;TELLEZ, CALLE, DE;14;PMR;;1;
442426,04;4472591,85;30/10/2008;03  RETIRO;03-01 PACÍFICO;TELLEZ, CALLE, DE;29;PMR;;1;
442367,76;4472612,56;22/02/2012;03  RETIRO;03-01 PACÍFICO;TELLEZ, CALLE, DE;30;PMR;;1;
442225,07;4472622,65;19/06/2014;03  RETIRO;03-01 PACÍFICO;TELLEZ, TRAVESIA, DE;5;PMR;Batería;2;
442202,45;4472616,85;23/11/2000;03  RETIRO;03-01 PACÍFICO;TELLEZ, TRAVESIA, DE;8;PMR;;1;
442293,25;4473095,8;30/06/2004;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;3;PMR;;1;
442505,66;4472978,45;12/06/2012;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;23;PMR;;2;
442860,85;4472740,5;01/12/2004;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;44;PMR;;1;
442729,24;4472837,31;20/03/2013;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;45;PMR;Línea;1;
442860,58;4472751,4;24/05/1999;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;53;PMR;;1;
442455,8;4473006,56;19/02/2003;03  RETIRO;03-01 PACÍFICO;VALDERRIBAS, CALLE, DE;17B;PMR;;1;
442126,63;4472978,73;29/08/2007;03  RETIRO;03-01 PACÍFICO;VANDERGOTEN, CALLE, DE;8;PMR;;1;
442113,53;4472975,97;01/01/1900;03  RETIRO;03-01 PACÍFICO;VANDERGOTEN, CALLE, DE;8;PMR;;1;RESERVADO CONDUCTORESVEHICULOS MINUSVALIDOSAUTORIZADOS
442833,55;4472605,96;02/08/2013;03  RETIRO;03-02 ADELFAS;ANDALUCIA, CALLE, DE;2;PMR;Línea;1;
442855,81;4472130,69;03/05/2000;03  RETIRO;03-02 ADELFAS;BARRILERO, CALLE, DE;3;PMR;;3;
442788,36;4472168,33;01/07/2010;03  RETIRO;03-02 ADELFAS;BARRILERO, CALLE, DE;2 E;PMR;;2;
442769,38;4472140,57;01/07/2010;03  RETIRO;03-02 ADELFAS;BARRILERO, CALLE, DE;2 F;PMR;;1;
442754,63;4472101,44;01/07/2010;03  RETIRO;03-02 ADELFAS;BARRILERO, CALLE, DE;2 G;PMR;;2;
442838,86;4472244,7;01/09/2011;03  RETIRO;03-02 ADELFAS;CAFETO, CALLE, DEL;5;PMR;Batería;2;
442864,26;4472292,42;03/06/2002;03  RETIRO;03-02 ADELFAS;CAFETO, CALLE, DEL;8;PMR;;1;
443217,72;4472955,62;10/10/2002;03  RETIRO;03-02 ADELFAS;CARLOS Y GUILLERMO FERNANDEZ SHAW, CALLE, DE;2;PMR;;1;
442932,91;4472416,09;14/04/2003;03  RETIRO;03-02 ADELFAS;CATALINA SUAREZ, CALLE, DE;4;PMR;;1;
443123,64;4472712,1;23/10/2013;03  RETIRO;03-02 ADELFAS;CATALINA SUAREZ, CALLE, DE;19;PMR;Línea;2;
443094,14;4472151,35;01/07/2003;03  RETIRO;03-02 ADELFAS;CERRO NEGRO, CALLE, DEL;S/N;PMR;;1;
443129,84;4472202,88;25/04/2001;03  RETIRO;03-02 ADELFAS;CERRO NEGRO, CALLE, DEL;S/N;PMR;;1;
442846,34;4471904,43;01/07/2010;03  RETIRO;03-02 ADELFAS;CERRO NEGRO, CALLE, DEL;S/N;PMR;;2;RESERVADO MINUSVALIDOS
442873,22;4472680,86;07/12/2012;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;199;PMR;;1;
443109,7;4473018,11;02/08/2016;03  RETIRO;03-02 ADELFAS;DOCTOR ESQUERDO, CALLE, DEL;S/N;PMR;Línea;1;
443355,4;4472865,6;20/05/1999;03  RETIRO;03-02 ADELFAS;FEDERICO MORENO TORROBA, CALLE, DE;11;PMR;;1;
442834,45;4471938,59;01/07/2010;03  RETIRO;03-02 ADELFAS;FUERZAS ARMADAS, AVENIDA, DE LAS;S/N;PMR;;2;
443020,72;4472183,88;30/10/2015;03  RETIRO;03-02 ADELFAS;GANDIA, CALLE, DE;3;PMR;Batería;1;
443058,68;4472139,95;14/04/1998;03  RETIRO;03-02 ADELFAS;GANDIA, CALLE, DE;8;PMR;Batería;2;
443095;4472759,98;21/07/2000;03  RETIRO;03-02 ADELFAS;GARIBAY, CALLE, DE;7;PMR;;2;RESERVADO VEHICULOSMINUSVALIDOS AUTORIZADOSDIAS LABORABLES DE 8 A 20 H.
443083,33;4472754,45;21/11/2014;03  RETIRO;03-02 ADELFAS;GARIBAY, CALLE, DE;8;PMR;Batería;1;
442782,32;4472423,02;17/04/2013;03  RETIRO;03-02 ADELFAS;HERMANOS RUIZ, CALLE, DE LOS;1;PMR;Batería;1;
442880,01;4472355,97;27/01/2005;03  RETIRO;03-02 ADELFAS;HERMANOS RUIZ, CALLE, DE LOS;17;PMR;;2;
442702,5;4472316,27;17/06/2003;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;2;PMR;;1;
442976,52;4472112,94;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;14;PMR;;1;
443026,37;4472077,8;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;20;PMR;;1;
442927,37;4472161,91;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;43;PMR;;1;
442973,77;4472130,48;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;49;PMR;;1;RESERVADO MINUSVALIDOS
443034,62;4472088,65;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;55;PMR;;1;RESERVADO MINUSVALIDOS
442921,83;4472154,13;01/11/2009;03  RETIRO;03-02 ADELFAS;JATIVA, CALLE, DE;10B;PMR;;1;
443274,56;4472656,16;05/11/2014;03  RETIRO;03-02 ADELFAS;JUAN DE JUANES, CALLE, DE;16;PMR;Línea;2;
443133,02;4472259,89;05/11/2010;03  RETIRO;03-02 ADELFAS;LOS MESEJO, CALLE, DE;2;PMR;;1;
443201,16;4472460,74;20/12/2010;03  RETIRO;03-02 ADELFAS;LOS MESEJO, CALLE, DE;18;PMR;;1;
443034,09;4472325,08;27/02/2008;03  RETIRO;03-02 ADELFAS;LUIS MITJANS, CALLE, DE;2;PMR;;1;
443094,91;4472453,28;01/09/2011;03  RETIRO;03-02 ADELFAS;LUIS MITJANS, CALLE, DE;13;PMR;;2;
442850,9;4472041,26;01/07/2010;03  RETIRO;03-02 ADELFAS;LUIS PEIDRO, CALLE, DE;7;PMR;;1;
442905,93;4471936,55;01/07/2010;03  RETIRO;03-02 ADELFAS;LUIS PEIDRO, CALLE, DE;8;PMR;;1;
442801,17;4472017,06;01/07/2010;03  RETIRO;03-02 ADELFAS;LUIS PEIDRO, CALLE, DE;2 B;PMR;;2;
443344,3;4473066,9;01/01/1900;03  RETIRO;03-02 ADELFAS;MEDITERRANEO, AVENIDA, DEL;Fte 54;PMR;;1;
442974,42;4472250,24;10/09/2010;03  RETIRO;03-02 ADELFAS;SECO, CALLE, DE;3;PMR;;1;
442946,64;4472233,3;03/09/2004;03  RETIRO;03-02 ADELFAS;SECO, CALLE, DE;6;PMR;;1;
443310,1;4472621,68;05/10/2011;03  RETIRO;03-02 ADELFAS;VALDERRIBAS, CALLE, DE;99;PMR;;2;
443368,89;4473615,81;21/09/2001;03  RETIRO;03-03 ESTRELLA;ASTROS, CALLE, DE LOS;11;PMR;;1;DE 8A 19 HORASDE LUNES A VIERNES
443362,28;4473318,29;14/02/2006;03  RETIRO;03-03 ESTRELLA;CARENA, PASAJE, DE;1;PMR;;1;
443279,99;4473580,76;02/06/2015;03  RETIRO;03-03 ESTRELLA;CRUZ DEL SUR, CALLE, DE LA;7;PMR;Línea;2;
443228,67;4474246,81;25/07/2014;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;93;PMR;;;
443202,73;4473883,61;16/03/2007;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;115;PMR;;1;
443155,99;4473236,24;22/06/2004;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;167;PMR;;1;reservado:[vehiculos minusválidosautorizados]
443412,14;4473954,5;20/08/2014;03  RETIRO;03-03 ESTRELLA;DORADO, PASAJE, DEL;S/N;PMR;Línea;2;
443404,09;4473571,09;20/09/2001;03  RETIRO;03-03 ESTRELLA;ESTRELLA POLAR, CALLE, DE LA;5;PMR;;1;
443450,32;4473541,42;05/05/2015;03  RETIRO;03-03 ESTRELLA;ESTRELLA POLAR, CALLE, DE LA;8;PMR;Batería;1;
443489,28;4473599,33;20/09/2012;03  RETIRO;03-03 ESTRELLA;ESTRELLA POLAR, CALLE, DE LA;22;PMR;;1;
443538,94;4473552,58;18/12/2001;03  RETIRO;03-03 ESTRELLA;ESTRELLA POLAR, CALLE, DE LA;26;PMR;;1;
443390,9;4473431,36;27/03/2012;03  RETIRO;03-03 ESTRELLA;ESTRELLA POLAR, CALLE, DE LA;12 D;PMR;;1;
443267,17;4474191,64;25/07/2001;03  RETIRO;03-03 ESTRELLA;JOSE MARTINEZ DE VELASCO, CALLE, DE;4;PMR;;1;
443248,66;4473984,09;16/02/2009;03  RETIRO;03-03 ESTRELLA;JOSE MARTINEZ DE VELASCO, CALLE, DE;30;PMR;;1;
443388,15;4474021,12;04/05/1998;03  RETIRO;03-03 ESTRELLA;JOSE MARTINEZ DE VELASCO, CALLE, DE;Fte 20;PMR;;2;
443299,33;4473980,72;08/06/2007;03  RETIRO;03-03 ESTRELLA;JOSE MARTINEZ DE VELASCO, CALLE, DE;Fte 26;PMR;;1;
443338,44;4474128,54;27/11/2014;03  RETIRO;03-03 ESTRELLA;JOSE MARTINEZ DE VELASCO, CALLE, DE;S/N;PMR;Línea;1;
443771,66;4474183,23;23/02/2011;03  RETIRO;03-03 ESTRELLA;JUAN ESPLANDIU, CALLE, DE;4;PMR;Batería;2;
443814,02;4474269,18;01/12/2004;03  RETIRO;03-03 ESTRELLA;JUAN ESPLANDIU, CALLE, DE;8;PMR;;1;
443609,28;4474407,59;04/06/2004;03  RETIRO;03-03 ESTRELLA;JUAN ESPLANDIU, CALLE, DE;11;PMR;;1;
443862,81;4474363,31;13/10/2009;03  RETIRO;03-03 ESTRELLA;JUAN ESPLANDIU, CALLE, DE;12;PMR;;2;
443611,21;4474142,4;21/02/2015;03  RETIRO;03-03 ESTRELLA;JUAN ESPLANDIU, CALLE, DE;S/N;PMR;Línea;1;
443211,88;4473311,86;21/06/2013;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;6;PMR;Batería;1;
443214,98;4473311,63;21/11/2015;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;6;PMR;Batería;1;
443232,56;4473297,62;07/05/2010;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;8;PMR;;1;
443406,92;4473296,07;15/03/2016;03  RETIRO;03-03 ESTRELLA;LIRA, CALLE, DE LA;23;PMR;Línea;1;
443603,3;4474252,01;02/02/1995;03  RETIRO;03-03 ESTRELLA;MARQUES DE LOZOYA, CALLE, DEL;3;PMR;;1;Reservado:conductores vehículosminusválidos autorizados
443689,44;4474252,59;15/06/2017;03  RETIRO;03-03 ESTRELLA;MARQUES DE LOZOYA, CALLE, DEL;14;PMR;Batería;2;
443690,27;4474456,75;26/09/2000;03  RETIRO;03-03 ESTRELLA;MARQUES DE LOZOYA, CALLE, DEL;29;PMR;;1;
443761,39;4474457,34;13/03/2015;03  RETIRO;03-03 ESTRELLA;MARQUES DE LOZOYA, CALLE, DEL;40 D;PMR;Línea;3;
443680,66;4474418,84;01/04/2017;03  RETIRO;03-03 ESTRELLA;MARQUES DE LOZOYA, CALLE, DEL;42 A;PMR;Línea;1;
443321,59;4474663,97;30/10/2015;03  RETIRO;03-03 ESTRELLA;O'DONNELL, CALLE, DE;56;PMR;Línea;1;
443499,98;4473839,5;11/02/2011;03  RETIRO;03-03 ESTRELLA;PEZ AUSTRAL, CALLE, DEL;5;PMR;;2;
443502,44;4473808,69;25/04/2012;03  RETIRO;03-03 ESTRELLA;PEZ AUSTRAL, CALLE, DEL;7;PMR;;1;
443493,74;4473716,15;11/11/2013;03  RETIRO;03-03 ESTRELLA;PEZ AUSTRAL, CALLE, DEL;12;PMR;Batería;1;
443494,32;4473698,29;28/08/2015;03  RETIRO;03-03 ESTRELLA;PEZ AUSTRAL, CALLE, DEL;14;PMR;Batería;1;
443367,92;4473841,73;13/03/2009;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;14;PMR;;1;
443378,55;4473881,84;30/04/1997;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;15;PMR;;2;
443528,56;4473937,98;04/02/2015;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;24;PMR;Línea;2;
443590,99;4473890,69;03/06/1996;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;30;PMR;Batería;1;RESERVADO CONDUCTORESVEHICULOS MINUSVALIDOSAUTORIZADO
443688,72;4473923,36;10/12/2003;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;34;PMR;;1;
443424,04;4473257,92;25/11/2011;03  RETIRO;03-03 ESTRELLA;PISCIS, CALLE, DE;4;PMR;;3;
443340,76;4474063,07;12/11/2003;03  RETIRO;03-03 ESTRELLA;RAFAEL SALAZAR ALONSO, CALLE, DE;17;PMR;;1;
443278,76;4473799,94;21/02/2015;03  RETIRO;03-03 ESTRELLA;SAMARIA, CALLE, DE;S/N;PMR;Línea;1;
443680,02;4473681,94;25/04/2012;03  RETIRO;03-03 ESTRELLA;SIRIO, CALLE, DE;32;PMR;;3;
443611,04;4473523,11;18/07/2007;03  RETIRO;03-03 ESTRELLA;SIRIO, CALLE, DE;44;PMR;;2;
443588,06;4473474,95;24/07/2000;03  RETIRO;03-03 ESTRELLA;SIRIO, CALLE, DE;54;PMR;;1;
443561,53;4473410,08;15/11/2002;03  RETIRO;03-03 ESTRELLA;SIRIO, CALLE, DE;62;PMR;;1;
443534,51;4473342,13;10/07/2003;03  RETIRO;03-03 ESTRELLA;SIRIO, CALLE, DE;68;PMR;;1;
443332,8;4474458,63;01/12/2004;03  RETIRO;03-03 ESTRELLA;VAQUERIAS, CALLE, DE LAS;S/N;PMR;;1;
443283,84;4474463,98;27/12/2006;03  RETIRO;03-03 ESTRELLA;VICENTE CABALLERO, CALLE, DE;20;PMR;;1;
442503,43;4474252,67;05/03/2001;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;4;PMR;;1;LABORABLES DE 8 A 20 H
442574,02;4474272,08;22/10/2011;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;9;PMR;;1;
442642,17;4474266,43;05/02/2015;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;13;PMR;Línea;1;
442678,34;4474263,35;01/08/2001;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;17;PMR;;1;
442714,18;4474260,45;20/05/1999;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;21;PMR;;1;
442697,55;4474235,97;18/07/2011;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;24;PMR;;1;
442950,88;4474240,1;03/08/2006;03  RETIRO;03-04 IBIZA;ALCALDE SAINZ DE BARANDA, CALLE, DEL;43;PMR;;2;
442407,77;4474760,35;09/07/2016;03  RETIRO;03-04 IBIZA;ANTONIO ACUÑA, CALLE, DE;19;PMR;Línea;1;
443036,04;4474324,49;22/12/2011;03  RETIRO;03-04 IBIZA;ANTONIO ARIAS, CALLE, DE;1;PMR;Línea;1;
443027,7;4474327,29;22/02/2012;03  RETIRO;03-04 IBIZA;ANTONIO ARIAS, CALLE, DE;4;PMR;;1;
442728,4;4474144,08;01/01/1900;03  RETIRO;03-04 IBIZA;DOCE DE OCTUBRE, CALLE, DEL;17;PMR;;1;
442440,3;4474654,15;11/10/2011;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;7;PMR;;1;
442556,53;4474645,55;08/07/2010;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;19;PMR;;1;
442768,62;4474621,04;13/09/2016;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;34;PMR;Batería;1;
442813,59;4474626,74;02/07/2007;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;41;PMR;;1;
443029,53;4474601,78;30/06/2006;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;54;PMR;;2;
443212,16;4474589,45;24/07/2015;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;62;PMR;Batería;1;
442770,92;4474537,69;11/09/2009;03  RETIRO;03-04 IBIZA;FERNAN GONZALEZ, CALLE, DE;48;PMR;Batería;2;
442774,88;4474471,87;12/02/2001;03  RETIRO;03-04 IBIZA;FERNAN GONZALEZ, CALLE, DE;57;PMR;;2;
442762,45;4474268,58;05/05/1999;03  RETIRO;03-04 IBIZA;FERNAN GONZALEZ, CALLE, DE;71;PMR;;1;
442748,8;4474190,47;05/08/2002;03  RETIRO;03-04 IBIZA;FERNAN GONZALEZ, CALLE, DE;74;PMR;Batería;3;
442678,13;4474410,82;12/02/2001;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;23;PMR;Línea;1;
442724,99;4474381,82;09/08/2000;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;30;PMR;;2;
442988,66;4474363,92;01/03/2011;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;56;PMR;;1;
442518,87;4474749,27;02/04/2016;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;24;PMR;Línea;2;
442514,76;4474702,81;29/11/2010;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;28;PMR;;1;
442504,79;4474576,8;25/10/2000;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;42;PMR;;1;
442493,04;4474438,65;13/07/2004;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;54;PMR;;1;
442485,48;4474345,22;27/11/1996;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;60;PMR;;1;
442509,21;4474527,87;01/06/2012;03  RETIRO;03-04 IBIZA;LOPE DE RUEDA, CALLE, DE;45 A;PMR;;1;
442909,99;4474533,08;16/12/2011;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;7;PMR;Línea;3;
442892;4474276,88;14/02/2001;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;25;PMR;;2;
442885,13;4474181,23;10/06/2013;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;31;PMR;Línea;1;
442895,34;4474446,81;14/04/2005;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;38;PMR;;1;
442887;4474330,22;05/10/2011;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;48;PMR;;1;
442922,85;4474715,76;27/02/2004;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;Fte 16;PMR;;1;
442917,27;4474635,7;27/02/2004;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;Fte 24;PMR;;1;
442350,07;4474691,71;23/08/2004;03  RETIRO;03-04 IBIZA;MENENDEZ PELAYO, AVENIDA, DE;11;PMR;;1;
442502,6;4474122,09;27/05/2005;03  RETIRO;03-04 IBIZA;MENENDEZ PELAYO, AVENIDA, DE;61;PMR;;1;
442658,78;4474534,76;20/12/2010;03  RETIRO;03-04 IBIZA;MENORCA, CALLE, DE;27;PMR;;1;
442802,47;4474746,44;22/07/2010;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;36;PMR;;1;
441364,77;4473875,18;23/04/2010;03  RETIRO;03-05 JERÓNIMOS;ALBERTO BOSCH, CALLE, DE;3;PMR;;1;
441529,31;4473881,27;28/11/2016;03  RETIRO;03-05 JERÓNIMOS;ALBERTO BOSCH, CALLE, DE;19;PMR;Línea;1;
441425,03;4474543,82;12/02/2004;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XI, CALLE, DE;1;PMR;;1;
441415,62;4474431,98;16/12/2011;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XI, CALLE, DE;8;PMR;;1;
441415,77;4474340,04;12/12/2006;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XI, CALLE, DE;10;PMR;;1;
441555,06;4474512,92;09/12/2015;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;2;PMR;Línea;1;
441539,15;4474000,49;28/10/2004;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;32;PMR;;1;
442127,39;4473186,41;07/02/2006;03  RETIRO;03-05 JERÓNIMOS;ANDRES TORREJON, CALLE, DE;14;PMR;Línea;2;
442114,49;4473247,31;21/03/2003;03  RETIRO;03-05 JERÓNIMOS;ANDRES TORREJON, CALLE, DE;18;PMR;Línea;2;DE LUNES A VIERNESDE 8 A 20 H.
