"dc:identifier";"dc:modified";"id";"lpgc:NOMBRE_VIA";"lpgc:PARTICULA";"lpgc:TIPO_VIA";"lpgc:TRAMO_VIA"
"6670";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6670";"TEROR";"DE";"CTRA";"6670"
"4448";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4448";"TEROR";"DE";"CTRA";"4448"
"4447";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4447";"TEROR";"DE";"CTRA";"4447"
"4440";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4440";"TEROR";"DE";"CTRA";"4440"
"4719";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/4719";"TEROR";"DE";"CTRA";"4719"
"5166";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5166";"TEROR";"DE";"CTRA";"5166"
"2925";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2925";"JUDAS TADEO";" ";"CALLE";"2925"
"2929";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2929";"GALILEA";" ";"CALLE";"2929"
"2928";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2928";"GALILEA";" ";"CALLE";"2928"
"2927";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2927";"GALILEA";" ";"CALLE";"2927"
"2924";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2924";"GALILEA";" ";"CALLE";"2924"
"2943";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2943";"MESIAS";"EL";"CALLE";"2943"
"2942";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2942";"MESIAS";"EL";"CALLE";"2942"
"2932";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2932";"MESIAS";"EL";"CALLE";"2932"
"2930";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2930";"MESIAS";"EL";"CALLE";"2930"
"2923";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2923";"MESIAS";"EL";"CALLE";"2923"
"2934";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2934";"NICODEMO";" ";"CALLE";"2934"
"2936";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2936";"SAN DIONISIO";" ";"CALLE";"2936"
"2935";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2935";"SAN DIONISIO";" ";"CALLE";"2935"
"2931";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2931";"SAN DIONISIO";" ";"CALLE";"2931"
"2941";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2941";"CANAA";" ";"CALLE";"2941"
"2950";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2950";"SAN FERNANDO";" ";"CALLE";"2950"
"2949";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2949";"SAN FERNANDO";" ";"CALLE";"2949"
"2947";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2947";"SAN FERNANDO";" ";"CALLE";"2947"
"2939";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2939";"SAN FERNANDO";" ";"CALLE";"2939"
"5620";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5620";"SAN FERNANDO";" ";"CALLE";"5620"
"2954";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2954";"SAN ESTEBAN";" ";"CALLE";"2954"
"2952";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2952";"SAN ESTEBAN";" ";"CALLE";"2952"
"2955";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2955";"SAN FERMIN";" ";"CALLE";"2955"
"2951";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2951";"SAN FERMIN";" ";"CALLE";"2951"
"2959";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2959";"SAN CLEMENTE";" ";"CALLE";"2959"
"2898";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2898";"CASA ROMAN";" ";"CALLE";"2898"
"6785";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6785";"MANUEL GALVAN RODRIGUEZ";" ";"CALLE";"6785"
"2962";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2962";"MANUEL GALVAN RODRIGUEZ";" ";"CALLE";"2962"
"5165";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5165";"CORTIJO CASA AYALA";" ";"LUGAR";"5165"
"5397";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/5397";"CORTIJO CASA AYALA";" ";"LUGAR";"5397"
"2963";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2963";"ENMAUS";" ";"CALLE";"2963"
"2966";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2966";"ADELFA";" ";"CALLE";"2966"
"2965";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2965";"HORNOS DEL REY";" ";"CALLE";"2965"
"6935";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6935";"TERUEL";" ";"CALLE";"6935"
"2974";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2974";"ALEXIS CARREL";" ";"CALLE";"2974"
"2976";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2976";"MIGUEL ANGEL ASTURIAS";" ";"CALLE";"2976"
"2975";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2975";"MIGUEL ANGEL ASTURIAS";" ";"CALLE";"2975"
"2978";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2978";"YANUSARI KWATABA";" ";"CALLE";"2978"
"2985";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2985";"LOMO DE LA CRUZ";" ";"CALLE";"2985"
"2980";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2980";"NORTE";" ";"CALLE";"2980"
"2981";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2981";"OLIVO";"EL";"CALLE";"2981"
"6711";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6711";"SAN JOSE ARTESANO";" ";"CALLE";"6711"
"6710";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6710";"SAN JOSE ARTESANO";" ";"CALLE";"6710"
"6709";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/6709";"SAN JOSE ARTESANO";" ";"CALLE";"6709"
"2988";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2988";"ISLA DE LA GRACIOSA";" ";"CALLE";"2988"
"2984";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2984";"ISLA DE LA GRACIOSA";" ";"CALLE";"2984"
"2982";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2982";"ISLA DE LA GRACIOSA";" ";"CALLE";"2982"
"3001";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3001";"ISLA DE MONTAÑA CLARA";" ";"CALLE";"3001"
"2991";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2991";"ISLA DE ALEGRANZA";" ";"CALLE";"2991"
"2995";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2995";"DOMINGO NAVAS";" ";"CALLE";"2995"
"2994";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2994";"DOMINGO NAVAS";" ";"CALLE";"2994"
"2993";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2993";"DOMINGO NAVAS";" ";"CALLE";"2993"
"2992";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2992";"DOMINGO NAVAS";" ";"CALLE";"2992"
"2983";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2983";"DOMINGO NAVAS";" ";"CALLE";"2983"
"2960";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/2960";"CORREGIDOR EGUILUZ";" ";"CALLE";"2960"
"3002";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3002";"MANUEL GONZALEZ GONZALEZ";" ";"CALLE";"3002"
"3018";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3018";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3018"
"3007";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3007";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3007"
"3006";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3006";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3006"
"3005";"2017-10-29 03:12:23";"http://datosabiertos.laspalmasgc.es/api/datos/gis_nombre_via/3005";"LAUREANO ARROYO, ARQUITECTO";" ";"CALLE";"3005"
